"Geography_Code","NM_1533_1_0","NM_1533_1_1","NM_1533_1_2"
"E00000001",6,5,1
"E00000003",10,5,5
"E00000005",2,0,2
"E00000007",2,2,0
"E00000010",0,0,0
"E00000012",0,0,0
"E00000013",5,2,3
"E00000014",1,0,1
"E00000016",1,1,0
"E00000017",7,5,2
"E00000018",9,4,5
"E00000019",0,0,0
"E00000020",2,2,0
"E00000021",3,2,1
"E00000022",4,1,3
"E00000023",1,0,1
"E00000024",3,1,2
"E00000025",5,2,3
"E00000026",0,0,0
"E00000027",2,2,0
"E00000028",0,0,0
"E00000029",2,2,0
"E00000030",0,0,0
"E00000031",0,0,0
"E00000032",3,2,1
"E00000035",5,2,3
"E00000037",1,0,1
"E00000038",1,0,1
"E00000039",1,0,1
"E00000040",0,0,0
"E00000041",8,3,5
"E00000042",1,1,0
"E00000043",7,3,4
"E00000045",2,0,2
"E00000046",0,0,0
"E00000048",0,0,0
"E00000049",4,3,1
"E00000050",5,3,2
"E00000051",8,6,2
"E00000052",0,0,0
"E00000053",1,1,0
"E00000054",5,1,4
"E00000055",7,4,3
"E00000056",9,3,6
"E00000057",8,6,2
"E00000059",2,1,1
"E00000060",2,1,1
"E00000061",1,1,0
"E00000062",3,0,3
"E00000063",0,0,0
"E00000064",6,4,2
"E00000065",1,1,0
"E00000066",4,3,1
"E00000067",8,6,2
"E00000068",2,2,0
"E00000069",0,0,0
"E00000070",1,0,1
"E00000071",1,0,1
"E00000072",0,0,0
"E00000073",1,0,1
"E00000074",0,0,0
"E00000075",5,3,2
"E00000076",3,1,2
"E00000077",4,1,3
"E00000078",4,3,1
"E00000079",3,2,1
"E00000080",1,1,0
"E00000081",4,3,1
"E00000082",4,2,2
"E00000083",2,1,1
"E00000084",0,0,0
"E00000085",1,1,0
"E00000086",4,2,2
"E00000087",0,0,0
"E00000088",3,1,2
"E00000089",4,2,2
"E00000090",0,0,0
"E00000091",9,7,2
"E00000092",2,1,1
"E00000093",2,2,0
"E00000094",4,2,2
"E00000095",1,1,0
"E00000096",2,1,1
"E00000097",3,0,3
"E00000098",1,0,1
"E00000099",0,0,0
"E00000100",3,1,2
"E00000101",3,2,1
"E00000102",6,3,3
"E00000103",6,2,4
"E00000104",4,2,2
"E00000106",4,1,3
"E00000107",2,1,1
"E00000108",4,2,2
"E00000109",6,5,1
"E00000110",2,1,1
"E00000111",5,2,3
"E00000112",8,4,4
