"Subgroup","v01","v02","v03","v04","v05","v06","v07","v08","v09","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60"
"1a1",0.348795635148059,0.449137554918817,0.611311260744988,0.66481877745941,0.842861623686728,0.763334651384904,0.378020028653293,0.986746427889204,0.235603256924549,0.0359359598853872,0.112138099331423,0.00354064947468959,0.0228277841451766,0.0336841929321873,0.0113821776504298,0.0354508118433618,0.0361250811843363,0.131168863419294,0.996247115568291,0.043207382999045,0.804734966571158,0.905072244508119,0.155559598853869,0.64858775549188,0.908395081184333,0.604754861509075,0.71280509073543,0.794466628462271,0.718886752626562,0.932234708691501,0.0410438108882522,0.975401929321872,0.927376103151864,0.686061623686721,0.398121289398276,0.123917421203437,0.965457812798473,0.235703791786054,0.571167841451764,0.981297306590256,0.215553170964663,0.76600583572111,0.717219503342886,0.906023037249283,0.801391833810891,0.651415740210117,0.806214164278892,0.776750649474694,0.928756112702959,0.409875606494749,0.6427199808978,0.681501423113654,0.589664164278893,0.549996628462276,0.633542406876787,0.497837774594078,0.429191661891113,0.420114890162367,0.486872588347661,0.244826876790835
"1a2",0.43239254243754,0.327164447835206,0.518091779515545,0.603732424184626,0.81485033377838,0.831210585542628,0.544504005340454,0.986918195689485,0.233734503147053,0.035337917222964,0.106176635514019,0.00422626358954797,0.0264915887850467,0.0290233454129315,0.0117269311462903,0.0348136563036429,0.0335020408163266,0.091818004958993,0.996865153538045,0.0614708563799352,0.794073698264349,0.912615868777417,0.153362063703985,0.599600820141136,0.904854148388327,0.610415964142669,0.76164829296204,0.779150619874113,0.616751707037953,0.910242799923708,0.127421247377456,0.975761033759299,0.92308872782758,0.607750143047871,0.199637688346365,0.292223288193782,0.971960385275601,0.210915697119967,0.512077875262252,0.97849849322906,0.204758706847226,0.804997654014883,0.733757867633034,0.847424642380314,0.807436143429334,0.608241121495326,0.777248464619492,0.783476387564368,0.923931928285336,0.335391798588596,0.614883482738885,0.658182376502002,0.583173850848747,0.551858420751479,0.616387449933242,0.518444783520882,0.444798092695022,0.445708582872402,0.498856856761397,0.227713122258249
"1b1",0.575929623208505,0.508639147018033,0.634072815533983,0.710843169209428,0.828278536754507,0.719061893203882,0.314816631992604,0.985463973647705,0.268728005085531,0.0397927646786874,0.105800254276467,0.0153819694868238,0.0524036985668054,0.094014193250117,0.0467294845122516,0.0614137078132221,0.073363372630606,0.213265349052242,0.991747595931571,0.0597143897364773,0.825354068423488,0.896197376329173,0.236714909847435,0.682908391123437,0.895658922792421,0.61390464632455,0.71075840268146,0.767205790568651,0.757396763754046,0.93576087609802,0.0131858529819695,0.979097191400824,0.728792128987516,0.900697387887198,0.2028213592233,0.0959572006472482,0.977398601479422,0.185902797041145,0.512049294960699,0.97935159500693,0.211563569116967,0.758169914470646,0.709955582524271,0.873076525658806,0.815160413777167,0.687522318539068,0.780518955154879,0.765400820619512,0.934164794267222,0.427935090152566,0.58871923254739,0.684848092926488,0.619853490522422,0.587130987055016,0.585082686084142,0.530300034674064,0.495944140083217,0.469554900601014,0.498718226999535,0.257269637078134
"1b2",0.57769556605211,0.425879094926102,0.576604571080298,0.666993021484074,0.823126085631574,0.795125034283098,0.47539140636904,0.991192640560711,0.164060079232059,0.0244252933109859,0.0669666006399513,0.00586149626695109,0.0297894255675758,0.0337502361724821,0.0262029254913911,0.030452079841536,0.0330575194270913,0.073190172177358,0.996636324851438,0.0543380770988877,0.794127898826756,0.915783757428005,0.139569907054701,0.635959256437603,0.906040728325461,0.582484778302609,0.735716288282797,0.766696906902328,0.698850769465181,0.92616554929148,0.0184918482401341,0.982684915435015,0.713239631266187,0.904079811062017,0.156041353039767,0.173952582660368,0.983239280816697,0.200854578698765,0.389592503428309,0.979520554624405,0.194011945756515,0.781148758189854,0.735854639646502,0.840478561633399,0.82646545786988,0.640865869267101,0.762475239981716,0.769683620295595,0.931733627914058,0.405910894408045,0.550857306110006,0.670207039463658,0.614940850220932,0.598730047234496,0.58788156330946,0.525754974859056,0.50580380923358,0.475642968154804,0.493758997409716,0.241155203413073
"1c1",0.516030857946557,0.431068776371311,0.622819099859354,0.639287299578056,0.827705105485236,0.781796765119547,0.460405302391,0.980241420534447,0.270592714486638,0.0563131645569624,0.167214163150492,0.0116937693389592,0.0655002250351618,0.13334947960619,0.050627735583685,0.0674750351617438,0.0613711392405063,0.210049507735583,0.990646497890287,0.0499643741209564,0.80754724331927,0.904862784810124,0.27222082981716,0.601257102672291,0.924434135021097,0.53620558368495,0.699765330520389,0.761496708860758,0.732072137834038,0.927725133614626,0.0450076511954994,0.976553769338957,0.935891350210969,0.588915344585088,0.197589381153304,0.237793727144865,0.986046511954992,0.127587440225034,0.400187271448662,0.988379634317857,0.12601206751055,0.747950379746839,0.708605808720113,0.89728160337552,0.771497412095643,0.624774796061883,0.862119127988749,0.780572250351616,0.92700521800281,0.435082630098452,0.687009409282696,0.759677791842478,0.634041729957805,0.563477482419126,0.477135583684946,0.426769549929673,0.410321898734173,0.252470928270042,0.357053473980308,0.21721976090014
"1c2",0.551590399113084,0.521399955654103,0.668693192904656,0.694202682926827,0.854672660753885,0.668174966740576,0.220244589800444,0.985257095343676,0.20693467849224,0.0369517738359202,0.122074368070954,0.0119236141906874,0.078391286031042,0.107573037694014,0.0716209312638582,0.05717911308204,0.0611525942350334,0.15646423503326,0.991396629711745,0.0725461197339246,0.819018869179599,0.897561707317074,0.243044323725055,0.645699556541017,0.922655654101997,0.55207800443459,0.603503458980043,0.791702483370283,0.808711064301551,0.948723104212858,0.00898314855875831,0.977410133037695,0.969980731707312,0.444222039911308,0.228231818181817,0.100984057649667,0.986210044345892,0.134466541019956,0.376888470066519,0.989167915742787,0.125817383592018,0.706278957871398,0.679402949002216,0.925730532150774,0.807705986696229,0.663747694013303,0.832119379157426,0.759592084257206,0.935915676274944,0.476014013303769,0.638494013303773,0.730698824833703,0.642074279379158,0.587462150776054,0.526439667405765,0.46980068736142,0.468808736141909,0.39135203991131,0.419180155210645,0.252979778270509
"2a1",0.579112379317744,0.577522098262175,0.659417914610595,0.76712737609955,0.810196567260246,0.606322977901738,0.175679532289208,0.975499635271396,0.392995001072732,0.0654553100193097,0.163430379746836,0.018560266037331,0.0733995923621539,0.106292233426304,0.0431952799828364,0.0892689551598369,0.116652692555246,0.286911564042052,0.988803926196093,0.102764878781378,0.869231581205747,0.861837438317956,0.268243788886505,0.74678899377816,0.862760158764217,0.667573160266037,0.729124737180862,0.782741278695556,0.789536923406994,0.922486977043554,0.0160173782450118,0.968132010298219,0.715355953658014,0.783094657798751,0.747367603518558,0.319043638704141,0.948249109633129,0.271455889294141,0.669577794464705,0.964019244797255,0.281627118644068,0.736451834370308,0.655366809697489,0.859311971679896,0.806337373954085,0.703831109204033,0.797422570263893,0.748748401630552,0.940150311092038,0.434177558463849,0.591420875348638,0.682797704355287,0.630205277837374,0.571307444754345,0.569918579703926,0.534686655224201,0.49682786955589,0.466254816562968,0.511348980905382,0.30041860115855
"2a2",0.542704589757223,0.497595427963852,0.623508966861601,0.714044993797625,0.832446322877902,0.724387205387205,0.320069874180401,0.986793655856809,0.258490005316321,0.0384937799043064,0.100284086478823,0.0105089136983874,0.0387299308878255,0.059023870281765,0.0323836434520645,0.0497823143717881,0.0544574694311536,0.178271150097467,0.994017933723189,0.0492226120857699,0.843887949672163,0.885503473329786,0.201528194222931,0.698644107744107,0.88224866205919,0.655426617047672,0.742561722488038,0.776754899875949,0.741766223639908,0.925603260676949,0.0278117845117845,0.976421088073715,0.747437444621655,0.801502782208047,0.721985132021973,0.18026489455963,0.967247226652489,0.165179922027289,0.604042176147439,0.972295587453483,0.252378415736311,0.764801010101018,0.705437090200244,0.859057132730814,0.813782367534999,0.686162006025162,0.780550629097994,0.766488321814634,0.933471929824562,0.413770033670033,0.589188516746412,0.672328513202198,0.615169112174376,0.573037586390218,0.595476147439306,0.54109004075846,0.495537728158779,0.475634644692538,0.513664469253944,0.267856087187667
"2a3",0.60207883428007,0.53083146455915,0.62992156087923,0.740895455668065,0.822187700666835,0.693530921215116,0.302439738206965,0.985042207952581,0.280429587552483,0.0451137811805385,0.0973004445542111,0.0195340330945913,0.0469589034329463,0.064932477154853,0.0490229192393184,0.0646223758952828,0.0729578414423316,0.213918523092122,0.992044233143983,0.0686485305013583,0.858498765127193,0.871417461101505,0.240263423067423,0.740286786860953,0.857130748332919,0.665193109409733,0.755782020251912,0.763150703877497,0.750964559150405,0.918364880217335,0.0193962953815757,0.976046925166707,0.388537935292666,0.770920894047914,0.820694887626574,0.232871153371202,0.957123536675722,0.221352482094343,0.635547715485303,0.968691454680169,0.258670733514448,0.773474635712527,0.702703260064214,0.812136700419854,0.815795134601135,0.689160459372683,0.766717337614225,0.760537441343541,0.935962533959003,0.42039066436157,0.545970511237344,0.657639713509509,0.613734008397137,0.575248481106449,0.590920350703878,0.559530204988887,0.516618720671772,0.491135712521611,0.53955450728575,0.294438873795998
"2b1",0.385433628142714,0.456818692238899,0.609786047898244,0.677255082977245,0.837882092815268,0.761264453940173,0.393924903110404,0.986854914041538,0.252070634999504,0.0360634005763692,0.112211428003577,0.00418184438040346,0.0225734472821226,0.0315328828381198,0.0111812282619497,0.0353523104442014,0.0366755440723442,0.13602516148266,0.996283911358447,0.0452014409221903,0.827643287290074,0.896343108416976,0.160987558382193,0.670207174798768,0.891557557388455,0.648892308456724,0.746512282619497,0.784593471131865,0.713028311636697,0.922015363211766,0.060906200934115,0.97401271986485,0.844710324952795,0.767662237901223,0.619862665209181,0.245639203020966,0.942680333896457,0.501765855112787,0.602844748087051,0.972015542084859,0.258685869025142,0.780394633807019,0.717034522508194,0.876824346616322,0.802312391930841,0.656307413296228,0.793446119447485,0.778719149359046,0.927770923183944,0.39586493093511,0.630376180065588,0.664470078505414,0.589726453343935,0.538639848951607,0.628214598032392,0.527679608466661,0.448105157507698,0.446584149855904,0.519073864652689,0.264926751465768
