"Supergroup8","v01","v02","v03","v04","v05","v06","v07","v08","v09","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60"
"1",0.490033270659019,0.447259485757261,0.607104634765428,0.665833853530111,0.83211950973018,0.760598009307128,0.397745518003202,0.985947748425323,0.233881420983371,0.0383838370781228,0.113403772210215,0.00864202547710817,0.0433876656952142,0.0698746286546941,0.0338418398044562,0.0475352942559007,0.0497725909560952,0.149933355269347,0.994018311083971,0.0547704333928736,0.807961932405756,0.905018275829645,0.198093000846106,0.639367018426256,0.909197536899505,0.586839296794215,0.708176908432824,0.776949995299419,0.722765998401838,0.930299776722753,0.0398082800601672,0.977726339663457,0.859374913039421,0.711818141863325,0.245090864435458,0.163287724452384,0.97707017251107,0.188349160947638,0.474692023126825,0.982300467707081,0.185614416658827,0.762204909748982,0.715206942747038,0.882620673122109,0.804477801541771,0.64866568816396,0.802761032245929,0.773001233900534,0.93018708282411,0.41498084751341,0.621092237002927,0.695844819968036,0.611873300742694,0.571518289931377,0.577042103036569,0.496436633919337,0.457552136410636,0.410824311365981,0.462951621697843,0.240932760646795
"2",0.510372162622307,0.495068958585467,0.620106155771155,0.709880689626862,0.824716184283388,0.718159840823777,0.353124904104538,0.982544360115698,0.301924711287986,0.0484654694262676,0.131523814896109,0.0118818383212651,0.0457345387786908,0.0654697524153313,0.0293644602162006,0.0595415929929643,0.068089029968614,0.202634760312616,0.992972287747961,0.0679137720251883,0.8440896966216,0.883087395130347,0.214749701544583,0.701789550983577,0.874851369202692,0.661168966790442,0.756426530737837,0.768302219441644,0.73316663863307,0.913289887386919,0.0621858443929357,0.971363143320155,0.735134844413457,0.765768533978801,0.65291236897706,0.40264560316712,0.946562971015968,0.396203511722847,0.617435554142487,0.964457065496085,0.277514208939289,0.772046825706123,0.697231900884114,0.84782751123052,0.803468560644895,0.667741336587963,0.793776445611364,0.76708285778754,0.932647640048393,0.411420908289079,0.608067949375405,0.679310641832994,0.61229888207422,0.556164224323604,0.587923195421647,0.530934007507538,0.476417511435666,0.444432532665996,0.50957598203114,0.282758056245
"3",0.666984526219886,0.490850688398451,0.49842234257947,0.835366060943507,0.736070398866165,0.488288185867581,0.171367893298239,0.854670267260584,0.630007405345205,0.275660174124314,0.472533346831335,0.133877303097793,0.255537578457176,0.300244325774445,0.161962831544845,0.301346218870219,0.472563773030979,0.463599838023901,0.91127280319904,0.332786555983,0.833464258959311,0.811811976108519,0.604883397448879,0.87095157926706,0.730473780117432,0.608586900182211,0.823209030168042,0.723154732739429,0.639239142538979,0.809812532901401,0.0818054818789228,0.905472453938044,0.133402616926502,0.221638666734156,0.318313428831746,0.972184409799577,0.74120874670986,0.599027009516091,0.807976847539987,0.804517645272324,0.642614355132616,0.736042194776261,0.550848304312623,0.473890175136672,0.68531758453128,0.614787558210158,0.874785725855438,0.730253143348855,0.939338697104688,0.568013469325784,0.567297003441982,0.74084150131606,0.64395723324559,0.491082552136053,0.416228396436528,0.470473127151241,0.459819599109127,0.324865073901603,0.511378943105886,0.429425607410407
"4",0.637164635314508,0.596849787893989,0.68952599096839,0.780019440769963,0.768374255348264,0.539917990238563,0.18716709848105,0.853623970259545,0.589696058933535,0.203704752999135,0.523956575286234,0.250408849153859,0.121743137344339,0.423278474661309,0.472395434019065,0.383023235871007,0.578069132874148,0.468912525657993,0.817155475984126,0.494495666651454,0.688876777813257,0.792586689777853,0.776138799434387,0.795201172284818,0.829590854353877,0.631269575331843,0.73327651781234,0.608482123796917,0.787920891301371,0.88668174976053,0.0418527300095788,0.963568736030659,0.424525580440629,0.690875295351911,0.74932059937052,0.656479669753226,0.821298175432194,0.656334739771014,0.734360685125206,0.875810459334947,0.638044478401683,0.753308735118361,0.642957628974139,0.692976841673126,0.772638662591787,0.637693399625959,0.778663298818594,0.792289526980807,0.919037818729196,0.56695475984127,0.502907134060118,0.636467034621166,0.55456972585868,0.5145808329152,0.537812822150247,0.565508716872686,0.540490982073612,0.547094435068187,0.644850421931304,0.471415654791772
"5",0.575637951089286,0.536445559422215,0.659654559755923,0.736126314534965,0.808486013252607,0.653772422176669,0.300334490155886,0.941868227105876,0.431322510368502,0.123562835486485,0.33701471135053,0.0714517709872714,0.161829351194161,0.418783262620958,0.24644104018687,0.227993387996379,0.270531334318539,0.393404423892852,0.944503518138917,0.184789826953326,0.799575701959288,0.854235948896412,0.589200681699004,0.708045731038759,0.887953801782906,0.590538594651282,0.703488015445484,0.735376016589604,0.779549649616239,0.91247720837108,0.0518366544310434,0.967166806502358,0.721378128426371,0.763495313915237,0.437566182008865,0.373560828526482,0.959968351051163,0.242516489488485,0.594860795156593,0.96922593793203,0.291306187729414,0.728472364971154,0.664140777994949,0.858278252371647,0.760566611050192,0.657007546360296,0.845424002478905,0.755601940220251,0.93717624064452,0.473757615483631,0.644975411164604,0.74428278590838,0.630566625351562,0.558534356676357,0.485808852552794,0.470500181150781,0.443576750726986,0.36603848024026,0.435858178004479,0.301201077370451
"6",0.610220545712481,0.570285850110161,0.650607554857989,0.774029422595152,0.787695182759355,0.600664109142491,0.231957601641968,0.947166774320113,0.508559442817902,0.127419863571882,0.312191578883824,0.0660623766261199,0.107289475113938,0.188386330023228,0.118707551839665,0.188356023059979,0.32068325435393,0.406116060487157,0.968400419546664,0.228517400621782,0.867599203163201,0.84364756270563,0.443289263831458,0.801621659473008,0.804784063264013,0.68913387461894,0.781772970933579,0.710215997102411,0.758662440010884,0.882222060909746,0.0457912438501706,0.959595849808332,0.399815864296276,0.689377573873422,0.774166599257498,0.668373073556501,0.858266095197862,0.629549953216022,0.701900986991037,0.915608858772764,0.463140031994193,0.783511934442053,0.663269499864197,0.735676263922012,0.790992756029083,0.666236071956777,0.773742510035914,0.761244118801119,0.934307992514581,0.470573490084829,0.54266058977996,0.649598717213492,0.592337819564759,0.529828314871266,0.551000434638251,0.562896411216074,0.515423977543686,0.485259654100382,0.587432139084233,0.399475279949279
"7",0.590474515138224,0.55124482375311,0.660531639608017,0.734770539710386,0.80664655843205,0.682821553312845,0.332481565013903,0.985653084686275,0.274094439081474,0.0349966418019593,0.0843763083223663,0.0126196723709229,0.0311705543366977,0.0397872575691103,0.0302991048705574,0.0505482375310817,0.0666785519964883,0.159035521427529,0.99393774755013,0.115835225976305,0.85293068889864,0.867976706157671,0.179857203451806,0.762183659499792,0.826767289746952,0.695315220125805,0.769838709960514,0.699778279947343,0.765909138511059,0.911832344595632,0.0241049904929062,0.976357589586083,0.425317852859427,0.795045581395363,0.767622369460313,0.399626485300562,0.86977445663307,0.754094406903626,0.545150343718002,0.929588945443947,0.43018251279799,0.818648699722105,0.721345402954519,0.74127010677198,0.83598420067278,0.628531899956131,0.666700412461599,0.777793166593547,0.927727216615538,0.446531034079291,0.46179491297351,0.536233304080725,0.533030726926999,0.533571390960933,0.613057648091268,0.606420781044316,0.557982313880344,0.566995351762461,0.63732778996636,0.429256767588114
"8",0.610857014651023,0.486194258528404,0.534911877601774,0.7240208682489,0.801065486295073,0.723656955181919,0.473901194788346,0.978944520733105,0.281470373574097,0.0400059793480022,0.121426550251392,0.0122839433421636,0.0517306428069417,0.0512869654538574,0.0516129156079363,0.0526889171216955,0.0915837054657512,0.0910196788668436,0.99248984700223,0.200371395361413,0.82382570146511,0.883074568849004,0.206962415526843,0.773904589933502,0.758449845920962,0.743250078391076,0.862250981240197,0.626105730659029,0.650001675947454,0.832010444937009,0.0475629183110774,0.962126269124726,0.262803416770286,0.47325862031681,0.481047094123374,0.916748245661464,0.768337703411364,0.797619386927612,0.537202973455158,0.854699870249231,0.541625350056763,0.845630231929475,0.678803849272852,0.542398297021141,0.825191463480561,0.553367118992259,0.643106692977234,0.760567600151389,0.929278472184692,0.411359171757579,0.396701702978864,0.507247542844779,0.511682829648042,0.527311818132654,0.566501848948464,0.575231999783732,0.546107698545698,0.511318078607337,0.631457549872942,0.504009920527653
