"Geography_Code","NM_1564_1_0","NM_1564_1_1","NM_1564_1_2","NM_1564_1_3","NM_1564_1_4","NM_1564_1_5","NM_1564_1_6","NM_1564_1_7"
"N00000001",757,45,114,190,19,176,189,24
"N00000002",269,66,24,38,14,25,90,12
"N00000003",179,37,21,27,8,19,63,4
"N00000004",466,106,60,80,15,77,116,12
"N00000005",281,60,24,42,11,44,90,10
"N00000006",198,31,19,46,14,23,54,11
"N00000007",194,37,17,36,10,29,54,11
"N00000008",244,52,28,31,16,24,83,10
"N00000009",564,89,60,91,22,76,194,32
"N00000010",192,59,25,28,9,18,44,9
"N00000011",251,94,37,36,13,21,39,11
"N00000012",222,77,25,32,13,27,33,15
"N00000013",227,73,30,37,9,25,42,11
"N00000014",382,111,59,76,14,35,68,19
"N00000015",195,92,30,22,9,16,22,4
"N00000016",191,59,26,39,11,16,26,14
"N00000017",252,88,38,39,11,32,40,4
"N00000018",181,48,34,30,10,23,26,10
"N00000019",212,96,35,28,7,18,18,10
"N00000020",170,62,23,36,10,17,14,8
"N00000021",215,74,30,35,10,26,30,10
"N00000022",222,102,31,25,7,30,22,5
"N00000023",184,95,19,26,5,17,17,5
"N00000024",402,75,56,59,21,52,130,9
"N00000025",371,103,33,67,23,38,96,11
"N00000026",383,90,41,66,19,50,105,12
"N00000027",401,99,61,59,13,55,101,13
"N00000028",188,54,27,36,11,24,31,5
"N00000029",323,78,35,46,13,45,93,13
"N00000030",305,81,29,52,13,44,78,8
"N00000031",516,112,52,70,38,67,160,17
"N00000032",293,66,38,46,25,35,77,6
"N00000033",383,96,40,59,31,50,97,10
"N00000034",373,81,45,51,22,46,103,25
"N00000035",239,75,32,35,13,29,38,17
"N00000036",279,83,36,37,12,33,71,7
"N00000037",236,89,33,26,8,29,42,9
"N00000038",307,77,38,53,22,45,62,10
"N00000039",894,198,125,165,44,129,186,47
"N00000040",209,80,45,35,8,21,16,4
"N00000041",321,41,54,76,9,47,85,9
"N00000042",315,65,33,63,21,46,70,17
"N00000043",841,173,105,179,27,130,196,31
"N00000044",223,85,37,35,8,24,28,6
"N00000045",383,80,42,57,22,44,122,16
"N00000046",313,94,38,43,15,40,73,10
"N00000047",314,86,21,53,16,32,91,15
"N00000048",240,85,34,52,12,21,24,12
"N00000049",210,62,39,28,9,30,27,15
"N00000050",254,67,31,37,16,21,76,6
"N00000051",231,100,30,34,5,21,21,20
"N00000052",245,71,38,39,15,30,39,13
"N00000053",208,61,42,38,6,12,28,21
"N00000054",195,67,22,36,4,27,28,11
"N00000055",229,90,36,44,8,20,23,8
"N00000056",239,108,23,34,13,20,25,16
"N00000057",197,79,33,43,7,13,10,12
"N00000058",198,61,33,31,4,19,32,18
"N00000059",178,74,29,28,4,17,18,8
"N00000060",306,125,60,46,9,30,25,11
"N00000061",238,57,27,26,11,20,80,17
"N00000062",299,51,24,38,14,44,122,6
"N00000063",356,155,42,47,10,28,52,22
"N00000064",218,101,35,24,8,25,14,11
"N00000065",327,82,54,41,16,44,74,16
"N00000066",232,61,21,38,14,20,67,11
"N00000067",243,95,32,51,15,14,23,13
"N00000068",293,65,28,45,20,37,81,17
"N00000069",238,110,38,40,6,26,14,4
"N00000070",216,63,23,31,9,17,67,6
"N00000071",254,93,26,34,10,35,39,17
"N00000072",1290,229,156,226,49,201,354,75
"N00000073",467,198,54,46,11,32,89,37
"N00000074",764,97,93,131,26,112,266,39
"N00000075",351,85,51,71,19,40,64,21
"N00000076",258,54,38,49,11,40,51,15
"N00000077",222,38,24,53,15,30,54,8
"N00000078",330,42,41,63,15,48,106,15
"N00000079",423,74,43,75,16,67,141,7
"N00000080",324,56,37,49,4,50,117,11
"N00000081",279,77,31,43,12,33,80,3
"N00000082",277,50,25,44,15,29,101,13
"N00000083",503,105,51,89,23,69,156,10
"N00000084",356,98,30,57,15,36,113,7
"N00000085",354,147,33,51,9,34,60,20
"N00000086",292,69,34,56,14,31,71,17
"N00000087",684,125,87,119,32,90,199,32
"N00000088",196,95,24,26,8,14,20,9
"N00000089",352,85,34,66,17,40,100,10
"N00000090",300,66,29,58,10,41,82,14
"N00000091",350,78,38,56,19,30,95,34
"N00000092",371,87,37,53,22,46,111,15
"N00000093",340,98,29,51,32,34,78,18
"N00000094",385,73,28,50,27,51,138,18
"N00000095",353,78,26,66,29,43,104,7
"N00000096",403,99,42,69,25,43,109,16
"N00000097",621,108,84,116,29,87,165,32
"N00000098",916,134,98,120,30,103,344,87
"N00000099",202,81,29,37,6,20,18,11
"N00000100",277,83,31,41,9,26,58,29
"N00000101",196,48,36,36,4,20,27,25
"N00000102",252,62,40,52,10,27,50,11
"N00000103",453,140,47,71,19,50,86,40
"N00000104",233,60,29,45,11,28,44,16
"N00000105",280,121,40,35,11,24,24,25
"N00000106",148,53,26,21,5,13,15,15
"N00000107",200,78,40,22,5,22,28,5
"N00000108",205,72,13,28,10,18,51,13
"N00000109",409,135,72,60,13,41,58,30
"N00000110",221,79,33,39,9,19,23,19
"N00000111",282,60,23,51,13,32,88,15
"N00000112",302,79,56,73,9,35,43,7
"N00000113",237,48,41,47,6,30,50,15
"N00000114",258,74,25,47,9,28,59,16
"N00000115",242,78,42,56,8,27,24,7
"N00000116",223,77,36,34,14,23,28,11
"N00000117",125,46,25,17,7,12,11,7
"N00000118",291,73,21,47,11,30,100,9
"N00000119",253,47,26,40,11,32,90,7
"N00000120",275,60,32,46,13,27,95,2
"N00000121",245,65,26,54,14,25,48,13
"N00000122",385,66,41,59,14,42,150,13
"N00000123",289,42,18,50,9,27,137,6
"N00000124",325,100,20,37,13,37,105,13
"N00000125",348,104,31,59,18,45,83,8
"N00000126",351,102,39,54,28,46,79,3
"N00000127",285,84,42,50,11,29,59,10
"N00000128",771,221,78,126,46,91,175,34
"N00000129",251,124,37,33,7,19,20,11
"N00000130",357,56,41,85,15,57,92,11
"N00000131",318,50,37,49,19,53,101,9
"N00000132",294,80,32,41,18,45,74,4
"N00000133",273,84,34,32,12,36,58,17
"N00000134",350,66,46,61,23,55,87,12
"N00000135",246,104,37,31,15,28,25,6
"N00000136",402,76,50,72,19,64,108,13
"N00000137",252,63,40,45,17,44,36,7
"N00000138",345,33,45,82,17,65,97,6
"N00000139",272,78,25,42,9,43,60,15
"N00000140",302,104,32,49,10,23,68,16
"N00000141",373,159,49,54,24,33,37,17
"N00000142",164,71,27,20,7,17,18,4
"N00000143",183,85,26,23,7,18,20,4
"N00000144",191,65,36,36,6,26,13,9
"N00000145",111,66,17,9,5,6,5,3
"N00000146",240,50,27,32,8,33,75,15
"N00000147",184,61,26,30,8,26,27,6
"N00000148",500,154,76,77,25,43,101,24
"N00000149",347,102,54,65,15,41,59,11
"N00000150",291,82,27,35,20,36,73,18
"N00000151",247,95,33,32,20,22,27,18
"N00000152",229,109,43,25,13,17,18,4
"N00000153",199,94,18,29,9,24,17,8
"N00000154",215,65,24,37,14,29,37,9
"N00000155",283,81,40,50,13,30,58,11
"N00000156",245,69,29,36,17,29,60,5
"N00000157",304,72,46,45,18,32,82,9
"N00000158",542,163,72,87,42,66,90,22
"N00000159",202,79,20,33,15,18,31,6
"N00000160",275,74,35,40,11,24,80,11
"N00000161",294,29,21,57,9,38,134,6
"N00000162",219,59,27,41,15,32,38,7
"N00000163",268,107,41,38,13,26,28,15
"N00000164",242,44,14,30,16,30,98,10
"N00000165",267,50,22,35,14,30,108,8
"N00000166",243,61,23,38,13,28,66,14
"N00000167",315,63,33,57,19,32,100,11
"N00000168",289,74,27,40,17,29,91,11
"N00000169",595,139,72,95,45,78,146,20
"N00000170",282,77,36,39,29,41,54,6
"N00000171",332,65,34,66,16,46,94,11
"N00000172",637,132,76,98,43,74,179,35
"N00000173",313,62,33,53,24,41,89,11
"N00000174",306,133,38,44,9,44,35,3
"N00000175",294,79,45,46,20,33,64,7
"N00000176",397,140,54,68,28,53,37,17
"N00000177",276,99,38,41,7,29,46,16
"N00000178",572,247,85,81,27,53,67,12
"N00000179",749,295,80,114,36,79,109,36
"N00000180",228,106,28,33,10,22,22,7
"N00000181",262,87,34,37,12,29,44,19
"N00000182",191,70,28,23,8,28,24,10
"N00000183",238,41,36,40,13,31,66,11
"N00000184",330,117,20,33,22,35,87,16
"N00000185",201,79,13,25,15,19,48,2
"N00000186",224,60,37,37,12,31,40,7
"N00000187",206,89,28,22,8,29,20,10
"N00000188",268,91,48,38,18,31,30,12
"N00000189",264,46,30,50,18,33,78,9
"N00000190",256,62,35,50,15,34,47,13
"N00000191",267,75,32,35,25,44,42,14
"N00000192",254,74,53,43,19,34,26,5
"N00000193",213,73,34,43,5,28,18,12
"N00000194",209,93,36,23,16,16,22,3
"N00000195",211,107,23,19,15,13,24,10
"N00000196",198,99,28,27,11,13,12,8
"N00000197",254,42,40,49,24,37,50,12
"N00000198",234,47,32,42,10,39,53,11
"N00000199",275,52,45,46,17,35,67,13
"N00000200",254,53,42,39,19,36,59,6
"N00000201",256,57,22,37,14,30,89,7
"N00000202",264,37,25,39,19,50,88,6
"N00000203",281,76,25,38,25,31,70,16
"N00000204",328,100,37,53,22,36,62,18
"N00000205",242,57,32,31,16,28,69,9
"N00000206",345,88,32,55,19,42,100,9
"N00000207",225,36,29,37,10,39,63,11
"N00000208",273,46,29,62,14,42,77,3
"N00000209",293,29,28,50,13,49,114,10
"N00000210",337,109,36,47,16,37,79,13
"N00000211",460,162,65,61,17,37,94,24
"N00000212",150,38,23,25,9,16,29,10
"N00000213",252,58,23,32,8,34,80,17
"N00000214",263,49,25,44,5,36,88,16
"N00000215",336,43,44,64,10,44,114,17
"N00000216",334,82,39,57,21,36,91,8
"N00000217",404,58,33,75,18,39,166,15
"N00000218",292,58,32,41,12,30,111,8
"N00000219",199,72,42,31,13,12,15,14
"N00000220",214,85,35,41,13,19,15,6
"N00000221",204,67,33,38,13,24,24,5
"N00000222",241,76,25,36,18,29,44,13
"N00000223",264,79,35,37,13,33,62,5
"N00000224",206,58,21,32,17,25,42,11
"N00000225",138,43,18,20,11,7,30,9
"N00000226",232,55,30,39,8,26,66,8
"N00000227",174,69,18,29,7,17,25,9
"N00000228",264,69,35,49,26,31,40,14
"N00000229",344,113,43,49,20,34,68,17
"N00000230",220,81,37,38,12,22,22,8
"N00000231",214,99,36,34,9,21,12,3
"N00000232",251,96,31,27,10,28,41,18
"N00000233",223,78,39,19,11,22,43,11
"N00000234",207,83,31,28,7,14,34,10
"N00000235",257,43,31,48,16,27,77,15
"N00000236",213,68,28,34,7,29,37,10
"N00000237",324,46,37,56,9,42,119,15
"N00000238",268,34,24,44,9,30,120,7
"N00000239",200,75,28,37,11,16,17,16
"N00000240",242,70,38,53,16,34,24,7
"N00000241",329,36,30,70,9,45,132,7
"N00000242",279,35,41,55,9,42,89,8
"N00000243",218,69,37,37,21,20,24,10
"N00000244",214,104,38,30,8,19,11,4
"N00000245",262,92,31,43,22,25,39,10
"N00000246",244,109,29,42,6,31,19,8
"N00000247",259,60,39,32,23,26,60,19
"N00000248",278,62,30,50,22,31,70,13
"N00000249",286,48,42,56,20,39,70,11
"N00000250",323,65,44,66,14,52,71,11
"N00000251",314,46,56,61,10,53,77,11
"N00000252",273,31,23,50,10,40,110,9
"N00000253",411,99,53,53,19,60,117,10
"N00000254",259,46,36,45,13,36,78,5
"N00000255",291,57,28,40,13,40,103,10
"N00000256",641,80,49,101,25,70,286,30
"N00000257",361,102,36,68,19,44,80,12
"N00000258",297,50,32,45,14,41,110,5
"N00000259",370,88,38,67,21,43,97,16
"N00000260",421,115,43,81,22,39,96,25
"N00000261",422,90,48,71,29,54,115,15
"N00000262",322,92,33,53,25,33,76,10
"N00000263",197,63,23,31,19,19,30,12
"N00000264",410,92,74,70,16,58,84,16
"N00000265",300,119,54,48,12,29,27,11
"N00000266",257,58,33,54,26,33,46,7
"N00000267",353,41,42,46,17,51,148,8
"N00000268",319,55,36,55,17,43,98,15
"N00000269",299,82,33,36,18,46,77,7
"N00000270",310,97,28,45,18,29,78,15
"N00000271",306,72,22,65,15,31,98,3
"N00000272",246,66,33,32,17,30,49,19
"N00000273",357,49,38,54,15,38,156,7
"N00000274",381,66,40,48,21,50,144,12
"N00000275",241,67,31,48,16,27,36,16
"N00000276",242,65,41,47,9,34,35,11
"N00000277",235,43,38,49,18,32,43,12
"N00000278",235,51,40,54,11,47,26,6
"N00000279",137,24,18,24,9,23,36,3
"N00000280",262,88,43,36,14,38,36,7
"N00000281",305,81,22,41,16,43,93,9
"N00000282",296,60,38,46,24,35,86,7
"N00000283",271,60,37,43,15,30,69,17
"N00000284",273,86,39,48,12,28,51,9
"N00000285",214,65,41,40,13,30,21,4
"N00000286",226,74,23,33,12,31,41,12
"N00000287",238,108,23,46,10,22,21,8
"N00000288",277,72,42,50,16,34,54,9
"N00000289",375,96,45,77,21,60,69,7
"N00000290",212,104,22,35,13,18,14,6
"N00000291",414,108,59,65,30,64,71,17
"N00000292",528,98,46,101,41,84,146,12
"N00000293",357,42,44,64,11,63,127,6
"N00000294",336,94,30,55,15,41,91,10
"N00000295",345,91,29,56,23,37,102,7
"N00000296",229,45,30,44,15,33,53,9
"N00000297",325,108,30,45,15,47,62,18
"N00000298",257,51,47,52,17,35,47,8
"N00000299",266,67,31,52,15,42,51,8
"N00000300",241,111,33,34,14,13,26,10
"N00000301",259,35,31,58,13,40,76,6
"N00000302",288,52,30,62,18,52,63,11
"N00000303",241,27,32,55,24,33,61,9
"N00000304",239,30,40,62,3,40,58,6
"N00000305",311,44,35,56,13,54,106,3
"N00000306",265,41,44,40,11,45,74,10
"N00000307",273,62,42,55,19,40,45,10
"N00000308",230,51,29,43,20,37,42,8
"N00000309",295,52,50,68,16,40,60,9
"N00000310",348,82,45,42,17,36,103,23
"N00000311",280,105,21,35,19,31,56,13
"N00000312",405,111,41,67,30,53,96,7
"N00000313",466,92,75,97,34,50,100,18
"N00000314",299,100,48,54,15,31,34,17
"N00000315",275,104,32,41,19,36,34,9
"N00000316",282,87,41,51,19,32,42,10
"N00000317",374,132,56,47,15,45,58,21
"N00000318",278,76,29,57,19,41,41,15
"N00000319",614,207,102,85,35,70,77,38
"N00000320",259,104,34,39,11,32,23,16
"N00000321",402,128,64,52,15,54,56,33
"N00000322",300,119,45,41,18,24,39,14
"N00000323",374,74,45,66,20,51,106,12
"N00000324",319,78,35,48,26,38,88,6
"N00000325",397,107,49,69,30,49,75,18
"N00000326",728,201,90,126,37,93,152,29
"N00000327",238,72,55,45,11,18,30,7
"N00000328",205,70,43,42,9,15,20,6
"N00000329",304,107,53,55,14,30,37,8
"N00000330",398,60,58,63,21,60,122,14
"N00000331",452,123,71,66,22,57,90,23
"N00000332",214,101,35,35,6,17,7,13
"N00000333",208,94,38,29,11,18,13,5
"N00000334",219,81,49,36,11,22,16,4
"N00000335",268,79,39,50,12,25,55,8
"N00000336",279,64,41,49,22,22,62,19
"N00000337",249,45,26,31,13,34,95,5
"N00000338",257,50,36,52,18,23,65,13
"N00000339",250,46,23,40,13,39,78,11
"N00000340",369,93,31,54,16,43,104,28
"N00000341",295,45,41,66,20,33,77,13
"N00000342",295,38,47,62,12,55,76,5
"N00000343",269,41,26,56,23,44,69,10
"N00000344",344,177,38,35,8,37,34,15
"N00000345",335,163,34,52,13,36,27,10
"N00000346",479,127,51,86,23,50,115,27
"N00000347",227,92,22,21,9,20,38,25
"N00000348",366,133,33,38,6,35,95,26
"N00000349",295,58,33,57,13,44,72,18
"N00000350",437,121,34,82,23,66,96,15
"N00000351",326,102,34,61,20,39,60,10
"N00000352",363,118,40,49,13,37,98,8
"N00000353",341,115,46,44,16,36,71,13
"N00000354",321,83,32,50,13,41,87,15
"N00000355",352,95,40,58,19,42,84,14
"N00000356",294,116,33,46,8,35,37,19
"N00000357",867,288,114,128,26,91,141,79
"N00000358",284,116,49,36,13,28,28,14
"N00000359",696,253,77,77,29,54,115,91
"N00000360",332,101,41,52,14,39,70,15
"N00000361",331,140,41,30,11,30,61,18
"N00000362",302,83,37,42,16,46,60,18
"N00000363",366,133,45,42,21,49,62,14
"N00000364",365,132,40,45,21,36,71,20
"N00000365",183,70,26,19,11,22,24,11
"N00000366",389,110,24,56,23,53,83,40
"N00000367",269,109,28,28,7,36,38,23
"N00000368",430,149,41,73,18,55,81,13
"N00000369",316,87,37,51,15,47,62,17
"N00000370",377,112,39,71,12,41,86,16
"N00000371",331,95,41,46,18,36,84,11
"N00000372",272,47,41,53,8,35,75,13
"N00000373",357,60,28,65,19,47,122,16
"N00000374",278,49,32,34,8,29,111,15
"N00000375",266,70,22,35,14,21,93,11
"N00000376",220,62,32,34,13,23,45,11
"N00000377",222,51,27,28,10,26,65,15
"N00000378",222,86,28,43,5,25,24,11
"N00000379",349,64,41,64,13,50,102,15
"N00000380",417,135,41,63,21,56,83,18
"N00000381",690,222,77,98,38,102,125,28
"N00000382",421,139,38,61,21,55,95,12
"N00000383",337,94,43,60,20,45,59,16
"N00000384",364,93,38,64,24,45,76,24
"N00000385",325,96,38,45,14,41,81,10
"N00000386",238,86,40,45,7,24,25,11
"N00000387",186,81,16,25,5,19,37,3
"N00000388",1222,403,169,172,36,130,237,75
"N00000389",342,109,32,42,13,33,96,17
"N00000390",756,172,79,129,40,109,201,26
"N00000391",408,116,38,59,18,50,114,13
"N00000392",1106,247,125,172,67,164,265,66
"N00000393",360,92,36,59,25,51,81,16
"N00000394",333,73,27,45,17,34,127,10
"N00000395",430,148,35,51,15,43,123,15
"N00000396",301,82,25,44,16,33,86,15
