"Geography_Code","NM_1564_1_0","NM_1564_1_1","NM_1564_1_2","NM_1564_1_3","NM_1564_1_4","NM_1564_1_5","NM_1564_1_6","NM_1564_1_7"
"N00000397",418,78,52,74,11,42,140,21
"N00000398",362,97,42,75,25,29,83,11
"N00000399",257,84,21,44,19,35,44,10
"N00000400",206,102,17,28,7,16,28,8
"N00000401",237,86,26,33,15,24,42,11
"N00000402",226,91,22,29,8,16,35,25
"N00000403",395,102,37,68,15,45,92,36
"N00000404",228,124,22,27,6,20,22,7
"N00000405",190,92,18,33,3,20,12,12
"N00000406",293,80,50,46,13,39,56,9
"N00000407",839,268,87,142,37,112,160,33
"N00000408",350,101,43,58,11,49,70,18
"N00000409",325,119,24,55,18,34,68,7
"N00000410",312,96,24,55,23,28,69,17
"N00000411",270,77,33,43,14,35,56,12
"N00000412",344,103,27,61,23,40,73,17
"N00000413",340,95,31,69,16,40,78,11
"N00000414",299,96,49,50,6,28,66,4
"N00000415",347,89,58,51,11,41,83,14
"N00000416",323,117,29,49,9,47,66,6
"N00000417",383,70,58,90,12,52,91,10
"N00000418",641,177,68,101,25,83,158,29
"N00000419",286,71,24,42,12,42,87,8
"N00000420",298,99,30,49,12,40,58,10
"N00000421",390,94,60,66,17,57,85,11
"N00000422",330,148,41,36,20,37,29,19
"N00000423",342,95,36,55,22,38,85,11
"N00000424",415,112,47,61,14,49,111,21
"N00000425",284,84,33,44,11,31,70,11
"N00000426",251,92,27,29,10,21,61,11
"N00000427",268,94,37,40,11,26,53,7
"N00000428",313,111,36,58,9,32,59,8
"N00000429",355,85,38,53,25,37,105,12
"N00000430",376,120,38,60,16,53,84,5
"N00000431",276,87,28,47,11,41,52,10
"N00000432",223,94,26,29,9,27,32,6
"N00000433",232,113,29,24,0,16,27,23
"N00000434",334,138,45,50,14,41,35,11
"N00000435",322,131,44,44,8,26,57,12
"N00000436",392,96,36,64,22,54,98,22
"N00000437",485,97,46,83,24,78,144,13
"N00000438",396,109,38,64,20,35,115,15
"N00000439",337,94,38,48,17,38,94,8
"N00000440",316,115,41,61,16,31,40,12
"N00000441",255,86,23,34,13,25,58,16
"N00000442",328,94,31,44,10,51,81,17
"N00000443",371,60,27,58,16,46,141,23
"N00000444",461,159,49,58,11,44,104,36
"N00000445",312,40,24,36,5,33,159,15
"N00000446",274,47,26,52,8,25,98,18
"N00000447",265,69,21,41,8,29,82,15
"N00000448",216,99,17,30,3,21,30,16
"N00000449",338,103,36,60,18,42,71,8
"N00000450",370,92,46,45,19,38,110,20
"N00000451",364,86,35,55,21,41,114,12
"N00000452",338,106,41,45,9,35,89,13
"N00000453",269,126,24,47,6,26,32,8
"N00000454",391,89,42,73,24,51,94,18
"N00000455",204,63,26,30,10,17,41,17
"N00000456",241,29,23,39,14,29,94,13
"N00000457",264,54,35,51,15,44,54,11
"N00000458",288,52,41,60,8,34,86,7
"N00000459",559,140,59,109,22,66,132,31
"N00000460",285,90,29,33,17,37,51,28
"N00000461",320,88,43,51,14,37,65,22
"N00000462",181,65,24,22,7,22,33,8
"N00000463",625,202,90,82,25,65,122,39
"N00000464",317,84,42,46,13,48,75,9
"N00000465",231,76,31,34,9,27,35,19
"N00000466",309,69,23,51,17,39,92,18
"N00000467",243,103,31,33,7,21,39,9
"N00000468",243,60,23,35,7,38,65,15
"N00000469",321,95,54,63,11,32,58,8
"N00000470",225,65,28,43,4,29,44,12
"N00000471",242,81,36,29,6,19,36,35
"N00000472",194,79,19,20,4,29,24,19
"N00000473",181,74,18,23,6,20,25,15
"N00000474",227,55,14,29,3,20,83,23
"N00000475",187,84,21,27,3,12,25,15
"N00000476",210,79,33,31,11,23,24,9
"N00000477",579,98,47,97,20,68,226,23
"N00000478",248,125,21,24,5,15,40,18
"N00000479",246,48,18,35,4,28,97,16
"N00000480",282,91,19,42,16,21,73,20
"N00000481",410,138,38,54,17,43,102,18
"N00000482",191,99,21,28,7,17,11,8
"N00000483",254,84,26,35,17,28,52,12
"N00000484",268,105,38,35,24,25,31,10
"N00000485",200,74,16,35,10,25,27,13
"N00000486",269,45,40,56,17,49,53,9
"N00000487",232,75,28,26,12,31,47,13
"N00000488",313,68,42,66,24,39,62,12
"N00000489",216,63,27,42,9,21,46,8
"N00000490",384,71,54,63,21,65,100,10
"N00000491",374,84,50,63,10,53,100,14
"N00000492",340,85,35,40,16,48,103,13
"N00000493",278,62,27,38,8,28,104,11
"N00000494",676,125,45,108,30,86,247,35
"N00000495",286,76,29,43,16,38,68,16
"N00000496",603,86,63,113,19,75,215,32
"N00000497",644,152,65,94,24,81,185,43
"N00000498",292,82,22,30,11,33,102,12
"N00000499",245,102,30,36,9,30,30,8
"N00000500",429,246,48,47,8,36,28,16
"N00000501",249,116,30,34,6,32,19,12
"N00000502",143,66,32,24,3,9,5,4
"N00000503",272,123,50,52,8,23,14,2
"N00000504",174,99,19,28,7,9,5,7
"N00000505",175,85,26,21,7,23,8,5
"N00000506",234,84,33,39,12,23,32,11
"N00000507",198,117,24,24,7,14,7,5
"N00000508",260,103,35,47,6,34,24,11
"N00000509",262,119,42,43,4,25,18,11
"N00000510",201,91,28,40,3,13,16,10
"N00000511",457,162,28,63,19,32,110,43
"N00000512",377,99,25,60,12,49,113,19
"N00000513",259,68,28,43,13,30,61,16
"N00000514",297,68,29,50,12,33,76,29
"N00000515",279,63,36,42,10,44,70,14
"N00000516",192,49,13,34,12,25,53,6
"N00000517",355,109,30,50,8,37,104,17
"N00000518",252,74,32,28,10,27,72,9
"N00000519",228,64,23,34,11,23,59,14
"N00000520",499,221,35,62,15,47,100,19
"N00000521",341,113,36,59,15,40,60,18
"N00000522",351,126,37,48,19,40,67,14
"N00000523",316,78,37,55,13,42,77,14
"N00000524",369,76,44,56,24,45,109,15
"N00000525",354,145,34,38,18,39,71,9
"N00000526",228,79,35,24,8,11,39,32
"N00000527",279,87,40,49,10,23,45,25
"N00000528",218,75,42,29,13,16,25,18
"N00000529",214,99,29,18,13,13,23,19
"N00000530",247,108,23,30,7,19,33,27
"N00000531",269,109,34,23,8,10,35,50
"N00000532",181,70,23,19,5,21,21,22
"N00000533",206,139,18,12,5,6,14,12
"N00000534",375,99,30,56,11,52,119,8
"N00000535",424,126,48,61,24,54,94,17
"N00000536",314,102,26,44,15,45,70,12
"N00000537",328,102,31,54,22,34,68,17
"N00000538",316,88,25,49,19,46,85,4
"N00000539",302,102,29,38,13,33,81,6
"N00000540",267,113,32,30,17,27,41,7
"N00000541",323,74,39,60,19,52,70,9
"N00000542",227,85,12,30,7,25,60,8
"N00000543",297,74,41,49,25,39,54,15
"N00000544",231,89,35,25,8,29,30,15
"N00000545",233,91,29,28,10,28,35,12
"N00000546",232,117,28,38,7,19,18,5
"N00000547",252,106,25,35,9,36,35,6
"N00000548",235,84,33,28,12,31,33,14
"N00000549",176,89,19,18,8,10,19,13
"N00000550",330,89,35,52,12,46,79,17
"N00000551",181,59,44,21,3,12,20,22
"N00000552",188,72,14,31,12,20,32,7
"N00000553",255,85,39,29,10,23,32,37
"N00000554",173,59,31,18,4,26,18,17
"N00000555",187,78,30,18,8,12,24,17
"N00000556",228,82,41,34,10,20,26,15
"N00000557",415,129,30,75,27,49,91,14
"N00000558",371,123,35,47,26,38,84,18
"N00000559",279,92,21,42,18,40,62,4
"N00000560",339,105,35,66,21,38,62,12
"N00000561",373,107,47,45,27,41,95,11
"N00000562",292,92,36,43,10,40,59,12
"N00000563",706,262,90,96,26,70,119,43
"N00000564",264,103,25,29,10,19,49,29
"N00000565",194,85,10,29,6,16,35,13
"N00000566",271,86,25,42,6,27,69,16
"N00000567",405,119,45,61,24,43,106,7
"N00000568",274,72,41,35,26,58,32,10
"N00000569",308,140,36,36,7,34,47,8
"N00000570",265,50,22,43,10,35,98,7
"N00000571",262,60,21,54,10,33,83,1
"N00000572",463,70,44,87,22,58,170,12
"N00000573",294,47,15,43,8,31,143,7
"N00000574",329,46,31,46,10,40,145,11
"N00000575",369,118,29,48,17,46,96,15
"N00000576",268,61,37,54,13,38,55,10
"N00000577",343,107,41,53,16,32,81,13
"N00000578",530,94,70,81,33,70,162,20
"N00000579",329,74,29,49,12,54,103,8
"N00000580",372,135,40,44,12,59,71,11
"N00000581",395,68,38,67,27,67,113,15
"N00000582",331,88,39,57,25,41,69,12
"N00000583",255,68,30,28,14,34,70,11
"N00000584",387,116,37,52,19,45,105,13
"N00000585",376,116,46,71,17,44,72,10
"N00000586",354,108,34,47,11,44,90,20
"N00000587",367,75,41,60,26,56,88,21
"N00000588",298,53,36,55,17,43,85,9
"N00000589",460,117,35,78,24,64,125,17
"N00000590",338,100,42,53,12,38,85,8
"N00000591",365,116,26,48,26,46,94,9
"N00000592",368,100,44,55,16,51,91,11
"N00000593",425,92,32,64,29,44,153,11
"N00000594",294,88,27,45,15,31,78,10
"N00000595",408,114,33,68,19,43,122,9
"N00000596",265,84,31,28,19,26,63,14
"N00000597",193,101,22,19,11,17,10,13
"N00000598",247,84,31,36,8,25,36,27
"N00000599",191,100,20,25,4,15,20,7
"N00000600",298,142,30,30,17,23,52,4
"N00000601",240,93,22,23,10,42,41,9
"N00000602",201,94,10,26,7,18,32,14
"N00000603",341,130,32,53,15,28,69,14
"N00000604",265,73,41,42,19,27,51,12
"N00000605",380,108,54,53,17,54,74,20
"N00000606",247,43,43,45,10,42,54,10
"N00000607",239,90,32,45,11,29,25,7
"N00000608",305,96,28,51,20,42,62,6
"N00000609",307,93,26,57,23,32,65,11
"N00000610",316,70,38,46,18,44,86,14
"N00000611",261,91,21,39,9,33,62,6
"N00000612",453,207,74,68,18,34,43,9
"N00000613",186,76,28,33,8,18,14,9
"N00000614",191,102,20,28,6,16,12,7
"N00000615",121,61,15,19,8,11,4,3
"N00000616",243,113,36,38,9,24,12,11
"N00000617",248,119,40,38,8,13,22,8
"N00000618",477,173,69,74,19,37,47,58
"N00000619",308,73,29,38,15,41,100,12
"N00000620",311,70,38,77,14,36,67,9
"N00000621",321,87,37,44,14,31,65,43
"N00000622",327,98,33,51,9,38,75,23
"N00000623",278,97,24,48,14,28,58,9
"N00000624",389,124,33,62,14,62,83,11
"N00000625",210,79,17,27,8,24,49,6
"N00000626",398,121,30,50,30,42,107,18
"N00000627",355,108,32,52,14,55,84,10
"N00000628",337,122,21,52,14,57,66,5
