"Geography_Code","NM_1566_1_0","NM_1566_1_1","NM_1566_1_2","NM_1566_1_3"
"N00000001",26,7,0,19
"N00000002",17,9,1,7
"N00000003",13,1,0,12
"N00000004",51,15,6,30
"N00000005",20,7,3,10
"N00000006",13,7,4,2
"N00000007",13,4,3,6
"N00000008",14,3,2,9
"N00000009",36,14,4,18
"N00000010",17,7,0,10
"N00000011",14,5,1,8
"N00000012",9,4,5,0
"N00000013",11,1,0,10
"N00000014",20,14,2,4
"N00000015",10,5,0,5
"N00000016",7,2,1,4
"N00000017",13,5,1,7
"N00000018",16,5,0,11
"N00000019",9,3,0,6
"N00000020",1,0,0,1
"N00000021",8,4,1,3
"N00000022",16,1,6,9
"N00000023",5,3,0,2
"N00000024",45,20,1,24
"N00000025",27,15,0,12
"N00000026",44,16,5,23
"N00000027",33,9,1,23
"N00000028",26,9,6,11
"N00000029",32,9,4,19
"N00000030",24,10,1,13
"N00000031",51,24,3,24
"N00000032",25,8,1,16
"N00000033",30,7,1,22
"N00000034",24,13,3,8
"N00000035",13,1,0,12
"N00000036",26,8,1,17
"N00000037",14,6,0,8
"N00000038",34,15,3,16
"N00000039",100,38,14,48
"N00000040",16,3,1,12
"N00000041",36,14,0,22
"N00000042",39,10,7,22
"N00000043",92,32,10,50
"N00000044",25,6,4,15
"N00000045",26,5,5,16
"N00000046",23,4,0,19
"N00000047",18,9,3,6
"N00000048",17,7,2,8
"N00000049",8,4,0,4
"N00000050",13,4,0,9
"N00000051",13,2,2,9
"N00000052",18,5,2,11
"N00000053",18,5,6,7
"N00000054",9,4,2,3
"N00000055",16,3,4,9
"N00000056",8,4,0,4
"N00000057",15,3,3,9
"N00000058",12,3,0,9
"N00000059",9,2,2,5
"N00000060",13,3,0,10
"N00000061",16,6,0,10
"N00000062",25,10,4,11
"N00000063",27,11,1,15
"N00000064",12,4,0,8
"N00000065",23,12,3,8
"N00000066",10,9,0,1
"N00000067",19,3,5,11
"N00000068",28,11,5,12
"N00000069",19,5,3,11
"N00000070",14,2,0,12
"N00000071",8,5,0,3
"N00000072",87,24,13,50
"N00000073",9,4,1,4
"N00000074",43,14,7,22
"N00000075",21,9,0,12
"N00000076",27,13,2,12
"N00000077",18,13,1,4
"N00000078",26,16,2,8
"N00000079",50,20,1,29
"N00000080",26,5,3,18
"N00000081",23,9,0,14
"N00000082",15,1,0,14
"N00000083",57,15,2,40
"N00000084",31,8,1,22
"N00000085",18,3,0,15
"N00000086",27,13,1,13
"N00000087",57,18,6,33
"N00000088",7,0,0,7
"N00000089",32,6,6,20
"N00000090",24,7,1,16
"N00000091",18,9,0,9
"N00000092",23,8,0,15
"N00000093",30,11,2,17
"N00000094",29,14,2,13
"N00000095",37,16,1,20
"N00000096",30,12,4,14
"N00000097",49,19,7,23
"N00000098",56,26,8,22
"N00000099",10,4,0,6
"N00000100",14,4,2,8
"N00000101",17,4,3,10
"N00000102",27,9,3,15
"N00000103",27,14,1,12
"N00000104",12,4,1,7
"N00000105",16,4,0,12
"N00000106",8,4,0,4
"N00000107",14,7,0,7
"N00000108",11,5,1,5
"N00000109",15,7,0,8
"N00000110",21,9,0,12
"N00000111",18,4,0,14
"N00000112",33,10,3,20
"N00000113",10,5,0,5
"N00000114",14,3,3,8
