"Geography_Code","NM_1566_1_0","NM_1566_1_1","NM_1566_1_2","NM_1566_1_3"
"N00000115",24,7,3,14
"N00000116",11,3,0,8
"N00000117",6,2,0,4
"N00000118",18,8,0,10
"N00000119",19,5,0,14
"N00000120",24,10,2,12
"N00000121",16,5,0,11
"N00000122",24,9,0,15
"N00000123",22,10,0,12
"N00000124",12,6,0,6
"N00000125",35,9,3,23
"N00000126",46,13,0,33
"N00000127",19,7,1,11
"N00000128",78,19,4,55
"N00000129",18,3,2,13
"N00000130",40,18,0,22
"N00000131",25,9,1,15
"N00000132",21,6,2,13
"N00000133",14,7,0,7
"N00000134",22,7,2,13
"N00000135",18,4,1,13
"N00000136",29,12,0,17
"N00000137",20,5,1,14
"N00000138",38,9,3,26
"N00000139",15,7,0,8
"N00000140",17,8,3,6
"N00000141",21,4,6,11
"N00000142",11,2,0,9
"N00000143",6,0,0,6
"N00000144",13,6,3,4
"N00000145",6,1,1,4
"N00000146",21,7,1,13
"N00000147",15,6,0,9
"N00000148",22,3,2,17
"N00000149",15,2,3,10
"N00000150",13,4,2,7
"N00000151",10,0,1,9
"N00000152",14,7,0,7
"N00000153",9,2,1,6
"N00000154",14,3,0,11
"N00000155",17,4,0,13
"N00000156",12,4,0,8
"N00000157",20,6,2,12
"N00000158",32,7,3,22
"N00000159",9,2,0,7
"N00000160",16,3,3,10
"N00000161",33,8,1,24
"N00000162",11,5,0,6
"N00000163",17,4,4,9
"N00000164",10,4,1,5
"N00000165",17,3,0,14
"N00000166",11,3,0,8
"N00000167",26,10,2,14
"N00000168",10,2,2,6
"N00000169",36,13,2,21
"N00000170",12,4,1,7
"N00000171",25,11,1,13
"N00000172",34,10,0,24
"N00000173",13,3,0,10
"N00000174",22,5,3,14
"N00000175",14,8,0,6
"N00000176",27,6,6,15
"N00000177",17,3,1,13
"N00000178",41,17,6,18
"N00000179",27,7,2,18
"N00000180",11,1,0,10
"N00000181",10,5,2,3
"N00000182",6,1,3,2
"N00000183",12,3,0,9
"N00000184",14,5,1,8
"N00000185",9,4,1,4
"N00000186",16,4,3,9
"N00000187",9,5,0,4
"N00000188",19,8,2,9
"N00000189",25,6,1,18
"N00000190",11,3,0,8
"N00000191",21,10,1,10
"N00000192",20,6,4,10
"N00000193",21,10,1,10
"N00000194",5,1,0,4
"N00000195",3,0,0,3
"N00000196",12,5,1,6
"N00000197",15,3,1,11
"N00000198",16,7,0,9
"N00000199",17,7,0,10
"N00000200",12,0,1,11
"N00000201",10,8,0,2
"N00000202",13,4,0,9
"N00000203",16,2,1,13
"N00000204",17,8,1,8
"N00000205",16,8,0,8
"N00000206",9,3,0,6
"N00000207",16,7,2,7
"N00000208",30,10,2,18
"N00000209",36,16,1,19
"N00000210",11,2,1,8
"N00000211",16,5,0,11
"N00000212",9,5,0,4
"N00000213",12,1,1,10
"N00000214",11,5,0,6
"N00000215",29,8,2,19
"N00000216",19,3,0,16
"N00000217",30,10,0,20
"N00000218",17,7,0,10
"N00000219",7,1,1,5
"N00000220",16,2,3,11
"N00000221",8,2,0,6
"N00000222",9,4,2,3
"N00000223",27,11,1,15
"N00000224",17,4,2,11
"N00000225",5,2,0,3
"N00000226",17,6,2,9
"N00000227",6,2,0,4
"N00000228",13,8,0,5
"N00000229",27,7,1,19
"N00000230",14,3,3,8
"N00000231",21,6,0,15
"N00000232",23,6,5,12
"N00000233",9,1,0,8
"N00000234",4,1,1,2
"N00000235",20,9,1,10
"N00000236",17,6,0,11
"N00000237",27,6,1,20
"N00000238",16,5,0,11
"N00000239",12,3,3,6
"N00000240",32,10,4,18
"N00000241",44,19,5,20
"N00000242",33,10,1,22
"N00000243",15,6,0,9
"N00000244",10,2,1,7
"N00000245",10,5,0,5
"N00000246",16,2,3,11
"N00000247",18,7,1,10
"N00000248",17,5,2,10
"N00000249",22,7,3,12
"N00000250",22,6,5,11
"N00000251",31,8,5,18
"N00000252",28,4,1,23
"N00000253",32,12,0,20
"N00000254",21,8,1,12
"N00000255",17,6,0,11
"N00000256",45,14,4,27
"N00000257",26,7,2,17
"N00000258",26,4,0,22
"N00000259",29,14,2,13
"N00000260",22,2,4,16
"N00000261",32,8,2,22
"N00000262",18,5,3,10
"N00000263",13,2,1,10
"N00000264",44,14,5,25
"N00000265",28,6,6,16
"N00000266",27,10,2,15
"N00000267",40,11,0,29
"N00000268",27,9,1,17
"N00000269",25,10,2,13
"N00000270",16,7,0,9
"N00000271",24,6,1,17
"N00000272",6,0,0,6
"N00000273",32,9,1,22
"N00000274",20,4,1,15
"N00000275",16,4,1,11
"N00000276",15,5,1,9
"N00000277",19,6,1,12
"N00000278",14,4,2,8
"N00000279",2,1,1,0
"N00000280",19,4,2,13
"N00000281",18,5,0,13
"N00000282",20,8,2,10
"N00000283",12,4,0,8
"N00000284",25,8,1,16
"N00000285",15,4,1,10
"N00000286",8,0,1,7
"N00000287",8,1,1,6
"N00000288",16,5,2,9
"N00000289",24,8,1,15
"N00000290",10,5,0,5
"N00000291",22,9,0,13
"N00000292",30,13,2,15
"N00000293",27,9,1,17
"N00000294",21,5,0,16
"N00000295",19,2,2,15
"N00000296",19,3,3,13
"N00000297",15,10,0,5
"N00000298",20,7,3,10
"N00000299",13,2,3,8
"N00000300",11,3,0,8
"N00000301",19,9,2,8
"N00000302",32,10,5,17
"N00000303",20,8,1,11
"N00000304",14,5,1,8
"N00000305",32,11,2,19
"N00000306",19,6,0,13
"N00000307",28,8,4,16
"N00000308",20,12,0,8
"N00000309",34,15,4,15
"N00000310",20,2,0,18
"N00000311",15,4,0,11
"N00000312",32,14,1,17
"N00000313",36,11,1,24
"N00000314",27,3,1,23
"N00000315",26,7,1,18
"N00000316",23,6,1,16
"N00000317",26,5,3,18
"N00000318",22,10,1,11
"N00000319",40,10,3,27
"N00000320",12,7,0,5
"N00000321",25,8,1,16
"N00000322",13,3,0,10
"N00000323",24,10,2,12
"N00000324",26,9,0,17
"N00000325",30,10,3,17
"N00000326",44,8,5,31
"N00000327",15,4,3,8
"N00000328",10,2,1,7
"N00000329",21,1,6,14
"N00000330",24,6,1,17
"N00000331",28,8,3,17
"N00000332",6,2,0,4
"N00000333",17,4,1,12
"N00000334",19,9,0,10
"N00000335",11,4,3,4
"N00000336",16,5,0,11
"N00000337",17,5,3,9
"N00000338",21,7,0,14
"N00000339",16,9,0,7
"N00000340",26,7,1,18
"N00000341",23,5,0,18
"N00000342",35,12,5,18
"N00000343",20,10,0,10
"N00000344",24,7,3,14
"N00000345",23,10,1,12
"N00000346",54,14,4,36
"N00000347",9,3,2,4
"N00000348",37,8,1,28
"N00000349",27,6,3,18
"N00000350",36,12,1,23
"N00000351",35,9,6,20
"N00000352",46,14,4,28
"N00000353",32,12,3,17
"N00000354",35,6,1,28
"N00000355",28,9,0,19
"N00000356",37,10,1,26
"N00000357",73,21,4,48
"N00000358",31,5,2,24
"N00000359",31,4,1,26
"N00000360",47,22,0,25
"N00000361",18,1,1,16
"N00000362",34,9,1,24
"N00000363",33,9,1,23
"N00000364",39,9,2,28
"N00000365",15,2,1,12
"N00000366",29,1,4,24
"N00000367",15,7,0,8
"N00000368",36,10,0,26
"N00000369",32,7,8,17
"N00000370",40,9,5,26
"N00000371",37,7,6,24
"N00000372",16,6,2,8
"N00000373",33,5,6,22
"N00000374",22,1,1,20
"N00000375",15,5,2,8
"N00000376",10,1,1,8
"N00000377",9,3,0,6
"N00000378",24,7,4,13
"N00000379",28,8,2,18
"N00000380",36,8,1,27
"N00000381",70,21,2,47
"N00000382",38,2,3,33
"N00000383",37,8,4,25
"N00000384",45,8,3,34
"N00000385",31,5,1,25
"N00000386",25,1,2,22
"N00000387",15,4,1,10
"N00000388",109,20,9,80
"N00000389",26,6,2,18
"N00000390",72,18,3,51
"N00000391",27,7,0,20
"N00000392",84,19,5,60
"N00000393",13,6,0,7
"N00000394",28,9,1,18
"N00000395",35,8,0,27
"N00000396",24,10,1,13
"N00000397",30,10,2,18
"N00000398",31,10,1,20
"N00000399",21,5,2,14
"N00000400",12,4,1,7
"N00000401",16,2,2,12
"N00000402",14,2,1,11
"N00000403",30,4,0,26
"N00000404",9,2,0,7
"N00000405",17,2,2,13
"N00000406",28,10,1,17
"N00000407",84,27,5,52
"N00000408",50,13,4,33
"N00000409",16,3,0,13
"N00000410",28,6,1,21
"N00000411",28,8,2,18
"N00000412",32,13,2,17
"N00000413",29,10,1,18
"N00000414",33,7,0,26
"N00000415",30,6,2,22
"N00000416",25,12,0,13
"N00000417",26,7,3,16
"N00000418",39,13,1,25
"N00000419",14,4,3,7
"N00000420",17,3,1,13
"N00000421",31,13,1,17
"N00000422",24,6,2,16
"N00000423",28,5,1,22
"N00000424",31,7,2,22
"N00000425",29,8,2,19
"N00000426",16,2,0,14
"N00000427",28,2,5,21
"N00000428",26,9,1,16
"N00000429",39,11,1,27
"N00000430",36,12,1,23
"N00000431",35,12,1,22
"N00000432",14,6,0,8
"N00000433",10,3,0,7
"N00000434",24,6,1,17
"N00000435",17,6,1,10
"N00000436",41,18,1,22
"N00000437",52,11,4,37
"N00000438",43,11,5,27
"N00000439",32,6,3,23
"N00000440",32,12,4,16
"N00000441",18,2,0,16
"N00000442",25,10,0,15
"N00000443",33,7,0,26
"N00000444",29,5,1,23
"N00000445",37,7,2,28
"N00000446",20,5,0,15
"N00000447",15,3,2,10
"N00000448",12,3,1,8
"N00000449",29,14,1,14
"N00000450",15,0,0,15
"N00000451",29,12,0,17
"N00000452",37,6,2,29
"N00000453",22,8,1,13
"N00000454",32,7,1,24
"N00000455",8,3,0,5
"N00000456",20,5,1,14
"N00000457",22,4,0,18
"N00000458",26,7,2,17
"N00000459",48,10,2,36
"N00000460",14,3,0,11
"N00000461",18,6,1,11
"N00000462",8,0,0,8
"N00000463",26,6,2,18
"N00000464",23,10,0,13
"N00000465",16,4,0,12
"N00000466",28,9,0,19
"N00000467",17,8,0,9
"N00000468",21,8,2,11
"N00000469",14,8,0,6
"N00000470",19,6,0,13
"N00000471",18,7,0,11
"N00000472",8,3,2,3
"N00000473",10,3,3,4
"N00000474",19,3,1,15
"N00000475",15,3,1,11
"N00000476",9,2,0,7
"N00000477",40,10,1,29
"N00000478",13,4,0,9
"N00000479",17,4,0,13
"N00000480",12,6,0,6
"N00000481",21,7,0,14
"N00000482",5,1,0,4
"N00000483",13,1,1,11
"N00000484",16,7,1,8
"N00000485",14,5,0,9
"N00000486",38,13,1,24
"N00000487",8,6,2,0
"N00000488",31,10,2,19
"N00000489",15,4,2,9
"N00000490",23,4,3,16
"N00000491",22,4,1,17
"N00000492",19,6,3,10
"N00000493",14,1,0,13
"N00000494",46,13,9,24
"N00000495",7,2,0,5
"N00000496",49,19,8,22
"N00000497",38,12,0,26
"N00000498",18,3,2,13
"N00000499",6,2,0,4
"N00000500",25,9,1,15
"N00000501",17,2,7,8
"N00000502",7,0,6,1
"N00000503",29,8,3,18
"N00000504",17,6,4,7
"N00000505",8,2,1,5
"N00000506",14,6,0,8
"N00000507",19,7,1,11
"N00000508",21,9,3,9
"N00000509",25,5,0,20
"N00000510",12,3,2,7
"N00000511",31,8,1,22
"N00000512",30,9,4,17
"N00000513",15,6,0,9
"N00000514",12,4,1,7
"N00000515",21,7,0,14
"N00000516",17,7,0,10
"N00000517",20,5,1,14
"N00000518",14,4,1,9
"N00000519",13,1,0,12
"N00000520",18,5,0,13
"N00000521",21,6,2,13
"N00000522",24,10,3,11
"N00000523",25,6,1,18
"N00000524",25,6,2,17
"N00000525",20,8,2,10
"N00000526",10,2,0,8
"N00000527",23,8,3,12
"N00000528",13,4,2,7
"N00000529",15,4,3,8
"N00000530",9,2,1,6
"N00000531",10,0,2,8
"N00000532",10,4,0,6
"N00000533",1,0,1,0
"N00000534",35,9,3,23
"N00000535",37,8,3,26
"N00000536",15,5,1,9
"N00000537",20,7,0,13
"N00000538",23,4,1,18
"N00000539",20,5,2,13
"N00000540",16,9,0,7
"N00000541",15,7,2,6
"N00000542",13,4,2,7
"N00000543",24,9,2,13
"N00000544",12,3,1,8
"N00000545",13,4,2,7
"N00000546",13,1,0,12
"N00000547",16,5,0,11
"N00000548",18,8,1,9
"N00000549",10,1,0,9
"N00000550",21,10,0,11
"N00000551",11,0,0,11
"N00000552",15,6,3,6
"N00000553",28,8,0,20
"N00000554",9,3,1,5
"N00000555",9,0,0,9
"N00000556",21,5,0,16
"N00000557",41,7,6,28
"N00000558",24,8,1,15
"N00000559",21,11,1,9
"N00000560",34,11,4,19
"N00000561",23,6,2,15
"N00000562",26,5,1,20
"N00000563",49,14,4,31
"N00000564",9,1,0,8
"N00000565",2,1,0,1
"N00000566",13,0,1,12
"N00000567",30,12,2,16
"N00000568",12,4,0,8
"N00000569",17,4,4,9
"N00000570",23,4,2,17
"N00000571",25,8,5,12
"N00000572",43,12,1,30
"N00000573",19,4,0,15
"N00000574",28,9,2,17
"N00000575",22,6,0,16
"N00000576",23,5,2,16
"N00000577",27,7,0,20
"N00000578",44,16,2,26
"N00000579",30,6,1,23
"N00000580",16,4,1,11
"N00000581",36,8,3,25
"N00000582",26,10,2,14
"N00000583",16,5,1,10
"N00000584",26,7,3,16
"N00000585",30,9,2,19
"N00000586",16,8,0,8
"N00000587",33,11,3,19
"N00000588",18,6,0,12
"N00000589",41,17,1,23
"N00000590",32,8,0,24
"N00000591",30,9,1,20
"N00000592",25,4,8,13
"N00000593",48,11,1,36
"N00000594",31,13,3,15
"N00000595",33,6,3,24
"N00000596",19,7,2,10
"N00000597",12,5,1,6
"N00000598",6,3,0,3
"N00000599",8,6,0,2
"N00000600",13,3,0,10
"N00000601",3,0,0,3
"N00000602",3,2,0,1
"N00000603",15,5,0,10
"N00000604",24,10,3,11
"N00000605",28,8,3,17
"N00000606",20,4,3,13
"N00000607",20,7,1,12
"N00000608",24,6,0,18
"N00000609",24,12,0,12
"N00000610",17,2,0,15
"N00000611",14,4,1,9
"N00000612",26,7,4,15
"N00000613",8,2,1,5
"N00000614",6,2,1,3
"N00000615",3,1,0,2
"N00000616",11,2,0,9
"N00000617",13,5,3,5
"N00000618",26,10,1,15
"N00000619",20,8,3,9
"N00000620",26,9,0,17
"N00000621",15,4,3,8
"N00000622",26,9,4,13
"N00000623",20,2,2,16
"N00000624",43,14,0,29
"N00000625",14,7,0,7
"N00000626",36,10,0,26
"N00000627",25,8,2,15
"N00000628",28,5,0,23
"N00000629",17,0,2,15
"N00000630",17,4,0,13
"N00000631",21,5,1,15
"N00000632",29,9,0,20
"N00000633",21,9,0,12
"N00000634",41,13,0,28
"N00000635",19,7,0,12
"N00000636",21,12,0,9
"N00000637",45,16,1,28
"N00000638",31,11,5,15
"N00000639",32,8,5,19
"N00000640",21,5,5,11
"N00000641",22,4,3,15
"N00000642",19,9,2,8
"N00000643",30,3,2,25
"N00000644",28,3,0,25
"N00000645",39,5,6,28
"N00000646",40,2,5,33
"N00000647",35,9,3,23
"N00000648",25,5,1,19
"N00000649",26,10,4,12
"N00000650",23,10,2,11
"N00000651",12,1,1,10
"N00000652",30,1,1,28
"N00000653",23,5,2,16
"N00000654",16,4,1,11
"N00000655",15,6,2,7
"N00000656",14,7,1,6
"N00000657",59,13,5,41
"N00000658",23,5,0,18
"N00000659",30,6,1,23
"N00000660",21,4,2,15
"N00000661",26,2,1,23
"N00000662",21,6,0,15
"N00000663",23,6,2,15
"N00000664",21,1,3,17
"N00000665",35,7,1,27
"N00000666",38,6,3,29
"N00000667",62,8,5,49
"N00000668",23,2,1,20
"N00000669",41,5,3,33
"N00000670",11,0,0,11
"N00000671",11,5,0,6
"N00000672",13,0,1,12
"N00000673",56,10,2,44
"N00000674",13,5,1,7
"N00000675",33,4,3,26
"N00000676",32,5,2,25
"N00000677",11,0,0,11
"N00000678",45,15,0,30
"N00000679",52,9,0,43
"N00000680",27,4,1,22
"N00000681",19,1,0,18
"N00000682",33,9,0,24
"N00000683",17,5,0,12
"N00000684",33,6,3,24
"N00000685",17,4,1,12
"N00000686",41,10,0,31
"N00000687",24,1,1,22
"N00000688",18,6,1,11
"N00000689",30,8,0,22
"N00000690",18,0,2,16
"N00000691",20,5,1,14
"N00000692",6,2,2,2
"N00000693",12,6,2,4
"N00000694",72,16,9,47
"N00000695",30,8,2,20
"N00000696",4,0,0,4
"N00000697",23,3,3,17
"N00000698",26,6,1,19
"N00000699",7,2,0,5
"N00000700",17,3,1,13
"N00000701",13,4,1,8
"N00000702",33,0,3,30
"N00000703",22,5,2,15
"N00000704",47,7,3,37
"N00000705",43,15,1,27
"N00000706",23,1,2,20
"N00000707",25,6,0,19
"N00000708",28,2,0,26
"N00000709",31,9,0,22
"N00000710",24,4,1,19
"N00000711",24,6,0,18
"N00000712",22,2,1,19
"N00000713",26,7,2,17
"N00000714",33,9,0,24
"N00000715",41,16,2,23
"N00000716",68,25,2,41
"N00000717",28,6,3,19
"N00000718",109,34,5,70
"N00000719",15,5,2,8
"N00000720",34,12,0,22
"N00000721",29,3,0,26
"N00000722",22,10,1,11
"N00000723",32,12,1,19
"N00000724",31,14,1,16
"N00000725",34,15,3,16
"N00000726",23,8,0,15
"N00000727",6,2,0,4
"N00000728",17,4,2,11
"N00000729",36,17,3,16
"N00000730",24,10,2,12
"N00000731",8,1,2,5
"N00000732",23,4,2,17
"N00000733",25,9,1,15
"N00000734",30,15,2,13
"N00000735",31,9,2,20
"N00000736",28,4,0,24
"N00000737",26,10,2,14
"N00000738",24,7,0,17
"N00000739",27,7,4,16
"N00000740",39,8,2,29
"N00000741",8,4,0,4
"N00000742",10,4,1,5
"N00000743",15,4,1,10
"N00000744",11,2,0,9
"N00000745",29,6,1,22
"N00000746",23,1,2,20
"N00000747",19,1,1,17
"N00000748",22,6,2,14
"N00000749",11,3,1,7
"N00000750",12,3,2,7
"N00000751",12,1,0,11
"N00000752",17,4,2,11
"N00000753",27,4,0,23
"N00000754",23,10,3,10
"N00000755",32,14,1,17
"N00000756",15,3,0,12
"N00000757",25,3,2,20
"N00000758",21,4,1,16
"N00000759",29,8,4,17
"N00000760",9,3,1,5
"N00000761",27,2,4,21
"N00000762",4,0,1,3
"N00000763",19,3,2,14
"N00000764",10,5,1,4
"N00000765",22,5,0,17
"N00000766",36,10,2,24
"N00000767",32,9,3,20
"N00000768",17,7,0,10
"N00000769",38,13,1,24
"N00000770",31,10,1,20
"N00000771",3,3,0,0
"N00000772",25,7,0,18
"N00000773",29,9,2,18
"N00000774",58,18,0,40
"N00000775",12,3,4,5
"N00000776",15,2,0,13
"N00000777",46,18,4,24
"N00000778",29,5,2,22
"N00000779",24,4,2,18
"N00000780",33,5,3,25
"N00000781",28,8,0,20
"N00000782",35,8,3,24
"N00000783",34,11,3,20
"N00000784",18,3,0,15
"N00000785",23,7,0,16
"N00000786",21,5,0,16
"N00000787",23,8,3,12
"N00000788",25,4,3,18
"N00000789",64,23,6,35
"N00000790",29,9,2,18
"N00000791",23,6,4,13
"N00000792",30,10,1,19
"N00000793",31,15,0,16
"N00000794",26,8,1,17
"N00000795",29,11,2,16
"N00000796",23,6,1,16
"N00000797",10,5,0,5
"N00000798",37,11,1,25
"N00000799",31,11,4,16
"N00000800",21,7,1,13
"N00000801",36,13,7,16
"N00000802",15,6,0,9
"N00000803",18,5,0,13
"N00000804",18,5,1,12
"N00000805",14,4,0,10
"N00000806",21,7,2,12
"N00000807",42,11,2,29
"N00000808",8,3,0,5
"N00000809",20,1,1,18
"N00000810",22,2,4,16
"N00000811",20,5,0,15
"N00000812",11,2,2,7
"N00000813",24,7,1,16
"N00000814",13,6,0,7
"N00000815",42,11,4,27
"N00000816",22,6,2,14
"N00000817",16,6,0,10
"N00000818",13,3,1,9
"N00000819",15,3,0,12
"N00000820",15,4,1,10
"N00000821",13,7,1,5
"N00000822",4,0,0,4
"N00000823",18,5,0,13
"N00000824",10,3,0,7
"N00000825",26,8,2,16
"N00000826",20,8,2,10
"N00000827",18,5,3,10
"N00000828",16,6,3,7
"N00000829",23,7,3,13
"N00000830",15,6,1,8
"N00000831",30,9,1,20
"N00000832",21,8,3,10
"N00000833",13,0,0,13
"N00000834",19,8,2,9
"N00000835",25,8,3,14
"N00000836",37,8,2,27
"N00000837",28,7,4,17
"N00000838",19,5,5,9
"N00000839",25,8,1,16
"N00000840",22,6,1,15
"N00000841",16,3,0,13
"N00000842",67,14,12,41
"N00000843",16,5,1,10
"N00000844",6,4,0,2
"N00000845",11,1,1,9
"N00000846",15,5,1,9
"N00000847",84,22,8,54
"N00000848",7,0,0,7
"N00000849",14,6,1,7
"N00000850",17,4,3,10
"N00000851",13,5,3,5
"N00000852",81,17,8,56
"N00000853",29,8,3,18
"N00000854",70,13,10,47
"N00000855",5,2,0,3
"N00000856",6,1,0,5
"N00000857",23,6,0,17
"N00000858",5,1,0,4
"N00000859",5,0,0,5
"N00000860",23,6,2,15
"N00000861",17,1,1,15
"N00000862",63,22,7,34
"N00000863",14,7,1,6
"N00000864",34,10,3,21
"N00000865",25,6,3,16
"N00000866",14,8,0,6
"N00000867",9,3,1,5
"N00000868",15,9,0,6
"N00000869",17,6,1,10
"N00000870",24,9,0,15
"N00000871",17,7,0,10
"N00000872",8,3,0,5
"N00000873",33,11,2,20
"N00000874",23,6,2,15
"N00000875",19,6,1,12
"N00000876",6,3,0,3
"N00000877",34,8,6,20
"N00000878",11,3,1,7
"N00000879",82,18,9,55
"N00000880",22,2,2,18
"N00000881",16,4,0,12
"N00000882",10,2,1,7
"N00000883",10,2,0,8
"N00000884",4,1,1,2
"N00000885",29,10,4,15
"N00000886",10,7,0,3
"N00000887",14,7,1,6
"N00000888",9,4,2,3
"N00000889",20,8,0,12
"N00000890",14,5,1,8
"N00000891",17,12,0,5
"N00000892",29,11,5,13
"N00000893",25,13,0,12
"N00000894",14,3,1,10
"N00000895",16,4,2,10
"N00000896",11,5,0,6
"N00000897",31,12,5,14
"N00000898",29,22,2,5
"N00000899",21,9,4,8
"N00000900",18,6,2,10
"N00000901",39,15,3,21
"N00000902",30,20,1,9
"N00000903",14,1,2,11
"N00000904",32,7,4,21
"N00000905",14,4,1,9
"N00000906",11,7,0,4
"N00000907",18,7,0,11
"N00000908",17,6,1,10
"N00000909",12,4,0,8
"N00000910",16,5,2,9
"N00000911",14,3,0,11
"N00000912",21,8,2,11
"N00000913",25,4,4,17
"N00000914",32,10,6,16
"N00000915",12,5,0,7
"N00000916",4,3,0,1
"N00000917",9,4,0,5
"N00000918",17,4,0,13
"N00000919",15,7,1,7
"N00000920",1,1,0,0
"N00000921",69,21,6,42
"N00000922",17,5,0,12
"N00000923",12,5,0,7
"N00000924",21,7,2,12
"N00000925",26,9,0,17
"N00000926",24,7,4,13
"N00000927",17,6,2,9
"N00000928",28,13,1,14
"N00000929",35,10,7,18
"N00000930",21,5,3,13
"N00000931",57,11,12,34
"N00000932",15,5,2,8
"N00000933",14,6,1,7
"N00000934",20,6,2,12
"N00000935",18,8,1,9
"N00000936",38,16,4,18
"N00000937",40,7,6,27
"N00000938",49,16,5,28
"N00000939",16,9,0,7
"N00000940",16,5,2,9
"N00000941",23,6,0,17
"N00000942",13,8,1,4
"N00000943",14,3,0,11
"N00000944",28,7,1,20
"N00000945",15,4,1,10
"N00000946",11,0,0,11
"N00000947",15,2,2,11
"N00000948",13,2,1,10
"N00000949",13,5,1,7
"N00000950",17,3,0,14
"N00000951",15,1,1,13
"N00000952",25,7,5,13
"N00000953",9,4,0,5
"N00000954",26,11,1,14
"N00000955",29,8,5,16
"N00000956",24,8,4,12
"N00000957",30,7,0,23
"N00000958",16,7,1,8
"N00000959",31,13,0,18
"N00000960",39,8,1,30
"N00000961",20,7,1,12
"N00000962",25,8,3,14
"N00000963",17,6,1,10
"N00000964",18,6,2,10
"N00000965",21,9,2,10
"N00000966",16,3,0,13
"N00000967",31,13,4,14
"N00000968",10,3,0,7
"N00000969",9,1,0,8
"N00000970",10,4,0,6
"N00000971",11,5,1,5
"N00000972",11,5,0,6
"N00000973",15,5,0,10
"N00000974",12,6,1,5
"N00000975",13,3,0,10
"N00000976",2,1,0,1
"N00000977",22,10,0,12
"N00000978",16,10,0,6
"N00000979",21,12,0,9
"N00000980",28,17,0,11
"N00000981",17,9,0,8
"N00000982",18,9,1,8
"N00000983",22,11,2,9
"N00000984",66,27,2,37
"N00000985",16,4,0,12
"N00000986",15,9,0,6
"N00000987",52,14,5,33
"N00000988",17,6,1,10
"N00000989",14,3,1,10
"N00000990",27,11,7,9
"N00000991",5,1,0,4
"N00000992",14,6,3,5
