"Geography_Code","NM_1287_1_0","NM_1287_1_1","NM_1287_1_10","NM_1287_1_11","NM_1287_1_12","NM_1287_1_13","NM_1287_1_14","NM_1287_1_15","NM_1287_1_16","NM_1287_1_17","NM_1287_1_18","NM_1287_1_19","NM_1287_1_2","NM_1287_1_20","NM_1287_1_3","NM_1287_1_4","NM_1287_1_5","NM_1287_1_6","NM_1287_1_7","NM_1287_1_8","NM_1287_1_9"
"N00000062",351,328,0,22,1,38,9,9,0,0,0,0,23,2,0,22,1,40,342,319,23
"N00000063",431,384,0,43,3,38,26,25,1,0,1,0,47,7,0,44,3,45,405,359,46
"N00000064",279,247,0,24,4,11,10,6,4,0,3,1,32,0,0,27,5,11,269,241,28
"N00000065",389,380,0,7,2,23,13,13,0,0,0,0,9,1,0,7,2,24,376,367,9
"N00000066",264,243,0,15,0,15,9,3,6,0,3,3,21,1,0,18,3,16,255,240,15
"N00000067",316,288,0,23,5,37,4,4,0,0,0,0,28,1,0,23,5,38,312,284,28
"N00000068",371,355,0,12,4,26,14,14,0,0,0,0,16,0,0,12,4,26,357,341,16
"N00000069",334,310,2,22,0,34,1,1,0,0,0,0,24,0,2,22,0,34,333,309,24
"N00000070",243,237,0,5,1,21,1,1,0,0,0,0,6,1,0,5,1,22,242,236,6
"N00000071",283,242,3,38,0,27,5,5,0,0,0,0,41,2,3,38,0,29,278,237,41
"N00000072",1753,1624,12,94,13,97,40,30,10,0,7,3,129,6,12,101,16,103,1713,1594,119
"N00000073",521,432,2,78,3,49,13,7,6,0,5,1,89,2,2,83,4,51,508,425,83
"N00000074",1047,934,4,83,10,81,66,50,16,0,16,0,113,0,4,99,10,81,981,884,97
"N00000075",410,344,0,63,1,32,4,2,2,0,2,0,66,0,0,65,1,32,406,342,64
"N00000076",344,324,0,15,5,15,9,9,0,0,0,0,20,0,0,15,5,15,335,315,20
"N00000077",275,264,0,8,3,11,3,3,0,0,0,0,11,0,0,8,3,11,272,261,11
"N00000078",488,462,0,24,0,41,49,47,2,0,2,0,26,1,0,26,0,42,439,415,24
"N00000079",564,530,0,33,1,16,2,2,0,0,0,0,34,0,0,33,1,16,562,528,34
"N00000080",424,403,0,20,1,20,1,1,0,0,0,0,21,0,0,20,1,20,423,402,21
"N00000081",339,327,0,11,1,34,1,1,0,0,0,0,12,0,0,11,1,34,338,326,12
"N00000082",342,326,0,16,0,31,0,0,0,0,0,0,16,0,0,16,0,31,342,326,16
"N00000083",650,613,8,25,4,52,2,2,0,0,0,0,37,0,8,25,4,52,648,611,37
"N00000084",456,439,0,17,0,22,1,1,0,0,0,0,17,0,0,17,0,22,455,438,17
"N00000085",437,382,1,46,7,24,7,6,1,0,1,0,55,0,1,47,7,24,430,376,54
"N00000086",395,361,5,29,0,23,3,3,0,0,0,0,34,0,5,29,0,23,392,358,34
"N00000087",913,866,1,34,11,59,4,3,1,0,0,1,47,0,1,34,12,59,909,863,46
"N00000088",216,197,0,18,1,20,5,5,0,0,0,0,19,0,0,18,1,20,211,192,19
"N00000089",478,455,0,22,0,28,5,4,1,0,1,0,23,0,0,23,0,28,473,451,22
"N00000090",392,361,0,29,2,36,3,3,0,0,0,0,31,0,0,29,2,36,389,358,31
"N00000091",476,428,0,40,8,39,5,5,0,0,0,0,48,2,0,40,8,41,471,423,48
"N00000092",504,469,0,32,3,22,1,1,0,0,0,0,35,0,0,32,3,22,503,468,35
"N00000093",421,407,0,14,0,24,5,5,0,0,0,0,14,0,0,14,0,24,416,402,14
"N00000094",492,475,0,13,4,12,3,3,0,0,0,0,17,0,0,13,4,12,489,472,17
"N00000095",468,447,0,18,1,17,2,0,2,0,1,1,21,0,0,19,2,17,466,447,19
"N00000096",464,441,0,21,2,28,0,0,0,0,0,0,23,1,0,21,2,29,464,441,23
"N00000097",850,796,0,45,8,60,23,22,1,0,1,0,54,0,0,46,8,60,827,774,53
"N00000098",1192,1024,9,127,16,106,139,123,16,0,13,3,168,0,9,140,19,106,1053,901,152
"N00000099",258,219,0,34,1,14,6,2,4,0,4,0,39,0,0,38,1,14,252,217,35
"N00000100",341,305,1,30,1,25,15,11,4,0,4,0,36,2,1,34,1,27,326,294,32
"N00000101",282,207,2,68,2,34,18,15,3,0,3,0,75,11,2,71,2,45,264,192,72
"N00000102",318,294,0,19,4,23,17,16,1,0,0,1,24,3,0,19,5,26,301,278,23
"N00000103",623,533,1,83,3,64,20,17,3,0,3,0,90,1,1,86,3,65,603,516,87
"N00000104",322,280,1,37,0,52,27,23,4,1,2,1,42,4,2,39,1,56,295,257,38
"N00000105",327,307,0,15,4,16,10,9,1,0,1,0,20,8,0,16,4,24,317,298,19
"N00000106",198,176,0,20,0,15,12,10,2,0,1,1,22,6,0,21,1,21,186,166,20
"N00000107",269,238,0,29,2,42,1,1,0,0,0,0,31,1,0,29,2,43,268,237,31
"N00000108",243,218,4,19,2,17,3,3,0,0,0,0,25,0,4,19,2,17,240,215,25
"N00000109",512,450,4,52,2,74,10,6,4,0,1,3,62,2,4,53,5,76,502,444,58
"N00000110",258,227,1,26,1,31,6,3,3,0,2,1,31,0,1,28,2,31,252,224,28
"N00000111",356,341,0,13,2,15,12,12,0,0,0,0,15,0,0,13,2,15,344,329,15
"N00000112",402,371,2,27,2,47,9,9,0,0,0,0,31,0,2,27,2,47,393,362,31
"N00000113",309,281,0,22,0,34,10,4,6,0,6,0,28,0,0,28,0,34,299,277,22
"N00000114",318,309,0,9,0,20,8,8,0,0,0,0,9,1,0,9,0,21,310,301,9
"N00000115",302,280,0,18,4,12,12,12,0,0,0,0,22,3,0,18,4,15,290,268,22
"N00000116",287,268,0,15,4,30,5,5,0,0,0,0,19,0,0,15,4,30,282,263,19
"N00000117",168,153,0,15,0,17,0,0,0,0,0,0,15,1,0,15,0,18,168,153,15
"N00000118",333,290,0,29,7,31,19,12,7,0,3,4,43,0,0,32,11,31,314,278,36
"N00000119",289,268,0,17,2,42,4,2,2,0,2,0,21,0,0,19,2,42,285,266,19
"N00000120",323,314,0,9,0,15,0,0,0,0,0,0,9,0,0,9,0,15,323,314,9
"N00000121",293,268,0,24,1,16,3,3,0,0,0,0,25,3,0,24,1,19,290,265,25
"N00000122",481,454,2,16,6,33,12,9,3,0,0,3,27,2,2,16,9,35,469,445,24
"N00000123",351,334,0,14,2,23,7,6,1,0,0,1,17,0,0,14,3,23,344,328,16
"N00000124",369,336,0,32,1,26,4,4,0,0,0,0,33,0,0,32,1,26,365,332,33
"N00000125",464,438,0,26,0,30,1,1,0,0,0,0,26,0,0,26,0,30,463,437,26
"N00000126",481,468,2,11,0,18,0,0,0,0,0,0,13,1,2,11,0,19,481,468,13
"N00000127",405,386,1,17,1,35,5,5,0,0,0,0,19,1,1,17,1,36,400,381,19
"N00000128",991,915,13,50,6,40,9,2,7,0,6,1,76,8,13,56,7,48,982,913,69
"N00000129",346,327,1,15,0,25,9,6,3,0,1,2,19,4,1,16,2,29,337,321,16
"N00000130",498,458,0,39,1,18,9,9,0,0,0,0,40,0,0,39,1,18,489,449,40
"N00000131",388,384,0,4,0,21,6,6,0,0,0,0,4,0,0,4,0,21,382,378,4
"N00000132",366,353,0,12,1,8,2,2,0,0,0,0,13,0,0,12,1,8,364,351,13
"N00000133",322,305,0,16,0,14,2,1,1,0,1,0,17,0,0,17,0,14,320,304,16
"N00000134",437,422,0,14,1,24,1,1,0,0,0,0,15,1,0,14,1,25,436,421,15
"N00000135",312,301,0,11,0,16,2,2,0,0,0,0,11,0,0,11,0,16,310,299,11
"N00000136",507,485,0,21,1,23,9,9,0,0,0,0,22,0,0,21,1,23,498,476,22
"N00000137",315,301,0,14,0,23,1,1,0,0,0,0,14,0,0,14,0,23,314,300,14
"N00000138",464,460,0,3,1,23,1,1,0,0,0,0,4,0,0,3,1,23,463,459,4
"N00000139",301,282,0,18,1,13,5,5,0,0,0,0,19,0,0,18,1,13,296,277,19
"N00000140",333,304,0,27,2,27,0,0,0,0,0,0,29,1,0,27,2,28,333,304,29
"N00000141",443,395,0,41,0,30,7,0,7,0,7,0,48,1,0,48,0,31,436,395,41
"N00000142",205,192,3,10,0,24,0,0,0,0,0,0,13,0,3,10,0,24,205,192,13
"N00000143",215,193,0,22,0,24,2,2,0,0,0,0,22,0,0,22,0,24,213,191,22
"N00000144",228,196,0,32,0,17,1,1,0,0,0,0,32,0,0,32,0,17,227,195,32
"N00000145",124,119,0,5,0,5,0,0,0,0,0,0,5,0,0,5,0,5,124,119,5
"N00000146",271,246,3,18,4,14,0,0,0,0,0,0,25,1,3,18,4,15,271,246,25
"N00000147",227,197,0,27,3,6,4,4,0,0,0,0,30,0,0,27,3,6,223,193,30
"N00000148",676,599,11,65,0,61,3,2,1,0,1,0,77,0,11,66,0,61,673,597,76
"N00000149",432,397,0,34,1,30,2,2,0,0,0,0,35,0,0,34,1,30,430,395,35
"N00000150",365,353,0,11,1,20,5,5,0,0,0,0,12,0,0,11,1,20,360,348,12
"N00000151",283,253,0,30,0,17,1,1,0,0,0,0,30,0,0,30,0,17,282,252,30
"N00000152",270,259,0,9,2,12,1,1,0,0,0,0,11,0,0,9,2,12,269,258,11
"N00000153",250,233,4,8,5,15,1,1,0,0,0,0,17,0,4,8,5,15,249,232,17
"N00000154",259,246,0,11,0,16,2,0,2,0,2,0,13,0,0,13,0,16,257,246,11
"N00000155",337,314,0,23,0,9,3,3,0,0,0,0,23,1,0,23,0,10,334,311,23
"N00000156",301,294,0,6,1,5,1,1,0,0,0,0,7,0,0,6,1,5,300,293,7
"N00000157",368,346,0,22,0,16,3,3,0,0,0,0,22,0,0,22,0,16,365,343,22
"N00000158",678,611,3,62,2,52,5,5,0,0,0,0,67,0,3,62,2,52,673,606,67
"N00000159",221,200,0,18,2,19,3,2,1,0,1,0,21,0,0,19,2,19,218,198,20
"N00000160",322,277,1,42,2,31,2,2,0,0,0,0,45,1,1,42,2,32,320,275,45
"N00000161",342,326,0,15,0,26,7,6,1,0,0,1,16,0,0,15,1,26,335,320,15
"N00000162",242,235,0,7,0,24,6,6,0,0,0,0,7,1,0,7,0,25,236,229,7
"N00000163",311,250,2,59,0,40,0,0,0,0,0,0,61,1,2,59,0,41,311,250,61
"N00000164",288,280,0,8,0,11,0,0,0,0,0,0,8,0,0,8,0,11,288,280,8
"N00000165",325,308,2,15,0,16,1,1,0,0,0,0,17,0,2,15,0,16,324,307,17
"N00000166",273,252,0,16,5,25,5,5,0,0,0,0,21,0,0,16,5,25,268,247,21
"N00000167",379,347,0,32,0,16,2,2,0,0,0,0,32,0,0,32,0,16,377,345,32
"N00000168",345,330,0,15,0,18,0,0,0,0,0,0,15,0,0,15,0,18,345,330,15
"N00000169",704,685,0,18,1,29,12,12,0,0,0,0,19,0,0,18,1,29,692,673,19
"N00000170",370,359,0,7,4,14,3,3,0,0,0,0,11,1,0,7,4,15,367,356,11
"N00000171",416,385,0,29,1,17,8,7,1,0,1,0,31,0,0,30,1,17,408,378,30
"N00000172",772,701,3,63,4,46,16,15,1,0,1,0,71,1,3,64,4,47,756,686,70
"N00000173",373,343,0,28,2,18,0,0,0,0,0,0,30,0,0,28,2,18,373,343,30
"N00000174",393,362,2,29,0,16,5,5,0,0,0,0,31,0,2,29,0,16,388,357,31
"N00000175",373,349,0,21,2,14,4,3,1,0,1,0,24,0,0,22,2,14,369,346,23
"N00000176",474,419,0,49,1,46,18,13,5,0,1,4,55,0,0,50,5,46,456,406,50
"N00000177",323,279,4,34,1,55,13,8,5,0,4,1,44,2,4,38,2,57,310,271,39
"N00000178",667,582,5,77,3,52,8,8,0,0,0,0,85,1,5,77,3,53,659,574,85
"N00000179",852,720,5,119,7,82,15,14,1,0,0,1,132,1,5,119,8,83,837,706,131
"N00000180",280,263,3,14,0,11,0,0,0,0,0,0,17,0,3,14,0,11,280,263,17
"N00000181",274,229,0,39,0,49,16,10,6,0,3,3,45,0,0,42,3,49,258,219,39
"N00000182",228,206,2,20,0,22,1,1,0,0,0,0,22,0,2,20,0,22,227,205,22
"N00000183",293,251,2,38,2,43,20,20,0,0,0,0,42,0,2,38,2,43,273,231,42
"N00000184",372,290,1,79,1,62,4,3,1,0,1,0,82,0,1,80,1,62,368,287,81
"N00000185",211,196,1,13,1,26,0,0,0,0,0,0,15,1,1,13,1,27,211,196,15
"N00000186",299,273,0,25,0,31,5,4,1,0,1,0,26,0,0,26,0,31,294,269,25
"N00000187",255,224,0,31,0,12,0,0,0,0,0,0,31,0,0,31,0,12,255,224,31
"N00000188",347,315,0,32,0,34,4,4,0,0,0,0,32,0,0,32,0,34,343,311,32
"N00000189",341,306,0,34,1,12,0,0,0,0,0,0,35,1,0,34,1,13,341,306,35
"N00000190",304,295,0,9,0,19,2,2,0,0,0,0,9,0,0,9,0,19,302,293,9
"N00000191",303,286,0,17,0,15,3,3,0,0,0,0,17,0,0,17,0,15,300,283,17
"N00000192",302,261,3,35,3,25,2,2,0,0,0,0,41,0,3,35,3,25,300,259,41
"N00000193",291,263,0,28,0,19,3,3,0,0,0,0,28,0,0,28,0,19,288,260,28
"N00000194",255,240,0,15,0,20,0,0,0,0,0,0,15,0,0,15,0,20,255,240,15
"N00000195",246,233,0,13,0,15,0,0,0,0,0,0,13,0,0,13,0,15,246,233,13
"N00000196",237,217,0,18,0,2,6,4,2,0,2,0,20,0,0,20,0,2,231,213,18
"N00000197",326,293,0,21,12,15,7,7,0,0,0,0,33,0,0,21,12,15,319,286,33
"N00000198",287,268,0,17,0,14,7,5,2,0,2,0,19,4,0,19,0,18,280,263,17
"N00000199",350,340,0,9,1,10,1,1,0,0,0,0,10,0,0,9,1,10,349,339,10
"N00000200",331,310,0,21,0,17,11,11,0,0,0,0,21,0,0,21,0,17,320,299,21
"N00000201",294,274,0,19,1,21,0,0,0,0,0,0,20,0,0,19,1,21,294,274,20
"N00000202",304,286,0,18,0,23,0,0,0,0,0,0,18,0,0,18,0,23,304,286,18
"N00000203",334,314,0,18,2,14,6,6,0,0,0,0,20,0,0,18,2,14,328,308,20
"N00000204",393,350,1,36,0,37,10,4,6,0,6,0,43,0,1,42,0,37,383,346,37
"N00000205",303,298,0,4,1,12,0,0,0,0,0,0,5,1,0,4,1,13,303,298,5
"N00000206",390,338,0,49,1,22,3,1,2,0,2,0,52,0,0,51,1,22,387,337,50
"N00000207",253,227,2,21,2,19,1,0,1,0,0,1,26,0,2,21,3,19,252,227,25
"N00000208",316,297,3,14,0,24,4,2,2,0,2,0,19,1,3,16,0,25,312,295,17
"N00000209",356,344,0,12,0,17,1,1,0,0,0,0,12,0,0,12,0,17,355,343,12
"N00000210",383,322,4,51,6,29,15,15,0,0,0,0,61,2,4,51,6,31,368,307,61
"N00000211",528,485,5,32,2,27,32,28,4,0,4,0,43,1,5,36,2,28,496,457,39
"N00000212",175,146,1,23,4,29,2,1,1,0,1,0,29,5,1,24,4,34,173,145,28
"N00000213",281,257,1,22,1,16,8,8,0,0,0,0,24,2,1,22,1,18,273,249,24
"N00000214",323,286,0,35,1,22,16,15,1,0,1,0,37,4,0,36,1,26,307,271,36
"N00000215",400,384,0,16,0,13,1,1,0,0,0,0,16,5,0,16,0,18,399,383,16
"N00000216",397,355,3,39,0,45,1,1,0,0,0,0,42,0,3,39,0,45,396,354,42
"N00000217",479,455,0,19,5,19,0,0,0,0,0,0,24,0,0,19,5,19,479,455,24
"N00000218",361,338,0,22,0,47,6,5,1,0,1,0,23,0,0,23,0,47,355,333,22
"N00000219",245,215,0,29,0,21,13,12,1,0,0,1,30,2,0,29,1,23,232,203,29
"N00000220",284,243,10,30,0,32,2,1,1,0,1,0,41,0,10,31,0,32,282,242,40
"N00000221",262,244,0,18,0,26,0,0,0,0,0,0,18,0,0,18,0,26,262,244,18
"N00000222",298,279,0,17,2,10,2,2,0,0,0,0,19,0,0,17,2,10,296,277,19
"N00000223",319,313,0,6,0,11,0,0,0,0,0,0,6,1,0,6,0,12,319,313,6
