"Geography_Code","NM_1287_1_0","NM_1287_1_1","NM_1287_1_10","NM_1287_1_11","NM_1287_1_12","NM_1287_1_13","NM_1287_1_14","NM_1287_1_15","NM_1287_1_16","NM_1287_1_17","NM_1287_1_18","NM_1287_1_19","NM_1287_1_2","NM_1287_1_20","NM_1287_1_3","NM_1287_1_4","NM_1287_1_5","NM_1287_1_6","NM_1287_1_7","NM_1287_1_8","NM_1287_1_9"
"N00000870",394,347,0,46,1,22,12,12,0,0,0,0,47,0,0,46,1,22,382,335,47
"N00000871",340,312,0,21,5,19,12,10,2,0,2,0,28,1,0,23,5,20,328,302,26
"N00000872",256,220,1,34,1,18,10,10,0,0,0,0,36,0,1,34,1,18,246,210,36
"N00000873",322,298,0,23,1,24,3,3,0,0,0,0,24,0,0,23,1,24,319,295,24
"N00000874",533,435,1,64,10,59,52,29,23,1,5,17,98,15,2,69,27,74,481,406,75
"N00000875",284,266,1,16,0,22,4,3,1,0,1,0,18,1,1,17,0,23,280,263,17
"N00000876",212,197,0,15,0,16,1,1,0,0,0,0,15,0,0,15,0,16,211,196,15
"N00000877",357,333,1,21,0,18,7,5,2,0,1,1,24,0,1,22,1,18,350,328,22
"N00000878",234,216,0,18,0,9,1,1,0,0,0,0,18,2,0,18,0,11,233,215,18
"N00000879",1015,955,20,37,1,55,9,7,2,0,2,0,60,1,20,39,1,56,1006,948,58
"N00000880",315,295,0,19,0,20,2,1,1,0,1,0,20,0,0,20,0,20,313,294,19
"N00000881",296,264,0,30,2,11,5,5,0,0,0,0,32,0,0,30,2,11,291,259,32
"N00000882",253,218,0,31,1,25,10,7,3,0,3,0,35,2,0,34,1,27,243,211,32
"N00000883",264,245,0,15,0,17,6,2,4,0,4,0,19,0,0,19,0,17,258,243,15
"N00000884",205,187,0,14,0,12,11,7,4,0,4,0,18,0,0,18,0,12,194,180,14
"N00000885",618,514,6,80,10,85,28,20,8,0,7,1,104,6,6,87,11,91,590,494,96
"N00000886",253,183,0,49,10,35,21,10,11,0,11,0,70,5,0,60,10,40,232,173,59
"N00000887",308,266,0,32,6,27,9,5,4,0,3,1,42,1,0,35,7,28,299,261,38
"N00000888",308,241,0,51,3,37,34,21,13,0,13,0,67,1,0,64,3,38,274,220,54
"N00000889",259,230,0,24,3,42,20,18,2,0,2,0,29,11,0,26,3,53,239,212,27
"N00000890",339,288,0,46,3,29,13,11,2,0,2,0,51,2,0,48,3,31,326,277,49
"N00000891",346,275,0,61,7,55,20,17,3,1,2,0,71,0,1,63,7,55,326,258,68
"N00000892",318,270,0,40,4,43,10,6,4,0,4,0,48,0,0,44,4,43,308,264,44
"N00000893",284,214,3,53,5,42,21,12,9,0,9,0,70,6,3,62,5,48,263,202,61
"N00000894",263,227,0,27,7,42,10,8,2,0,2,0,36,9,0,29,7,51,253,219,34
"N00000895",272,237,1,26,2,40,28,22,6,0,6,0,35,1,1,32,2,41,244,215,29
"N00000896",265,215,0,40,2,41,24,16,8,0,8,0,50,3,0,48,2,44,241,199,42
"N00000897",300,220,2,59,13,71,20,14,6,0,3,3,80,8,2,62,16,79,280,206,74
"N00000898",307,242,0,59,2,33,11,7,4,0,4,0,65,0,0,63,2,33,296,235,61
"N00000899",306,238,0,53,4,37,26,15,11,0,10,1,68,1,0,63,5,38,280,223,57
"N00000900",216,188,0,20,0,19,31,23,8,0,8,0,28,10,0,28,0,29,185,165,20
"N00000901",313,208,2,79,18,80,14,8,6,0,5,1,105,10,2,84,19,90,299,200,99
"N00000902",294,193,0,84,6,28,31,20,11,0,9,2,101,1,0,93,8,29,263,173,90
"N00000903",206,159,0,11,4,3,88,56,32,0,26,6,47,19,0,37,10,22,118,103,15
"N00000904",446,320,2,101,11,53,30,18,12,0,10,2,126,2,2,111,13,55,416,302,114
"N00000905",325,277,2,39,4,35,16,13,3,0,2,1,48,0,2,41,5,35,309,264,45
"N00000906",263,240,0,20,0,29,7,4,3,0,3,0,23,0,0,23,0,29,256,236,20
"N00000907",332,319,0,13,0,13,10,10,0,0,0,0,13,0,0,13,0,13,322,309,13
"N00000908",329,295,2,32,0,21,4,4,0,0,0,0,34,0,2,32,0,21,325,291,34
"N00000909",246,240,2,4,0,8,2,2,0,0,0,0,6,0,2,4,0,8,244,238,6
"N00000910",273,251,0,19,3,26,5,5,0,0,0,0,22,0,0,19,3,26,268,246,22
"N00000911",239,220,0,19,0,21,0,0,0,0,0,0,19,0,0,19,0,21,239,220,19
"N00000912",243,227,0,15,1,7,12,12,0,0,0,0,16,0,0,15,1,7,231,215,16
"N00000913",321,305,6,10,0,20,5,5,0,0,0,0,16,0,6,10,0,20,316,300,16
"N00000914",294,279,0,14,1,17,6,6,0,0,0,0,15,0,0,14,1,17,288,273,15
"N00000915",214,198,0,15,1,19,1,1,0,0,0,0,16,0,0,15,1,19,213,197,16
"N00000916",234,210,3,18,0,14,8,5,3,0,0,3,24,1,3,18,3,15,226,205,21
"N00000917",226,215,0,11,0,3,0,0,0,0,0,0,11,0,0,11,0,3,226,215,11
"N00000918",261,243,1,15,2,16,1,1,0,0,0,0,18,0,1,15,2,16,260,242,18
"N00000919",229,212,0,17,0,11,13,13,0,0,0,0,17,0,0,17,0,11,216,199,17
"N00000920",148,141,0,4,3,3,10,10,0,0,0,0,7,0,0,4,3,3,138,131,7
"N00000921",713,683,0,27,0,42,15,12,3,0,3,0,30,1,0,30,0,43,698,671,27
"N00000922",292,277,0,9,2,7,8,4,4,0,4,0,15,1,0,13,2,8,284,273,11
"N00000923",257,229,1,22,4,26,8,7,1,0,1,0,28,0,1,23,4,26,249,222,27
"N00000924",224,215,0,9,0,17,4,4,0,0,0,0,9,1,0,9,0,18,220,211,9
"N00000925",288,280,0,7,1,16,5,5,0,0,0,0,8,0,0,7,1,16,283,275,8
"N00000926",284,251,4,28,1,17,7,7,0,0,0,0,33,8,4,28,1,25,277,244,33
"N00000927",421,385,1,24,4,30,148,141,7,0,4,3,36,24,1,28,7,54,273,244,29
"N00000928",356,324,1,26,1,58,10,6,4,0,4,0,32,1,1,30,1,59,346,318,28
"N00000929",437,381,0,46,2,20,19,11,8,0,8,0,56,0,0,54,2,20,418,370,48
"N00000930",364,337,2,23,2,58,6,6,0,0,0,0,27,0,2,23,2,58,358,331,27
"N00000931",682,633,4,42,0,54,17,14,3,0,3,0,49,1,4,45,0,55,665,619,46
"N00000932",419,361,1,56,0,25,39,38,1,0,0,1,58,2,1,56,1,27,380,323,57
"N00000933",288,258,0,29,1,45,19,19,0,0,0,0,30,2,0,29,1,47,269,239,30
"N00000934",282,265,0,16,1,15,13,13,0,0,0,0,17,1,0,16,1,16,269,252,17
"N00000935",251,212,0,35,0,10,12,8,4,0,1,3,39,0,0,36,3,10,239,204,35
"N00000936",473,454,2,15,2,14,3,3,0,0,0,0,19,0,2,15,2,14,470,451,19
"N00000937",433,397,0,35,0,19,4,3,1,0,1,0,36,9,0,36,0,28,429,394,35
"N00000938",345,326,0,11,6,18,2,0,2,0,0,2,19,0,0,11,8,18,343,326,17
"N00000939",198,183,0,14,1,17,3,3,0,0,0,0,15,6,0,14,1,23,195,180,15
"N00000940",252,237,0,12,0,44,13,10,3,0,3,0,15,0,0,15,0,44,239,227,12
"N00000941",343,321,0,20,0,19,3,1,2,0,1,1,22,0,0,21,1,19,340,320,20
"N00000942",280,272,0,6,2,12,1,1,0,0,0,0,8,0,0,6,2,12,279,271,8
"N00000943",272,265,0,7,0,13,7,7,0,0,0,0,7,2,0,7,0,15,265,258,7
"N00000944",245,232,0,9,2,12,10,8,2,0,2,0,13,0,0,11,2,12,235,224,11
"N00000945",254,245,0,9,0,11,0,0,0,0,0,0,9,0,0,9,0,11,254,245,9
"N00000946",386,331,1,51,0,44,13,10,3,0,3,0,55,5,1,54,0,49,373,321,52
"N00000947",248,237,0,8,3,9,0,0,0,0,0,0,11,0,0,8,3,9,248,237,11
"N00000948",225,193,0,31,1,21,0,0,0,0,0,0,32,1,0,31,1,22,225,193,32
"N00000949",314,278,1,34,0,25,9,8,1,0,0,1,36,0,1,34,1,25,305,270,35
"N00000950",317,274,0,37,2,56,9,5,4,0,3,1,43,3,0,40,3,59,308,269,39
"N00000951",240,219,1,20,0,30,2,2,0,0,0,0,21,0,1,20,0,30,238,217,21
"N00000952",391,344,0,41,0,14,19,13,6,0,2,4,47,0,0,43,4,14,372,331,41
"N00000953",238,215,2,20,1,24,0,0,0,0,0,0,23,0,2,20,1,24,238,215,23
"N00000954",275,256,1,15,1,11,7,5,2,0,0,2,19,0,1,15,3,11,268,251,17
"N00000955",394,370,0,19,3,30,4,2,2,0,2,0,24,0,0,21,3,30,390,368,22
"N00000956",488,416,5,59,3,57,7,2,5,0,4,1,72,5,5,63,4,62,481,414,67
"N00000957",555,514,7,32,1,28,1,0,1,0,0,1,41,0,7,32,2,28,554,514,40
"N00000958",294,268,0,25,0,12,7,6,1,0,1,0,26,0,0,26,0,12,287,262,25
"N00000959",476,451,0,25,0,48,12,12,0,0,0,0,25,0,0,25,0,48,464,439,25
"N00000960",515,465,0,46,1,54,14,11,3,0,2,1,50,0,0,48,2,54,501,454,47
"N00000961",311,293,0,13,3,11,2,0,2,0,1,1,18,0,0,14,4,11,309,293,16
"N00000962",338,316,0,19,1,22,9,7,2,2,0,0,22,0,2,19,1,22,329,309,20
"N00000963",252,237,0,14,0,6,7,6,1,0,1,0,15,0,0,15,0,6,245,231,14
"N00000964",297,277,0,15,3,12,2,0,2,0,2,0,20,0,0,17,3,12,295,277,18
"N00000965",300,267,0,32,1,30,0,0,0,0,0,0,33,0,0,32,1,30,300,267,33
"N00000966",331,305,0,22,2,14,3,1,2,0,2,0,26,3,0,24,2,17,328,304,24
"N00000967",378,347,0,27,0,24,30,26,4,0,4,0,31,1,0,31,0,25,348,321,27
"N00000968",255,237,0,11,0,35,8,1,7,0,6,1,18,0,0,17,1,35,247,236,11
"N00000969",193,186,0,7,0,6,10,10,0,0,0,0,7,3,0,7,0,9,183,176,7
"N00000970",486,420,3,55,5,46,9,6,3,0,3,0,66,1,3,58,5,47,477,414,63
"N00000971",261,234,2,25,0,25,2,2,0,0,0,0,27,0,2,25,0,25,259,232,27
"N00000972",317,297,0,20,0,10,5,5,0,0,0,0,20,3,0,20,0,13,312,292,20
"N00000973",331,275,0,52,1,51,6,3,3,0,3,0,56,2,0,55,1,53,325,272,53
"N00000974",275,232,0,42,1,31,3,3,0,0,0,0,43,0,0,42,1,31,272,229,43
"N00000975",262,225,0,31,2,39,12,8,4,0,2,2,37,2,0,33,4,41,250,217,33
"N00000976",141,132,0,7,1,68,9,8,1,0,0,1,9,0,0,7,2,68,132,124,8
"N00000977",285,252,0,27,3,13,9,6,3,0,3,0,33,2,0,30,3,15,276,246,30
"N00000978",239,202,2,30,5,69,2,2,0,0,0,0,37,0,2,30,5,69,237,200,37
"N00000979",217,168,0,39,8,26,3,1,2,0,2,0,49,1,0,41,8,27,214,167,47
"N00000980",223,166,1,41,5,53,16,6,10,0,5,5,57,9,1,46,10,62,207,160,47
"N00000981",207,167,0,32,7,38,9,8,1,0,0,1,40,0,0,32,8,38,198,159,39
"N00000982",252,201,0,33,17,28,6,5,1,0,1,0,51,4,0,34,17,32,246,196,50
"N00000983",336,308,3,20,3,22,3,1,2,0,2,0,28,1,3,22,3,23,333,307,26
"N00000984",329,215,0,102,6,66,18,12,6,0,4,2,114,2,0,106,8,68,311,203,108
"N00000985",244,210,0,33,1,19,1,1,0,0,0,0,34,0,0,33,1,19,243,209,34
"N00000986",214,166,1,43,3,55,6,5,1,0,1,0,48,2,1,44,3,57,208,161,47
"N00000987",367,276,2,76,7,21,10,4,6,0,5,1,91,5,2,81,8,26,357,272,85
"N00000988",146,116,0,27,3,35,3,3,0,0,0,0,30,0,0,27,3,35,143,113,30
"N00000989",262,229,0,29,0,39,8,4,4,0,4,0,33,2,0,33,0,41,254,225,29
"N00000990",274,193,2,70,3,35,16,10,6,0,6,0,81,7,2,76,3,42,258,183,75
"N00000991",269,207,0,58,3,29,3,2,1,0,1,0,62,3,0,59,3,32,266,205,61
"N00000992",462,388,0,62,3,70,16,7,9,0,3,6,74,2,0,65,9,72,446,381,65
"N00000993",236,204,0,23,7,27,11,9,2,0,2,0,32,3,0,25,7,30,225,195,30
"N00000994",928,789,3,113,17,114,32,26,6,0,6,0,139,7,3,119,17,121,896,763,133
"N00000995",195,182,0,10,3,18,1,1,0,0,0,0,13,0,0,10,3,18,194,181,13
"N00000996",383,349,0,31,1,24,5,3,2,0,2,0,34,0,0,33,1,24,378,346,32
"N00000997",271,248,0,20,2,32,3,2,1,0,1,0,23,2,0,21,2,34,268,246,22
"N00000998",304,274,0,27,2,13,10,9,1,0,0,1,30,0,0,27,3,13,294,265,29
"N00000999",227,182,0,33,6,15,10,4,6,0,0,6,45,4,0,33,12,19,217,178,39
"N00001000",307,275,0,30,1,24,1,0,1,0,1,0,32,0,0,31,1,24,306,275,31
"N00001001",296,249,0,35,7,62,22,17,5,0,5,0,47,1,0,40,7,63,274,232,42
"N00001002",796,686,2,90,14,102,10,6,4,0,4,0,110,10,2,94,14,112,786,680,106
"N00001003",218,187,0,31,0,17,8,8,0,0,0,0,31,1,0,31,0,18,210,179,31
"N00001004",303,259,0,39,2,40,20,17,3,0,3,0,44,4,0,42,2,44,283,242,41
"N00001005",258,200,0,54,1,39,9,6,3,0,3,0,58,0,0,57,1,39,249,194,55
"N00001006",527,202,3,269,20,284,55,22,33,0,20,13,325,72,3,289,33,356,472,180,292
"N00001007",595,271,0,264,19,123,75,34,41,0,34,7,324,20,0,298,26,143,520,237,283
"N00001008",245,108,1,122,7,113,19,12,7,0,7,0,137,9,1,129,7,122,226,96,130
"N00001009",188,95,0,65,9,71,34,15,19,0,14,5,93,22,0,79,14,93,154,80,74
"N00001010",334,101,1,198,21,113,21,8,13,0,10,3,233,4,1,208,24,117,313,93,220
"N00001011",374,123,0,231,1,70,26,7,19,0,18,1,251,1,0,249,2,71,348,116,232
"N00001012",353,173,1,159,5,51,24,9,15,1,9,5,180,6,2,168,10,57,329,164,165
"N00001013",242,136,2,96,4,89,11,7,4,0,4,0,106,5,2,100,4,94,231,129,102
"N00001014",239,80,0,135,11,107,18,5,13,0,6,7,159,12,0,141,18,119,221,75,146
"N00001015",416,141,2,237,12,126,35,11,24,0,23,1,275,27,2,260,13,153,381,130,251
"N00001016",262,111,0,134,10,93,20,13,7,0,6,1,151,13,0,140,11,106,242,98,144
"N00001017",323,129,0,174,12,72,20,12,8,0,6,2,194,7,0,180,14,79,303,117,186
"N00001018",288,195,0,76,8,57,30,21,9,0,8,1,93,2,0,84,9,59,258,174,84
"N00001019",205,87,0,106,2,51,20,10,10,0,4,6,118,4,0,110,8,55,185,77,108
"N00001020",171,110,2,49,6,58,19,15,4,0,2,2,61,44,2,51,8,102,152,95,57
"N00001021",239,96,0,130,4,129,20,11,9,0,6,3,143,8,0,136,7,137,219,85,134
"N00001022",604,286,2,225,27,201,98,34,64,0,34,30,318,40,2,259,57,241,506,252,254
"N00001023",220,89,2,116,6,103,15,8,7,0,6,1,131,9,2,122,7,112,205,81,124
"N00001024",346,112,3,200,14,137,27,10,17,0,16,1,234,4,3,216,15,141,319,102,217
"N00001025",297,83,0,181,14,81,30,11,19,0,5,14,214,11,0,186,28,92,267,72,195
"N00001026",236,110,0,102,10,56,30,16,14,0,10,4,126,8,0,112,14,64,206,94,112
"N00001027",395,282,8,87,7,87,24,13,11,0,10,1,113,5,8,97,8,92,371,269,102
"N00001028",261,243,0,16,0,18,5,3,2,0,2,0,18,0,0,18,0,18,256,240,16
"N00001029",699,607,0,56,9,59,50,23,27,0,19,8,92,18,0,75,17,77,649,584,65
"N00001030",514,335,1,145,15,98,44,26,18,0,13,5,179,10,1,158,20,108,470,309,161
"N00001031",372,285,0,68,11,28,22,14,8,0,4,4,87,1,0,72,15,29,350,271,79
"N00001032",185,174,1,9,1,5,1,1,0,0,0,0,11,0,1,9,1,5,184,173,11
"N00001033",129,116,0,12,1,9,2,2,0,0,0,0,13,0,0,12,1,9,127,114,13
"N00001034",344,327,0,13,1,23,9,6,3,0,1,2,17,1,0,14,3,24,335,321,14
"N00001035",284,240,5,31,8,13,1,1,0,0,0,0,44,0,5,31,8,13,283,239,44
"N00001036",391,354,0,30,0,22,37,30,7,0,6,1,37,16,0,36,1,38,354,324,30
"N00001037",368,340,0,21,2,22,12,7,5,0,4,1,28,0,0,25,3,22,356,333,23
"N00001038",726,690,0,32,3,38,5,4,1,0,0,1,36,1,0,32,4,39,721,686,35
"N00001039",387,347,0,36,4,30,3,3,0,0,0,0,40,0,0,36,4,30,384,344,40
"N00001040",271,239,0,30,2,17,0,0,0,0,0,0,32,0,0,30,2,17,271,239,32
"N00001041",190,181,0,9,0,7,0,0,0,0,0,0,9,0,0,9,0,7,190,181,9
"N00001042",664,620,0,41,3,54,5,5,0,0,0,0,44,0,0,41,3,54,659,615,44
"N00001043",206,187,0,19,0,16,0,0,0,0,0,0,19,2,0,19,0,18,206,187,19
"N00001044",303,281,0,20,2,26,5,5,0,0,0,0,22,0,0,20,2,26,298,276,22
"N00001045",274,266,0,5,0,13,5,2,3,0,3,0,8,0,0,8,0,13,269,264,5
"N00001046",307,286,0,19,1,27,8,7,1,0,1,0,21,1,0,20,1,28,299,279,20
"N00001047",314,302,0,12,0,19,3,3,0,0,0,0,12,0,0,12,0,19,311,299,12
"N00001048",331,325,0,6,0,24,1,1,0,0,0,0,6,1,0,6,0,25,330,324,6
"N00001049",330,312,0,16,1,13,2,1,1,0,0,1,18,0,0,16,2,13,328,311,17
"N00001050",335,329,0,2,3,11,5,4,1,0,1,0,6,0,0,3,3,11,330,325,5
"N00001051",371,363,0,8,0,13,7,7,0,0,0,0,8,0,0,8,0,13,364,356,8
"N00001052",180,154,1,23,1,23,5,4,1,0,1,0,26,1,1,24,1,24,175,150,25
"N00001053",355,336,0,19,0,25,3,3,0,0,0,0,19,0,0,19,0,25,352,333,19
"N00001054",341,314,0,26,1,15,0,0,0,0,0,0,27,0,0,26,1,15,341,314,27
"N00001055",350,338,0,11,1,15,2,2,0,0,0,0,12,0,0,11,1,15,348,336,12
"N00001056",355,345,0,9,0,21,4,3,1,0,1,0,10,0,0,10,0,21,351,342,9
"N00001057",326,305,0,21,0,23,0,0,0,0,0,0,21,0,0,21,0,23,326,305,21
"N00001058",349,340,0,5,3,14,3,2,1,0,0,1,9,5,0,5,4,19,346,338,8
"N00001059",320,306,0,13,0,27,7,6,1,0,1,0,14,0,0,14,0,27,313,300,13
"N00001060",256,244,0,12,0,20,1,1,0,0,0,0,12,0,0,12,0,20,255,243,12
"N00001061",341,292,3,46,0,33,0,0,0,0,0,0,49,1,3,46,0,34,341,292,49
"N00001062",354,322,0,30,2,10,1,1,0,0,0,0,32,0,0,30,2,10,353,321,32
"N00001063",306,297,0,9,0,9,3,3,0,0,0,0,9,0,0,9,0,9,303,294,9
"N00001064",632,580,0,45,6,50,2,1,1,0,1,0,52,0,0,46,6,50,630,579,51
"N00001065",326,306,0,19,1,19,0,0,0,0,0,0,20,0,0,19,1,19,326,306,20
"N00001066",275,262,0,12,0,26,7,6,1,0,1,0,13,0,0,13,0,26,268,256,12
"N00001067",278,263,0,15,0,11,8,8,0,0,0,0,15,0,0,15,0,11,270,255,15
"N00001068",336,273,0,61,0,34,15,13,2,0,2,0,63,0,0,63,0,34,321,260,61
"N00001069",327,304,0,16,1,24,20,14,6,0,6,0,23,1,0,22,1,25,307,290,17
"N00001070",518,482,2,32,2,29,11,11,0,0,0,0,36,0,2,32,2,29,507,471,36
"N00001071",318,271,4,40,2,34,4,3,1,0,0,1,47,2,4,40,3,36,314,268,46
"N00001072",320,308,0,11,1,10,0,0,0,0,0,0,12,3,0,11,1,13,320,308,12
"N00001073",283,266,0,16,0,15,14,13,1,0,1,0,17,0,0,17,0,15,269,253,16
"N00001074",240,229,0,8,1,14,6,4,2,0,2,0,11,1,0,10,1,15,234,225,9
"N00001075",308,258,2,46,0,28,4,2,2,0,2,0,50,0,2,48,0,28,304,256,48
"N00001076",272,246,0,23,1,16,8,6,2,0,1,1,26,12,0,24,2,28,264,240,24
"N00001077",229,208,0,16,0,19,14,9,5,0,5,0,21,0,0,21,0,19,215,199,16
"N00001078",257,234,0,20,2,17,4,3,1,0,0,1,23,3,0,20,3,20,253,231,22
"N00001079",829,699,8,112,1,123,16,7,9,0,8,1,130,3,8,120,2,126,813,692,121
"N00001080",324,300,0,23,1,33,10,10,0,0,0,0,24,2,0,23,1,35,314,290,24
"N00001081",412,389,0,14,0,31,16,7,9,0,9,0,23,9,0,23,0,40,396,382,14
"N00001082",431,390,0,38,1,50,14,12,2,0,2,0,41,10,0,40,1,60,417,378,39
"N00001083",436,406,2,27,0,32,12,11,1,0,1,0,30,3,2,28,0,35,424,395,29
"N00001084",447,386,1,55,0,29,6,1,5,0,5,0,61,0,1,60,0,29,441,385,56
"N00001085",1087,984,5,79,13,72,25,19,6,1,5,0,103,2,6,84,13,74,1062,965,97
"N00001086",336,319,0,10,2,10,14,9,5,0,5,0,17,0,0,15,2,10,322,310,12
"N00001087",307,265,0,37,2,19,9,6,3,0,3,0,42,0,0,40,2,19,298,259,39
"N00001088",305,288,0,11,1,28,10,5,5,0,5,0,17,0,0,16,1,28,295,283,12
"N00001089",316,294,2,16,0,19,15,11,4,0,3,1,22,0,2,19,1,19,301,283,18
"N00001090",222,213,1,6,0,6,7,5,2,1,0,1,9,0,2,6,1,6,215,208,7
"N00001091",384,369,0,12,3,25,7,7,0,0,0,0,15,1,0,12,3,26,377,362,15
"N00001092",398,361,0,36,0,22,1,0,1,0,1,0,37,0,0,37,0,22,397,361,36
"N00001093",642,465,12,158,1,32,11,5,6,0,6,0,177,0,12,164,1,32,631,460,171
"N00001094",239,199,0,32,2,7,6,0,6,0,6,0,40,0,0,38,2,7,233,199,34
"N00001095",368,312,0,53,3,49,10,10,0,0,0,0,56,0,0,53,3,49,358,302,56
"N00001096",397,381,1,11,3,27,4,3,1,0,0,1,16,1,1,11,4,28,393,378,15
"N00001097",316,302,0,12,2,18,1,1,0,0,0,0,14,1,0,12,2,19,315,301,14
"N00001098",308,295,1,10,2,19,1,1,0,0,0,0,13,0,1,10,2,19,307,294,13
"N00001099",282,251,1,28,2,26,4,4,0,0,0,0,31,5,1,28,2,31,278,247,31
"N00001100",292,284,0,7,1,8,2,2,0,0,0,0,8,2,0,7,1,10,290,282,8
"N00001101",304,284,0,20,0,15,0,0,0,0,0,0,20,0,0,20,0,15,304,284,20
"N00001102",569,555,2,12,0,17,4,4,0,0,0,0,14,0,2,12,0,17,565,551,14
"N00001103",219,212,0,6,1,17,2,2,0,0,0,0,7,0,0,6,1,17,217,210,7
"N00001104",303,290,0,13,0,29,2,2,0,0,0,0,13,0,0,13,0,29,301,288,13
"N00001105",309,288,0,21,0,17,9,9,0,0,0,0,21,0,0,21,0,17,300,279,21
"N00001106",283,246,0,37,0,27,1,1,0,0,0,0,37,10,0,37,0,37,282,245,37
"N00001107",309,295,0,11,0,27,5,2,3,0,1,2,14,0,0,12,2,27,304,293,11
"N00001108",217,192,1,20,0,22,7,3,4,0,1,3,25,3,1,21,3,25,210,189,21
"N00001109",393,366,4,23,0,29,4,4,0,0,0,0,27,0,4,23,0,29,389,362,27
"N00001110",345,315,2,25,0,22,5,2,3,0,0,3,30,1,2,25,3,23,340,313,27
"N00001111",687,639,2,32,2,36,20,8,12,0,9,3,48,3,2,41,5,39,667,631,36
"N00001112",319,286,0,29,0,14,9,5,4,0,4,0,33,0,0,33,0,14,310,281,29
"N00001113",1384,1203,15,143,11,102,37,25,12,0,9,3,181,4,15,152,14,106,1347,1178,169
"N00001114",319,284,0,24,2,35,25,16,9,0,7,2,35,3,0,31,4,38,294,268,26
"N00001115",222,192,0,27,2,31,3,2,1,0,1,0,30,5,0,28,2,36,219,190,29
"N00001116",497,431,0,56,2,47,25,17,8,0,6,2,66,8,0,62,4,55,472,414,58
"N00001117",728,690,2,34,2,47,1,1,0,0,0,0,38,0,2,34,2,47,727,689,38
"N00001118",305,258,0,46,0,19,8,7,1,0,1,0,47,0,0,47,0,19,297,251,46
"N00001119",176,166,0,10,0,6,1,1,0,0,0,0,10,0,0,10,0,6,175,165,10
"N00001120",213,197,2,14,0,16,0,0,0,0,0,0,16,0,2,14,0,16,213,197,16
"N00001121",235,221,0,14,0,30,1,1,0,0,0,0,14,0,0,14,0,30,234,220,14
"N00001122",176,152,0,24,0,21,0,0,0,0,0,0,24,0,0,24,0,21,176,152,24
"N00001123",186,174,2,9,1,5,0,0,0,0,0,0,12,0,2,9,1,5,186,174,12
"N00001124",568,519,0,48,0,29,7,6,1,0,0,1,49,3,0,48,1,32,561,513,48
"N00001125",413,363,1,48,1,30,1,1,0,0,0,0,50,0,1,48,1,30,412,362,50
"N00001126",242,224,1,12,0,17,7,2,5,0,5,0,18,0,1,17,0,17,235,222,13
"N00001127",639,574,1,58,0,49,10,4,6,0,6,0,65,0,1,64,0,49,629,570,59
"N00001128",251,215,0,35,0,22,1,0,1,0,1,0,36,0,0,36,0,22,250,215,35
"N00001129",450,410,2,31,1,16,7,1,6,0,6,0,40,0,2,37,1,16,443,409,34
"N00001130",179,150,0,14,14,41,2,1,1,0,1,0,29,20,0,15,14,61,177,149,28
"N00001131",1073,700,5,292,26,151,100,50,50,0,33,17,373,26,5,325,43,177,973,650,323
"N00001132",251,239,0,9,2,31,6,5,1,0,1,0,12,2,0,10,2,33,245,234,11
"N00001133",643,569,7,62,2,60,22,19,3,0,3,0,74,1,7,65,2,61,621,550,71
"N00001134",212,186,0,22,3,12,6,5,1,0,0,1,26,0,0,22,4,12,206,181,25
"N00001135",188,162,0,25,0,13,4,3,1,0,0,1,26,0,0,25,1,13,184,159,25
"N00001136",261,226,1,31,0,53,3,0,3,0,1,2,35,5,1,32,2,58,258,226,32
"N00001137",292,268,2,21,0,24,6,5,1,0,1,0,24,0,2,22,0,24,286,263,23
"N00001138",195,164,1,27,0,16,5,2,3,0,3,0,31,0,1,30,0,16,190,162,28
"N00001139",546,494,3,39,5,45,33,28,5,0,4,1,52,3,3,43,6,48,513,466,47
"N00001140",309,265,0,40,4,48,7,7,0,0,0,0,44,1,0,40,4,49,302,258,44
"N00001141",189,160,0,26,1,22,6,4,2,0,2,0,29,0,0,28,1,22,183,156,27
"N00001142",190,173,1,13,0,9,5,2,3,0,3,0,17,0,1,16,0,9,185,171,14
"N00001143",140,135,0,5,0,3,0,0,0,0,0,0,5,0,0,5,0,3,140,135,5
"N00001144",233,205,1,26,0,15,3,2,1,0,1,0,28,0,1,27,0,15,230,203,27
"N00001145",311,282,0,26,3,8,0,0,0,0,0,0,29,2,0,26,3,10,311,282,29
"N00001146",291,282,0,9,0,33,1,1,0,0,0,0,9,0,0,9,0,33,290,281,9
"N00001147",258,225,1,24,2,60,16,10,6,0,4,2,33,10,1,28,4,70,242,215,27
"N00001148",260,250,0,8,1,31,5,4,1,0,0,1,10,0,0,8,2,31,255,246,9
"N00001149",377,358,0,18,0,30,4,3,1,0,0,1,19,0,0,18,1,30,373,355,18
"N00001150",334,314,4,16,0,10,3,3,0,0,0,0,20,0,4,16,0,10,331,311,20
"N00001151",390,353,5,31,0,22,2,1,1,0,1,0,37,0,5,32,0,22,388,352,36
"N00001152",419,374,1,40,0,30,7,3,4,0,4,0,45,0,1,44,0,30,412,371,41
"N00001153",316,300,1,13,0,13,6,4,2,0,0,2,16,0,1,13,2,13,310,296,14
"N00001154",293,276,0,17,0,13,6,6,0,0,0,0,17,0,0,17,0,13,287,270,17
"N00001155",636,460,6,88,16,68,152,86,66,4,24,38,176,30,10,112,54,98,484,374,110
