"Geography_Code","NM_1543_1_0","NM_1543_1_1","NM_1543_1_2","NM_1543_1_3","NM_1543_1_4","NM_1543_1_5"
"N00000001",310,21,274,7,7,1
"N00000002",141,42,98,0,0,1
"N00000003",78,12,66,0,0,0
"N00000004",195,28,166,0,1,0
"N00000005",124,17,106,0,1,0
"N00000006",86,21,62,2,1,0
"N00000007",89,17,72,0,0,0
"N00000008",138,54,83,0,1,0
"N00000009",275,64,206,2,3,0
"N00000010",86,20,66,0,0,0
"N00000011",136,58,76,0,2,0
"N00000012",121,43,76,0,2,0
"N00000013",136,67,68,0,1,0
"N00000014",205,60,142,0,3,0
"N00000015",119,56,62,0,1,0
"N00000016",122,62,58,0,0,2
"N00000017",144,53,87,1,3,0
"N00000018",94,23,71,0,0,0
"N00000019",116,39,76,0,0,1
"N00000020",122,53,69,0,0,0
"N00000021",128,54,73,0,0,1
"N00000022",126,53,71,0,2,0
"N00000023",115,48,66,0,1,0
"N00000024",174,22,152,0,0,0
"N00000025",159,29,130,0,0,0
"N00000026",151,23,127,0,1,0
"N00000027",178,37,137,1,2,1
"N00000028",85,19,65,0,0,1
"N00000029",136,19,115,0,1,1
"N00000030",131,22,108,0,1,0
"N00000031",201,25,175,1,0,0
"N00000032",133,30,103,0,0,0
"N00000033",166,27,138,0,0,1
"N00000034",158,29,127,0,2,0
"N00000035",128,48,80,0,0,0
"N00000036",134,33,101,0,0,0
"N00000037",124,44,80,0,0,0
"N00000038",138,24,112,2,0,0
"N00000039",448,119,322,1,6,0
"N00000040",114,43,71,0,0,0
"N00000041",144,20,124,0,0,0
"N00000042",126,18,107,1,0,0
"N00000043",368,59,304,2,3,0
"N00000044",108,29,79,0,0,0
"N00000045",170,21,148,1,0,0
"N00000046",129,21,108,0,0,0
"N00000047",138,27,109,1,1,0
"N00000048",125,35,88,0,2,0
"N00000049",123,52,70,0,1,0
"N00000050",135,45,90,0,0,0
"N00000051",124,35,88,1,0,0
"N00000052",120,36,84,0,0,0
"N00000053",108,36,69,1,1,1
"N00000054",111,30,80,0,1,0
"N00000055",117,42,74,1,0,0
"N00000056",119,36,83,0,0,0
"N00000057",118,43,74,1,0,0
"N00000058",121,46,75,0,0,0
"N00000059",110,42,66,1,1,0
"N00000060",180,65,114,1,0,0
"N00000061",129,45,82,0,2,0
"N00000062",130,19,109,1,1,0
"N00000063",155,47,100,3,4,1
"N00000064",133,60,71,0,1,1
"N00000065",146,19,125,1,1,0
"N00000066",110,19,91,0,0,0
