"Geography_Code","NM_1575_1_0","NM_1575_1_1","NM_1575_1_10","NM_1575_1_11","NM_1575_1_2","NM_1575_1_3","NM_1575_1_4","NM_1575_1_5","NM_1575_1_6","NM_1575_1_7","NM_1575_1_8","NM_1575_1_9"
"N00000087",651,475,44,39,176,11,20,11,6,12,4,29
"N00000088",154,74,43,7,80,1,2,2,5,4,2,14
"N00000089",334,236,25,31,98,8,12,6,1,2,1,12
"N00000090",283,197,26,16,86,8,10,5,5,2,1,13
"N00000091",338,243,26,16,95,0,9,5,5,10,4,20
"N00000092",337,231,26,23,106,3,12,9,3,6,3,21
"N00000093",289,186,34,23,103,2,9,7,7,4,5,12
"N00000094",353,254,29,19,99,5,11,5,3,4,2,21
"N00000095",329,235,23,23,94,5,11,4,6,4,2,16
"N00000096",370,245,30,42,125,4,6,5,5,6,7,20
"N00000097",606,467,26,31,139,4,21,11,8,10,9,19
"N00000098",890,698,35,40,192,16,32,14,12,7,6,30
"N00000099",180,99,27,20,81,3,7,1,4,5,4,10
"N00000100",254,164,28,14,90,6,8,6,2,4,4,18
"N00000101",193,112,13,22,81,2,8,8,8,4,6,10
"N00000102",244,159,21,21,85,3,5,5,10,6,3,11
"N00000103",430,253,59,46,177,6,14,7,7,8,4,26
"N00000104",231,163,15,22,68,2,9,4,5,0,4,7
"N00000105",258,163,29,22,95,8,9,4,3,3,6,11
"N00000106",139,67,22,11,72,2,6,5,6,1,1,18
"N00000107",190,93,27,18,97,1,11,11,10,4,4,11
"N00000108",169,108,20,5,61,5,8,3,3,1,3,13
"N00000109",385,264,31,14,121,4,9,23,10,5,4,21
"N00000110",210,133,20,16,77,5,6,3,7,4,3,13
"N00000111",266,182,17,10,84,5,9,9,6,7,7,14
"N00000112",299,201,17,32,98,5,12,7,6,5,2,12
"N00000113",230,160,22,12,70,2,7,5,6,3,2,11
"N00000114",255,169,22,14,86,4,16,4,5,3,6,12
"N00000115",224,119,31,28,105,2,13,10,5,2,4,10
"N00000116",220,132,32,14,88,4,12,6,4,4,0,12
"N00000117",120,46,37,12,74,2,6,3,2,4,3,5
"N00000118",256,166,25,28,90,4,5,6,5,7,1,9
"N00000119",221,120,31,16,101,0,10,13,6,8,3,14
"N00000120",237,145,32,16,92,2,8,4,3,4,3,20
"N00000121",230,126,36,13,104,2,13,6,6,5,2,21
"N00000122",363,247,36,17,116,5,14,7,7,7,6,17
"N00000123",255,157,35,16,98,3,9,8,8,4,4,11
"N00000124",259,162,26,16,97,2,8,5,10,8,7,15
"N00000125",322,215,26,38,107,1,7,8,4,4,4,15
"N00000126",322,207,33,48,115,4,7,5,4,4,1,9
"N00000127",264,177,27,22,87,2,11,3,5,3,4,10
"N00000128",738,485,56,104,253,3,26,15,15,7,7,20
"N00000129",242,102,49,43,140,3,12,12,4,4,2,11
"N00000130",340,279,10,23,61,5,8,2,2,1,1,9
"N00000131",303,212,16,17,91,5,13,8,7,5,3,17
"N00000132",264,187,22,18,77,2,8,6,1,5,2,13
"N00000133",236,145,27,12,91,3,9,9,7,4,1,19
"N00000134",332,241,23,18,91,3,13,9,4,3,3,15
"N00000135",225,127,37,19,98,5,8,7,4,4,3,11
"N00000136",386,277,25,21,109,5,7,12,8,5,4,22
"N00000137",225,159,20,17,66,4,4,4,2,0,3,12
"N00000138",339,251,10,23,88,5,11,7,6,9,5,12
"N00000139",227,130,26,12,97,2,8,9,9,3,4,24
"N00000140",266,142,48,15,124,2,10,9,8,6,4,22
"N00000141",293,153,47,21,140,2,18,12,4,4,6,26
"N00000142",143,74,30,13,69,1,2,2,4,1,4,12
"N00000143",160,80,29,9,80,4,6,9,4,3,2,14
"N00000144",176,92,32,8,84,2,8,9,9,1,3,12
"N00000145",80,34,25,10,46,0,2,2,2,1,2,2
"N00000146",206,132,25,16,74,2,5,5,2,1,2,16
"N00000147",160,92,26,11,68,1,6,7,7,0,3,7
"N00000148",475,278,44,41,197,7,18,25,13,13,7,29
"N00000149",298,175,43,19,123,2,11,7,10,5,7,19
"N00000150",260,135,41,12,125,1,12,12,7,7,10,23
"N00000151",217,111,32,26,106,2,11,4,8,5,4,14
"N00000152",210,100,48,20,110,2,6,10,6,3,2,13
"N00000153",167,70,42,9,97,2,7,9,4,3,6,15
"N00000154",196,111,27,17,85,1,8,5,5,3,4,15
"N00000155",261,166,28,20,95,3,8,10,4,3,4,15
"N00000156",209,128,31,9,81,1,7,5,5,7,4,12
"N00000157",279,183,36,11,96,1,14,4,6,2,3,19
"N00000158",508,253,83,30,255,8,17,18,11,16,11,61
"N00000159",171,83,28,16,88,2,4,3,6,5,5,19
"N00000160",233,132,38,19,101,0,4,7,8,3,3,19
"N00000161",267,165,24,17,102,2,20,9,6,2,1,21
"N00000162",199,123,24,8,76,6,9,6,3,2,3,15
"N00000163",240,107,45,19,133,3,18,11,3,5,2,27
"N00000164",194,136,17,7,58,1,6,6,3,1,1,16
"N00000165",234,140,31,15,94,3,12,2,7,3,5,16
"N00000166",217,106,32,9,111,1,18,11,10,8,4,18
"N00000167",276,175,29,13,101,5,9,11,10,3,5,16
"N00000168",256,159,26,9,97,5,9,3,6,7,5,27
"N00000169",546,370,52,34,176,6,14,10,9,9,6,36
"N00000170",262,170,30,11,92,1,13,10,9,2,0,16
"N00000171",313,216,28,15,97,4,9,7,9,5,5,15
"N00000172",595,388,63,33,207,2,27,11,7,8,8,48
"N00000173",286,185,39,13,101,2,7,5,11,5,4,15
"N00000174",278,168,35,27,110,2,12,5,2,4,6,17
"N00000175",279,199,25,10,80,4,6,4,5,6,3,17
"N00000176",368,211,48,21,157,1,23,17,12,7,7,21
"N00000177",247,134,30,11,113,3,15,14,5,6,4,25
"N00000178",475,256,86,46,219,8,16,13,7,5,5,33
"N00000179",632,344,93,51,288,13,26,25,17,13,9,41
"N00000180",203,104,32,25,99,2,4,5,7,4,3,17
"N00000181",238,145,36,5,93,5,12,8,6,4,2,15
"N00000182",153,91,25,8,62,1,3,5,2,2,2,14
"N00000183",231,151,20,17,80,1,5,12,10,4,2,9
"N00000184",241,156,30,9,85,2,11,7,5,4,4,13
"N00000185",151,78,29,5,73,2,6,5,3,5,6,12
"N00000186",196,121,24,11,75,3,12,5,3,4,1,12
"N00000187",178,92,28,11,86,4,8,7,5,3,5,15
"N00000188",249,149,31,18,100,2,17,6,4,4,4,14
"N00000189",248,160,22,16,88,1,14,8,2,3,1,21
"N00000190",245,147,29,12,98,2,9,6,9,7,4,20
"N00000191",244,157,24,14,87,2,12,6,11,2,3,13
"N00000192",244,167,23,18,77,5,7,4,4,3,4,9
"N00000193",196,113,30,16,83,2,6,8,4,7,2,8
"N00000194",183,109,33,8,74,0,5,9,2,2,5,10
"N00000195",160,83,31,11,77,3,7,6,1,3,2,13
"N00000196",169,69,48,20,100,1,9,1,3,4,2,12
"N00000197",247,171,16,10,76,7,10,6,13,8,1,5
"N00000198",228,156,23,12,72,4,9,4,3,4,1,12
"N00000199",265,185,17,16,80,3,11,5,8,2,4,14
"N00000200",246,179,19,14,67,1,7,3,5,5,5,8
"N00000201",228,146,24,5,82,3,9,7,2,5,4,23
"N00000202",250,150,29,11,100,2,8,11,5,5,2,27
"N00000203",243,160,33,15,83,2,8,3,2,3,5,12
"N00000204",280,185,27,13,95,0,2,7,9,5,4,28
"N00000205",225,159,17,10,66,3,4,9,3,2,4,14
"N00000206",315,208,37,9,107,8,10,3,12,8,5,15
"N00000207",215,153,19,7,62,0,9,6,4,3,2,12
"N00000208",252,163,22,20,89,5,7,6,8,3,3,15
"N00000209",285,210,17,16,75,6,12,6,6,4,3,5
"N00000210",291,166,45,14,125,2,6,10,6,8,7,27
"N00000211",369,193,71,17,176,4,10,13,10,6,8,37
"N00000212",132,89,13,9,43,3,4,2,4,1,0,7
"N00000213",222,137,25,15,85,3,10,7,4,2,4,15
"N00000214",233,156,27,9,77,4,9,9,2,3,5,9
"N00000215",310,197,30,19,113,2,13,10,13,6,5,15
"N00000216",312,193,33,22,119,6,18,10,2,5,6,17
"N00000217",350,213,42,22,137,3,16,7,11,5,9,22
"N00000218",246,149,32,9,97,1,7,6,5,8,3,26
"N00000219",183,88,19,14,95,1,12,9,6,11,4,19
"N00000220",209,112,25,25,97,4,9,8,8,7,0,11
"N00000221",194,99,33,13,95,1,12,7,6,3,4,16
"N00000222",202,124,23,6,78,5,4,7,5,3,4,21
"N00000223",235,150,29,19,85,1,7,3,4,4,3,15
"N00000224",188,105,17,19,83,1,9,5,4,4,5,19
"N00000225",95,41,24,5,54,1,3,3,3,3,2,10
"N00000226",197,111,26,15,86,2,7,7,3,5,4,17
"N00000227",149,75,36,6,74,0,5,3,0,5,3,16
"N00000228",228,139,40,6,89,4,15,5,1,4,4,10
"N00000229",272,174,37,24,98,2,7,4,8,2,3,11
"N00000230",211,113,25,19,98,2,10,5,7,9,4,17
"N00000231",205,92,35,24,113,3,7,15,7,6,2,14
"N00000232",236,118,33,24,118,5,11,9,7,2,8,19
"N00000233",199,115,26,14,84,4,9,10,5,2,2,12
"N00000234",192,104,31,12,88,1,7,9,4,2,5,17
"N00000235",240,127,39,14,113,1,12,11,5,8,3,20
"N00000236",204,120,21,17,84,3,7,7,5,5,4,15
"N00000237",301,201,31,19,100,3,13,4,6,7,2,15
"N00000238",237,148,32,12,89,2,9,7,5,3,5,14
"N00000239",186,92,34,17,94,0,9,10,4,1,4,15
"N00000240",240,140,23,24,100,0,13,5,9,5,3,18
"N00000241",316,223,15,28,93,2,9,3,9,9,4,14
"N00000242",273,194,21,18,79,2,9,8,2,1,6,12
"N00000243",197,110,34,10,87,0,8,10,4,3,2,16
"N00000244",200,95,30,24,105,1,10,10,5,5,3,17
"N00000245",243,149,24,12,94,1,5,9,3,7,10,23
"N00000246",226,111,45,24,115,0,10,6,6,6,4,14
"N00000247",241,145,35,13,96,2,8,6,3,5,4,20
"N00000248",266,167,32,17,99,1,9,7,4,4,4,21
"N00000249",280,219,13,12,61,5,10,3,4,1,2,11
"N00000250",298,223,23,15,75,3,7,6,3,4,2,12
"N00000251",311,235,16,22,76,2,9,7,4,5,3,8
"N00000252",249,153,27,26,96,4,8,6,3,4,4,14
"N00000253",380,275,21,25,105,6,11,10,4,3,3,22
"N00000254",238,157,17,13,81,3,10,11,7,4,5,11
"N00000255",260,178,16,17,82,5,11,3,9,3,5,13
"N00000256",576,398,56,30,178,9,17,14,8,9,5,30
"N00000257",313,214,25,20,99,4,12,9,7,9,2,11
"N00000258",267,171,34,22,96,1,11,3,6,3,3,13
"N00000259",358,226,46,23,132,1,8,9,10,11,5,19
"N00000260",390,225,45,27,165,5,13,16,15,8,8,28
"N00000261",398,261,42,25,137,3,14,12,7,2,8,24
"N00000262",284,186,31,18,98,3,9,6,4,1,5,21
"N00000263",182,102,31,12,80,3,8,7,4,3,3,9
"N00000264",400,246,42,39,154,6,19,7,11,3,7,20
"N00000265",273,142,39,30,131,6,14,12,8,2,4,16
"N00000266",242,158,25,17,84,5,8,6,2,5,1,15
"N00000267",330,216,31,22,114,3,13,5,8,4,9,19
"N00000268",303,204,23,18,99,3,13,7,7,7,4,17
"N00000269",264,177,24,16,87,7,7,4,6,7,5,11
"N00000270",274,181,27,14,93,1,10,9,7,4,4,17
"N00000271",275,179,22,24,96,2,9,8,2,6,4,19
"N00000272",213,137,25,7,76,2,8,5,5,4,2,18
"N00000273",321,214,32,22,107,0,13,6,5,6,4,19
"N00000274",348,250,32,14,98,4,11,6,4,3,5,19
"N00000275",225,131,27,12,94,4,13,7,3,3,6,19
"N00000276",230,178,16,9,52,3,7,2,4,2,2,7
"N00000277",225,181,10,12,44,4,3,3,0,1,1,10
"N00000278",221,164,17,6,57,0,12,9,2,1,3,7
"N00000279",134,109,7,1,25,0,5,2,3,3,0,4
"N00000280",251,153,20,25,98,4,11,10,3,2,2,21
"N00000281",254,176,26,15,78,1,6,3,7,2,5,13
"N00000282",269,179,28,14,90,8,9,8,4,3,5,11
"N00000283",254,167,33,5,87,7,8,7,6,0,6,15
"N00000284",260,152,34,26,108,7,7,6,3,4,2,19
"N00000285",209,113,25,21,96,3,15,9,6,6,1,10
"N00000286",206,112,40,15,94,3,5,8,5,2,5,11
"N00000287",209,105,33,13,104,0,7,6,6,6,6,27
"N00000288",262,164,28,16,98,1,7,10,5,6,5,20
"N00000289",353,229,39,21,124,4,10,5,6,6,10,23
"N00000290",193,85,36,12,108,2,5,5,11,4,6,27
"N00000291",393,270,34,20,123,4,11,9,8,3,4,30
"N00000292",490,331,51,21,159,7,12,15,7,5,11,30
"N00000293",346,268,17,16,78,6,9,5,3,8,3,11
"N00000294",300,207,26,17,93,4,12,5,5,7,5,12
"N00000295",263,167,24,19,96,2,10,12,9,2,3,15
"N00000296",221,142,17,17,79,5,8,11,5,6,2,8
"N00000297",257,181,21,9,76,2,9,6,3,3,5,18
"N00000298",254,185,11,17,69,3,8,2,4,7,2,15
"N00000299",235,149,23,17,86,5,9,4,5,4,3,16
"N00000300",207,120,29,18,87,4,8,5,2,4,2,15
"N00000301",254,200,11,8,54,3,12,3,5,2,3,7
"N00000302",273,186,22,24,87,1,8,4,6,3,7,12
"N00000303",228,159,22,13,69,1,7,3,5,1,4,13
"N00000304",238,197,7,10,41,2,9,2,2,3,0,6
"N00000305",296,219,6,21,77,7,9,6,9,7,4,8
"N00000306",261,205,6,14,56,3,7,8,5,1,3,9
"N00000307",264,183,20,19,81,3,9,6,2,3,4,15
"N00000308",223,163,19,9,60,2,4,6,5,1,2,12
"N00000309",280,208,22,23,72,1,12,4,2,1,0,7
"N00000310",310,174,48,25,136,5,18,8,6,6,5,15
"N00000311",248,136,40,20,112,6,8,8,6,4,9,11
"N00000312",385,229,57,31,156,3,15,13,7,6,2,22
"N00000313",420,280,27,32,140,7,23,15,5,6,6,19
"N00000314",283,125,55,33,158,6,23,11,8,4,4,14
"N00000315",258,126,37,34,132,4,14,10,6,4,4,19
"N00000316",254,143,45,24,111,0,11,8,4,4,2,13
"N00000317",337,142,80,37,195,5,16,9,7,5,12,24
"N00000318",261,161,39,17,100,3,6,9,2,4,2,18
"N00000319",572,348,63,48,224,6,21,18,15,8,3,42
"N00000320",226,131,34,11,95,4,8,8,5,9,2,14
"N00000321",389,222,51,32,167,8,11,12,7,9,8,29
"N00000322",280,129,58,25,151,2,18,11,9,1,1,26
"N00000323",360,248,35,17,112,5,8,6,8,2,7,24
"N00000324",296,177,48,20,119,2,8,12,3,3,3,20
"N00000325",365,225,46,29,140,5,7,9,8,3,6,27
"N00000326",671,416,75,49,255,11,30,14,10,11,9,46
"N00000327",235,142,31,19,93,4,9,7,5,5,2,11
"N00000328",199,110,27,18,89,3,5,7,7,3,4,15
"N00000329",293,141,47,37,152,6,17,8,6,7,2,22
"N00000330",388,296,24,19,92,1,7,14,5,5,2,15
"N00000331",431,265,56,34,166,4,15,10,8,6,4,29
"N00000332",193,105,22,18,88,2,9,5,6,4,8,14
"N00000333",195,91,30,24,104,0,14,5,10,5,4,12
"N00000334",212,108,24,26,104,5,8,4,3,8,3,23
"N00000335",248,145,30,9,103,4,9,9,12,7,2,21
"N00000336",256,153,31,10,103,2,6,10,8,4,9,23
"N00000337",229,143,26,10,86,2,10,12,3,2,3,18
"N00000338",224,148,28,9,76,3,9,3,6,0,1,17
"N00000339",224,154,27,11,70,2,6,3,4,3,2,12
"N00000340",310,204,28,23,106,3,8,8,8,4,5,19
"N00000341",275,178,29,16,97,4,12,11,3,3,4,15
"N00000342",288,208,15,18,80,2,11,11,6,5,2,10
"N00000343",263,199,14,11,64,1,8,8,4,3,3,12
"N00000344",331,116,51,110,215,4,20,9,8,4,2,7
"N00000345",308,146,45,53,162,5,14,15,8,3,4,15
"N00000346",447,289,36,47,158,4,24,15,5,3,4,20
"N00000347",205,106,34,18,99,2,12,8,6,1,1,17
"N00000348",296,171,22,48,125,8,21,7,4,3,2,10
"N00000349",277,166,34,30,111,1,10,8,4,5,1,18
"N00000350",399,254,40,41,145,3,11,13,8,7,6,16
"N00000351",306,192,28,34,114,4,13,6,11,4,2,12
"N00000352",346,233,30,36,113,5,12,7,4,5,3,11
"N00000353",311,200,23,30,111,5,11,8,7,3,5,19
"N00000354",286,201,26,32,85,3,6,1,2,1,2,12
"N00000355",323,207,33,28,116,4,12,6,8,1,6,18
"N00000356",283,119,38,62,164,4,12,12,10,5,7,14
"N00000357",814,460,85,114,354,10,38,25,27,15,11,29
"N00000358",264,117,37,54,147,4,8,12,14,5,4,9
"N00000359",628,299,101,76,329,8,29,22,34,18,11,30
"N00000360",311,200,34,32,111,2,8,5,13,6,3,8
"N00000361",269,161,31,29,108,6,12,4,4,6,3,13
"N00000362",277,189,19,30,88,2,11,4,4,2,3,13
"N00000363",342,205,48,27,137,8,11,11,9,5,2,16
"N00000364",329,221,26,31,108,0,9,13,6,4,2,17
"N00000365",171,98,27,30,73,3,6,2,0,2,1,2
"N00000366",369,221,44,37,148,5,16,14,5,3,0,24
"N00000367",245,143,38,23,102,6,5,9,5,1,5,10
"N00000368",380,234,45,51,146,1,13,9,5,3,5,14
"N00000369",284,198,31,23,86,2,8,6,2,2,4,8
"N00000370",344,217,41,36,127,4,10,5,4,6,4,17
"N00000371",313,199,29,35,114,3,7,9,5,2,6,18
"N00000372",264,183,20,17,81,1,9,10,3,4,5,12
"N00000373",332,208,29,28,124,5,14,12,5,5,7,19
"N00000374",268,174,24,19,94,6,11,7,5,6,3,13
"N00000375",217,136,26,12,81,1,8,7,7,3,5,12
"N00000376",190,126,19,8,64,2,7,9,3,5,3,8
"N00000377",188,107,24,12,81,0,12,12,4,1,4,12
"N00000378",210,84,35,45,126,6,11,7,3,3,1,15
"N00000379",334,246,18,22,88,3,16,11,3,2,1,12
"N00000380",397,251,31,57,146,7,15,8,8,1,6,13
"N00000381",665,372,84,104,293,8,25,16,11,6,9,30
"N00000382",400,227,37,57,173,4,21,11,6,6,5,26
"N00000383",310,213,18,33,97,5,5,7,2,6,3,18
"N00000384",346,211,34,51,135,5,11,10,3,4,4,13
"N00000385",299,200,21,34,99,3,7,10,3,3,4,14
"N00000386",221,92,39,32,129,5,12,11,7,4,6,13
"N00000387",156,77,29,24,79,1,9,1,2,2,3,8
"N00000388",1105,593,139,167,512,16,39,40,27,11,18,55
"N00000389",301,182,36,20,119,3,21,17,1,1,1,19
"N00000390",711,476,55,59,235,9,30,12,13,14,11,32
"N00000391",380,259,33,28,121,7,8,7,9,7,8,14
"N00000392",1062,769,72,87,293,12,27,11,13,18,10,43
"N00000393",337,218,39,12,119,2,20,11,8,5,6,16
"N00000394",306,203,29,18,103,4,9,5,8,6,10,14
"N00000395",344,221,36,38,123,4,8,8,4,7,5,13
"N00000396",281,188,29,17,93,2,15,6,5,3,2,14
"N00000397",391,277,28,28,114,5,14,7,8,3,5,16
"N00000398",326,199,34,22,127,4,16,4,8,10,4,25
"N00000399",241,155,30,16,86,3,9,8,3,2,4,11
"N00000400",188,96,39,23,92,1,5,6,6,3,2,7
"N00000401",219,105,39,32,114,4,7,9,7,3,4,9
"N00000402",195,111,19,29,84,3,8,5,3,5,2,10
"N00000403",359,199,44,45,160,5,15,11,8,5,5,22
"N00000404",204,81,45,26,123,4,4,8,5,5,4,22
"N00000405",169,78,30,34,91,3,4,0,5,4,1,10
"N00000406",279,187,21,20,92,1,13,9,5,3,6,14
"N00000407",795,516,63,91,279,9,25,26,20,9,7,29
"N00000408",325,196,43,34,129,8,12,8,1,4,2,17
"N00000409",280,186,31,21,94,4,5,7,4,5,3,14
"N00000410",286,197,27,24,89,4,6,8,6,3,2,9
"N00000411",258,159,28,28,99,0,11,6,3,4,6,13
"N00000412",317,201,38,29,116,3,10,11,3,6,2,14
"N00000413",320,217,25,39,103,3,11,4,6,3,0,12
"N00000414",274,186,21,34,88,2,7,4,7,3,2,8
"N00000415",326,207,33,25,119,5,15,7,11,4,4,15
"N00000416",289,216,26,19,73,2,4,5,4,3,2,8
"N00000417",376,273,37,16,103,4,15,6,3,4,3,15
"N00000418",601,412,54,37,189,6,16,17,8,10,10,31
"N00000419",264,171,28,11,93,1,9,5,5,5,5,24
"N00000420",242,154,34,19,88,4,6,5,5,2,3,10
"N00000421",371,279,25,21,92,1,10,8,2,3,4,18
"N00000422",306,160,52,23,146,4,7,5,12,3,5,35
"N00000423",312,213,28,26,99,3,13,8,5,2,4,10
"N00000424",402,261,44,23,141,6,16,14,8,5,4,21
"N00000425",259,172,24,30,87,6,7,4,2,2,4,8
"N00000426",230,132,33,27,98,5,7,8,5,2,3,8
"N00000427",246,136,34,29,110,8,13,3,8,2,2,11
"N00000428",294,195,31,24,99,1,11,10,7,2,5,8
"N00000429",322,209,34,30,113,3,13,4,5,4,5,15
"N00000430",347,231,40,30,116,3,10,8,2,4,5,14
"N00000431",256,158,29,29,98,2,2,7,11,0,4,14
"N00000432",192,114,23,13,78,2,11,7,1,2,5,14
"N00000433",203,106,23,35,97,2,7,5,5,1,4,15
"N00000434",302,185,45,22,117,3,7,7,4,7,8,14
"N00000435",293,169,34,27,124,4,17,11,4,2,6,19
"N00000436",371,254,36,29,117,2,8,7,3,6,2,24
"N00000437",473,327,37,39,146,7,11,16,8,4,4,20
"N00000438",366,252,26,28,114,3,21,8,5,4,5,14
"N00000439",312,218,20,34,94,0,11,8,3,4,3,11
"N00000440",304,190,19,31,114,5,14,13,3,6,5,18
"N00000441",237,149,28,23,88,3,5,3,3,3,7,13
"N00000442",309,201,40,30,108,2,6,5,9,2,4,10
"N00000443",346,254,27,22,92,5,15,8,3,2,3,7
"N00000444",422,232,61,44,190,5,15,9,5,10,9,32
"N00000445",287,177,33,24,110,4,11,6,5,3,7,17
"N00000446",257,175,21,19,82,1,5,8,4,4,1,19
"N00000447",203,127,27,14,76,4,8,4,2,3,4,10
"N00000448",197,84,41,25,113,1,12,8,4,8,3,11
"N00000449",306,226,24,17,80,2,9,4,5,4,1,14
"N00000450",333,238,32,19,95,4,10,8,4,7,5,6
"N00000451",344,226,28,28,118,6,11,7,8,7,5,18
"N00000452",308,201,29,38,107,2,13,1,6,3,4,11
"N00000453",248,125,56,31,123,1,5,8,4,3,3,12
"N00000454",371,267,32,30,104,5,10,4,3,5,2,13
"N00000455",187,121,16,8,66,2,4,9,6,4,3,14
"N00000456",226,153,19,16,73,1,7,4,6,6,2,12
"N00000457",254,183,16,17,71,1,8,8,4,2,2,13
