"Geography_Code","NM_1575_1_0","NM_1575_1_1","NM_1575_1_10","NM_1575_1_11","NM_1575_1_2","NM_1575_1_3","NM_1575_1_4","NM_1575_1_5","NM_1575_1_6","NM_1575_1_7","NM_1575_1_8","NM_1575_1_9"
"N00000001",754,591,8,25,163,16,46,9,17,11,9,22
"N00000002",249,170,23,16,79,2,6,6,1,3,8,14
"N00000003",166,115,14,16,51,4,4,1,2,3,0,7
"N00000004",449,310,35,35,139,2,12,12,8,4,9,22
"N00000005",275,210,23,12,65,4,5,4,2,1,3,11
"N00000006",174,134,6,12,40,2,3,2,5,0,1,9
"N00000007",176,130,14,8,46,0,8,5,3,0,2,6
"N00000008",229,162,21,10,67,7,10,3,6,4,0,6
"N00000009",533,408,32,29,125,5,12,10,6,8,2,21
"N00000010",172,113,17,15,59,2,2,3,3,3,4,10
"N00000011",214,130,31,13,84,1,6,8,3,4,6,12
"N00000012",207,132,25,10,75,1,2,10,5,5,3,14
"N00000013",197,116,27,14,81,0,12,9,2,6,2,9
"N00000014",359,265,29,16,94,3,9,8,8,6,7,8
"N00000015",170,85,40,13,85,4,3,4,5,2,4,10
"N00000016",172,98,26,5,74,2,6,7,5,3,6,14
"N00000017",244,150,27,17,94,2,9,9,9,3,2,16
"N00000018",165,109,11,7,56,6,5,3,7,2,4,11
"N00000019",201,116,26,14,85,4,12,4,3,5,5,12
"N00000020",158,88,16,7,70,2,7,6,10,1,3,18
"N00000021",198,114,30,6,84,2,4,4,3,7,2,26
"N00000022",191,110,22,22,81,1,6,7,0,2,5,16
"N00000023",160,88,35,8,72,1,4,3,1,0,4,16
"N00000024",379,281,29,23,98,3,13,4,3,6,2,15
"N00000025",347,241,34,18,106,4,12,12,3,8,1,14
"N00000026",356,260,17,28,96,6,11,8,5,3,8,10
"N00000027",380,257,30,37,123,4,18,8,5,7,2,12
"N00000028",184,123,15,13,61,5,5,7,4,3,3,6
"N00000029",304,218,20,18,86,3,17,9,4,1,3,11
"N00000030",277,190,23,16,87,3,9,7,9,3,4,13
"N00000031",489,338,46,33,151,6,13,18,4,8,7,16
"N00000032",270,174,28,19,96,0,11,9,4,3,5,17
"N00000033",361,246,27,26,115,2,16,8,5,7,5,19
"N00000034",322,224,25,17,98,4,15,7,5,5,7,13
"N00000035",222,120,33,21,102,3,8,8,8,5,3,13
"N00000036",260,174,19,22,86,6,10,7,8,5,1,8
"N00000037",212,120,34,18,92,4,4,7,3,5,3,14
"N00000038",284,182,32,23,102,6,10,11,4,1,5,10
"N00000039",826,590,57,64,236,4,28,20,12,7,9,35
"N00000040",201,118,30,19,83,3,4,9,5,5,2,6
"N00000041",314,225,24,25,89,3,14,6,2,1,5,9
"N00000042",307,198,21,32,109,4,12,7,6,7,3,17
"N00000043",787,547,47,83,240,11,26,14,11,15,7,26
"N00000044",202,113,22,29,89,2,6,4,6,3,3,14
"N00000045",367,269,31,16,98,4,11,9,5,4,1,17
"N00000046",282,191,29,29,91,5,9,4,4,5,0,6
"N00000047",285,184,21,28,101,3,13,5,8,3,1,19
"N00000048",224,135,28,17,89,2,8,6,6,4,3,15
"N00000049",202,120,19,12,82,4,16,5,2,4,1,19
"N00000050",232,147,29,10,85,3,12,9,3,5,2,12
"N00000051",219,110,35,25,109,5,8,5,9,3,3,16
"N00000052",231,124,41,22,107,5,9,9,4,4,3,10
"N00000053",196,112,19,21,84,5,7,5,8,3,2,14
"N00000054",193,116,18,14,77,5,9,1,6,4,8,12
"N00000055",204,113,28,15,91,5,10,8,5,3,4,13
"N00000056",219,125,40,14,94,3,3,5,3,4,4,18
"N00000057",192,106,24,22,86,4,4,4,7,3,1,17
"N00000058",191,120,16,20,71,3,9,7,2,5,1,8
"N00000059",170,99,18,14,71,4,8,6,2,2,3,14
"N00000060",284,161,45,21,123,4,19,3,7,3,6,15
"N00000061",210,124,27,13,86,0,2,4,8,4,5,23
"N00000062",272,159,27,19,113,3,12,10,5,10,3,24
"N00000063",276,146,38,26,130,3,21,8,11,5,3,15
"N00000064",206,88,36,30,118,4,6,5,14,6,4,13
"N00000065",310,192,41,16,118,5,17,2,8,3,3,23
"N00000066",211,146,21,3,65,0,2,10,8,1,5,15
"N00000067",234,111,33,30,123,1,13,7,7,6,4,22
"N00000068",272,183,17,17,89,7,12,8,6,4,7,11
"N00000069",228,87,27,43,141,2,18,14,9,2,6,20
"N00000070",184,102,25,12,82,1,6,6,5,3,4,20
"N00000071",206,123,27,9,83,0,11,5,7,6,6,12
"N00000072",1244,943,71,68,301,17,48,31,14,10,8,34
"N00000073",361,237,45,20,124,1,5,10,7,7,6,23
"N00000074",756,593,42,29,163,9,21,9,17,9,7,20
"N00000075",329,216,26,39,113,11,8,4,7,5,3,10
"N00000076",233,182,18,11,51,1,4,4,5,2,2,4
"N00000077",200,141,13,6,59,5,10,3,4,4,8,6
"N00000078",321,263,14,12,58,4,9,1,1,2,1,14
"N00000079",399,300,27,30,99,7,7,5,4,2,3,14
"N00000080",309,225,25,21,84,3,7,3,2,5,8,10
"N00000081",254,166,33,18,88,2,4,8,3,5,4,11
"N00000082",257,181,26,15,76,2,8,3,3,7,2,10
"N00000083",484,358,33,40,126,3,12,5,9,2,6,16
"N00000084",334,229,21,29,105,1,15,7,6,3,3,20
"N00000085",300,159,51,28,141,8,11,8,10,4,5,16
"N00000086",279,189,20,20,90,3,11,6,6,4,3,17
