"Geography_Code","NM_1549_1_0","NM_1549_1_1","NM_1549_1_10","NM_1549_1_11","NM_1549_1_2","NM_1549_1_3","NM_1549_1_4","NM_1549_1_5","NM_1549_1_6","NM_1549_1_7","NM_1549_1_8","NM_1549_1_9"
"N00000371",141,141,1,0,140,110,22,8,0,0,0,0
"N00000372",135,135,0,0,132,73,44,15,3,2,1,0
"N00000373",178,178,0,0,178,106,65,7,0,0,0,0
"N00000374",132,132,0,0,131,77,45,9,1,1,0,0
"N00000375",134,134,0,0,129,103,10,16,5,4,1,0
"N00000376",116,116,0,0,113,25,81,7,3,1,2,0
"N00000377",119,119,0,0,118,89,25,4,1,1,0,0
"N00000378",118,118,0,0,117,8,90,19,1,1,0,0
"N00000379",164,164,0,0,164,75,88,1,0,0,0,0
"N00000380",168,168,1,0,166,161,3,2,1,1,0,0
"N00000381",333,333,0,0,311,120,163,28,22,20,2,0
"N00000382",183,183,0,0,183,169,14,0,0,0,0,0
"N00000383",144,144,3,0,140,122,13,5,1,1,0,0
"N00000384",145,145,0,0,143,119,22,2,2,1,1,0
"N00000385",135,135,1,0,134,127,7,0,0,0,0,0
"N00000386",125,125,0,0,123,13,41,69,2,2,0,0
"N00000387",106,106,0,0,95,12,14,69,11,6,0,5
"N00000388",603,603,0,0,568,157,264,147,35,35,0,0
"N00000389",156,156,0,0,156,69,36,51,0,0,0,0
"N00000390",321,321,5,0,312,263,42,7,4,2,2,0
"N00000391",173,173,3,0,169,164,2,3,1,1,0,0
"N00000392",518,518,2,0,514,264,184,66,2,0,2,0
"N00000393",178,178,0,0,178,140,25,13,0,0,0,0
"N00000394",141,141,0,0,140,126,14,0,1,0,1,0
"N00000395",142,142,2,0,140,126,8,6,0,0,0,0
"N00000396",134,134,2,0,132,113,13,6,0,0,0,0
"N00000397",189,189,0,0,189,155,31,3,0,0,0,0
"N00000398",165,165,0,0,165,97,66,2,0,0,0,0
"N00000399",130,130,0,0,129,44,21,64,1,0,1,0
"N00000400",112,112,0,0,103,16,41,46,9,8,1,0
"N00000401",117,117,0,0,113,26,42,45,4,4,0,0
"N00000402",123,123,0,0,103,23,27,53,20,11,2,7
"N00000403",208,208,0,0,199,56,88,55,9,5,2,2
"N00000404",121,121,0,0,111,15,35,61,10,10,0,0
"N00000405",105,105,0,0,97,11,47,39,8,6,2,0
"N00000406",121,121,1,0,120,103,17,0,0,0,0,0
"N00000407",344,344,2,0,341,288,33,20,1,0,0,1
"N00000408",146,146,1,0,145,129,13,3,0,0,0,0
"N00000409",143,143,0,0,142,66,52,24,1,1,0,0
"N00000410",136,136,3,0,131,125,5,1,2,0,0,2
"N00000411",128,128,0,0,128,53,52,23,0,0,0,0
"N00000412",138,138,2,0,136,119,14,3,0,0,0,0
"N00000413",131,131,0,0,130,111,14,5,1,1,0,0
"N00000414",125,125,0,0,124,104,15,5,1,0,0,1
"N00000415",162,162,1,0,158,70,56,32,3,0,2,1
"N00000416",133,133,0,0,132,121,11,0,1,0,1,0
"N00000417",187,187,0,0,187,98,85,4,0,0,0,0
