"Geography_Code","NM_1545_1_0","NM_1545_1_1","NM_1545_1_2","NM_1545_1_3","NM_1545_1_4"
"N00000196",237,209,7,6,15
"N00000197",326,289,21,4,12
"N00000198",287,248,30,2,7
"N00000199",350,300,31,15,4
"N00000200",331,287,26,5,13
"N00000201",294,248,28,11,7
"N00000202",304,250,40,6,8
"N00000203",334,284,36,8,6
"N00000204",393,343,35,7,8
"N00000205",303,248,42,4,9
"N00000206",390,348,26,4,12
"N00000207",253,226,22,2,3
"N00000208",316,251,44,12,9
"N00000209",356,301,46,4,5
"N00000210",383,339,28,6,10
"N00000211",528,450,35,19,24
"N00000212",175,155,16,1,3
"N00000213",281,245,27,4,5
"N00000214",323,272,33,8,10
"N00000215",400,337,45,9,9
"N00000216",397,342,37,6,12
"N00000217",479,394,67,9,9
"N00000218",361,310,31,9,11
"N00000219",245,224,12,4,5
"N00000220",284,263,13,1,7
"N00000221",262,228,16,7,11
"N00000222",298,253,23,8,14
"N00000223",319,269,26,9,15
"N00000224",243,207,20,10,6
"N00000225",147,117,15,6,9
"N00000226",261,222,24,3,12
"N00000227",195,157,22,5,11
"N00000228",306,257,30,8,11
"N00000229",395,340,25,8,22
"N00000230",293,255,23,6,9
"N00000231",324,297,14,6,7
"N00000232",309,265,22,8,14
"N00000233",258,227,19,3,9
"N00000234",256,230,18,4,4
"N00000235",323,291,27,1,4
"N00000236",291,249,29,8,5
"N00000237",416,351,45,8,12
"N00000238",306,256,37,5,8
"N00000239",254,224,16,4,10
"N00000240",354,320,19,6,9
"N00000241",424,351,60,10,3
"N00000242",360,302,44,6,8
"N00000243",265,218,14,16,17
"N00000244",275,247,5,7,16
"N00000245",314,280,18,3,13
"N00000246",309,271,16,8,14
"N00000247",309,265,26,7,11
"N00000248",337,287,41,5,4
"N00000249",386,340,33,8,5
"N00000250",401,342,30,7,22
"N00000251",456,423,24,6,3
"N00000252",345,289,43,5,8
"N00000253",499,424,46,9,20
"N00000254",315,261,42,5,7
"N00000255",351,304,25,9,13
"N00000256",780,680,82,8,10
"N00000257",447,406,29,2,10
"N00000258",379,331,30,5,13
"N00000259",465,416,26,8,15
"N00000260",560,495,29,14,22
"N00000261",561,479,54,12,16
"N00000262",419,363,30,6,20
"N00000263",239,212,9,6,12
"N00000264",566,509,32,8,17
"N00000265",351,307,20,11,13
"N00000266",328,292,23,4,9
"N00000267",431,357,60,7,7
"N00000268",384,325,44,3,12
"N00000269",347,304,25,8,10
"N00000270",371,312,32,11,16
"N00000271",380,323,39,5,13
"N00000272",295,249,26,8,12
