"Geography_Code","NM_1545_1_0","NM_1545_1_1","NM_1545_1_2","NM_1545_1_3","NM_1545_1_4"
"N00000848",240,206,11,9,14
"N00000849",307,264,17,13,13
"N00000850",270,247,10,9,4
"N00000851",243,217,11,4,11
"N00000852",1179,1063,43,43,30
"N00000853",282,246,9,9,18
"N00000854",763,657,32,31,43
"N00000855",169,144,17,5,3
"N00000856",182,150,23,2,7
"N00000857",386,334,36,7,9
"N00000858",239,215,15,3,6
"N00000859",287,266,13,3,5
"N00000860",437,377,44,6,10
"N00000861",303,260,33,1,9
"N00000862",876,757,90,12,17
"N00000863",294,248,26,4,16
"N00000864",305,267,28,5,5
"N00000865",358,303,36,8,11
"N00000866",342,313,19,4,6
"N00000867",288,258,25,1,4
"N00000868",297,258,26,3,10
"N00000869",186,172,10,1,3
"N00000870",394,339,41,6,8
"N00000871",340,304,18,8,10
"N00000872",256,224,18,4,10
"N00000873",322,280,22,7,13
"N00000874",533,485,20,11,17
"N00000875",284,248,18,4,14
"N00000876",212,192,7,6,7
"N00000877",357,313,22,13,9
"N00000878",234,204,10,7,13
"N00000879",1015,904,43,26,42
"N00000880",315,271,19,9,16
"N00000881",296,259,12,8,17
"N00000882",253,228,9,5,11
"N00000883",264,231,18,5,10
"N00000884",205,179,13,3,10
"N00000885",618,575,24,8,11
"N00000886",253,229,19,4,1
"N00000887",308,286,17,3,2
"N00000888",308,287,13,4,4
"N00000889",259,237,11,7,4
"N00000890",339,304,20,7,8
"N00000891",346,308,19,12,7
"N00000892",318,281,25,6,6
"N00000893",284,258,17,4,5
"N00000894",263,243,12,4,4
"N00000895",272,253,9,6,4
"N00000896",265,230,27,3,5
"N00000897",300,273,17,6,4
"N00000898",307,280,18,5,4
"N00000899",306,274,18,8,6
"N00000900",216,195,12,4,5
"N00000901",313,280,26,4,3
"N00000902",294,276,16,2,0
"N00000903",206,195,8,3,0
"N00000904",446,407,21,3,15
"N00000905",325,298,14,6,7
"N00000906",263,227,16,9,11
"N00000907",332,285,20,9,18
"N00000908",329,291,15,10,13
"N00000909",246,216,14,6,10
"N00000910",273,241,21,5,6
"N00000911",239,212,10,7,10
"N00000912",243,229,6,5,3
"N00000913",321,291,5,5,20
"N00000914",294,251,22,9,12
"N00000915",214,180,20,4,10
"N00000916",234,200,20,2,12
"N00000917",226,202,10,5,9
"N00000918",261,219,26,4,12
"N00000919",229,196,23,4,6
"N00000920",148,135,5,4,4
"N00000921",713,629,51,13,20
"N00000922",292,247,26,6,13
"N00000923",257,224,18,7,8
"N00000924",224,184,22,5,13
"N00000925",288,242,26,5,15
"N00000926",284,248,15,10,11
"N00000927",421,388,17,8,8
"N00000928",356,291,36,12,17
"N00000929",437,377,21,22,17
"N00000930",364,325,21,6,12
"N00000931",682,612,24,15,31
"N00000932",419,361,23,19,16
"N00000933",288,251,18,8,11
"N00000934",282,250,17,6,9
"N00000935",251,231,5,7,8
"N00000936",473,397,35,22,19
"N00000937",433,366,26,17,24
"N00000938",345,299,18,16,12
"N00000939",198,174,14,4,6
"N00000940",252,232,9,2,9
"N00000941",343,304,26,4,9
"N00000942",280,232,27,11,10
"N00000943",272,237,15,7,13
"N00000944",245,210,15,11,9
"N00000945",254,217,22,4,11
"N00000946",386,354,14,8,10
"N00000947",248,209,16,7,16
"N00000948",225,201,13,5,6
"N00000949",314,285,13,5,11
"N00000950",317,287,11,11,8
"N00000951",240,206,23,2,9
"N00000952",391,343,28,5,15
"N00000953",238,218,12,4,4
"N00000954",275,243,17,9,6
"N00000955",394,341,35,2,16
"N00000956",488,421,44,13,10
"N00000957",555,503,43,5,4
"N00000958",294,248,27,7,12
"N00000959",476,414,44,7,11
"N00000960",515,438,51,11,15
"N00000961",311,268,33,6,4
"N00000962",338,285,23,12,18
"N00000963",252,211,21,10,10
"N00000964",297,246,34,10,7
"N00000965",300,249,25,6,20
"N00000966",331,278,44,4,5
"N00000967",378,334,28,6,10
"N00000968",255,222,24,6,3
"N00000969",193,171,6,2,14
"N00000970",486,441,24,6,15
"N00000971",261,226,17,8,10
"N00000972",317,275,15,7,20
"N00000973",331,296,26,4,5
"N00000974",275,238,11,5,21
"N00000975",262,234,11,4,13
"N00000976",141,129,5,4,3
"N00000977",285,246,18,7,14
"N00000978",239,221,12,4,2
"N00000979",217,203,6,2,6
"N00000980",223,204,9,7,3
"N00000981",207,184,15,1,7
"N00000982",252,222,11,12,7
"N00000983",336,296,19,9,12
"N00000984",329,301,13,7,8
"N00000985",244,221,8,6,9
"N00000986",214,198,9,2,5
"N00000987",367,329,26,3,9
"N00000988",146,129,13,4,0
"N00000989",262,237,9,6,10
"N00000990",274,249,17,5,3
"N00000991",269,241,13,7,8
"N00000992",462,414,28,7,13
"N00000993",236,209,13,5,9
"N00000994",928,839,42,14,33
"N00000995",195,174,8,3,10
"N00000996",383,339,32,6,6
"N00000997",271,235,24,5,7
"N00000998",304,262,31,3,8
"N00000999",227,185,25,9,8
"N00001000",307,262,25,9,11
"N00001001",296,274,7,7,8
"N00001002",796,714,41,15,26
"N00001003",218,188,26,1,3
"N00001004",303,275,14,6,8
"N00001005",258,231,22,1,4
"N00001006",527,506,16,3,2
"N00001007",595,572,16,3,4
"N00001008",245,236,6,2,1
"N00001009",188,175,12,1,0
"N00001010",334,315,12,5,2
"N00001011",374,349,13,10,2
"N00001012",353,328,20,3,2
"N00001013",242,233,7,2,0
"N00001014",239,216,18,2,3
"N00001015",416,385,22,5,4
"N00001016",262,245,13,4,0
"N00001017",323,312,9,0,2
"N00001018",288,262,22,2,2
"N00001019",205,193,7,0,5
"N00001020",171,165,4,1,1
"N00001021",239,229,8,1,1
"N00001022",604,556,36,6,6
"N00001023",220,206,14,0,0
"N00001024",346,327,11,6,2
"N00001025",297,282,8,3,4
"N00001026",236,225,5,4,2
"N00001027",395,359,21,4,11
"N00001028",261,214,25,4,18
"N00001029",699,631,33,15,20
"N00001030",514,472,22,7,13
"N00001031",372,336,17,11,8
"N00001032",185,158,7,9,11
"N00001033",129,118,5,5,1
"N00001034",344,298,27,9,10
"N00001035",284,250,9,14,11
"N00001036",391,357,20,8,6
"N00001037",368,323,27,9,9
"N00001038",726,621,70,14,21
"N00001039",387,328,43,6,10
"N00001040",271,245,7,5,14
"N00001041",190,166,7,8,9
"N00001042",664,557,61,15,31
"N00001043",206,184,8,5,9
"N00001044",303,266,17,10,10
"N00001045",274,237,19,4,14
"N00001046",307,267,29,6,5
"N00001047",314,264,32,6,12
"N00001048",331,274,40,4,13
"N00001049",330,282,29,6,13
"N00001050",335,283,41,7,4
"N00001051",371,335,26,5,5
"N00001052",180,156,11,6,7
"N00001053",355,306,41,5,3
"N00001054",341,292,35,6,8
"N00001055",350,290,34,6,20
"N00001056",355,309,27,8,11
"N00001057",326,274,27,11,14
"N00001058",349,308,26,7,8
"N00001059",320,279,26,6,9
"N00001060",256,221,20,7,8
"N00001061",341,307,31,1,2
"N00001062",354,320,24,3,7
"N00001063",306,257,39,2,8
"N00001064",632,541,69,8,14
"N00001065",326,287,32,1,6
"N00001066",275,236,26,5,8
"N00001067",278,243,23,4,8
"N00001068",336,303,26,1,6
"N00001069",327,278,39,4,6
"N00001070",518,467,34,7,10
"N00001071",318,285,22,4,7
"N00001072",320,264,41,9,6
"N00001073",283,254,12,1,16
"N00001074",240,205,22,3,10
"N00001075",308,267,26,5,10
"N00001076",272,231,23,3,15
"N00001077",229,209,7,3,10
"N00001078",257,224,26,4,3
"N00001079",829,745,52,12,20
"N00001080",324,284,21,9,10
"N00001081",412,374,17,8,13
"N00001082",431,389,23,12,7
"N00001083",436,374,39,8,15
"N00001084",447,393,32,9,13
"N00001085",1087,957,79,21,30
"N00001086",336,293,25,9,9
"N00001087",307,266,23,8,10
"N00001088",305,268,17,9,11
"N00001089",316,276,22,7,11
"N00001090",222,193,13,7,9
"N00001091",384,323,42,6,13
"N00001092",398,351,24,12,11
"N00001093",642,578,23,16,25
"N00001094",239,210,17,5,7
"N00001095",368,318,22,12,16
"N00001096",397,335,33,9,20
"N00001097",316,264,29,11,12
"N00001098",308,271,17,8,12
"N00001099",282,240,19,10,13
"N00001100",292,252,21,6,13
"N00001101",304,277,9,5,13
"N00001102",569,510,23,14,22
"N00001103",219,199,7,6,7
"N00001104",303,255,21,14,13
"N00001105",309,273,12,13,11
"N00001106",283,252,11,9,11
"N00001107",309,280,12,7,10
"N00001108",217,184,12,7,14
"N00001109",393,342,20,13,18
"N00001110",345,307,13,12,13
"N00001111",687,601,33,18,35
"N00001112",319,277,14,14,14
"N00001113",1384,1199,90,44,51
"N00001114",319,281,12,15,11
"N00001115",222,199,12,1,10
"N00001116",497,431,20,16,30
"N00001117",728,644,20,15,49
"N00001118",305,280,8,11,6
"N00001119",176,159,7,3,7
"N00001120",213,195,11,2,5
"N00001121",235,200,11,6,18
"N00001122",176,156,6,5,9
"N00001123",186,164,6,6,10
"N00001124",568,504,27,17,20
"N00001125",413,360,12,17,24
"N00001126",242,212,11,7,12
"N00001127",639,548,38,21,32
"N00001128",251,215,12,9,15
"N00001129",450,401,17,13,19
"N00001130",179,166,8,2,3
"N00001131",1073,999,36,17,21
"N00001132",251,225,11,6,9
"N00001133",643,577,16,13,37
"N00001134",212,184,21,4,3
"N00001135",188,167,8,7,6
"N00001136",261,226,12,8,15
"N00001137",292,263,4,13,12
"N00001138",195,167,7,8,13
"N00001139",546,482,29,17,18
"N00001140",309,273,14,6,16
"N00001141",189,165,10,8,6
"N00001142",190,170,10,5,5
"N00001143",140,127,4,2,7
"N00001144",233,210,7,4,12
"N00001145",311,269,12,10,20
"N00001146",291,250,11,13,17
"N00001147",258,227,7,12,12
"N00001148",260,230,8,5,17
"N00001149",377,324,20,12,21
"N00001150",334,286,21,9,18
"N00001151",390,352,15,8,15
"N00001152",419,380,15,11,13
"N00001153",316,270,18,18,10
"N00001154",293,259,17,5,12
"N00001155",636,582,27,15,12
"N00001156",1299,1148,54,42,55
"N00001157",280,225,30,8,17
"N00001158",266,220,19,8,19
"N00001159",365,312,31,7,15
"N00001160",357,322,14,8,13
"N00001161",250,221,18,6,5
"N00001162",169,153,13,1,2
"N00001163",336,295,13,13,15
"N00001164",342,304,21,10,7
"N00001165",322,278,20,4,20
"N00001166",593,472,60,23,38
"N00001167",342,286,35,6,15
"N00001168",353,307,17,13,16
"N00001169",320,271,25,8,16
"N00001170",333,276,27,11,19
"N00001171",408,356,27,7,18
"N00001172",307,267,29,7,4
"N00001173",262,218,27,7,10
"N00001174",343,306,25,4,8
"N00001175",306,262,28,6,10
"N00001176",241,188,34,4,15
"N00001177",266,232,19,5,10
"N00001178",406,343,47,6,10
"N00001179",342,291,36,6,9
"N00001180",157,141,11,3,2
"N00001181",295,260,22,5,8
"N00001182",352,289,47,7,9
"N00001183",444,377,41,4,22
"N00001184",283,235,28,6,14
"N00001185",268,225,26,6,11
"N00001186",267,231,28,2,6
"N00001187",323,284,35,0,4
"N00001188",806,697,64,16,29
"N00001189",304,257,31,5,11
"N00001190",278,236,23,6,13
"N00001191",245,208,19,9,9
"N00001192",256,218,19,9,10
"N00001193",232,200,20,3,9
"N00001194",269,224,20,9,16
"N00001195",184,150,22,5,7
"N00001196",354,305,31,6,12
"N00001197",266,236,11,11,8
"N00001198",467,432,20,4,11
"N00001199",194,167,17,6,4
"N00001200",395,357,26,6,6
"N00001201",311,269,30,3,9
"N00001202",323,285,16,14,8
"N00001203",315,293,14,5,3
"N00001204",956,816,78,21,41
"N00001205",564,470,42,22,30
"N00001206",229,185,25,5,14
"N00001207",400,328,32,17,23
"N00001208",339,282,21,15,21
"N00001209",254,216,15,10,13
"N00001210",332,280,15,5,32
"N00001211",285,247,18,7,13
"N00001212",301,272,15,4,10
"N00001213",299,260,13,12,14
"N00001214",289,241,20,15,13
"N00001215",281,251,12,5,13
"N00001216",406,355,31,11,9
"N00001217",413,370,20,7,16
"N00001218",279,238,14,16,11
"N00001219",301,272,11,5,13
"N00001220",231,201,11,5,14
"N00001221",258,230,11,9,8
"N00001222",213,188,10,6,9
"N00001223",300,262,10,11,17
"N00001224",265,235,19,4,7
"N00001225",242,213,16,6,7
"N00001226",236,216,11,2,7
"N00001227",246,208,17,8,13
"N00001228",212,188,7,8,9
"N00001229",255,220,13,10,12
"N00001230",298,264,21,7,6
"N00001231",401,361,14,11,15
"N00001232",375,325,33,9,8
"N00001233",421,366,27,11,17
"N00001234",351,291,32,18,10
"N00001235",953,823,51,34,45
"N00001236",372,318,27,8,19
"N00001237",289,239,15,15,20
"N00001238",297,257,21,3,16
"N00001239",313,265,15,12,21
"N00001240",1095,954,58,44,39
"N00001241",352,296,20,13,23
"N00001242",335,286,18,11,20
"N00001243",275,226,17,13,19
"N00001244",335,299,18,7,11
"N00001245",334,286,21,10,17
"N00001246",608,534,44,10,20
"N00001247",245,214,8,9,14
"N00001248",430,375,36,5,14
"N00001249",403,361,22,8,12
"N00001250",463,386,45,12,20
"N00001251",327,280,13,19,15
"N00001252",321,283,17,7,14
"N00001253",233,204,14,7,8
"N00001254",314,265,27,5,17
"N00001255",276,234,15,10,17
"N00001256",262,221,22,6,13
"N00001257",233,199,15,10,9
"N00001258",250,220,13,4,13
"N00001259",285,254,13,5,13
"N00001260",363,310,27,10,16
"N00001261",249,214,19,4,12
"N00001262",389,330,27,11,21
"N00001263",289,252,19,8,10
"N00001264",204,188,6,2,8
"N00001265",971,891,33,14,33
"N00001266",188,170,7,4,7
"N00001267",322,266,17,15,24
"N00001268",283,252,6,8,17
"N00001269",522,469,23,13,17
"N00001270",278,241,20,4,13
"N00001271",1514,1379,67,33,35
"N00001272",222,199,16,4,3
"N00001273",221,205,6,3,7
"N00001274",238,216,11,4,7
"N00001275",210,172,16,11,11
"N00001276",218,190,13,6,9
"N00001277",266,229,27,2,8
"N00001278",291,254,28,3,6
"N00001279",168,152,6,4,6
"N00001280",213,193,11,2,7
"N00001281",334,284,34,8,8
"N00001282",330,288,27,3,12
"N00001283",338,292,33,2,11
"N00001284",352,315,23,7,7
"N00001285",331,284,33,4,10
"N00001286",348,298,25,10,15
"N00001287",295,242,29,1,23
"N00001288",289,248,19,5,17
"N00001289",288,249,32,4,3
"N00001290",318,276,26,8,8
"N00001291",344,289,31,10,14
"N00001292",878,753,65,27,33
"N00001293",358,306,25,12,15
"N00001294",335,285,21,13,16
"N00001295",312,265,27,5,15
"N00001296",273,237,15,7,14
"N00001297",384,322,33,12,17
"N00001298",394,347,21,11,15
"N00001299",319,260,33,8,18
"N00001300",287,246,19,5,17
"N00001301",375,300,35,14,26
"N00001302",745,664,28,24,29
"N00001303",333,259,23,18,33
"N00001304",322,273,19,10,20
"N00001305",325,272,27,6,20
"N00001306",214,188,19,3,4
"N00001307",321,289,13,8,11
"N00001308",486,415,32,21,18
"N00001309",368,328,12,10,18
"N00001310",981,845,70,22,44
"N00001311",326,296,9,7,14
"N00001312",654,587,28,15,24
"N00001313",417,383,16,13,5
"N00001314",401,347,19,13,22
"N00001315",246,211,15,6,14
"N00001316",352,316,11,9,16
"N00001317",267,218,21,10,18
"N00001318",287,247,24,6,10
"N00001319",285,250,19,8,8
"N00001320",253,216,24,7,6
"N00001321",274,230,22,7,15
"N00001322",274,229,21,9,15
"N00001323",295,255,23,3,14
"N00001324",243,209,11,8,15
"N00001325",1263,1076,132,21,34
"N00001326",360,288,59,7,6
"N00001327",328,280,37,4,7
"N00001328",1036,908,105,11,12
"N00001329",281,238,30,6,7
"N00001330",322,271,41,5,5
"N00001331",274,234,30,4,6
"N00001332",186,172,11,2,1
"N00001333",337,294,29,6,8
"N00001334",354,314,32,2,6
"N00001335",194,175,15,1,3
"N00001336",318,274,31,5,8
"N00001337",302,259,37,3,3
"N00001338",303,257,25,1,20
"N00001339",370,324,23,6,17
"N00001340",779,671,61,14,33
"N00001341",329,270,38,9,12
"N00001342",388,315,47,8,18
"N00001343",293,252,26,6,9
"N00001344",330,281,30,4,15
"N00001345",250,214,22,5,9
"N00001346",820,706,86,16,12
"N00001347",513,473,26,6,8
"N00001348",304,254,36,9,5
"N00001349",248,202,26,9,11
"N00001350",919,801,34,27,57
"N00001351",390,339,20,12,19
"N00001352",303,269,10,4,20
"N00001353",358,317,12,7,22
"N00001354",756,667,21,24,44
"N00001355",287,251,13,9,14
"N00001356",280,246,8,6,20
"N00001357",155,141,6,4,4
"N00001358",344,311,14,6,13
"N00001359",294,266,8,9,11
"N00001360",276,243,5,10,18
"N00001361",295,253,19,9,14
"N00001362",293,252,16,9,16
"N00001363",263,230,18,5,10
"N00001364",539,485,30,10,14
"N00001365",387,341,32,5,9
"N00001366",252,220,20,5,7
"N00001367",353,308,24,8,13
"N00001368",295,247,33,4,11
"N00001369",365,314,34,8,9
"N00001370",369,304,44,8,13
"N00001371",313,270,29,4,10
"N00001372",584,508,42,11,23
"N00001373",293,259,28,2,4
"N00001374",297,260,29,3,5
"N00001375",338,286,34,6,12
"N00001376",191,172,13,1,5
"N00001377",276,226,35,4,11
"N00001378",258,231,20,1,6
"N00001379",246,198,34,4,10
"N00001380",381,343,28,4,6
"N00001381",395,352,28,7,8
"N00001382",316,262,39,5,10
"N00001383",344,299,34,3,8
"N00001384",287,250,26,2,9
"N00001385",359,299,39,9,12
"N00001386",532,480,29,9,14
"N00001387",263,239,16,2,6
"N00001388",270,242,18,3,7
"N00001389",188,167,13,4,4
"N00001390",287,242,35,4,6
"N00001391",286,235,42,5,4
"N00001392",263,228,21,4,10
"N00001393",269,246,18,1,4
"N00001394",284,249,21,6,8
"N00001395",277,248,16,6,7
"N00001396",607,556,38,5,8
"N00001397",183,163,14,0,6
"N00001398",250,218,23,3,6
"N00001399",889,793,69,11,16
"N00001400",330,288,36,3,3
"N00001401",851,765,64,5,17
"N00001402",652,588,53,6,5
"N00001403",377,327,34,10,6
"N00001404",706,617,54,18,17
"N00001405",235,205,13,4,13
"N00001406",216,195,12,4,5
"N00001407",256,221,18,3,14
"N00001408",467,415,45,4,3
"N00001409",292,265,20,4,3
"N00001410",294,250,33,6,5
"N00001411",280,232,37,6,5
"N00001412",164,151,11,2,0
"N00001413",277,244,25,2,6
"N00001414",278,251,20,0,7
"N00001415",275,238,13,7,17
"N00001416",947,871,43,14,19
"N00001417",277,253,5,5,14
"N00001418",662,589,28,22,23
"N00001419",248,224,13,7,4
"N00001420",243,212,19,9,3
"N00001421",1333,1249,43,22,19
"N00001422",200,174,8,12,6
"N00001423",445,385,22,12,26
"N00001424",223,198,12,4,9
"N00001425",267,232,14,9,12
"N00001426",229,198,9,10,12
"N00001427",251,220,14,6,11
"N00001428",279,245,17,8,9
"N00001429",1073,976,53,24,20
"N00001430",262,228,13,9,12
"N00001431",326,294,14,3,15
"N00001432",281,255,8,6,12
"N00001433",254,234,10,3,7
"N00001434",302,263,19,4,16
"N00001435",233,208,10,5,10
"N00001436",301,271,5,10,15
"N00001437",201,185,3,4,9
"N00001438",291,255,15,0,21
"N00001439",270,239,20,3,8
"N00001440",251,215,16,6,14
"N00001441",282,252,11,7,12
"N00001442",347,318,10,3,16
"N00001443",209,183,4,7,15
"N00001444",268,247,8,10,3
"N00001445",371,320,34,11,6
"N00001446",304,258,29,4,13
"N00001447",315,265,37,5,8
"N00001448",350,293,44,6,7
"N00001449",323,286,30,2,5
"N00001450",263,220,35,2,6
"N00001451",248,213,27,3,5
"N00001452",324,275,36,6,7
"N00001453",372,296,59,6,11
"N00001454",319,255,48,6,10
"N00001455",261,233,13,4,11
"N00001456",334,286,36,5,7
"N00001457",318,274,36,3,5
"N00001458",376,336,22,6,12
"N00001459",471,428,28,6,9
"N00001460",599,524,47,9,19
"N00001461",317,260,38,7,12
"N00001462",357,312,28,13,4
"N00001463",385,334,34,5,12
"N00001464",345,291,40,4,10
"N00001465",422,382,30,3,7
"N00001466",280,248,28,2,2
"N00001467",1504,1420,72,6,6
"N00001468",283,269,9,2,3
"N00001469",246,226,16,2,2
"N00001470",348,329,12,4,3
"N00001471",493,463,26,2,2
"N00001472",891,813,62,5,11
"N00001473",426,391,28,4,3
"N00001474",347,301,37,5,4
"N00001475",302,273,22,4,3
"N00001476",277,249,19,3,6
"N00001477",271,226,38,1,6
"N00001478",301,271,23,3,4
"N00001479",344,295,36,5,8
"N00001480",477,434,23,4,16
"N00001481",229,200,9,7,13
"N00001482",307,272,18,8,9
"N00001483",254,219,19,7,9
"N00001484",213,193,11,0,9
"N00001485",248,223,16,1,8
"N00001486",358,323,25,3,7
"N00001487",298,247,28,7,16
"N00001488",277,258,9,2,8
"N00001489",293,249,27,6,11
"N00001490",196,184,6,4,2
"N00001491",250,229,10,1,10
"N00001492",226,195,14,5,12
"N00001493",260,230,13,4,13
"N00001494",198,173,15,3,7
"N00001495",288,259,16,2,11
"N00001496",266,244,17,4,1
"N00001497",236,211,19,3,3
"N00001498",460,416,9,13,22
"N00001499",335,303,15,6,11
"N00001500",214,200,10,2,2
"N00001501",497,453,15,12,17
"N00001502",409,367,23,10,9
"N00001503",204,184,11,4,5
"N00001504",272,236,10,10,16
"N00001505",473,439,18,5,11
"N00001506",239,212,9,12,6
"N00001507",254,221,13,8,12
"N00001508",466,424,19,11,12
"N00001509",385,338,17,6,24
"N00001510",215,185,23,1,6
"N00001511",638,580,21,12,25
"N00001512",294,266,14,3,11
"N00001513",236,216,14,3,3
"N00001514",249,225,17,3,4
"N00001515",351,298,42,3,8
"N00001516",275,229,35,3,8
"N00001517",359,321,23,6,9
"N00001518",436,380,41,4,11
"N00001519",298,264,18,6,10
"N00001520",265,225,17,13,10
"N00001521",249,223,13,4,9
"N00001522",278,229,22,10,17
"N00001523",211,174,16,7,14
"N00001524",253,212,12,8,21
"N00001525",239,198,23,7,11
"N00001526",219,195,9,3,12
"N00001527",243,202,23,8,10
"N00001528",244,205,26,6,7
"N00001529",286,253,21,6,6
"N00001530",386,335,42,2,7
"N00001531",320,286,15,7,12
"N00001532",435,368,36,10,21
"N00001533",636,557,28,16,35
"N00001534",321,276,19,12,14
"N00001535",385,326,16,14,29
"N00001536",401,342,24,23,12
"N00001537",356,305,11,14,26
"N00001538",386,327,29,9,21
"N00001539",346,293,21,10,22
"N00001540",408,360,19,12,17
"N00001541",286,259,9,4,14
"N00001542",324,275,19,8,22
"N00001543",366,308,18,12,28
"N00001544",280,232,15,16,17
"N00001545",352,316,17,7,12
"N00001546",352,315,13,8,16
"N00001547",316,275,19,7,15
"N00001548",317,278,18,10,11
"N00001549",376,332,23,8,13
"N00001550",213,196,4,6,7
"N00001551",388,339,21,8,20
"N00001552",376,332,21,6,17
"N00001553",264,243,9,6,6
"N00001554",326,282,19,8,17
"N00001555",272,244,9,10,9
"N00001556",211,189,13,5,4
"N00001557",268,236,16,7,9
"N00001558",247,228,7,4,8
"N00001559",328,283,22,10,13
"N00001560",266,240,12,5,9
"N00001561",218,187,17,6,8
"N00001562",215,186,12,4,13
"N00001563",172,147,11,8,6
"N00001564",352,298,25,8,21
"N00001565",351,305,13,12,21
"N00001566",387,332,22,11,22
"N00001567",251,221,11,12,7
"N00001568",297,258,20,8,11
"N00001569",329,292,19,5,13
"N00001570",1119,984,34,41,60
"N00001571",493,444,13,13,23
"N00001572",355,300,19,13,23
"N00001573",444,377,24,13,30
"N00001574",310,265,18,8,19
"N00001575",317,271,10,19,17
"N00001576",365,307,26,10,22
"N00001577",364,324,13,8,19
"N00001578",312,274,13,7,18
"N00001579",317,289,20,3,5
"N00001580",328,309,14,2,3
"N00001581",306,270,22,7,7
"N00001582",293,264,22,1,6
"N00001583",234,222,11,1,0
"N00001584",184,157,19,2,6
"N00001585",444,420,17,6,1
"N00001586",254,234,8,4,8
"N00001587",333,311,18,0,4
"N00001588",290,259,21,3,7
"N00001589",318,283,29,2,4
"N00001590",356,341,11,2,2
"N00001591",275,259,12,4,0
"N00001592",305,286,9,4,6
"N00001593",518,489,22,6,1
"N00001594",364,339,17,2,6
"N00001595",289,271,11,3,4
"N00001596",395,373,19,1,2
"N00001597",271,252,12,2,5
"N00001598",381,349,24,3,5
"N00001599",445,416,22,3,4
"N00001600",317,289,12,6,10
"N00001601",277,260,11,2,4
"N00001602",342,305,21,9,7
"N00001603",305,281,19,2,3
"N00001604",276,240,25,5,6
"N00001605",283,250,22,4,7
"N00001606",197,180,8,3,6
"N00001607",262,231,14,9,8
"N00001608",238,214,12,3,9
"N00001609",243,225,5,7,6
"N00001610",220,188,24,5,3
"N00001611",292,254,15,11,12
"N00001612",295,269,11,5,10
"N00001613",691,616,37,13,25
"N00001614",245,228,6,3,8
"N00001615",318,293,12,2,11
"N00001616",299,267,20,5,7
"N00001617",258,231,13,8,6
"N00001618",236,219,8,3,6
"N00001619",278,248,17,2,11
"N00001620",333,310,11,6,6
"N00001621",241,212,10,5,14
"N00001622",240,213,14,5,8
"N00001623",287,241,22,16,8
"N00001624",150,134,6,3,7
"N00001625",253,222,10,7,14
"N00001626",236,211,10,7,8
"N00001627",179,159,7,6,7
"N00001628",248,199,15,14,20
"N00001629",303,268,14,9,12
"N00001630",214,196,7,6,5
"N00001631",226,202,6,4,14
"N00001632",244,211,10,9,14
"N00001633",183,161,11,4,7
"N00001634",229,201,15,5,8
"N00001635",300,257,23,8,12
"N00001636",170,154,9,4,3
"N00001637",220,187,15,4,14
"N00001638",252,227,4,7,14
"N00001639",180,150,12,8,10
"N00001640",214,183,8,8,15
"N00001641",250,216,19,8,7
"N00001642",299,237,44,8,10
"N00001643",595,523,43,9,20
"N00001644",329,293,25,7,4
"N00001645",234,200,16,7,11
"N00001646",352,320,19,4,9
"N00001647",294,248,24,8,14
"N00001648",316,269,29,5,13
"N00001649",443,390,44,5,4
"N00001650",305,266,21,2,16
"N00001651",383,344,26,5,8
"N00001652",396,320,43,9,24
"N00001653",440,392,35,5,8
"N00001654",385,347,23,4,11
"N00001655",386,325,41,7,13
"N00001656",234,199,18,7,10
"N00001657",292,246,25,7,14
"N00001658",209,174,20,4,11
"N00001659",248,214,15,7,12
"N00001660",294,225,49,7,13
"N00001661",373,341,19,4,9
"N00001662",325,270,37,8,10
"N00001663",316,266,30,4,16
"N00001664",325,278,24,9,14
"N00001665",370,319,30,7,14
"N00001666",340,285,32,10,13
"N00001667",301,268,22,2,9
"N00001668",391,326,37,13,15
"N00001669",326,283,25,10,8
"N00001670",263,239,9,5,10
"N00001671",302,270,14,11,7
"N00001672",368,323,21,4,20
"N00001673",447,402,22,7,16
"N00001674",248,222,10,5,11
"N00001675",279,246,13,6,14
"N00001676",264,240,9,5,10
"N00001677",552,502,31,7,12
"N00001678",435,376,42,6,11
"N00001679",404,367,27,8,2
"N00001680",540,495,31,3,11
"N00001681",300,264,17,8,11
"N00001682",324,278,27,2,17
"N00001683",388,344,19,4,21
"N00001684",930,836,57,17,20
"N00001685",337,291,32,3,11
"N00001686",279,246,22,4,7
"N00001687",308,255,41,6,6
"N00001688",361,324,20,4,13
"N00001689",246,218,14,5,9
"N00001690",352,294,34,11,13
"N00001691",280,246,18,2,14
"N00001692",254,237,8,2,7
"N00001693",311,266,39,3,3
"N00001694",293,246,29,7,11
"N00001695",414,357,40,5,12
"N00001696",379,319,36,9,15
"N00001697",298,269,16,5,8
"N00001698",269,244,12,2,11
"N00001699",395,330,57,4,4
"N00001700",260,221,26,3,10
"N00001701",198,173,12,4,9
"N00001702",338,301,24,7,6
"N00001703",1033,915,66,17,35
"N00001704",829,749,47,9,24
"N00001705",222,203,10,6,3
"N00001706",465,388,54,8,15
"N00001707",395,327,48,9,11
"N00001708",674,603,46,16,9
"N00001709",252,222,15,5,10
"N00001710",341,286,45,3,7
"N00001711",362,312,36,7,7
"N00001712",387,354,20,5,8
"N00001713",207,172,21,1,13
"N00001714",536,464,38,10,24
"N00001715",287,263,14,3,7
"N00001716",303,250,31,4,18
