"Geography_Code","NM_1546_1_0","NM_1546_1_1","NM_1546_1_2","NM_1546_1_3","NM_1546_1_4","NM_1546_1_5"
"N00000273",460,269,142,45,4,0
"N00000274",468,256,149,56,7,0
"N00000275",291,124,84,61,17,5
"N00000276",315,140,120,47,6,2
"N00000277",310,137,129,33,8,3
"N00000278",304,142,100,50,10,2
"N00000279",181,86,70,18,6,1
"N00000280",392,184,141,46,14,7
"N00000281",349,154,134,44,17,0
"N00000282",364,159,133,57,13,2
"N00000283",346,158,120,49,17,2
"N00000284",382,164,139,66,8,5
"N00000285",322,151,93,62,14,2
"N00000286",271,91,94,59,22,5
"N00000287",297,93,110,65,23,6
"N00000288",353,152,120,60,17,4
"N00000289",496,245,152,65,28,6
"N00000290",271,97,82,61,23,8
"N00000291",512,237,179,63,27,6
"N00000292",731,379,227,94,29,2
"N00000293",522,308,165,40,8,1
"N00000294",405,189,150,52,12,2
"N00000295",421,189,129,68,26,9
"N00000296",287,125,112,35,15,0
"N00000297",371,131,119,92,25,4
"N00000298",335,154,123,43,14,1
"N00000299",324,147,134,37,6,0
"N00000300",296,115,106,60,12,3
"N00000301",366,204,130,19,12,1
"N00000302",363,168,142,37,14,2
"N00000303",318,158,113,37,10,0
"N00000304",342,173,137,25,5,2
"N00000305",395,234,115,35,11,0
"N00000306",381,215,123,35,8,0
"N00000307",355,192,122,31,8,2
"N00000308",277,142,98,32,3,2
"N00000309",378,188,138,45,5,2
"N00000310",408,177,140,63,20,8
"N00000311",333,123,116,66,23,5
"N00000312",512,264,128,87,27,6
"N00000313",636,365,158,82,25,6
"N00000314",358,147,112,59,37,3
"N00000315",345,151,109,61,20,4
"N00000316",374,190,102,51,24,7
"N00000317",447,172,132,87,45,11
"N00000318",344,150,120,50,17,7
"N00000319",819,365,287,130,32,5
"N00000320",318,106,121,70,16,5
"N00000321",517,223,176,84,23,11
"N00000322",389,158,124,61,35,11
"N00000323",472,239,162,56,12,3
"N00000324",376,161,124,61,21,9
"N00000325",538,267,162,84,19,6
"N00000326",946,435,301,160,41,9
"N00000327",325,155,93,57,16,4
"N00000328",291,116,106,47,18,4
"N00000329",402,169,133,70,20,10
"N00000330",539,281,195,51,11,1
"N00000331",612,288,186,96,29,13
"N00000332",284,105,91,57,23,8
"N00000333",293,93,107,69,21,3
"N00000334",294,117,106,55,14,2
"N00000335",326,145,115,47,19,0
"N00000336",330,131,141,52,5,1
"N00000337",282,109,132,30,11,0
"N00000338",308,145,93,57,11,2
"N00000339",294,157,98,32,7,0
"N00000340",427,183,148,82,11,3
"N00000341",348,162,120,57,8,1
"N00000342",359,194,120,38,5,2
"N00000343",351,189,119,32,9,2
"N00000344",406,125,153,98,26,4
"N00000345",416,165,143,78,25,5
"N00000346",685,410,178,77,16,4
"N00000347",257,78,98,58,19,4
"N00000348",426,192,110,66,49,9
"N00000349",368,196,106,46,14,6
"N00000350",577,327,161,65,20,4
"N00000351",414,223,121,52,15,3
"N00000352",466,286,118,39,20,3
"N00000353",422,231,117,52,18,4
"N00000354",405,214,125,57,7,2
"N00000355",441,233,127,61,18,2
"N00000356",414,197,114,66,27,10
"N00000357",1212,580,397,170,49,16
"N00000358",371,176,115,54,20,6
"N00000359",820,303,280,166,62,9
"N00000360",423,216,130,61,9,7
"N00000361",413,195,111,80,22,5
"N00000362",390,207,117,54,12,0
"N00000363",484,295,114,51,18,6
"N00000364",475,279,116,66,14,0
"N00000365",255,131,76,33,11,4
"N00000366",536,293,159,64,18,2
"N00000367",351,157,103,63,20,8
"N00000368",544,251,171,85,34,3
"N00000369",411,202,113,76,14,6
