"Geography_Code","NM_1518_1_0","NM_1518_1_1","NM_1518_1_2","NM_1518_1_3","NM_1518_1_4","NM_1518_1_5","NM_1518_1_6","NM_1518_1_7","NM_1518_1_8","NM_1518_1_9"
"N00000098",698,50,174,50,88,74,61,51,43,107
"N00000099",99,8,10,6,14,11,13,15,5,17
"N00000100",164,11,21,11,27,14,18,13,22,27
"N00000101",112,6,14,6,9,12,16,8,12,29
"N00000102",159,12,34,8,24,18,19,17,13,14
"N00000103",253,13,26,21,30,30,25,22,32,54
"N00000104",163,9,16,8,21,20,29,14,17,29
"N00000105",163,5,5,9,13,18,20,21,24,48
"N00000106",67,1,3,1,9,9,6,8,7,23
"N00000107",93,6,5,4,11,14,7,14,5,27
"N00000108",108,5,16,11,15,9,12,8,9,23
"N00000109",264,15,25,8,33,37,28,28,37,53
"N00000110",133,7,4,8,20,17,10,18,18,31
"N00000111",182,18,39,14,20,23,14,19,18,17
"N00000112",201,24,15,13,22,20,23,12,30,42
"N00000113",160,11,26,7,21,16,16,15,19,29
"N00000114",169,12,30,17,23,16,12,10,18,31
"N00000115",119,9,5,10,12,18,19,12,11,23
"N00000116",132,5,13,6,18,17,24,13,19,17
"N00000117",46,0,4,2,5,6,3,3,7,16
"N00000118",166,30,42,22,13,13,10,15,6,15
"N00000119",120,14,40,6,25,12,3,9,4,7
"N00000120",145,33,24,12,21,15,6,17,7,10
"N00000121",126,16,16,10,21,12,15,19,10,7
"N00000122",247,53,52,36,31,19,22,14,8,12
"N00000123",157,26,48,27,22,12,5,12,3,2
"N00000124",162,29,37,15,20,21,11,13,8,8
"N00000125",215,12,43,11,25,62,24,10,11,17
"N00000126",207,9,35,17,24,61,22,14,12,13
"N00000127",177,5,23,9,22,48,19,20,16,15
"N00000128",485,40,95,27,48,131,29,33,38,44
"N00000129",102,4,9,3,10,28,20,8,8,12
"N00000130",279,22,41,29,63,35,22,30,19,18
"N00000131",212,27,37,19,36,29,20,14,14,16
"N00000132",187,9,27,17,29,55,15,11,13,11
"N00000133",145,14,18,14,22,35,13,12,10,7
"N00000134",241,40,30,25,55,29,20,13,16,13
"N00000135",127,4,9,8,20,14,17,11,24,20
"N00000136",277,23,49,35,55,33,16,27,15,24
"N00000137",159,10,17,12,42,24,18,7,10,19
"N00000138",251,26,47,20,62,31,22,19,9,15
"N00000139",130,16,18,7,26,14,9,19,8,13
"N00000140",142,13,26,12,25,11,13,16,11,15
"N00000141",153,7,7,7,23,17,22,28,13,29
"N00000142",74,3,9,6,10,14,6,8,6,12
"N00000143",80,2,4,5,11,14,7,13,9,15
"N00000144",92,3,4,7,9,15,16,12,8,18
"N00000145",34,2,0,3,4,4,3,5,6,7
"N00000146",132,19,33,11,17,13,7,10,8,14
"N00000147",92,5,7,5,18,13,6,12,12,14
"N00000148",278,13,29,17,45,37,48,28,21,40
"N00000149",175,7,18,19,37,31,18,15,18,12
"N00000150",135,9,27,16,31,20,10,6,9,7
"N00000151",111,7,13,5,17,22,10,7,14,16
"N00000152",100,6,4,6,17,16,11,11,10,19
"N00000153",70,3,2,3,13,13,9,10,7,10
"N00000154",111,8,12,10,21,24,11,10,2,13
"N00000155",166,19,17,17,25,31,18,14,10,15
"N00000156",128,9,15,21,26,18,8,7,6,18
"N00000157",183,24,43,7,29,39,9,10,8,14
"N00000158",253,32,28,26,40,45,29,23,12,18
"N00000159",83,3,13,10,13,14,7,10,4,9
"N00000160",132,13,33,12,21,14,9,13,7,10
"N00000161",165,22,50,18,22,14,10,21,4,4
"N00000162",123,12,9,10,22,14,11,18,14,13
"N00000163",107,7,9,7,18,18,11,11,11,15
"N00000164",136,25,26,19,18,18,9,11,4,6
"N00000165",140,17,33,11,27,26,8,7,8,3
"N00000166",106,6,20,13,24,8,14,8,3,10
"N00000167",175,16,38,14,38,18,11,18,4,18
"N00000168",159,22,34,10,30,17,18,8,9,11
"N00000169",370,44,74,25,55,74,27,23,25,23
"N00000170",170,15,20,12,19,28,21,19,20,16
"N00000171",216,21,31,20,40,45,18,17,15,9
"N00000172",388,45,59,31,65,71,38,30,17,32
"N00000173",185,26,26,15,34,44,12,5,10,13
"N00000174",168,8,20,14,19,21,25,16,14,31
"N00000175",199,14,25,26,30,24,20,13,24,23
"N00000176",211,14,8,17,28,29,26,30,22,37
"N00000177",134,9,17,8,14,15,23,13,17,18
"N00000178",256,13,31,19,37,25,31,42,20,38
"N00000179",344,29,39,32,60,31,31,44,24,54
"N00000180",104,5,3,8,13,12,18,13,11,21
"N00000181",145,10,14,15,20,16,14,14,15,27
"N00000182",91,7,3,7,26,13,8,10,9,8
"N00000183",151,17,30,13,35,13,7,12,6,18
"N00000184",156,12,24,22,33,21,7,17,6,14
"N00000185",78,9,15,2,12,11,9,6,1,13
"N00000186",121,10,18,12,13,17,12,17,5,17
"N00000187",92,3,3,3,14,13,19,15,6,16
"N00000188",149,9,10,7,16,27,22,25,12,21
"N00000189",160,19,27,9,42,23,12,14,5,9
"N00000190",147,9,18,10,22,23,25,15,13,12
"N00000191",157,11,16,9,32,19,14,22,17,17
"N00000192",167,7,7,14,29,23,19,20,24,24
"N00000193",113,8,8,9,15,11,13,22,18,9
"N00000194",109,8,7,12,22,13,13,9,13,12
"N00000195",83,3,4,5,16,8,8,12,7,20
"N00000196",69,4,7,1,6,10,7,8,13,13
"N00000197",171,7,16,18,42,24,13,18,14,19
"N00000198",156,11,24,15,27,24,12,13,14,16
"N00000199",185,16,24,17,48,22,14,18,14,12
"N00000200",179,15,25,13,39,29,17,14,14,13
"N00000201",146,23,32,12,24,17,10,9,9,10
"N00000202",150,20,37,13,34,7,11,8,13,7
"N00000203",160,23,32,13,20,25,11,7,10,19
"N00000204",185,10,18,19,34,26,22,18,12,26
"N00000205",159,15,28,10,39,21,11,12,6,17
"N00000206",208,29,28,26,46,15,16,14,7,27
"N00000207",153,7,19,16,30,19,17,14,10,21
"N00000208",163,17,27,23,38,17,8,14,9,10
"N00000209",210,19,42,22,61,22,9,14,3,18
"N00000210",166,15,26,15,15,18,21,21,14,21
"N00000211",193,15,26,16,32,22,26,23,10,23
"N00000212",89,11,7,6,12,8,13,7,10,15
"N00000213",137,10,24,21,29,7,15,13,7,11
"N00000214",156,12,29,19,24,17,23,13,8,11
"N00000215",197,29,48,22,22,33,15,13,7,8
"N00000216",193,22,46,16,33,32,11,7,8,18
"N00000217",213,39,50,28,43,15,7,17,4,10
"N00000218",149,30,28,19,29,6,11,11,6,9
"N00000219",88,4,3,3,8,9,10,20,12,19
"N00000220",112,2,2,8,9,11,22,17,12,29
"N00000221",99,2,8,4,15,14,16,14,13,13
"N00000222",124,12,11,7,25,17,20,13,8,11
"N00000223",150,13,20,15,25,19,19,13,9,17
"N00000224",105,8,14,10,16,14,8,13,6,16
"N00000225",41,4,8,3,5,9,5,1,2,4
"N00000226",111,14,21,11,15,14,12,5,4,15
"N00000227",75,7,8,4,11,10,15,3,6,11
"N00000228",139,5,9,14,26,18,14,28,10,15
"N00000229",174,22,25,18,29,20,21,17,9,13
"N00000230",113,4,5,10,17,17,11,24,7,18
"N00000231",92,3,2,3,8,14,24,12,7,19
"N00000232",118,3,10,12,12,20,13,16,14,18
"N00000233",115,7,16,8,23,20,13,11,4,13
"N00000234",104,5,15,7,15,16,11,8,6,21
"N00000235",127,9,27,7,25,12,16,14,5,12
"N00000236",120,7,17,10,22,12,16,12,11,13
"N00000237",201,31,48,26,30,20,14,11,9,12
"N00000238",148,26,36,15,28,13,7,12,4,7
"N00000239",92,1,6,8,13,3,13,17,16,15
"N00000240",140,8,8,9,21,14,24,23,13,20
"N00000241",223,28,52,29,47,14,15,24,3,11
"N00000242",194,26,36,17,48,20,10,16,9,12
"N00000243",110,9,8,8,10,14,14,16,13,18
"N00000244",95,11,4,6,12,8,11,12,9,22
"N00000245",149,10,18,13,32,19,13,17,9,18
"N00000246",111,8,7,6,20,11,11,14,11,23
"N00000247",145,19,17,12,38,21,9,12,5,12
"N00000248",167,15,35,16,32,15,15,15,13,11
"N00000249",219,18,25,22,40,39,31,15,8,21
"N00000250",223,29,29,12,52,21,15,19,17,29
"N00000251",235,25,32,33,45,15,26,20,17,22
"N00000252",153,20,43,15,21,19,10,3,6,16
"N00000253",275,31,43,25,41,54,19,22,22,18
"N00000254",157,14,43,10,34,27,13,4,3,9
"N00000255",178,22,31,22,27,31,12,12,10,11
"N00000256",398,53,113,45,56,39,16,28,23,25
"N00000257",214,12,31,24,52,17,24,9,18,27
"N00000258",171,26,46,14,33,25,12,2,4,9
"N00000259",226,19,32,18,40,58,12,22,9,16
"N00000260",225,22,31,28,42,45,23,12,12,10
"N00000261",261,20,48,19,32,83,15,20,9,15
"N00000262",186,7,28,25,34,42,22,13,4,11
"N00000263",102,7,10,5,16,28,12,4,7,13
"N00000264",246,15,33,11,50,52,25,21,14,25
"N00000265",142,8,7,6,27,26,14,19,15,20
"N00000266",158,14,24,12,32,33,10,17,4,12
"N00000267",216,33,48,32,44,16,12,15,6,10
"N00000268",204,21,38,23,43,29,15,11,6,18
"N00000269",177,30,27,16,29,34,10,9,6,16
"N00000270",181,17,31,15,30,34,22,5,13,14
"N00000271",179,16,45,17,36,31,8,8,3,15
"N00000272",137,12,21,9,22,26,10,9,12,16
"N00000273",214,37,59,26,40,15,7,13,6,11
"N00000274",250,28,53,25,51,37,5,18,22,11
"N00000275",131,8,15,9,20,22,10,12,10,25
"N00000276",178,20,13,14,28,17,23,22,20,21
"N00000277",181,16,19,17,30,31,18,20,17,13
"N00000278",164,8,7,13,40,24,31,15,7,19
"N00000279",109,15,11,16,18,11,10,10,7,11
"N00000280",153,4,18,12,17,21,20,23,16,22
"N00000281",176,38,31,16,22,27,9,14,11,8
"N00000282",179,19,26,14,28,35,15,21,9,12
"N00000283",167,18,25,13,33,25,17,17,8,11
"N00000284",152,11,16,24,21,16,18,12,9,25
"N00000285",113,8,4,4,18,16,17,18,11,17
"N00000286",112,16,19,7,13,16,14,7,7,13
"N00000287",105,9,6,4,17,11,17,13,15,13
"N00000288",164,12,26,18,24,22,20,18,12,12
"N00000289",229,15,22,21,53,45,29,16,12,16
"N00000290",85,5,4,4,8,12,16,9,10,17
"N00000291",270,30,30,20,44,44,27,33,17,25
"N00000292",331,40,45,38,64,54,33,26,18,13
"N00000293",268,35,45,35,65,22,29,16,14,7
"N00000294",207,30,37,12,32,48,19,10,12,7
"N00000295",167,22,35,19,38,16,12,13,9,3
"N00000296",142,10,19,18,27,27,15,10,6,10
"N00000297",181,12,19,10,39,21,20,20,21,19
"N00000298",185,10,20,11,35,11,22,30,25,21
"N00000299",149,12,22,9,31,17,23,11,8,16
"N00000300",120,7,11,10,22,9,16,16,8,21
"N00000301",200,22,34,19,42,25,17,17,9,15
"N00000302",186,17,25,19,38,21,20,28,7,11
"N00000303",159,14,24,8,39,18,17,17,15,7
"N00000304",197,14,24,23,32,27,22,22,15,18
"N00000305",219,25,41,22,57,20,17,22,4,11
"N00000306",205,15,33,25,34,25,20,18,19,16
"N00000307",183,14,24,16,40,18,12,24,20,15
"N00000308",163,13,10,18,29,18,19,23,11,22
"N00000309",208,10,24,21,51,25,22,28,12,15
"N00000310",174,13,37,15,27,57,9,6,5,5
"N00000311",136,8,17,21,25,22,12,9,4,18
"N00000312",229,16,28,21,35,56,20,18,10,25
"N00000313",280,12,41,16,66,72,20,28,6,19
"N00000314",125,2,17,7,29,20,17,7,8,18
"N00000315",126,12,7,13,15,34,13,7,8,17
"N00000316",143,6,18,10,35,27,13,12,7,15
"N00000317",142,10,15,14,27,26,23,8,5,14
"N00000318",161,17,12,9,28,31,27,15,10,12
"N00000319",348,14,27,29,59,59,62,36,31,31
"N00000320",131,10,6,7,23,32,25,11,4,13
"N00000321",222,10,22,13,38,41,30,15,18,35
"N00000322",129,6,13,4,31,19,15,13,14,14
"N00000323",248,21,38,23,35,55,28,15,8,25
"N00000324",177,11,33,19,27,34,21,14,9,9
"N00000325",225,25,27,21,36,39,24,21,15,17
"N00000326",416,29,55,44,64,61,47,34,39,43
"N00000327",142,8,14,4,24,18,17,7,16,34
"N00000328",110,2,8,5,20,14,17,14,6,24
"N00000329",141,7,12,7,22,17,17,12,18,29
"N00000330",296,38,53,33,56,42,26,21,13,14
"N00000331",265,25,33,25,35,40,24,34,19,30
"N00000332",105,6,1,3,14,13,18,13,17,20
"N00000333",91,3,3,3,7,15,20,12,8,20
"N00000334",108,9,4,4,15,20,8,20,10,18
"N00000335",145,12,18,15,41,10,13,22,6,8
"N00000336",153,13,26,12,30,17,13,22,9,11
"N00000337",143,17,33,20,22,10,8,15,6,12
"N00000338",148,14,35,17,26,25,10,7,4,10
"N00000339",154,9,27,16,28,23,11,13,14,13
"N00000340",204,19,31,15,34,26,25,24,14,16
"N00000341",178,17,31,14,39,27,10,22,10,8
"N00000342",208,17,36,22,41,20,18,33,6,15
"N00000343",199,9,39,19,36,26,18,22,19,11
"N00000344",116,3,12,10,11,18,14,16,15,17
"N00000345",146,3,11,8,10,21,21,27,15,30
"N00000346",289,17,50,21,43,31,28,27,34,38
"N00000347",106,5,13,8,10,15,14,5,10,26
"N00000348",171,16,34,12,15,18,21,16,13,26
"N00000349",166,18,25,18,22,17,21,10,17,18
"N00000350",254,23,47,21,35,42,25,16,30,15
"N00000351",192,13,31,16,23,48,21,10,18,12
"N00000352",233,13,46,18,15,46,25,17,30,23
"N00000353",200,21,25,8,22,44,23,14,20,23
"N00000354",201,14,37,14,25,55,13,8,17,18
"N00000355",207,13,31,12,35,46,19,14,19,18
"N00000356",119,5,21,6,10,17,19,10,13,18
"N00000357",460,21,42,28,49,76,53,41,59,91
"N00000358",117,9,7,6,12,15,22,8,16,22
"N00000359",299,10,33,18,28,30,34,32,27,87
"N00000360",200,20,32,12,13,36,21,26,20,20
"N00000361",161,14,27,5,7,35,26,11,16,20
"N00000362",189,9,28,8,21,49,20,14,20,20
"N00000363",205,17,28,16,22,43,19,14,25,21
"N00000364",221,12,31,10,23,65,17,13,24,26
"N00000365",98,4,7,5,8,23,14,15,13,9
"N00000366",221,12,39,15,17,45,20,14,28,31
"N00000367",143,7,14,10,14,18,15,14,23,28
"N00000368",234,22,23,16,28,51,31,20,21,22
"N00000369",198,12,31,16,28,43,11,15,18,24
"N00000370",217,17,37,19,25,52,23,16,19,9
"N00000371",199,19,36,10,16,45,16,16,24,17
"N00000372",183,17,29,18,22,34,17,18,14,14
"N00000373",208,21,50,27,29,21,16,21,12,11
"N00000374",174,17,52,18,18,18,15,11,8,17
"N00000375",136,19,30,7,24,13,14,11,8,10
"N00000376",126,13,21,3,22,13,13,8,13,20
"N00000377",107,12,17,10,17,7,11,9,9,15
"N00000378",84,7,3,0,11,13,17,12,8,13
"N00000379",246,24,46,24,39,24,29,20,22,18
"N00000380",251,18,36,14,34,43,28,20,36,22
"N00000381",372,22,44,23,49,75,40,38,41,40
"N00000382",227,18,42,17,29,54,19,13,16,19
"N00000383",213,14,30,11,24,64,17,14,20,19
"N00000384",211,19,29,16,23,51,23,9,15,26
"N00000385",200,19,32,9,23,48,19,8,25,17
"N00000386",92,7,9,6,8,19,16,12,7,8
"N00000387",77,4,8,4,9,14,15,3,3,17
"N00000388",593,51,77,32,68,93,68,63,56,85
"N00000389",182,22,51,12,19,19,15,14,14,16
"N00000390",476,50,83,34,59,118,41,30,28,33
"N00000391",259,23,48,15,33,64,24,15,19,18
"N00000392",769,74,119,55,101,147,70,59,88,56
"N00000393",218,31,22,16,31,41,19,15,29,14
"N00000394",203,16,40,14,27,45,13,13,22,13
"N00000395",221,25,51,15,24,43,15,17,18,13
"N00000396",188,29,36,11,18,33,14,11,20,16
"N00000397",277,35,67,24,34,41,18,15,21,22
"N00000398",199,23,29,17,32,38,10,13,15,22
"N00000399",155,12,21,7,21,20,20,13,17,24
"N00000400",96,7,15,2,12,11,15,7,11,16
"N00000401",105,5,18,4,16,15,17,8,6,16
"N00000402",111,12,10,3,14,21,14,7,9,21
"N00000403",199,13,42,11,20,32,25,15,15,26
"N00000404",81,7,8,5,4,15,10,12,10,10
"N00000405",78,3,4,0,12,26,15,2,5,11
"N00000406",187,14,28,12,19,44,13,16,16,25
"N00000407",516,33,84,31,60,115,59,40,55,39
"N00000408",196,16,29,8,27,50,15,11,19,21
"N00000409",186,12,27,13,21,32,21,18,22,20
"N00000410",197,22,38,11,24,56,12,8,15,11
"N00000411",159,10,24,11,18,33,14,14,20,15
"N00000412",201,12,30,9,26,49,19,15,18,23
"N00000413",217,20,31,9,29,53,14,21,24,16
"N00000414",186,10,35,6,21,45,18,9,22,20
"N00000415",207,14,28,11,23,39,23,14,25,30
"N00000416",216,20,27,18,38,55,14,11,13,20
"N00000417",273,15,44,25,31,39,32,25,36,26
"N00000418",412,33,72,43,67,71,33,29,38,26
"N00000419",171,15,41,12,25,28,13,14,14,9
"N00000420",154,19,34,13,17,22,12,15,12,10
"N00000421",279,32,28,30,45,36,29,31,22,26
"N00000422",160,9,13,5,20,16,23,11,39,24
"N00000423",213,16,34,19,36,43,16,10,21,18
"N00000424",261,20,49,14,35,33,23,23,46,18
"N00000425",172,15,33,15,29,27,9,7,21,16
"N00000426",132,10,23,12,9,29,9,6,19,15
"N00000427",136,8,22,7,17,35,9,12,16,10
"N00000428",195,10,26,19,22,34,17,20,21,26
"N00000429",209,16,45,18,19,43,20,11,21,16
"N00000430",231,17,36,13,28,54,29,25,17,12
"N00000431",158,13,23,7,16,31,24,14,12,18
"N00000432",114,7,18,4,10,19,12,12,13,19
"N00000433",106,10,10,6,4,25,15,9,11,16
"N00000434",185,12,14,8,20,36,23,22,29,21
"N00000435",169,13,16,9,17,31,19,14,29,21
"N00000436",254,24,27,18,46,46,21,30,17,25
"N00000437",327,31,58,29,46,60,33,21,27,22
"N00000438",252,20,54,18,25,49,29,15,28,14
"N00000439",218,25,44,19,18,45,19,21,13,14
"N00000440",190,13,19,8,20,51,25,19,16,19
"N00000441",149,16,24,11,11,24,16,4,20,23
"N00000442",201,16,37,13,28,23,21,21,20,22
"N00000443",254,36,63,26,35,30,20,19,11,14
"N00000444",232,6,29,20,21,35,25,23,30,43
"N00000445",177,22,67,16,21,12,13,10,7,9
"N00000446",175,16,47,17,25,16,19,12,9,14
"N00000447",127,17,24,8,24,11,9,7,14,13
"N00000448",84,3,7,8,12,12,8,4,7,23
"N00000449",226,20,39,17,21,56,21,24,14,14
"N00000450",238,23,49,19,27,42,30,7,29,12
"N00000451",226,16,55,23,26,33,14,24,21,14
"N00000452",201,17,32,19,22,49,12,13,22,15
"N00000453",125,12,11,5,16,25,19,10,11,16
"N00000454",267,23,41,13,32,66,32,22,24,14
"N00000455",121,10,20,11,12,11,13,11,14,19
"N00000456",153,21,39,19,27,12,9,10,7,9
"N00000457",183,15,24,15,26,23,28,18,20,14
"N00000458",183,24,33,17,27,24,20,17,9,12
"N00000459",337,21,58,22,71,34,31,35,33,32
"N00000460",169,8,19,12,22,28,24,8,25,23
"N00000461",220,23,27,20,45,27,23,12,20,23
"N00000462",89,2,14,4,9,16,11,10,12,11
"N00000463",366,24,52,29,32,63,36,27,57,46
"N00000464",213,14,26,29,42,30,17,19,20,16
"N00000465",129,10,9,11,18,12,10,14,25,20
"N00000466",179,22,36,15,26,31,15,16,10,8
"N00000467",134,10,19,9,23,16,13,17,12,15
"N00000468",149,13,19,15,29,13,17,12,14,17
"N00000469",214,17,17,21,33,27,21,18,27,33
"N00000470",125,9,15,10,17,20,16,12,10,16
"N00000471",143,6,11,7,10,21,17,20,23,28
"N00000472",87,4,11,4,8,11,17,8,11,13
"N00000473",93,6,9,5,8,16,12,15,11,11
"N00000474",82,8,22,6,11,10,7,6,5,7
"N00000475",99,5,9,1,8,19,15,10,5,27
"N00000476",118,3,10,6,10,15,17,12,13,32
"N00000477",350,52,85,35,59,30,17,25,26,21
"N00000478",118,4,16,4,7,18,8,12,20,29
"N00000479",112,17,33,9,19,5,4,9,6,10
"N00000480",127,11,24,10,17,18,14,11,11,11
"N00000481",190,18,41,21,25,22,12,17,17,17
"N00000482",70,6,6,0,10,16,6,12,8,6
"N00000483",147,6,26,7,16,28,14,22,13,15
"N00000484",155,4,12,10,11,30,27,14,20,27
"N00000485",118,4,13,6,13,22,17,17,14,12
"N00000486",200,12,31,16,36,23,15,24,29,14
"N00000487",151,12,19,12,23,21,18,17,16,13
"N00000488",223,15,34,15,38,35,14,30,21,21
"N00000489",137,12,28,8,17,17,10,23,15,7
"N00000490",273,26,43,29,44,45,26,24,17,19
"N00000491",264,26,39,31,38,36,27,21,22,24
"N00000492",222,14,51,25,24,36,13,21,22,16
"N00000493",140,16,34,10,30,20,10,8,6,6
"N00000494",410,33,108,50,46,40,29,34,30,40
"N00000495",158,17,31,7,26,18,7,14,24,14
"N00000496",463,54,99,51,53,54,38,51,36,27
"N00000497",436,29,89,40,57,50,47,34,48,42
"N00000498",140,19,35,14,14,15,13,10,10,10
"N00000499",135,10,8,8,22,13,15,22,19,18
"N00000500",198,8,6,10,18,26,25,31,30,44
"N00000501",110,6,6,3,11,15,18,16,17,18
"N00000502",65,7,1,3,3,6,8,7,8,22
"N00000503",129,6,4,4,15,15,20,22,19,24
"N00000504",67,2,3,3,2,7,7,12,7,24
"N00000505",88,2,2,5,8,17,11,16,12,15
"N00000506",156,10,13,7,15,24,17,21,23,26
"N00000507",74,2,3,1,6,11,7,14,12,18
"N00000508",135,8,7,8,15,20,12,23,16,26
"N00000509",120,7,7,5,9,17,13,17,14,31
"N00000510",101,5,2,7,6,12,8,20,16,25
"N00000511",203,25,40,21,26,20,15,15,12,29
"N00000512",199,20,45,22,28,22,15,11,20,16
"N00000513",161,15,27,16,27,17,18,12,16,13
"N00000514",155,16,33,18,17,21,8,13,10,19
"N00000515",167,20,33,17,24,16,12,15,13,17
"N00000516",102,9,19,7,21,14,9,5,6,12
"N00000517",180,16,39,23,28,13,15,15,20,11
"N00000518",145,21,26,12,19,21,11,9,13,13
"N00000519",119,9,23,7,19,17,6,15,14,9
"N00000520",241,18,41,22,29,27,17,24,34,29
"N00000521",187,18,37,12,20,20,20,15,19,26
"N00000522",199,22,24,17,26,34,16,14,21,25
"N00000523",189,19,35,21,28,24,14,15,23,10
"N00000524",251,19,50,22,42,43,24,15,20,16
"N00000525",174,17,23,25,18,18,12,22,22,17
"N00000526",139,8,12,13,12,17,8,14,27,28
"N00000527",178,11,15,15,16,13,19,29,27,33
"N00000528",119,3,12,5,12,18,8,17,20,24
"N00000529",90,1,9,6,10,15,3,14,13,19
"N00000530",123,7,12,7,21,7,12,15,20,22
