"Geography_Code","NM_1518_1_0","NM_1518_1_1","NM_1518_1_2","NM_1518_1_3","NM_1518_1_4","NM_1518_1_5","NM_1518_1_6","NM_1518_1_7","NM_1518_1_8","NM_1518_1_9"
"N00000001",591,65,30,163,199,33,31,29,18,23
"N00000002",170,16,39,18,22,21,11,20,10,13
"N00000003",115,15,31,9,18,10,10,6,6,10
"N00000004",310,19,48,27,42,56,25,29,29,35
"N00000005",210,32,39,20,18,43,17,13,11,17
"N00000006",134,11,24,10,23,33,6,13,8,6
"N00000007",130,16,20,13,19,24,11,7,10,10
"N00000008",162,19,37,16,26,26,10,5,13,10
"N00000009",408,56,103,34,58,47,24,31,19,36
"N00000010",113,11,18,4,12,25,7,14,8,14
"N00000011",130,8,12,14,18,15,12,16,7,28
"N00000012",132,4,6,10,14,14,14,23,15,32
"N00000013",116,6,15,10,15,14,18,8,13,17
"N00000014",265,7,31,24,35,36,32,36,27,37
"N00000015",85,3,4,11,7,7,10,10,7,26
"N00000016",98,5,12,10,14,18,7,10,7,15
"N00000017",150,5,14,10,15,22,19,18,18,29
"N00000018",109,6,14,6,14,14,8,12,18,17
"N00000019",116,5,8,5,10,15,15,10,14,34
"N00000020",88,1,4,6,16,9,10,11,6,25
"N00000021",114,8,10,11,9,21,15,13,5,22
"N00000022",110,1,11,4,10,14,24,16,12,18
"N00000023",88,4,6,7,7,17,16,5,11,15
"N00000024",281,33,57,40,34,49,18,20,14,16
"N00000025",241,28,31,24,31,43,18,24,23,19
"N00000026",260,36,43,31,25,44,24,17,19,21
"N00000027",257,29,35,18,45,53,26,17,16,18
"N00000028",123,9,11,15,26,15,12,8,16,11
"N00000029",218,25,39,21,26,46,15,14,16,16
"N00000030",190,14,27,22,22,48,19,16,10,12
"N00000031",338,27,72,28,42,74,33,21,22,19
"N00000032",174,20,31,10,22,34,22,14,11,10
"N00000033",246,15,46,19,27,56,24,15,21,23
"N00000034",224,28,42,17,21,36,25,18,18,19
"N00000035",120,3,16,8,14,24,18,9,7,21
"N00000036",174,20,28,12,27,25,22,9,15,16
"N00000037",120,4,16,11,21,9,16,18,11,14
"N00000038",182,17,22,11,31,35,21,18,12,15
"N00000039",590,40,68,68,101,63,76,67,49,58
"N00000040",118,7,4,9,21,11,14,14,19,19
"N00000041",225,28,27,22,48,20,21,22,20,17
"N00000042",198,12,27,18,29,23,28,17,24,20
"N00000043",547,47,89,65,84,49,45,67,43,58
"N00000044",113,8,7,11,24,11,13,12,14,13
"N00000045",269,26,57,21,34,57,16,17,22,19
"N00000046",191,7,39,12,24,53,14,11,12,19
"N00000047",184,15,33,13,30,34,14,22,12,11
"N00000048",135,5,5,7,14,18,24,12,22,28
"N00000049",120,6,7,3,18,13,19,11,18,25
"N00000050",147,24,29,9,15,18,12,5,17,18
"N00000051",110,2,11,8,8,16,12,12,14,27
"N00000052",124,7,19,9,12,17,18,13,12,17
"N00000053",112,4,6,11,7,7,14,18,19,26
"N00000054",116,4,8,12,13,10,22,15,12,20
"N00000055",113,5,8,11,11,15,15,12,15,21
"N00000056",125,1,6,4,14,24,18,16,18,24
"N00000057",106,4,7,3,12,8,11,11,17,33
"N00000058",120,5,13,5,14,14,15,8,21,25
"N00000059",99,2,8,3,6,13,13,19,15,20
"N00000060",161,9,10,10,17,18,21,21,15,40
"N00000061",124,14,29,12,9,11,11,10,13,15
"N00000062",159,30,33,16,24,10,10,17,9,10
"N00000063",146,12,17,12,13,14,16,20,9,33
"N00000064",88,5,6,6,4,12,12,13,10,20
"N00000065",192,16,30,11,27,23,29,19,13,24
"N00000066",146,8,33,12,25,12,13,17,11,15
"N00000067",111,7,6,3,14,14,14,14,5,34
"N00000068",183,19,35,15,25,16,10,21,19,23
"N00000069",87,5,4,2,12,15,13,8,10,18
"N00000070",102,13,18,9,17,14,10,3,8,10
"N00000071",123,10,8,8,21,18,21,11,5,21
"N00000072",943,74,157,90,138,93,91,82,95,123
"N00000073",237,18,33,11,28,20,23,21,32,51
"N00000074",593,44,142,55,99,73,51,48,33,48
"N00000075",216,19,22,58,29,18,13,15,21,21
"N00000076",182,15,36,19,26,22,14,23,6,21
"N00000077",141,14,21,10,19,18,13,14,12,20
"N00000078",263,24,46,26,32,30,24,29,24,28
"N00000079",300,43,62,33,39,58,15,23,12,15
"N00000080",225,21,49,25,51,24,15,12,6,22
"N00000081",166,24,39,26,16,19,10,8,7,17
"N00000082",181,34,40,10,26,25,14,10,12,10
"N00000083",358,49,61,30,56,65,27,23,20,27
"N00000084",229,35,43,18,37,39,7,14,18,18
"N00000085",159,9,26,11,18,17,24,8,18,28
"N00000086",189,6,34,18,31,37,9,18,13,23
"N00000087",475,46,106,40,63,85,50,25,26,34
"N00000088",74,5,5,6,9,18,8,5,11,7
"N00000089",236,22,43,24,45,31,26,15,14,16
"N00000090",197,9,43,12,30,28,21,17,14,23
"N00000091",243,25,46,19,25,39,21,16,23,29
"N00000092",231,21,41,26,33,42,12,20,20,16
"N00000093",186,22,31,15,24,25,20,16,13,20
"N00000094",254,23,64,31,34,46,20,18,11,7
"N00000095",235,23,45,16,37,43,12,25,15,19
"N00000096",245,33,46,29,34,42,12,22,14,13
"N00000097",467,26,75,46,67,59,43,50,36,65
