"Geography_Code","NM_1533_1_0","NM_1533_1_1","NM_1533_1_2"
"N00000001",6,1,5
"N00000002",6,4,2
"N00000003",4,1,3
"N00000004",13,8,5
"N00000005",4,2,2
"N00000006",3,1,2
"N00000007",3,1,2
"N00000008",6,1,5
"N00000009",9,5,4
"N00000010",5,2,3
"N00000011",1,1,0
"N00000012",0,0,0
"N00000013",4,2,2
"N00000014",0,0,0
"N00000015",0,0,0
"N00000016",2,0,2
"N00000017",2,2,0
"N00000018",1,0,1
"N00000019",1,0,1
"N00000020",0,0,0
"N00000021",1,0,1
"N00000022",2,0,2
"N00000023",0,0,0
"N00000024",6,0,6
"N00000025",3,1,2
"N00000026",9,4,5
"N00000027",5,2,3
"N00000028",1,1,0
"N00000029",6,2,4
"N00000030",2,1,1
"N00000031",8,5,3
"N00000032",5,3,2
"N00000033",8,4,4
"N00000034",9,3,6
"N00000035",2,0,2
"N00000036",4,2,2
"N00000037",0,0,0
"N00000038",2,0,2
"N00000039",8,5,3
"N00000040",0,0,0
"N00000041",0,0,0
"N00000042",4,1,3
"N00000043",10,3,7
"N00000044",0,0,0
"N00000045",9,3,6
"N00000046",6,2,4
"N00000047",1,0,1
"N00000048",0,0,0
"N00000049",1,1,0
"N00000050",5,2,3
"N00000051",1,0,1
"N00000052",5,1,4
"N00000053",0,0,0
"N00000054",3,1,2
"N00000055",0,0,0
"N00000056",0,0,0
"N00000057",2,2,0
"N00000058",1,0,1
"N00000059",1,1,0
"N00000060",2,2,0
"N00000061",5,1,4
"N00000062",10,3,7
"N00000063",2,2,0
"N00000064",3,1,2
"N00000065",3,1,2
"N00000066",2,1,1
"N00000067",0,0,0
"N00000068",7,1,6
"N00000069",0,0,0
"N00000070",2,1,1
"N00000071",6,3,3
"N00000072",10,7,3
"N00000073",1,0,1
"N00000074",4,3,1
"N00000075",2,0,2
"N00000076",0,0,0
"N00000077",2,1,1
"N00000078",1,1,0
"N00000079",9,4,5
"N00000080",8,3,5
"N00000081",8,3,5
"N00000082",12,2,10
"N00000083",12,5,7
"N00000084",3,2,1
"N00000085",3,1,2
"N00000086",8,6,2
"N00000087",17,8,9
"N00000088",0,0,0
"N00000089",5,4,1
"N00000090",3,3,0
"N00000091",5,4,1
"N00000092",5,2,3
"N00000093",2,1,1
"N00000094",8,3,5
"N00000095",1,0,1
"N00000096",9,2,7
"N00000097",8,4,4
"N00000098",10,5,5
"N00000099",2,0,2
"N00000100",2,1,1
"N00000101",0,0,0
"N00000102",4,1,3
"N00000103",2,1,1
"N00000104",0,0,0
"N00000105",3,0,3
"N00000106",0,0,0
"N00000107",1,1,0
"N00000108",0,0,0
"N00000109",4,3,1
"N00000110",0,0,0
"N00000111",4,3,1
"N00000112",2,1,1
"N00000113",0,0,0
"N00000114",0,0,0
"N00000115",2,1,1
"N00000116",1,1,0
"N00000117",0,0,0
"N00000118",6,3,3
"N00000119",3,2,1
"N00000120",6,5,1
"N00000121",1,0,1
"N00000122",7,4,3
"N00000123",7,3,4
"N00000124",3,0,3
"N00000125",7,4,3
"N00000126",5,3,2
"N00000127",6,2,4
"N00000128",26,11,15
"N00000129",2,1,1
"N00000130",11,10,1
"N00000131",6,2,4
"N00000132",4,2,2
"N00000133",2,1,1
"N00000134",1,0,1
"N00000135",0,0,0
"N00000136",5,0,5
"N00000137",3,3,0
"N00000138",4,2,2
"N00000139",1,1,0
"N00000140",3,1,2
"N00000141",3,1,2
"N00000142",1,1,0
"N00000143",0,0,0
"N00000144",1,0,1
"N00000145",2,1,1
"N00000146",9,7,2
"N00000147",1,1,0
"N00000148",6,4,2
"N00000149",0,0,0
"N00000150",2,1,1
"N00000151",3,1,2
"N00000152",0,0,0
"N00000153",0,0,0
"N00000154",0,0,0
"N00000155",4,1,3
"N00000156",2,1,1
"N00000157",3,0,3
"N00000158",6,2,4
"N00000159",4,1,3
"N00000160",2,2,0
"N00000161",12,7,5
"N00000162",5,1,4
"N00000163",0,0,0
"N00000164",3,3,0
"N00000165",1,1,0
"N00000166",1,0,1
"N00000167",8,1,7
"N00000168",5,3,2
"N00000169",7,1,6
"N00000170",4,3,1
"N00000171",6,4,2
"N00000172",5,3,2
"N00000173",1,1,0
"N00000174",2,0,2
"N00000175",2,2,0
"N00000176",4,1,3
"N00000177",0,0,0
"N00000178",1,0,1
"N00000179",1,1,0
"N00000180",1,1,0
"N00000181",0,0,0
"N00000182",0,0,0
"N00000183",7,2,5
"N00000184",1,1,0
"N00000185",4,2,2
"N00000186",0,0,0
"N00000187",2,1,1
"N00000188",1,0,1
"N00000189",2,1,1
"N00000190",4,1,3
"N00000191",3,2,1
"N00000192",4,1,3
"N00000193",1,0,1
"N00000194",1,0,1
"N00000195",0,0,0
"N00000196",1,0,1
"N00000197",1,1,0
"N00000198",1,1,0
"N00000199",0,0,0
"N00000200",1,0,1
"N00000201",6,4,2
"N00000202",8,2,6
"N00000203",8,3,5
"N00000204",6,3,3
"N00000205",4,2,2
"N00000206",2,0,2
"N00000207",2,2,0
"N00000208",7,3,4
"N00000209",7,5,2
"N00000210",2,1,1
"N00000211",2,2,0
"N00000212",2,0,2
"N00000213",5,1,4
"N00000214",2,2,0
"N00000215",4,0,4
"N00000216",13,4,9
"N00000217",13,6,7
"N00000218",1,1,0
"N00000219",0,0,0
"N00000220",4,1,3
"N00000221",1,0,1
"N00000222",1,1,0
"N00000223",4,3,1
"N00000224",2,1,1
"N00000225",0,0,0
"N00000226",2,2,0
"N00000227",0,0,0
"N00000228",2,1,1
"N00000229",10,6,4
"N00000230",1,0,1
"N00000231",0,0,0
"N00000232",0,0,0
"N00000233",0,0,0
"N00000234",0,0,0
"N00000235",5,4,1
"N00000236",3,2,1
"N00000237",3,2,1
"N00000238",7,0,7
"N00000239",0,0,0
"N00000240",2,1,1
"N00000241",14,4,10
"N00000242",2,2,0
"N00000243",0,0,0
"N00000244",0,0,0
"N00000245",0,0,0
"N00000246",1,0,1
"N00000247",3,0,3
"N00000248",5,0,5
"N00000249",5,1,4
"N00000250",3,1,2
"N00000251",3,2,1
"N00000252",7,1,6
"N00000253",2,1,1
"N00000254",6,4,2
"N00000255",4,2,2
"N00000256",12,6,6
"N00000257",2,1,1
"N00000258",8,3,5
"N00000259",11,6,5
"N00000260",6,5,1
"N00000261",9,4,5
"N00000262",6,4,2
"N00000263",1,0,1
"N00000264",4,2,2
"N00000265",6,5,1
"N00000266",5,4,1
"N00000267",10,4,6
"N00000268",8,5,3
"N00000269",3,2,1
"N00000270",1,0,1
"N00000271",6,2,4
"N00000272",2,1,1
"N00000273",8,3,5
"N00000274",9,6,3
"N00000275",2,2,0
"N00000276",2,1,1
"N00000277",4,1,3
"N00000278",1,1,0
"N00000279",0,0,0
"N00000280",3,2,1
"N00000281",12,5,7
"N00000282",5,2,3
"N00000283",3,1,2
"N00000284",4,1,3
"N00000285",0,0,0
"N00000286",0,0,0
"N00000287",0,0,0
"N00000288",3,2,1
"N00000289",2,1,1
"N00000290",1,0,1
"N00000291",2,1,1
"N00000292",5,2,3
"N00000293",3,1,2
"N00000294",8,6,2
"N00000295",5,2,3
"N00000296",0,0,0
"N00000297",3,1,2
"N00000298",2,0,2
"N00000299",3,3,0
"N00000300",2,1,1
"N00000301",0,0,0
"N00000302",6,1,5
"N00000303",3,0,3
"N00000304",1,1,0
"N00000305",8,6,2
"N00000306",3,1,2
"N00000307",5,3,2
"N00000308",3,2,1
"N00000309",4,2,2
"N00000310",10,4,6
"N00000311",2,2,0
"N00000312",6,2,4
"N00000313",9,4,5
"N00000314",1,1,0
"N00000315",4,1,3
"N00000316",5,1,4
"N00000317",3,1,2
"N00000318",3,1,2
"N00000319",3,2,1
"N00000320",2,0,2
"N00000321",4,1,3
"N00000322",4,2,2
"N00000323",6,0,6
"N00000324",9,4,5
"N00000325",2,1,1
"N00000326",1,1,0
"N00000327",3,0,3
"N00000328",1,0,1
"N00000329",0,0,0
"N00000330",6,3,3
"N00000331",5,2,3
"N00000332",0,0,0
"N00000333",1,0,1
"N00000334",0,0,0
"N00000335",4,0,4
"N00000336",1,0,1
"N00000337",11,8,3
"N00000338",4,2,2
"N00000339",6,2,4
"N00000340",6,5,1
"N00000341",6,3,3
"N00000342",4,2,2
"N00000343",5,3,2
"N00000344",4,3,1
"N00000345",6,4,2
"N00000346",10,4,6
"N00000347",1,0,1
"N00000348",13,9,4
"N00000349",0,0,0
"N00000350",4,2,2
"N00000351",7,3,4
"N00000352",17,13,4
"N00000353",5,1,4
"N00000354",12,3,9
"N00000355",9,2,7
"N00000356",5,3,2
"N00000357",15,8,7
"N00000358",5,1,4
"N00000359",4,2,2
"N00000360",12,6,6
"N00000361",9,2,7
"N00000362",10,4,6
"N00000363",13,3,10
"N00000364",5,4,1
"N00000365",7,3,4
"N00000366",5,1,4
"N00000367",4,3,1
"N00000368",9,5,4
"N00000369",5,3,2
"N00000370",14,7,7
"N00000371",7,2,5
"N00000372",5,0,5
"N00000373",10,7,3
"N00000374",16,8,8
"N00000375",9,5,4
"N00000376",6,3,3
"N00000377",0,0,0
"N00000378",4,2,2
"N00000379",12,4,8
"N00000380",8,2,6
"N00000381",10,4,6
"N00000382",18,9,9
"N00000383",3,1,2
"N00000384",10,1,9
"N00000385",11,6,5
"N00000386",3,1,2
"N00000387",8,5,3
"N00000388",24,13,11
"N00000389",10,4,6
"N00000390",28,8,20
"N00000391",5,4,1
"N00000392",25,10,15
"N00000393",5,3,2
"N00000394",5,3,2
"N00000395",9,6,3
"N00000396",5,4,1
"N00000397",16,10,6
"N00000398",2,0,2
"N00000399",1,1,0
"N00000400",2,0,2
"N00000401",1,0,1
"N00000402",4,1,3
"N00000403",7,4,3
"N00000404",2,0,2
"N00000405",3,2,1
"N00000406",8,3,5
"N00000407",12,2,10
"N00000408",7,4,3
"N00000409",3,2,1
"N00000410",7,3,4
"N00000411",5,2,3
"N00000412",10,2,8
"N00000413",11,9,2
"N00000414",9,3,6
"N00000415",1,1,0
"N00000416",10,4,6
"N00000417",0,0,0
"N00000418",12,7,5
"N00000419",5,3,2
"N00000420",7,5,2
"N00000421",4,2,2
"N00000422",5,4,1
"N00000423",4,3,1
"N00000424",13,1,12
"N00000425",14,8,6
"N00000426",12,5,7
"N00000427",1,0,1
"N00000428",6,5,1
"N00000429",6,4,2
"N00000430",3,1,2
"N00000431",4,1,3
"N00000432",3,1,2
"N00000433",4,1,3
"N00000434",0,0,0
"N00000435",2,0,2
"N00000436",6,3,3
"N00000437",13,4,9
"N00000438",18,7,11
"N00000439",11,6,5
"N00000440",7,1,6
"N00000441",7,2,5
"N00000442",3,2,1
"N00000443",13,8,5
"N00000444",3,0,3
"N00000445",17,7,10
"N00000446",13,5,8
"N00000447",5,2,3
"N00000448",0,0,0
"N00000449",10,7,3
"N00000450",8,3,5
"N00000451",7,4,3
"N00000452",9,6,3
"N00000453",2,1,1
"N00000454",8,2,6
"N00000455",0,0,0
"N00000456",6,3,3
"N00000457",6,2,4
"N00000458",16,6,10
"N00000459",18,5,13
"N00000460",0,0,0
"N00000461",4,2,2
"N00000462",0,0,0
"N00000463",1,0,1
"N00000464",4,1,3
"N00000465",1,1,0
"N00000466",9,5,4
"N00000467",2,1,1
"N00000468",3,2,1
"N00000469",1,1,0
"N00000470",11,3,8
"N00000471",3,3,0
"N00000472",5,0,5
"N00000473",0,0,0
"N00000474",5,2,3
"N00000475",1,0,1
"N00000476",1,1,0
"N00000477",26,14,12
"N00000478",1,1,0
"N00000479",5,3,2
"N00000480",5,2,3
"N00000481",13,8,5
"N00000482",0,0,0
