"Geography_Code","NM_160_1_0","NM_160_1_1","NM_160_1_2"
"N00000108",243,7,34.7
"N00000109",512,9,56.9
"N00000110",258,4,64.5
"N00000111",356,9,39.6
"N00000112",402,7,57.4
"N00000113",309,10,30.9
"N00000114",318,6,53
"N00000115",302,8,37.8
"N00000116",287,8,35.9
"N00000117",168,5,33.6
"N00000118",333,171,1.9
"N00000119",289,28,10.3
"N00000120",323,789,0.4
"N00000121",293,22,13.3
"N00000122",481,630,0.8
"N00000123",351,92,3.8
"N00000124",369,296,1.2
"N00000125",464,964,0.5
"N00000126",481,621,0.8
"N00000127",405,449,0.9
"N00000128",991,1463,0.7
"N00000129",346,26,13.3
"N00000130",498,53,9.4
"N00000131",388,460,0.8
"N00000132",366,771,0.5
"N00000133",322,132,2.4
"N00000134",437,26,16.8
"N00000135",312,63,5
"N00000136",507,29,17.5
"N00000137",315,6,52.5
"N00000138",464,12,38.7
"N00000139",301,68,4.4
"N00000140",333,135,2.5
"N00000141",443,6,73.8
"N00000142",205,4,51.2
"N00000143",215,8,26.9
"N00000144",228,9,25.3
"N00000145",124,4,31
"N00000146",271,780,0.3
"N00000147",227,4,56.8
"N00000148",676,170,4
"N00000149",432,82,5.3
"N00000150",365,22,16.6
"N00000151",283,11,25.7
"N00000152",270,12,22.5
"N00000153",250,9,27.8
"N00000154",259,17,15.2
"N00000155",337,568,0.6
"N00000156",301,179,1.7
"N00000157",368,1267,0.3
"N00000158",678,946,0.7
"N00000159",221,18,12.3
"N00000160",322,22,14.6
"N00000161",342,54,6.3
"N00000162",242,11,22
"N00000163",311,12,25.9
"N00000164",288,542,0.5
"N00000165",325,260,1.2
"N00000166",273,17,16.1
"N00000167",379,82,4.6
"N00000168",345,17,20.3
"N00000169",704,1473,0.5
"N00000170",370,176,2.1
"N00000171",416,831,0.5
"N00000172",772,1121,0.7
"N00000173",373,1102,0.3
"N00000174",393,33,11.9
"N00000175",373,282,1.3
"N00000176",474,16,29.6
"N00000177",323,161,2
"N00000178",667,16,41.7
"N00000179",852,24,35.5
"N00000180",280,4,70
"N00000181",274,9,30.4
"N00000182",228,7,32.6
"N00000183",293,10,29.3
"N00000184",372,19,19.6
"N00000185",211,10,21.1
"N00000186",299,20,14.9
"N00000187",255,23,11.1
"N00000188",347,11,31.5
"N00000189",341,335,1
"N00000190",304,7,43.4
"N00000191",303,6,50.5
"N00000192",302,4,75.5
"N00000193",291,15,19.4
"N00000194",255,5,51
"N00000195",246,6,41
"N00000196",237,4,59.2
"N00000197",326,6,54.3
"N00000198",287,181,1.6
"N00000199",350,139,2.5
"N00000200",331,5,66.2
"N00000201",294,32,9.2
"N00000202",304,17,17.9
"N00000203",334,436,0.8
"N00000204",393,11,35.7
"N00000205",303,93,3.3
"N00000206",390,9,43.3
"N00000207",253,6,42.2
"N00000208",316,12,26.3
"N00000209",356,40,8.9
"N00000210",383,18,21.3
"N00000211",528,66,8
"N00000212",175,6,29.2
"N00000213",281,16,17.6
"N00000214",323,11,29.4
"N00000215",400,597,0.7
"N00000216",397,654,0.6
"N00000217",479,252,1.9
"N00000218",361,63,5.7
"N00000219",245,8,30.6
"N00000220",284,4,71
"N00000221",262,6,43.7
"N00000222",298,104,2.9
"N00000223",319,16,19.9
"N00000224",243,7,34.7
"N00000225",147,7,21
"N00000226",261,11,23.7
"N00000227",195,7,27.9
"N00000228",306,7,43.7
"N00000229",395,11,35.9
"N00000230",293,5,58.6
"N00000231",324,5,64.8
"N00000232",309,9,34.3
"N00000233",258,8,32.2
"N00000234",256,3,85.3
"N00000235",323,11,29.4
"N00000236",291,15,19.4
"N00000237",416,271,1.5
"N00000238",306,135,2.3
"N00000239",254,7,36.3
"N00000240",354,15,23.6
"N00000241",424,25,17
"N00000242",360,142,2.5
"N00000243",265,5,53
"N00000244",275,3,91.7
"N00000245",314,5,62.8
"N00000246",309,4,77.2
"N00000247",309,18,17.2
"N00000248",337,7,48.1
"N00000249",386,16,24.1
"N00000250",401,9,44.6
"N00000251",456,8,57
"N00000252",345,580,0.6
"N00000253",499,703,0.7
"N00000254",315,638,0.5
"N00000255",351,922,0.4
"N00000256",780,524,1.5
"N00000257",447,49,9.1
"N00000258",379,636,0.6
"N00000259",465,1249,0.4
"N00000260",560,356,1.6
"N00000261",561,999,0.6
"N00000262",419,787,0.5
"N00000263",239,121,2
"N00000264",566,328,1.7
"N00000265",351,25,14
"N00000266",328,37,8.9
"N00000267",431,261,1.7
"N00000268",384,367,1
"N00000269",347,889,0.4
"N00000270",371,763,0.5
"N00000271",380,527,0.7
"N00000272",295,215,1.4
"N00000273",460,163,2.8
"N00000274",468,627,0.7
"N00000275",291,11,26.5
"N00000276",315,19,16.6
"N00000277",310,5,62
"N00000278",304,6,50.7
"N00000279",181,4,45.2
"N00000280",392,9,43.6
"N00000281",349,1109,0.3
"N00000282",364,798,0.5
"N00000283",346,71,4.9
"N00000284",382,9,42.4
"N00000285",322,7,46
"N00000286",271,29,9.3
"N00000287",297,6,49.5
"N00000288",353,109,3.2
"N00000289",496,22,22.5
"N00000290",271,5,54.2
"N00000291",512,156,3.3
"N00000292",731,346,2.1
"N00000293",522,14,37.3
"N00000294",405,797,0.5
"N00000295",421,37,11.4
"N00000296",287,14,20.5
"N00000297",371,8,46.4
"N00000298",335,6,55.8
"N00000299",324,23,14.1
"N00000300",296,7,42.3
"N00000301",366,27,13.6
"N00000302",363,7,51.9
"N00000303",318,8,39.8
"N00000304",342,4,85.5
"N00000305",395,15,26.3
"N00000306",381,5,76.2
"N00000307",355,6,59.2
"N00000308",277,7,39.6
"N00000309",378,7,54
"N00000310",408,1355,0.3
"N00000311",333,170,2
"N00000312",512,1065,0.5
"N00000313",636,404,1.6
"N00000314",358,8,44.8
"N00000315",345,12,28.8
"N00000316",374,18,20.8
"N00000317",447,20,22.4
"N00000318",344,244,1.4
"N00000319",819,40,20.5
"N00000320",318,217,1.5
"N00000321",517,30,17.2
"N00000322",389,39,10
"N00000323",472,1017,0.5
"N00000324",376,343,1.1
"N00000325",538,81,6.6
"N00000326",946,284,3.3
"N00000327",325,7,46.4
"N00000328",291,9,32.3
"N00000329",402,6,67
"N00000330",539,355,1.5
"N00000331",612,21,29.1
"N00000332",284,5,56.8
"N00000333",293,7,41.9
"N00000334",294,10,29.4
"N00000335",326,5,65.2
"N00000336",330,10,33
"N00000337",282,38,7.4
"N00000338",308,10,30.8
"N00000339",294,11,26.7
"N00000340",427,172,2.5
"N00000341",348,11,31.6
"N00000342",359,6,59.8
"N00000343",351,6,58.5
"N00000344",406,64,6.3
"N00000345",416,14,29.7
"N00000346",685,122,5.6
"N00000347",257,25,10.3
"N00000348",426,22,19.4
"N00000349",368,101,3.6
"N00000350",577,661,0.9
"N00000351",414,924,0.4
"N00000352",466,928,0.5
"N00000353",422,768,0.5
"N00000354",405,1845,0.2
"N00000355",441,1011,0.4
"N00000356",414,22,18.8
"N00000357",1212,63,19.2
"N00000358",371,23,16.1
"N00000359",820,31,26.5
"N00000360",423,729,0.6
"N00000361",413,370,1.1
"N00000362",390,1106,0.4
"N00000363",484,1434,0.3
"N00000364",475,2199,0.2
"N00000365",255,387,0.7
"N00000366",536,450,1.2
"N00000367",351,53,6.6
"N00000368",544,670,0.8
"N00000369",411,819,0.5
"N00000370",485,736,0.7
"N00000371",447,702,0.6
"N00000372",380,40,9.5
"N00000373",437,54,8.1
"N00000374",348,63,5.5
"N00000375",303,102,3
"N00000376",261,9,29
"N00000377",268,21,12.8
"N00000378",289,38,7.6
"N00000379",490,13,37.7
"N00000380",532,1503,0.4
"N00000381",979,106,9.2
"N00000382",557,1131,0.5
"N00000383",472,1742,0.3
"N00000384",490,1217,0.4
"N00000385",445,1205,0.4
"N00000386",291,10,29.1
"N00000387",227,7,32.4
"N00000388",1602,87,18.4
"N00000389",445,49,9.1
"N00000390",972,2116,0.5
"N00000391",524,1345,0.4
"N00000392",1399,1110,1.3
"N00000393",459,890,0.5
"N00000394",406,780,0.5
"N00000395",508,1400,0.4
"N00000396",376,553,0.7
"N00000397",520,718,0.7
"N00000398",463,523,0.9
"N00000399",304,191,1.6
"N00000400",240,11,21.8
"N00000401",286,14,20.4
"N00000402",248,24,10.3
"N00000403",522,31,16.8
"N00000404",276,6,46
"N00000405",223,14,15.9
"N00000406",397,1162,0.3
"N00000407",1125,2804,0.4
"N00000408",468,1120,0.4
"N00000409",403,290,1.4
"N00000410",392,832,0.5
"N00000411",355,474,0.7
"N00000412",438,1333,0.3
"N00000413",442,967,0.5
"N00000414",380,1481,0.3
"N00000415",439,458,1
"N00000416",420,1662,0.3
"N00000417",533,15,35.5
"N00000418",857,606,1.4
"N00000419",354,636,0.6
"N00000420",339,244,1.4
"N00000421",530,15,35.3
"N00000422",422,8,52.8
"N00000423",461,708,0.7
"N00000424",561,463,1.2
"N00000425",363,520,0.7
"N00000426",307,243,1.3
"N00000427",339,335,1
"N00000428",398,164,2.4
"N00000429",474,831,0.6
"N00000430",497,1441,0.3
"N00000431",361,563,0.6
"N00000432",285,416,0.7
"N00000433",280,34,8.2
"N00000434",445,53,8.4
"N00000435",430,16,26.9
"N00000436",522,652,0.8
"N00000437",664,839,0.8
"N00000438",475,1011,0.5
"N00000439",419,1323,0.3
"N00000440",417,729,0.6
"N00000441",311,497,0.6
"N00000442",444,33,13.5
"N00000443",488,188,2.6
"N00000444",566,79,7.2
"N00000445",397,45,8.8
"N00000446",336,20,16.8
"N00000447",309,78,4
"N00000448",246,9,27.3
"N00000449",435,1435,0.3
"N00000450",491,811,0.6
"N00000451",493,456,1.1
"N00000452",452,1736,0.3
"N00000453",335,303,1.1
"N00000454",514,1201,0.4
"N00000455",273,29,9.4
"N00000456",322,161,2
"N00000457",347,22,15.8
"N00000458",366,205,1.8
"N00000459",690,35,19.7
"N00000460",359,13,27.6
"N00000461",421,31,13.6
"N00000462",232,13,17.8
"N00000463",777,632,1.2
"N00000464",436,49,8.9
"N00000465",305,28,10.9
"N00000466",375,728,0.5
"N00000467",290,10,29
"N00000468",302,17,17.8
"N00000469",440,12,36.7
"N00000470",286,10,28.6
"N00000471",286,12,23.8
"N00000472",222,8,27.8
"N00000473",202,29,7
"N00000474",250,35,7.1
"N00000475",238,7,34
"N00000476",256,3,85.3
"N00000477",721,87,8.3
"N00000478",294,8,36.8
"N00000479",280,10,28
"N00000480",335,49,6.8
"N00000481",469,67,7
"N00000482",225,10,22.5
"N00000483",285,7,40.7
"N00000484",330,11,30
"N00000485",241,7,34.4
"N00000486",372,13,28.6
"N00000487",290,199,1.5
"N00000488",409,197,2.1
"N00000489",282,49,5.8
"N00000490",515,284,1.8
"N00000491",525,112,4.7
"N00000492",414,228,1.8
"N00000493",331,43,7.7
"N00000494",825,55,15
"N00000495",336,17,19.8
"N00000496",837,25,33.5
"N00000497",837,183,4.6
"N00000498",337,20,16.9
"N00000499",296,10,29.6
"N00000500",503,77,6.5
"N00000501",300,12,25
"N00000502",196,8,24.5
"N00000503",395,38,10.4
"N00000504",236,6,39.3
"N00000505",225,5,45
"N00000506",282,31,9.1
"N00000507",269,5,53.8
"N00000508",316,15,21.1
"N00000509",357,33,10.8
"N00000510",290,19,15.3
"N00000511",520,16,32.5
"N00000512",430,17,25.3
"N00000513",327,19,17.2
"N00000514",357,8,44.6
"N00000515",345,9,38.3
"N00000516",215,21,10.2
"N00000517",394,9,43.8
"N00000518",311,449,0.7
"N00000519",260,46,5.7
"N00000520",612,44,13.9
"N00000521",413,37,11.2
"N00000522",451,142,3.2
"N00000523",397,36,11
"N00000524",488,402,1.2
"N00000525",431,43,10
"N00000526",260,9,28.9
"N00000527",344,6,57.3
"N00000528",247,6,41.2
"N00000529",238,42,5.7
"N00000530",292,24,12.2
"N00000531",317,5,63.4
"N00000532",214,15,14.3
"N00000533",214,7,30.6
"N00000534",490,1935,0.3
"N00000535",519,1285,0.4
"N00000536",392,686,0.6
"N00000537",413,619,0.7
"N00000538",395,992,0.4
"N00000539",381,526,0.7
"N00000540",291,308,0.9
"N00000541",407,47,8.7
"N00000542",265,30,8.8
"N00000543",389,37,10.5
"N00000544",273,8,34.1
"N00000545",288,12,24
"N00000546",280,5,56
"N00000547",327,15,21.8
"N00000548",285,23,12.4
"N00000549",215,9,23.9
"N00000550",429,14,30.6
"N00000551",269,6,44.8
"N00000552",254,9,28.2
"N00000553",347,6,57.8
"N00000554",250,4,62.5
"N00000555",251,6,41.8
"N00000556",348,16,21.8
"N00000557",552,948,0.6
"N00000558",466,698,0.7
"N00000559",322,392,0.8
"N00000560",413,669,0.6
"N00000561",493,1869,0.3
"N00000562",364,699,0.5
"N00000563",923,35,26.4
"N00000564",323,12,26.9
"N00000565",218,7,31.1
"N00000566",320,9,35.6
"N00000567",517,358,1.4
"N00000568",369,18,20.5
"N00000569",380,37,10.3
"N00000570",337,16,21.1
"N00000571",303,373,0.8
"N00000572",572,57,10
"N00000573",364,31,11.7
"N00000574",435,118,3.7
"N00000575",462,1723,0.3
"N00000576",344,709,0.5
"N00000577",434,2175,0.2
"N00000578",718,1423,0.5
"N00000579",480,425,1.1
"N00000580",474,756,0.6
"N00000581",539,1758,0.3
"N00000582",401,1181,0.3
"N00000583",305,743,0.4
"N00000584",493,985,0.5
"N00000585",477,4848,0.1
"N00000586",446,2578,0.2
"N00000587",465,844,0.6
"N00000588",394,399,1
"N00000589",639,1026,0.6
"N00000590",416,1163,0.4
"N00000591",454,997,0.5
"N00000592",480,279,1.7
"N00000593",576,911,0.6
"N00000594",371,607,0.6
"N00000595",525,858,0.6
"N00000596",293,214,1.4
"N00000597",235,3,78.3
"N00000598",287,23,12.5
"N00000599",223,7,31.9
"N00000600",350,9,38.9
"N00000601",283,18,15.7
"N00000602",214,15,14.3
"N00000603",414,154,2.7
"N00000604",340,71,4.8
"N00000605",488,70,7
"N00000606",352,16,22
"N00000607",310,6,51.7
"N00000608",365,885,0.4
"N00000609",375,287,1.3
"N00000610",419,197,2.1
"N00000611",301,493,0.6
"N00000612",543,16,33.9
"N00000613",236,5,47.2
"N00000614",217,6,36.2
"N00000615",139,6,23.2
"N00000616",301,5,60.2
"N00000617",310,7,44.3
"N00000618",621,22,28.2
"N00000619",371,21,17.7
"N00000620",372,15,24.8
"N00000621",390,23,17
"N00000622",385,15,25.7
"N00000623",332,572,0.6
"N00000624",469,791,0.6
"N00000625",262,36,7.3
"N00000626",492,855,0.6
"N00000627",456,911,0.5
"N00000628",415,678,0.6
"N00000629",438,79,5.5
"N00000630",272,14,19.4
"N00000631",406,1699,0.2
"N00000632",474,1499,0.3
"N00000633",325,1196,0.3
"N00000634",495,3258,0.2
"N00000635",410,2798,0.1
"N00000636",399,3135,0.1
"N00000637",832,23,36.2
"N00000638",398,6,66.3
"N00000639",408,20,20.4
"N00000640",343,90,3.8
"N00000641",341,17,20.1
"N00000642",389,6,64.8
"N00000643",477,4271,0.1
"N00000644",548,444,1.2
"N00000645",451,807,0.6
"N00000646",419,2623,0.2
"N00000647",723,636,1.1
"N00000648",381,818,0.5
"N00000649",389,1985,0.2
"N00000650",602,165,3.6
"N00000651",278,15,18.5
"N00000652",533,24,22.2
"N00000653",309,12,25.8
"N00000654",269,7,38.4
"N00000655",368,16,23
"N00000656",242,14,17.3
"N00000657",851,378,2.3
"N00000658",364,1548,0.2
"N00000659",391,465,0.8
"N00000660",387,23,16.8
"N00000661",384,1454,0.3
"N00000662",352,222,1.6
"N00000663",395,950,0.4
"N00000664",378,1256,0.3
"N00000665",485,604,0.8
"N00000666",439,1006,0.4
"N00000667",538,352,1.5
"N00000668",323,32,10.1
"N00000669",493,246,2
"N00000670",292,56,5.2
"N00000671",239,15,15.9
"N00000672",324,28,11.6
"N00000673",943,122,7.7
"N00000674",316,23,13.7
"N00000675",387,20,19.4
"N00000676",721,36,20
"N00000677",295,15,19.7
"N00000678",531,2042,0.3
"N00000679",561,1120,0.5
"N00000680",413,186,2.2
"N00000681",385,660,0.6
"N00000682",485,778,0.6
"N00000683",391,1217,0.3
"N00000684",595,398,1.5
"N00000685",326,20,16.3
"N00000686",499,1443,0.3
"N00000687",379,708,0.5
"N00000688",407,1247,0.3
"N00000689",392,1573,0.2
"N00000690",282,7,40.3
"N00000691",303,4,75.8
"N00000692",244,5,48.8
"N00000693",287,7,41
"N00000694",873,26,33.6
"N00000695",518,12,43.2
"N00000696",180,20,9
"N00000697",380,151,2.5
"N00000698",451,57,7.9
"N00000699",256,10,25.6
"N00000700",262,25,10.5
"N00000701",235,36,6.5
"N00000702",771,344,2.2
"N00000703",342,444,0.8
"N00000704",656,940,0.7
"N00000705",680,118,5.8
"N00000706",437,837,0.5
"N00000707",360,350,1
"N00000708",466,1449,0.3
"N00000709",465,1374,0.3
"N00000710",345,527,0.7
"N00000711",522,237,2.2
"N00000712",385,872,0.4
"N00000713",421,750,0.6
"N00000714",453,1098,0.4
"N00000715",656,17,38.6
"N00000716",897,40,22.4
"N00000717",576,26,22.2
"N00000718",1923,531,3.6
"N00000719",260,37,7
"N00000720",484,145,3.3
"N00000721",460,1360,0.3
"N00000722",495,836,0.6
"N00000723",445,1158,0.4
"N00000724",495,2073,0.2
"N00000725",477,1267,0.4
"N00000726",445,1975,0.2
"N00000727",274,8,34.2
"N00000728",495,53,9.3
"N00000729",355,7,50.7
"N00000730",305,18,16.9
"N00000731",267,9,29.7
"N00000732",569,16,35.6
"N00000733",325,11,29.5
"N00000734",416,9,46.2
"N00000735",422,1209,0.3
"N00000736",382,613,0.6
"N00000737",382,1086,0.4
"N00000738",432,1135,0.4
"N00000739",444,1700,0.3
"N00000740",567,1362,0.4
"N00000741",345,251,1.4
"N00000742",286,9,31.8
"N00000743",270,7,38.6
"N00000744",283,13,21.8
"N00000745",470,22,21.4
"N00000746",508,25,20.3
"N00000747",401,22,18.2
"N00000748",454,26,17.5
"N00000749",387,8,48.4
"N00000750",319,15,21.3
"N00000751",464,25,18.6
"N00000752",412,7,58.9
"N00000753",436,704,0.6
"N00000754",436,138,3.2
"N00000755",391,16,24.4
"N00000756",366,259,1.4
"N00000757",451,12,37.6
"N00000758",471,7,67.3
"N00000759",304,7,43.4
"N00000760",250,8,31.2
"N00000761",421,7,60.1
"N00000762",222,4,55.5
"N00000763",410,10,41
"N00000764",278,38,7.3
"N00000765",413,9,45.9
"N00000766",776,37,21
"N00000767",312,14,22.3
"N00000768",276,6,46
"N00000769",393,25,15.7
"N00000770",374,34,11
"N00000771",233,7,33.3
"N00000772",456,534,0.9
"N00000773",420,177,2.4
"N00000774",1023,478,2.1
"N00000775",296,342,0.9
"N00000776",327,17,19.2
"N00000777",912,1563,0.6
"N00000778",432,1158,0.4
"N00000779",564,732,0.8
"N00000780",531,625,0.8
"N00000781",508,33,15.4
"N00000782",526,1042,0.5
"N00000783",565,1145,0.5
"N00000784",437,1195,0.4
"N00000785",332,1140,0.3
"N00000786",384,1035,0.4
"N00000787",437,1252,0.3
"N00000788",427,1367,0.3
"N00000789",997,384,2.6
"N00000790",530,738,0.7
"N00000791",347,387,0.9
"N00000792",399,435,0.9
"N00000793",451,816,0.6
"N00000794",467,853,0.5
"N00000795",539,1396,0.4
"N00000796",351,109,3.2
"N00000797",349,48,7.3
"N00000798",527,1493,0.4
"N00000799",475,276,1.7
"N00000800",428,1000,0.4
"N00000801",529,1143,0.5
"N00000802",272,393,0.7
"N00000803",398,453,0.9
"N00000804",422,978,0.4
"N00000805",383,890,0.4
"N00000806",341,153,2.2
"N00000807",521,138,3.8
"N00000808",243,10,24.3
"N00000809",557,23,24.2
"N00000810",434,261,1.7
"N00000811",345,12,28.8
"N00000812",299,16,18.7
"N00000813",491,167,2.9
"N00000814",258,16,16.1
"N00000815",487,126,3.9
"N00000816",558,45,12.4
"N00000817",256,17,15.1
"N00000818",324,20,16.2
"N00000819",253,9,28.1
"N00000820",375,17,22.1
"N00000821",269,5,53.8
"N00000822",209,13,16.1
"N00000823",365,13,28.1
"N00000824",253,19,13.3
"N00000825",367,11,33.4
"N00000826",302,5,60.4
"N00000827",298,11,27.1
"N00000828",231,4,57.8
"N00000829",310,6,51.7
"N00000830",260,5,52
"N00000831",306,5,61.2
"N00000832",273,5,54.6
"N00000833",253,4,63.2
"N00000834",390,12,32.5
"N00000835",301,4,75.2
"N00000836",347,5,69.4
"N00000837",351,6,58.5
"N00000838",283,5,56.6
"N00000839",363,7,51.9
"N00000840",272,13,20.9
"N00000841",295,2,147.5
"N00000842",556,5,111.2
"N00000843",233,2,116.5
"N00000844",213,1,213
"N00000845",202,1,202
"N00000846",246,3,82
"N00000847",958,9,106.4
"N00000848",240,2,120
"N00000849",307,2,153.5
"N00000850",270,2,135
"N00000851",243,2,121.5
"N00000852",1179,15,78.6
"N00000853",282,4,70.5
"N00000854",763,8,95.4
"N00000855",169,6,28.2
"N00000856",182,4,45.5
"N00000857",386,11,35.1
"N00000858",239,2,119.5
"N00000859",287,3,95.7
"N00000860",437,8,54.6
"N00000861",303,6,50.5
"N00000862",876,21,41.7
"N00000863",294,6,49
"N00000864",305,9,33.9
"N00000865",358,6,59.7
"N00000866",342,4,85.5
"N00000867",288,3,96
"N00000868",297,5,59.4
"N00000869",186,4,46.5
"N00000870",394,5,78.8
"N00000871",340,7,48.6
"N00000872",256,4,64
"N00000873",322,8,40.2
"N00000874",533,12,44.4
"N00000875",284,4,71
"N00000876",212,6,35.3
"N00000877",357,5,71.4
"N00000878",234,5,46.8
"N00000879",1015,8,126.9
"N00000880",315,3,105
"N00000881",296,3,98.7
"N00000882",253,4,63.2
"N00000883",264,4,66
"N00000884",205,3,68.3
"N00000885",618,8,77.2
"N00000886",253,2,126.5
"N00000887",308,3,102.7
"N00000888",308,3,102.7
"N00000889",259,4,64.8
"N00000890",339,6,56.5
"N00000891",346,4,86.5
"N00000892",318,4,79.5
"N00000893",284,4,71
"N00000894",263,3,87.7
"N00000895",272,3,90.7
"N00000896",265,2,132.5
"N00000897",300,2,150
"N00000898",307,2,153.5
"N00000899",306,2,153
"N00000900",216,5,43.2
"N00000901",313,5,62.6
"N00000902",294,2,147
"N00000903",206,1,206
"N00000904",446,2,223
"N00000905",325,2,162.5
"N00000906",263,4,65.8
"N00000907",332,9,36.9
"N00000908",329,5,65.8
"N00000909",246,4,61.5
"N00000910",273,3,91
"N00000911",239,4,59.8
"N00000912",243,4,60.8
"N00000913",321,4,80.2
"N00000914",294,6,49
"N00000915",214,3,71.3
"N00000916",234,3,78
"N00000917",226,4,56.5
"N00000918",261,3,87
"N00000919",229,3,76.3
"N00000920",148,4,37
"N00000921",713,24,29.7
"N00000922",292,6,48.7
"N00000923",257,5,51.4
"N00000924",224,4,56
"N00000925",288,9,32
"N00000926",284,3,94.7
"N00000927",421,9,46.8
"N00000928",356,6,59.3
"N00000929",437,4,109.2
"N00000930",364,4,91
"N00000931",682,6,113.7
"N00000932",419,11,38.1
"N00000933",288,1,288
"N00000934",282,3,94
"N00000935",251,1,251
"N00000936",473,16,29.6
"N00000937",433,14,30.9
"N00000938",345,3,115
"N00000939",198,1,198
"N00000940",252,2,126
"N00000941",343,100,3.4
"N00000942",280,58,4.8
"N00000943",272,6,45.3
"N00000944",245,3,81.7
"N00000945",254,30,8.5
"N00000946",386,19,20.3
"N00000947",248,5,49.6
"N00000948",225,3,75
"N00000949",314,4,78.5
"N00000950",317,7,45.3
"N00000951",240,14,17.1
"N00000952",391,8,48.9
"N00000953",238,4,59.5
"N00000954",275,5,55
"N00000955",394,15,26.3
"N00000956",488,17,28.7
"N00000957",555,37,15
"N00000958",294,6,49
"N00000959",476,14,34
"N00000960",515,22,23.4
"N00000961",311,9,34.6
"N00000962",338,7,48.3
"N00000963",252,4,63
"N00000964",297,6,49.5
"N00000965",300,13,23.1
"N00000966",331,5,66.2
"N00000967",378,8,47.2
"N00000968",255,8,31.9
"N00000969",193,15,12.9
"N00000970",486,7,69.4
"N00000971",261,4,65.2
"N00000972",317,4,79.2
"N00000973",331,5,66.2
"N00000974",275,5,55
"N00000975",262,9,29.1
"N00000976",141,2,70.5
"N00000977",285,3,95
"N00000978",239,2,119.5
"N00000979",217,3,72.3
"N00000980",223,2,111.5
"N00000981",207,138,1.5
"N00000982",252,2,126
"N00000983",336,4,84
"N00000984",329,5,65.8
"N00000985",244,4,61
"N00000986",214,7,30.6
"N00000987",367,4,91.8
"N00000988",146,2,73
"N00000989",262,4,65.5
"N00000990",274,3,91.3
"N00000991",269,7,38.4
"N00000992",462,5,92.4
"N00000993",236,1,236
"N00000994",928,17,54.6
"N00000995",195,2,97.5
"N00000996",383,8,47.9
"N00000997",271,9,30.1
"N00000998",304,5,60.8
"N00000999",227,3,75.7
"N00001000",307,5,61.4
"N00001001",296,2,148
"N00001002",796,7,113.7
"N00001003",218,1,218
