"Geography_Code","NM_160_1_0","NM_160_1_1","NM_160_1_2"
"N00000001",1113,540,2.1
"N00000002",351,166,2.1
"N00000003",237,499,0.5
"N00000004",616,1508,0.4
"N00000005",374,808,0.5
"N00000006",251,570,0.4
"N00000007",245,1141,0.2
"N00000008",288,343,0.8
"N00000009",727,854,0.9
"N00000010",242,585,0.4
"N00000011",293,168,1.7
"N00000012",264,11,24
"N00000013",268,20,13.4
"N00000014",460,13,35.4
"N00000015",226,24,9.4
"N00000016",223,4,55.8
"N00000017",340,9,37.8
"N00000018",229,10,22.9
"N00000019",261,7,37.3
"N00000020",236,4,59
"N00000021",269,6,44.8
"N00000022",269,10,26.9
"N00000023",218,11,19.8
"N00000024",533,1036,0.5
"N00000025",460,1085,0.4
"N00000026",466,1293,0.4
"N00000027",540,928,0.6
"N00000028",236,17,13.9
"N00000029",403,1142,0.4
"N00000030",375,2518,0.1
"N00000031",707,1012,0.7
"N00000032",386,195,2
"N00000033",498,1201,0.4
"N00000034",474,116,4.1
"N00000035",291,6,48.5
"N00000036",345,19,18.2
"N00000037",285,11,25.9
"N00000038",406,1003,0.4
"N00000039",1262,56,22.5
"N00000040",265,11,24.1
"N00000041",462,6,77
"N00000042",410,11,37.3
"N00000043",1245,132,9.4
"N00000044",312,29,10.8
"N00000045",515,1024,0.5
"N00000046",394,894,0.4
"N00000047",374,389,1
"N00000048",304,15,20.3
"N00000049",254,9,28.2
"N00000050",299,17,17.6
"N00000051",313,23,13.6
"N00000052",309,287,1.1
"N00000053",261,34,7.7
"N00000054",266,9,29.6
"N00000055",266,44,6
"N00000056",283,6,47.2
"N00000057",279,3,93
"N00000058",266,5,53.2
"N00000059",226,8,28.2
"N00000060",394,8,49.2
"N00000061",273,24,11.4
"N00000062",351,21,16.7
"N00000063",431,27,16
"N00000064",279,7,39.9
"N00000065",389,10,38.9
"N00000066",264,7,37.7
"N00000067",316,7,45.1
"N00000068",371,16,23.2
"N00000069",334,10,33.4
"N00000070",243,20,12.2
"N00000071",283,40,7.1
"N00000072",1753,114,15.4
"N00000073",521,22,23.7
"N00000074",1047,244,4.3
"N00000075",410,44,9.3
"N00000076",344,7,49.1
"N00000077",275,14,19.6
"N00000078",488,8,61
"N00000079",564,1438,0.4
"N00000080",424,455,0.9
"N00000081",339,115,2.9
"N00000082",342,1233,0.3
"N00000083",650,2139,0.3
"N00000084",456,1129,0.4
"N00000085",437,44,9.9
"N00000086",395,40,9.9
"N00000087",913,1428,0.6
"N00000088",216,13,16.6
"N00000089",478,71,6.7
"N00000090",392,12,32.7
"N00000091",476,96,5
"N00000092",504,1299,0.4
"N00000093",421,716,0.6
"N00000094",492,795,0.6
"N00000095",468,1000,0.5
"N00000096",464,1401,0.3
"N00000097",850,18,47.2
"N00000098",1192,132,9
"N00000099",258,29,8.9
"N00000100",341,7,48.7
"N00000101",282,13,21.7
"N00000102",318,9,35.3
"N00000103",623,217,2.9
"N00000104",322,9,35.8
"N00000105",327,6,54.5
"N00000106",198,6,33
"N00000107",269,10,26.9
