"Geography_Code","NM_1531_1_0","NM_1531_1_1","NM_1531_1_10","NM_1531_1_100","NM_1531_1_101","NM_1531_1_11","NM_1531_1_12","NM_1531_1_13","NM_1531_1_14","NM_1531_1_15","NM_1531_1_16","NM_1531_1_17","NM_1531_1_18","NM_1531_1_19","NM_1531_1_2","NM_1531_1_20","NM_1531_1_21","NM_1531_1_22","NM_1531_1_23","NM_1531_1_24","NM_1531_1_25","NM_1531_1_26","NM_1531_1_27","NM_1531_1_28","NM_1531_1_29","NM_1531_1_3","NM_1531_1_30","NM_1531_1_31","NM_1531_1_32","NM_1531_1_33","NM_1531_1_34","NM_1531_1_35","NM_1531_1_36","NM_1531_1_37","NM_1531_1_38","NM_1531_1_39","NM_1531_1_4","NM_1531_1_40","NM_1531_1_41","NM_1531_1_42","NM_1531_1_43","NM_1531_1_44","NM_1531_1_45","NM_1531_1_46","NM_1531_1_47","NM_1531_1_48","NM_1531_1_49","NM_1531_1_5","NM_1531_1_50","NM_1531_1_51","NM_1531_1_52","NM_1531_1_53","NM_1531_1_54","NM_1531_1_55","NM_1531_1_56","NM_1531_1_57","NM_1531_1_58","NM_1531_1_59","NM_1531_1_6","NM_1531_1_60","NM_1531_1_61","NM_1531_1_62","NM_1531_1_63","NM_1531_1_64","NM_1531_1_65","NM_1531_1_66","NM_1531_1_67","NM_1531_1_68","NM_1531_1_69","NM_1531_1_7","NM_1531_1_70","NM_1531_1_71","NM_1531_1_72","NM_1531_1_73","NM_1531_1_74","NM_1531_1_75","NM_1531_1_76","NM_1531_1_77","NM_1531_1_78","NM_1531_1_79","NM_1531_1_8","NM_1531_1_80","NM_1531_1_81","NM_1531_1_82","NM_1531_1_83","NM_1531_1_84","NM_1531_1_85","NM_1531_1_86","NM_1531_1_87","NM_1531_1_88","NM_1531_1_89","NM_1531_1_9","NM_1531_1_90","NM_1531_1_91","NM_1531_1_92","NM_1531_1_93","NM_1531_1_94","NM_1531_1_95","NM_1531_1_96","NM_1531_1_97","NM_1531_1_98","NM_1531_1_99"
"N00000382",557,7,5,0,0,11,11,5,6,11,10,12,9,7,11,4,7,6,9,9,4,6,5,6,13,7,14,5,10,10,11,7,6,4,5,6,12,4,12,6,5,6,8,5,10,8,8,9,6,7,5,9,10,9,3,11,9,9,8,4,5,9,10,7,6,6,0,1,7,6,4,4,3,4,2,3,3,3,1,1,9,2,1,3,2,0,0,2,1,0,0,8,0,1,0,0,1,0,0,0,0,0
"N00000383",472,12,3,0,0,8,13,4,9,6,7,9,10,5,7,7,5,10,7,7,3,2,6,4,5,7,5,2,7,10,6,6,5,7,4,10,9,10,7,6,7,7,5,10,7,6,5,8,4,7,9,11,3,4,6,4,4,2,10,6,2,2,6,3,5,1,3,1,1,9,4,2,2,2,4,0,2,2,5,1,9,1,5,2,0,1,2,2,0,1,1,14,2,0,0,0,0,0,0,0,0,0
"N00000384",490,5,12,0,0,7,6,13,8,6,6,12,10,6,7,8,4,12,8,11,5,5,6,10,4,7,10,2,8,2,5,4,10,6,8,3,12,5,8,3,4,5,11,6,8,9,9,7,6,7,8,9,4,10,1,3,12,4,5,7,3,5,3,6,3,6,4,1,3,7,3,4,0,2,4,1,0,4,5,0,9,2,1,2,0,0,2,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0
"N00000385",445,4,5,0,0,9,6,9,10,10,6,12,6,3,8,6,5,7,3,4,3,7,8,4,8,8,5,3,4,0,7,5,3,6,9,8,8,7,10,8,5,4,3,13,8,7,6,11,4,8,5,6,6,7,5,7,2,4,10,2,2,5,3,3,3,2,7,1,3,4,4,3,3,3,3,1,4,0,2,3,3,0,3,3,0,0,2,1,3,1,2,9,0,1,0,1,0,0,0,0,0,0
"N00000386",291,1,4,0,0,1,2,1,5,1,2,8,4,5,9,3,5,6,2,8,5,3,6,5,8,1,3,9,2,10,2,2,3,5,5,1,7,4,2,0,2,3,3,2,6,5,4,6,4,6,5,3,5,3,3,3,1,2,5,5,2,2,3,4,6,5,3,3,1,4,3,2,1,0,1,4,1,4,3,1,2,1,0,0,0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"N00000387",227,2,3,0,0,4,3,2,1,1,1,5,2,3,3,2,0,5,5,1,2,6,1,2,0,1,1,6,5,5,0,1,2,0,0,2,2,7,1,6,2,3,7,4,7,6,2,6,2,5,4,2,3,5,2,2,3,2,4,2,1,3,2,3,0,0,2,2,0,4,1,3,0,5,1,0,3,0,4,2,4,1,1,2,0,2,2,3,2,3,0,0,1,0,3,1,0,0,0,0,0,0
"N00000388",1602,20,18,0,1,25,37,26,21,23,15,20,25,18,34,17,28,29,35,23,25,29,25,26,32,34,19,25,23,18,22,25,21,22,12,24,25,22,13,20,28,18,19,25,32,26,23,24,24,15,21,8,15,14,15,13,13,6,17,19,15,12,11,14,7,17,17,6,10,19,14,11,13,12,9,5,11,8,7,5,22,9,8,10,12,7,6,8,4,1,2,20,4,3,3,2,1,2,0,1,2,0
"N00000389",445,6,4,0,1,7,5,9,4,8,6,5,2,8,4,5,5,2,8,8,6,4,8,6,7,4,0,5,2,11,4,3,4,4,6,4,6,6,5,6,6,12,7,8,5,7,8,7,3,8,9,6,8,3,2,5,8,0,8,4,7,7,4,4,6,2,4,4,4,9,1,0,3,7,1,4,6,4,5,4,8,3,2,1,1,5,2,2,1,0,1,8,0,2,0,1,0,0,0,0,0,0
"N00000390",972,9,16,0,0,11,15,10,15,18,16,27,12,17,13,12,10,10,18,11,15,9,9,10,10,13,11,8,13,13,16,8,3,11,20,16,20,13,10,10,20,10,9,18,20,19,12,13,13,13,14,18,16,9,5,19,8,10,11,9,8,9,13,6,13,13,16,12,13,8,9,8,11,6,5,5,3,3,7,2,16,5,4,1,2,2,1,2,4,2,2,12,1,1,0,0,2,1,0,0,0,0
"N00000391",524,9,2,0,0,7,5,7,8,8,9,8,4,7,5,5,4,10,3,12,8,6,3,5,6,8,6,7,8,7,2,7,4,11,8,8,11,9,7,7,10,13,6,12,7,3,12,5,4,7,6,11,6,3,8,5,6,9,13,2,8,3,2,5,7,5,6,8,6,8,6,6,4,4,5,3,2,3,1,2,4,2,1,3,3,2,0,3,2,0,0,7,1,1,0,0,0,0,1,1,0,0
"N00000392",1399,19,20,0,0,12,12,23,18,16,18,22,17,18,26,17,17,23,20,25,26,26,27,23,19,16,27,30,25,18,31,12,27,20,17,22,19,22,21,23,31,33,17,17,18,22,23,23,20,13,21,18,20,16,12,15,14,17,16,8,9,22,11,14,11,6,10,10,9,14,11,7,1,11,9,11,5,7,6,4,23,5,3,4,1,3,0,2,0,1,2,18,0,0,0,0,1,0,0,0,0,0
"N00000393",459,4,7,0,0,3,9,6,5,7,3,3,5,0,5,7,4,2,4,6,4,9,1,5,6,7,4,11,5,6,6,7,5,8,10,7,6,9,8,5,3,5,2,6,8,9,9,9,4,7,4,3,6,7,8,1,11,4,4,5,6,6,3,9,9,4,9,5,4,7,5,10,7,3,4,4,3,5,2,0,9,1,1,2,2,2,0,0,1,2,0,8,1,0,1,0,0,0,0,0,0,0
"N00000394",406,4,5,0,0,1,4,6,2,9,7,7,4,11,3,3,5,5,4,5,1,8,3,5,2,3,6,2,7,2,3,6,3,2,4,2,8,7,5,10,8,5,4,4,5,6,4,1,7,5,11,7,7,3,12,3,2,2,4,7,10,4,4,4,6,8,7,7,5,6,5,5,2,5,6,4,2,4,2,1,5,0,3,2,2,2,1,1,1,0,1,5,0,1,1,1,0,1,0,1,0,0
"N00000395",508,7,2,0,5,3,3,1,2,11,5,7,8,4,3,7,7,4,6,8,7,6,10,7,6,3,6,3,7,2,4,4,4,4,7,8,9,9,4,4,1,6,5,7,10,3,5,7,7,7,8,3,12,7,6,6,7,6,8,9,5,9,7,6,3,3,6,6,6,7,8,5,3,2,2,5,3,2,4,3,3,8,2,6,3,9,2,6,5,5,5,4,3,2,3,4,3,1,1,1,0,0
"N00000396",376,4,7,0,0,4,5,4,7,5,4,5,6,2,4,3,5,3,2,4,2,3,3,5,5,2,2,5,4,3,3,5,1,5,3,5,6,4,5,4,6,6,7,5,3,4,8,3,2,4,7,7,9,11,7,2,5,4,3,4,4,6,6,11,5,3,5,6,10,7,8,3,8,1,4,3,3,2,2,2,7,0,2,0,0,1,1,2,1,0,1,3,0,1,0,1,1,0,0,0,0,0
"N00000397",520,5,3,0,0,8,8,8,8,8,12,4,11,7,8,3,7,4,10,6,9,7,4,9,6,4,6,13,8,4,7,3,5,9,7,7,2,14,7,7,7,6,5,13,8,12,7,7,12,11,5,6,9,9,10,6,10,1,5,5,6,3,7,3,4,2,3,7,10,10,4,2,5,4,3,2,3,2,3,2,1,3,0,0,3,3,2,1,1,2,1,5,0,0,0,0,1,0,0,0,0,0
"N00000398",463,2,4,0,0,5,9,6,6,9,6,8,6,5,6,5,3,2,7,7,6,7,3,1,2,5,5,2,3,3,5,5,3,3,4,4,6,8,11,10,10,7,4,4,7,6,6,8,7,6,8,5,11,8,7,2,7,4,4,1,10,10,3,9,5,5,4,6,7,8,10,5,1,3,4,6,6,2,3,5,10,2,3,4,2,1,0,1,3,1,2,7,0,0,1,0,0,0,0,0,0,0
"N00000399",304,4,1,0,0,1,2,0,3,5,4,4,5,3,3,6,6,7,5,2,2,3,4,9,7,2,5,6,5,3,3,4,5,7,1,7,7,9,3,2,4,4,2,3,7,3,4,3,3,3,3,2,2,1,3,1,3,4,3,4,8,3,7,8,5,4,4,2,2,3,2,2,3,2,6,4,1,1,1,1,3,2,2,0,1,2,0,1,0,1,1,3,0,0,0,0,0,0,0,0,1,1
"N00000400",240,1,1,0,0,2,3,1,4,6,1,2,2,4,3,0,5,1,5,4,2,3,6,2,7,3,3,5,6,7,1,4,3,3,3,3,4,4,3,0,4,2,5,5,4,2,3,1,2,3,7,3,0,7,4,1,3,2,2,1,2,2,6,3,4,2,1,3,5,1,0,5,1,2,4,2,3,0,1,2,1,1,3,3,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
"N00000401",286,5,3,0,0,5,3,0,5,2,4,4,4,4,6,2,7,4,4,6,4,2,2,8,7,0,2,2,3,2,4,5,1,5,4,5,4,6,1,3,6,3,2,6,3,5,5,4,5,3,5,2,5,3,2,0,0,4,2,3,6,10,4,3,6,5,1,5,0,3,3,1,2,6,2,2,4,0,2,2,2,2,0,4,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"N00000402",248,3,1,0,0,1,2,1,2,0,1,5,3,2,3,1,3,4,4,2,6,7,8,2,2,0,9,4,5,3,2,0,3,4,2,4,3,3,0,5,1,1,4,2,2,2,3,2,2,3,2,7,2,6,3,3,3,2,2,4,6,4,1,4,5,3,5,1,4,1,6,2,3,1,3,2,0,2,6,3,0,0,5,3,3,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"N00000403",522,9,7,0,0,12,4,6,4,8,4,6,7,5,7,4,6,8,3,10,5,10,3,7,6,7,10,8,12,11,10,10,8,11,7,10,17,10,3,6,4,6,3,3,7,3,3,10,7,5,11,11,5,4,4,7,2,4,10,6,9,4,9,2,5,4,5,7,1,6,0,5,2,6,3,6,2,2,5,2,7,0,0,6,2,3,2,3,2,2,1,9,1,0,0,0,2,0,0,0,0,1
"N00000404",276,5,4,0,0,4,0,3,1,1,5,1,4,2,3,4,2,1,4,4,3,3,2,6,7,4,2,4,5,4,3,1,3,3,5,1,4,4,6,2,3,3,3,2,0,1,2,3,3,3,3,2,6,3,4,3,5,3,2,4,5,3,4,5,9,6,3,3,8,2,4,1,8,3,1,2,6,1,1,3,5,2,2,1,2,2,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
"N00000405",223,3,0,0,1,2,3,2,4,4,1,6,3,5,0,5,5,5,2,3,10,2,6,2,4,1,6,2,3,3,1,1,1,3,0,2,0,4,1,4,2,3,2,2,0,5,2,2,6,2,2,5,3,2,3,1,2,1,5,3,5,0,3,2,2,2,1,2,6,1,0,2,0,1,7,1,0,1,4,0,2,0,2,5,2,3,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0
"N00000406",397,7,8,0,0,5,6,6,2,3,6,6,6,3,8,3,12,3,5,4,2,5,3,5,6,7,1,4,6,4,6,4,7,8,12,10,5,8,5,4,4,4,4,6,7,5,6,5,4,4,3,4,5,5,4,2,4,5,7,1,1,9,4,6,7,5,4,3,3,9,5,1,3,3,2,4,1,2,1,1,12,0,1,2,1,2,0,1,1,1,0,8,0,0,0,0,0,0,0,0,0,0
"N00000407",1125,21,14,0,0,17,18,19,25,19,24,19,23,25,21,16,18,19,15,11,14,13,10,20,16,18,9,14,18,18,18,11,15,19,20,15,18,15,14,10,22,12,15,18,15,22,11,15,10,9,20,12,18,9,13,11,17,13,8,13,7,9,7,12,9,11,12,11,3,18,5,6,7,7,5,9,7,1,5,2,20,4,2,3,3,1,3,2,2,2,3,11,2,1,1,0,0,0,0,0,0,0
"N00000408",468,4,11,0,0,4,6,7,9,11,10,10,8,9,4,10,4,9,9,7,5,7,5,6,4,9,2,6,0,3,1,4,7,7,6,7,9,7,6,7,3,10,5,3,10,10,9,3,3,7,8,6,4,5,5,3,2,6,6,2,6,4,5,7,8,4,4,2,1,8,5,2,2,3,7,8,5,2,1,4,11,2,1,2,1,1,0,0,0,1,1,6,1,2,1,0,0,0,0,0,0,0
"N00000409",403,6,2,0,2,1,0,6,6,4,6,5,5,5,7,2,8,6,3,4,7,4,6,6,8,7,9,10,5,2,4,4,2,4,3,4,5,4,3,4,7,3,6,6,6,2,5,6,7,4,7,6,6,5,5,5,1,5,3,3,2,0,8,3,7,5,7,5,7,6,2,3,4,3,2,6,1,1,0,2,6,4,1,4,4,5,1,6,1,3,3,7,1,1,2,1,2,0,0,0,0,0
"N00000410",392,5,3,0,0,7,7,5,7,4,6,5,4,11,5,2,4,3,11,7,7,4,5,2,0,6,5,2,2,1,3,3,2,5,8,8,1,9,4,6,4,7,7,5,7,4,3,7,5,6,5,4,9,4,4,6,4,4,4,3,7,4,5,7,3,5,2,9,4,5,4,2,7,3,8,2,2,4,3,2,6,2,0,6,2,2,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0
"N00000411",355,5,5,0,0,7,5,2,8,5,4,5,10,4,6,5,3,7,6,1,3,8,3,13,0,9,4,4,3,3,5,9,4,4,2,6,8,5,5,4,7,2,9,4,5,8,3,4,4,4,2,6,5,1,2,6,4,3,3,3,9,6,7,7,6,3,5,1,1,5,0,3,0,3,2,1,0,0,1,1,6,1,2,0,0,1,1,0,0,1,1,3,1,0,0,0,0,1,1,0,0,0
"N00000412",438,8,7,0,0,5,5,7,4,10,2,8,4,9,8,7,3,8,4,8,5,5,8,6,4,7,6,9,3,5,3,11,7,2,7,7,4,6,11,6,4,3,3,3,1,5,7,5,3,4,6,7,6,6,5,8,3,4,5,12,5,11,6,7,3,6,1,5,1,5,4,1,2,6,4,3,2,0,2,1,8,1,5,2,1,1,1,3,1,3,0,4,1,1,0,1,0,0,1,0,0,0
"N00000413",442,6,3,0,0,7,4,6,5,7,5,9,3,9,6,9,6,11,6,10,9,5,4,1,3,7,6,6,5,5,9,10,2,10,6,4,10,6,8,8,4,1,8,7,7,6,5,6,7,9,6,2,5,7,6,6,7,3,12,9,6,2,3,1,5,9,3,5,1,10,3,0,1,3,1,2,2,2,2,4,5,3,2,0,1,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0
"N00000414",380,2,6,0,0,4,6,7,6,5,10,10,10,5,5,5,3,3,6,2,2,5,12,3,5,5,5,4,2,3,0,3,6,4,3,10,3,8,5,5,8,7,5,4,7,4,10,1,9,3,3,5,2,2,5,10,5,6,6,3,5,6,3,6,4,3,3,4,5,5,1,2,1,1,1,2,7,2,1,1,3,1,1,0,3,1,1,3,1,2,0,7,0,0,1,0,0,0,0,0,0,0
"N00000415",439,5,12,0,0,7,7,5,4,2,4,5,7,5,6,5,7,6,8,6,8,5,11,9,8,5,7,11,7,5,3,9,4,4,4,4,8,9,8,5,3,4,9,6,9,4,8,5,8,5,8,5,8,1,5,5,4,4,10,7,3,9,2,3,3,6,7,4,3,0,4,1,4,1,2,1,1,1,4,1,12,1,2,1,0,2,1,2,0,1,0,0,1,0,1,2,0,0,0,0,0,0
"N00000416",420,6,11,0,0,5,3,5,8,9,9,6,5,5,7,3,3,6,10,5,3,7,8,7,2,6,7,8,5,6,1,3,6,4,8,2,3,6,7,7,9,10,6,5,4,6,3,8,8,1,6,6,5,7,7,5,6,3,3,3,4,2,4,6,5,2,3,3,1,4,4,2,3,4,4,2,3,4,3,3,6,1,3,4,2,1,1,0,1,1,0,4,1,3,2,1,0,0,0,0,0,0
"N00000417",533,12,8,0,0,4,8,6,13,7,8,2,10,7,12,3,11,2,11,4,7,11,4,5,11,11,10,4,14,12,9,18,16,10,9,6,14,10,7,10,8,14,7,6,7,10,5,15,4,4,7,5,6,3,4,2,5,3,7,4,5,5,7,4,1,4,3,0,6,12,1,2,4,3,3,1,1,0,0,2,9,1,1,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
"N00000418",857,15,13,0,0,10,12,10,12,12,10,9,8,8,17,13,12,12,11,11,7,6,12,8,13,13,7,9,13,13,18,14,22,6,8,16,22,19,13,14,15,16,13,8,11,11,18,15,6,11,6,13,7,9,6,9,12,13,16,9,8,10,6,12,12,9,8,3,9,18,5,7,3,4,3,7,4,6,1,5,11,4,4,2,2,2,3,3,1,2,1,10,0,0,0,0,0,0,0,0,0,0
"N00000419",354,6,4,0,0,2,6,7,4,4,4,3,3,3,3,5,2,2,2,8,4,4,7,7,1,0,4,1,2,4,5,5,2,4,2,5,6,4,4,7,3,8,9,5,5,4,5,3,6,5,3,3,4,2,7,6,7,7,5,9,3,3,4,3,4,5,12,10,5,3,3,0,6,3,3,2,2,2,2,2,4,3,0,1,3,2,2,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0
"N00000420",339,2,1,0,1,2,4,2,3,7,3,4,5,2,2,2,1,7,7,1,5,2,2,8,4,1,2,8,2,4,3,2,3,3,2,1,4,5,2,2,3,2,8,2,3,8,5,2,8,10,3,4,6,5,6,4,7,6,0,5,0,4,3,8,2,3,5,5,2,5,3,7,2,6,4,4,5,3,5,6,1,2,7,3,3,2,3,3,1,2,2,2,2,0,2,2,0,0,1,0,1,0
"N00000421",530,7,7,0,0,5,6,16,7,10,7,9,4,8,12,5,6,7,8,4,6,7,0,6,3,8,7,6,8,5,6,8,9,14,10,10,10,14,12,10,14,6,11,6,6,6,3,12,11,11,7,5,8,7,7,9,4,6,7,5,4,3,6,5,3,2,2,3,1,4,4,1,4,4,4,1,2,2,0,3,15,4,0,1,2,2,0,1,1,0,0,7,0,0,1,0,0,0,0,0,0,0
"N00000422",422,7,5,0,0,9,5,2,5,7,5,9,3,7,9,7,7,5,8,5,4,3,3,3,6,6,8,6,5,5,9,5,4,4,4,5,2,5,2,5,4,6,4,4,8,4,9,7,3,7,8,3,2,2,5,2,5,8,5,9,4,3,9,3,5,6,5,1,11,4,4,8,1,6,6,4,1,2,1,3,9,3,2,0,0,2,3,1,1,2,0,5,0,2,0,0,0,0,0,1,0,0
"N00000423",461,6,9,0,0,7,8,8,6,9,9,8,8,7,5,2,8,2,7,3,4,2,1,8,3,8,3,1,2,5,10,4,6,3,5,8,7,7,12,11,11,9,7,12,7,4,5,7,5,12,6,8,10,2,4,2,4,2,8,9,1,6,6,1,8,5,6,3,2,5,2,3,2,2,6,0,5,5,3,3,7,0,1,1,1,1,0,0,3,1,1,10,1,3,1,0,0,0,0,0,0,0
"N00000424",561,7,9,0,0,4,15,6,8,9,12,4,12,5,9,9,7,6,6,13,12,10,12,15,10,15,7,14,8,9,9,5,8,9,11,7,8,5,1,8,3,11,8,4,10,11,5,9,10,5,7,7,5,4,7,7,5,2,7,4,5,5,4,8,3,2,7,8,5,7,6,2,1,5,2,2,2,2,0,3,11,3,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,0
"N00000425",363,2,2,0,0,8,7,9,5,4,7,7,5,3,5,8,2,5,6,2,4,4,6,2,2,3,2,4,3,2,9,7,3,6,5,8,5,3,3,6,6,5,9,4,8,7,5,10,6,2,6,5,4,4,2,2,5,1,2,3,8,4,12,3,4,5,7,2,3,5,2,3,2,0,1,2,2,0,3,2,2,3,2,1,3,1,0,0,3,1,2,3,0,0,1,0,1,0,0,0,0,0
"N00000426",307,6,2,0,0,1,6,5,6,3,5,6,3,6,1,4,3,10,4,2,4,4,1,2,8,4,3,1,3,3,3,1,2,1,1,3,3,3,7,5,5,4,13,5,4,3,2,3,9,5,6,6,5,3,7,3,4,3,3,4,4,5,5,7,0,2,2,4,1,3,3,2,3,2,2,4,1,1,1,1,3,0,2,1,4,4,1,0,0,2,1,2,0,1,0,0,0,1,0,0,0,0
"N00000427",339,7,5,0,0,4,1,2,5,9,6,11,8,2,8,3,3,2,5,4,8,5,4,5,3,4,4,3,5,4,4,2,2,5,4,3,5,0,12,4,9,3,8,7,2,4,1,0,7,8,4,6,5,0,4,3,5,3,4,2,2,7,4,9,3,5,1,2,2,2,3,2,3,1,3,3,4,3,4,2,2,1,1,2,2,0,0,1,1,0,0,7,0,0,0,0,0,1,0,0,0,0
"N00000428",398,9,3,0,0,5,2,4,6,7,4,7,6,6,7,5,5,6,5,3,2,6,6,7,5,5,8,6,3,8,7,9,6,1,3,6,9,10,8,5,6,8,7,4,6,5,13,11,4,7,7,2,5,2,6,0,1,4,3,2,8,7,0,7,2,0,5,6,7,2,5,3,2,0,0,4,1,0,3,2,5,2,4,2,1,0,0,1,0,0,0,3,1,0,0,0,2,0,0,0,0,0
"N00000429",474,4,8,0,0,4,8,9,11,8,7,8,15,14,3,4,10,3,4,2,6,5,6,1,3,4,4,4,4,1,3,5,7,9,4,8,8,6,8,10,8,5,8,13,14,9,4,8,7,6,9,5,3,3,4,5,2,4,9,5,2,1,3,5,3,9,4,2,5,10,6,2,2,3,5,2,2,1,4,4,5,1,1,4,1,0,4,3,2,3,1,13,1,0,0,0,0,1,0,0,0,0
"N00000430",497,1,2,0,0,9,7,11,11,9,11,11,8,4,6,2,4,10,7,9,4,6,9,3,4,3,9,2,7,4,5,3,0,4,9,12,7,10,7,13,4,9,8,9,12,8,6,6,7,7,5,1,4,5,7,11,4,7,6,7,5,3,8,1,10,3,3,4,2,17,6,5,3,3,3,1,5,3,1,4,6,1,2,2,3,2,3,0,0,0,0,9,0,0,1,1,0,1,0,0,0,0
"N00000431",361,5,4,0,0,5,4,6,10,5,7,7,7,8,4,2,5,6,3,5,7,4,7,5,3,1,5,8,4,4,1,6,3,5,7,4,6,3,2,7,6,6,7,8,4,5,4,6,4,4,7,2,3,3,2,4,5,3,6,1,1,3,5,3,4,5,4,5,2,5,6,1,5,2,2,2,3,1,1,4,2,0,2,1,1,0,1,1,0,2,2,9,1,0,0,0,0,0,0,0,0,0
"N00000432",285,2,1,0,0,5,4,7,7,2,4,4,4,6,2,5,2,3,2,3,1,5,1,1,6,4,4,1,3,3,4,0,2,3,4,3,2,7,3,3,9,6,0,4,7,3,1,3,3,9,4,4,4,3,0,5,2,2,6,1,1,2,3,1,0,3,5,3,6,5,5,5,2,2,1,3,0,2,6,0,4,5,2,2,2,6,1,1,1,0,0,4,0,2,0,0,0,1,0,0,0,0
"N00000433",280,2,2,0,0,3,2,1,2,3,2,2,2,1,3,4,2,3,3,2,5,5,2,2,5,8,9,3,5,6,4,3,1,0,0,7,2,2,7,1,2,5,3,5,7,3,2,5,0,6,2,5,2,1,3,2,2,1,3,1,3,9,5,7,4,3,2,2,4,3,2,4,4,6,6,4,2,0,1,5,3,2,0,6,4,5,0,1,0,0,0,4,0,2,0,1,0,0,0,0,0,0
"N00000434",445,7,5,0,0,3,11,5,6,8,4,3,6,7,3,4,6,6,10,5,2,8,8,9,7,7,4,4,4,6,6,8,7,9,11,7,9,10,5,5,4,7,6,5,9,5,5,5,0,1,3,8,5,3,4,0,4,6,9,8,2,3,4,2,4,3,4,2,5,10,5,6,1,5,4,2,3,5,2,1,10,1,4,3,3,1,2,0,0,3,3,9,0,0,0,0,0,0,0,1,0,0
"N00000435",430,5,7,0,0,6,4,9,3,4,4,7,0,8,12,6,8,12,5,6,5,6,4,6,8,7,2,6,4,8,7,8,4,6,8,12,5,4,8,5,4,7,5,10,12,4,3,12,2,1,4,5,10,5,3,3,3,0,13,2,2,3,7,2,1,2,2,5,3,7,4,4,2,6,1,3,3,1,3,1,6,2,2,2,3,2,3,3,0,0,1,4,1,1,0,1,0,0,0,0,0,0
"N00000436",522,9,4,0,1,7,10,9,12,7,7,9,12,5,8,9,5,10,6,8,5,5,5,7,1,6,5,4,5,11,13,12,5,5,8,13,10,8,3,2,7,3,14,2,6,8,7,5,9,8,7,10,5,8,6,8,4,5,8,2,3,2,6,7,8,3,4,6,7,8,2,7,3,7,2,4,1,4,0,2,7,3,2,2,1,1,1,0,2,1,0,13,0,0,0,0,0,0,0,0,0,0
"N00000437",664,11,12,0,0,15,15,16,9,9,16,12,12,5,8,15,6,6,10,18,14,5,7,10,8,9,6,3,7,10,5,6,13,9,13,11,15,8,21,10,15,7,5,15,5,7,14,9,12,8,5,5,14,11,10,5,5,5,9,3,4,9,6,7,3,7,2,6,6,7,3,5,3,3,3,5,3,0,1,0,10,0,1,2,1,0,1,1,0,1,0,9,1,0,0,0,0,0,0,0,0,0
"N00000438",475,9,3,0,1,6,1,7,6,6,3,11,8,9,3,13,6,3,6,17,6,11,5,5,5,1,8,5,9,5,5,3,5,3,3,6,9,11,7,8,7,5,4,3,4,8,9,8,10,5,10,4,4,8,11,7,2,3,4,6,8,7,8,6,10,3,8,3,3,3,2,2,8,1,2,2,2,3,1,0,3,1,2,3,3,5,0,1,1,1,2,7,1,0,1,0,0,0,0,1,0,1
"N00000439",419,7,3,0,0,7,3,7,10,5,7,10,8,6,2,8,8,5,11,10,6,2,9,10,6,4,2,2,5,3,7,3,4,3,4,6,5,8,10,5,4,3,7,5,5,3,5,3,8,9,3,7,8,3,2,6,2,9,5,7,7,1,4,1,3,9,5,7,3,3,6,3,1,3,0,2,4,3,3,4,6,8,1,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0
"N00000440",417,4,5,0,0,10,7,3,9,5,7,7,8,9,8,9,7,4,7,7,8,4,5,7,5,5,4,7,8,5,9,11,4,2,6,2,6,5,4,9,3,6,9,5,4,4,5,9,5,9,3,8,1,3,1,9,3,7,5,3,4,7,4,2,2,8,6,4,1,6,2,3,5,1,1,3,2,0,2,0,6,2,2,0,0,1,1,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0
"N00000441",311,4,4,0,0,5,4,3,5,6,0,6,3,3,4,1,5,1,8,7,6,6,4,7,2,0,8,4,4,3,1,0,7,3,6,4,4,3,2,7,4,5,4,1,2,3,5,3,4,5,2,4,8,4,4,5,3,5,5,2,6,5,4,6,6,4,1,4,4,1,4,3,6,0,2,1,3,1,0,5,3,2,0,1,1,0,2,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0
"N00000442",444,16,3,0,0,1,4,8,5,4,1,7,5,4,15,2,2,5,7,5,4,8,11,9,4,11,11,14,8,13,11,6,8,9,9,6,12,6,8,8,7,8,5,1,1,5,8,10,2,8,4,4,3,1,7,4,3,3,6,2,4,2,3,4,6,3,2,3,3,9,1,4,2,1,2,3,0,0,5,3,8,3,1,0,1,0,0,0,3,2,0,3,0,0,0,0,0,1,0,0,0,0
