"Geography_Code","NM_1544_1_0","NM_1544_1_1","NM_1544_1_10","NM_1544_1_11","NM_1544_1_12","NM_1544_1_13","NM_1544_1_14","NM_1544_1_15","NM_1544_1_16","NM_1544_1_17","NM_1544_1_18","NM_1544_1_19","NM_1544_1_2","NM_1544_1_20","NM_1544_1_21","NM_1544_1_22","NM_1544_1_23","NM_1544_1_24","NM_1544_1_25","NM_1544_1_26","NM_1544_1_27","NM_1544_1_28","NM_1544_1_29","NM_1544_1_3","NM_1544_1_30","NM_1544_1_31","NM_1544_1_32","NM_1544_1_33","NM_1544_1_34","NM_1544_1_35","NM_1544_1_36","NM_1544_1_37","NM_1544_1_38","NM_1544_1_39","NM_1544_1_4","NM_1544_1_40","NM_1544_1_41","NM_1544_1_42","NM_1544_1_43","NM_1544_1_44","NM_1544_1_45","NM_1544_1_46","NM_1544_1_47","NM_1544_1_48","NM_1544_1_49","NM_1544_1_5","NM_1544_1_50","NM_1544_1_51","NM_1544_1_52","NM_1544_1_53","NM_1544_1_54","NM_1544_1_55","NM_1544_1_6","NM_1544_1_7","NM_1544_1_8","NM_1544_1_9"
"N00000040",265,265,1,1,1,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1
"N00000041",462,460,5,5,1,0,4,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,434,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,5
"N00000042",410,409,0,0,0,0,0,0,0,0,0,0,396,1,0,0,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"N00000043",1245,1230,22,22,7,0,10,0,5,0,0,0,1193,6,0,4,0,4,2,0,0,2,0,42,2,0,0,0,0,0,0,0,0,0,1145,0,0,0,2,0,7,7,1,4,2,3,0,0,0,0,0,0,3,0,0,15
"N00000044",312,310,3,2,1,0,1,0,0,1,0,1,307,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,2,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0
"N00000045",515,511,3,3,1,0,2,0,0,0,0,0,502,1,0,0,0,0,1,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,1,1,0,0,1,3,0,0,2,1,1,0,0,0,0,6
"N00000046",394,392,3,3,1,0,2,0,0,0,0,0,389,1,0,0,0,0,1,0,0,1,0,12,1,0,0,0,0,0,0,0,0,0,375,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"N00000047",374,371,3,3,1,1,0,0,1,0,0,0,363,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,2,1,0,1,0,9,1,0,1,0,1,0,0,0,0,5
"N00000048",304,301,23,23,0,20,1,0,2,0,0,0,277,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,266,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
"N00000049",254,253,15,14,1,2,4,0,7,1,0,1,237,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,1
"N00000050",299,295,6,6,3,0,0,0,3,0,0,0,287,1,0,0,0,0,1,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,1,1,0,0,1,2,0,0,2,2,0,0,1,0,0,2
"N00000051",313,305,11,7,1,0,0,0,6,4,0,4,290,2,0,0,0,0,2,0,1,1,0,21,5,0,0,0,1,0,1,0,0,0,267,0,0,0,4,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,4
"N00000052",309,308,18,17,2,2,4,0,9,1,1,0,284,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,264,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,6
"N00000053",261,256,31,29,0,10,8,2,9,2,0,2,223,3,1,0,0,0,2,2,0,0,0,10,1,0,0,0,1,0,1,0,0,0,208,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,2
"N00000054",266,264,3,3,0,0,3,0,0,0,0,0,259,1,1,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,238,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2
"N00000055",266,263,4,4,0,0,0,0,4,0,0,0,257,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,1,1,0,0,2,0,241,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2
"N00000056",283,281,11,11,0,0,7,0,4,0,0,0,267,1,0,0,0,0,1,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,3
"N00000057",279,277,16,16,2,1,10,0,3,0,0,0,258,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,1,0,1,0,0,0,244,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
"N00000058",266,253,19,18,1,0,14,0,3,1,0,1,233,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,3,0,3,0,9,0,221,9,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"N00000059",226,217,5,5,0,1,1,0,3,0,0,0,206,2,0,0,0,0,2,0,2,0,0,18,7,0,0,0,6,2,4,0,0,0,184,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,6
"N00000060",394,377,17,17,2,1,13,1,0,0,0,0,355,1,0,0,0,0,1,0,1,0,0,14,13,1,0,1,3,1,2,0,9,0,337,7,2,0,0,0,2,2,0,1,1,3,0,0,1,1,0,0,1,0,0,5
"N00000061",273,261,7,7,0,0,7,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,1,1,0,0,7,0,233,6,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"N00000062",351,343,7,7,1,0,2,0,4,0,0,0,330,1,1,0,0,0,0,0,0,0,0,13,5,0,0,0,3,0,3,0,1,0,309,0,1,0,1,0,1,1,1,0,0,8,0,0,1,0,1,0,0,0,0,6
"N00000063",431,412,7,7,2,0,2,0,3,0,0,0,401,2,1,0,0,0,1,0,0,0,1,25,17,0,0,0,13,1,12,0,2,0,370,2,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4
"N00000064",279,271,12,12,0,2,8,0,2,0,0,0,255,4,0,1,0,1,3,0,0,3,0,18,4,0,0,0,3,0,3,0,0,0,235,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
"N00000065",389,385,8,8,0,0,6,0,2,0,0,0,371,2,0,0,0,0,2,0,1,0,1,31,2,0,0,0,0,0,0,0,2,0,332,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,2,4
"N00000066",264,254,2,2,0,0,2,0,0,0,0,0,248,3,0,0,0,0,3,0,0,3,0,6,5,0,0,0,2,0,2,0,3,0,241,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,4
"N00000067",316,315,12,12,0,3,7,0,2,0,0,0,299,1,0,1,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
"N00000068",371,360,15,14,1,5,5,0,3,1,0,1,340,1,1,0,0,0,0,0,0,0,0,13,9,0,0,0,9,0,9,0,0,0,324,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,5
"N00000069",334,333,1,1,1,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,306,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3
"N00000070",243,241,6,6,1,0,0,0,5,0,0,0,228,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,208,0,0,0,1,0,1,1,0,1,0,8,0,0,0,0,0,0,0,0,0,7
"N00000071",283,276,9,9,3,0,5,0,1,0,0,0,263,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,1,0,1,0,1,1,248,0,0,0,0,0,3,3,0,3,0,2,0,0,2,1,1,0,0,0,0,4
"N00000072",1753,1723,132,128,6,6,81,4,31,4,1,3,1575,4,0,0,0,0,4,1,2,0,1,74,18,0,0,0,3,0,3,0,10,0,1469,10,0,0,5,0,3,2,0,2,0,28,0,1,5,4,1,0,4,0,1,15
"N00000073",521,506,60,60,1,3,24,0,32,0,0,0,438,4,0,0,0,0,4,0,2,2,0,15,9,0,0,0,2,0,2,0,7,0,419,7,0,0,0,0,2,2,0,1,1,4,0,0,0,0,0,0,0,0,0,8
"N00000074",1047,988,47,45,5,10,11,5,14,2,0,2,936,2,0,0,0,0,2,0,2,0,0,50,45,0,0,0,5,0,5,0,21,0,875,21,0,0,19,0,3,3,0,3,0,8,0,0,9,9,0,0,3,0,0,5
"N00000075",410,406,23,20,5,0,5,3,7,3,0,3,375,1,0,0,0,0,1,0,1,0,0,82,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,2,0,0,0,0,14,0,2,1,1,0,0,3,0,0,8
"N00000076",344,335,11,11,0,0,9,2,0,0,0,0,322,1,0,0,0,0,1,0,0,1,0,11,4,0,0,0,2,1,1,0,2,0,301,0,2,0,0,0,1,1,0,1,0,9,0,0,3,3,0,0,1,0,0,2
"N00000077",275,274,10,10,1,0,8,0,1,0,0,0,260,1,0,0,0,0,1,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
"N00000078",488,462,16,16,3,3,0,2,8,0,0,0,440,1,0,0,0,0,1,1,0,0,0,34,25,1,0,1,5,0,5,0,10,0,400,9,0,1,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,5
"N00000079",564,560,1,1,1,0,0,0,0,0,0,0,552,2,0,0,0,0,2,0,1,0,1,30,1,0,0,0,0,0,0,0,1,0,518,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2,0,0,7
"N00000080",424,421,2,1,1,0,0,0,0,1,0,1,416,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,398,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3
