"Geography_Code","NM_1521_1_0","NM_1521_1_1","NM_1521_1_10","NM_1521_1_11","NM_1521_1_12","NM_1521_1_13","NM_1521_1_2","NM_1521_1_3","NM_1521_1_4","NM_1521_1_5","NM_1521_1_6","NM_1521_1_7","NM_1521_1_8","NM_1521_1_9"
"N00000065",310,25,11,8,3,23,9,16,68,48,21,22,44,48
"N00000066",211,18,3,2,1,10,6,12,58,41,13,18,20,30
"N00000067",234,3,25,18,7,19,1,2,21,25,17,24,54,46
"N00000068",272,30,4,4,0,28,7,23,63,35,27,26,32,27
"N00000069",228,2,42,30,12,19,1,1,16,24,10,22,45,48
"N00000070",184,20,4,2,2,14,11,9,51,35,12,13,19,16
"N00000071",206,4,10,7,3,8,1,3,41,38,14,21,36,34
"N00000072",1244,93,40,25,15,87,14,79,287,190,93,83,201,170
"N00000073",361,10,22,16,6,9,2,8,73,42,27,28,62,88
"N00000074",756,79,16,8,8,43,13,66,205,137,54,60,89,73
"N00000075",329,19,32,30,2,21,12,7,63,84,12,23,41,34
"N00000076",233,13,2,1,1,27,5,8,65,34,14,21,32,25
"N00000077",200,10,3,2,1,18,1,9,39,39,15,20,27,29
"N00000078",321,35,6,4,2,26,8,27,83,43,21,27,58,22
"N00000079",399,50,7,5,2,50,13,37,111,53,61,22,27,18
"N00000080",309,48,3,2,1,26,9,39,73,68,27,16,29,19
"N00000081",254,32,7,5,2,23,11,21,71,29,23,16,26,27
"N00000082",257,28,5,4,1,15,5,23,68,37,50,14,23,17
"N00000083",484,50,14,9,5,57,12,38,105,66,82,28,47,35
"N00000084",334,34,11,10,1,31,8,26,82,48,54,16,31,27
"N00000085",300,19,22,16,6,18,3,16,40,39,15,18,56,73
"N00000086",279,14,14,8,6,27,3,11,59,38,31,17,39,40
"N00000087",651,85,22,14,8,57,17,68,141,83,75,51,70,67
"N00000088",154,1,9,2,7,7,0,1,24,19,8,14,31,41
"N00000089",334,31,10,7,3,32,9,22,75,52,32,20,46,36
"N00000090",283,14,7,4,3,24,3,11,71,36,26,17,47,41
"N00000091",338,35,16,9,7,18,13,22,72,35,45,24,39,54
"N00000092",337,36,16,11,5,23,8,28,82,42,43,17,44,34
"N00000093",289,18,13,6,7,30,4,14,55,39,43,17,44,30
"N00000094",353,43,13,9,4,29,5,38,98,37,55,21,34,23
"N00000095",329,26,13,6,7,37,6,20,69,45,52,19,39,29
"N00000096",370,43,31,29,2,30,14,29,85,46,53,22,36,24
"N00000097",606,30,20,7,13,49,4,26,131,89,49,56,95,87
"N00000098",890,72,24,20,4,56,9,63,238,141,44,62,129,124
"N00000099",180,6,17,14,3,10,1,5,30,17,11,11,40,38
"N00000100",254,4,14,8,6,14,0,4,55,32,15,27,46,47
"N00000101",193,3,19,11,8,17,0,3,27,24,5,17,38,43
"N00000102",244,12,14,7,7,27,1,11,64,38,10,17,29,33
"N00000103",430,16,47,38,9,27,3,13,62,49,18,39,79,93
"N00000104",231,9,19,15,4,12,2,7,32,36,12,17,37,57
"N00000105",258,2,15,13,2,16,0,2,29,24,10,24,67,71
"N00000106",139,1,14,7,7,8,1,0,13,15,7,9,35,37
"N00000107",190,3,23,13,10,14,0,3,22,13,9,16,43,47
"N00000108",169,12,4,2,2,11,2,10,33,23,7,20,28,31
"N00000109",385,15,12,6,6,15,3,12,46,53,18,40,84,102
"N00000110",210,4,7,5,2,21,2,2,22,25,12,28,51,40
"N00000111",266,28,10,3,7,18,6,22,62,39,24,22,32,31
"N00000112",299,17,16,11,5,33,9,8,49,29,17,35,44,59
"N00000113",230,11,14,8,6,10,2,9,47,28,16,22,41,41
"N00000114",255,12,11,8,3,14,2,10,59,38,15,25,38,43
"N00000115",224,2,24,18,6,24,2,0,27,29,10,13,50,45
"N00000116",220,8,14,7,7,11,3,5,24,36,15,24,52,36
"N00000117",120,2,18,9,9,6,0,2,8,7,1,10,34,34
"N00000118",256,34,20,20,0,18,8,26,80,28,23,8,29,16
"N00000119",221,33,8,4,4,19,7,26,64,34,23,8,22,10
"N00000120",237,32,6,5,1,24,10,22,58,37,33,12,20,15
"N00000121",230,17,11,6,5,16,5,12,50,40,21,15,28,32
"N00000122",363,53,6,4,2,24,16,37,108,42,61,15,39,15
"N00000123",255,55,6,5,1,22,14,41,95,28,22,3,16,8
"N00000124",259,35,12,12,0,12,8,27,81,31,32,17,28,11
"N00000125",322,27,20,15,5,35,5,22,54,40,58,17,39,32
"N00000126",322,19,19,17,2,46,5,14,49,26,52,23,41,47
"N00000127",264,7,16,13,3,19,0,7,44,32,42,24,43,37
"N00000128",738,41,73,59,14,78,10,31,140,67,108,46,80,105
"N00000129",242,2,37,31,6,18,0,2,21,14,22,18,52,58
"N00000130",340,28,11,6,5,40,10,18,88,56,28,24,40,25
"N00000131",303,34,5,5,0,25,10,24,70,53,36,14,37,29
"N00000132",264,15,10,5,5,21,1,14,59,40,58,18,26,17
"N00000133",236,15,11,7,4,14,5,10,45,35,26,21,34,35
"N00000134",332,25,9,6,3,22,11,14,77,69,43,16,44,27
"N00000135",225,7,19,10,9,18,3,4,20,34,21,16,47,43
"N00000136",386,33,5,4,1,29,5,28,82,86,43,33,43,32
"N00000137",225,14,6,4,2,20,5,9,44,48,18,20,31,24
"N00000138",339,37,4,1,3,38,6,31,80,68,36,22,39,15
"N00000139",227,14,16,9,7,15,6,8,47,40,25,17,28,25
"N00000140",266,17,23,8,15,17,2,15,47,36,29,14,51,32
"N00000141",293,7,17,10,7,21,2,5,32,46,17,23,71,59
"N00000142",143,6,11,6,5,11,1,5,18,16,14,15,29,23
"N00000143",160,5,9,4,5,6,2,3,14,17,9,16,44,40
"N00000144",176,5,17,6,11,13,0,5,22,21,11,10,39,38
"N00000145",80,1,7,6,1,6,1,0,6,6,4,6,23,21
"N00000146",206,28,8,4,4,21,8,20,45,22,31,9,30,12
"N00000147",160,5,11,5,6,15,1,4,23,26,5,19,32,24
"N00000148",475,20,41,24,17,22,1,19,56,78,44,51,90,73
"N00000149",298,18,12,7,5,15,3,15,53,52,29,29,60,30
"N00000150",260,20,10,7,3,13,5,15,71,47,24,22,34,19
"N00000151",217,9,24,17,7,10,4,5,30,27,12,22,47,36
"N00000152",210,2,20,14,6,14,1,1,20,22,15,24,54,39
"N00000153",167,2,8,4,4,9,0,2,11,29,16,26,33,33
"N00000154",196,11,11,10,1,14,4,7,30,33,23,19,33,22
"N00000155",261,17,12,9,3,17,4,13,49,34,41,21,45,25
"N00000156",209,14,3,2,1,12,3,11,52,34,21,22,31,20
"N00000157",279,32,5,2,3,20,3,29,65,32,57,13,39,16
"N00000158",508,28,21,11,10,32,10,18,104,83,57,36,94,53
"N00000159",171,5,16,11,5,9,1,4,33,27,11,11,25,34
"N00000160",233,28,11,7,4,16,5,23,52,40,12,15,33,26
"N00000161",267,43,5,3,2,33,11,32,82,45,26,7,22,4
"N00000162",199,11,6,3,3,11,4,7,34,33,24,22,30,28
"N00000163",240,4,21,11,10,17,3,1,33,40,19,24,40,42
"N00000164",194,30,3,3,0,10,7,23,52,25,35,9,21,9
"N00000165",234,40,8,5,3,17,8,32,57,29,39,10,20,14
"N00000166",217,22,8,4,4,11,3,19,46,47,15,21,33,14
"N00000167",276,26,4,1,3,26,4,22,65,60,26,19,27,23
"N00000168",256,33,4,2,2,10,5,28,65,36,28,21,38,21
"N00000169",546,63,18,15,3,36,10,53,101,87,107,29,60,45
"N00000170",262,10,14,7,7,12,3,7,51,35,35,24,47,34
"N00000171",313,20,8,4,4,25,4,16,86,49,56,14,35,20
"N00000172",595,53,24,15,9,34,9,44,124,93,115,38,75,39
"N00000173",286,24,7,5,2,13,7,17,68,48,66,17,27,16
"N00000174",278,14,17,12,5,22,4,10,36,30,22,21,50,66
"N00000175",279,20,6,5,1,14,4,16,67,34,34,18,45,41
"N00000176",368,9,15,8,7,27,2,7,43,57,25,38,81,73
"N00000177",247,10,12,3,9,17,2,8,32,25,26,25,57,43
"N00000178",475,21,40,30,10,41,7,14,59,60,26,28,106,94
"N00000179",632,19,49,35,14,27,5,14,114,103,42,45,119,114
"N00000180",203,1,25,17,8,11,1,0,20,22,6,23,48,47
"N00000181",238,7,11,2,9,10,1,6,48,21,21,19,43,58
"N00000182",153,6,5,4,1,6,1,5,22,35,12,16,30,21
"N00000183",231,25,17,8,9,12,3,22,54,46,21,13,26,17
"N00000184",241,18,10,4,6,14,6,12,60,36,19,27,34,23
"N00000185",151,8,7,1,6,9,1,7,37,18,13,13,25,21
"N00000186",196,14,6,4,2,16,1,13,32,27,15,21,37,28
"N00000187",178,5,15,9,6,9,1,4,13,27,15,16,42,36
"N00000188",249,9,16,10,6,19,1,8,29,34,23,21,47,51
"N00000189",248,18,6,3,3,25,6,12,61,52,40,11,24,11
"N00000190",245,20,8,5,3,11,4,16,53,46,21,18,45,23
"N00000191",244,22,7,5,2,21,5,17,43,44,19,23,39,26
"N00000192",244,5,10,8,2,20,1,4,31,45,20,19,44,50
"N00000193",196,8,15,8,7,21,1,7,20,29,10,19,39,35
"N00000194",183,2,9,5,4,5,0,2,34,29,18,18,34,34
"N00000195",160,4,13,8,5,3,1,3,15,27,12,14,36,36
"N00000196",169,4,14,14,0,12,2,2,16,14,10,14,32,53
"N00000197",247,12,2,1,1,15,2,10,55,47,12,25,46,33
"N00000198",228,14,7,5,2,16,1,13,53,38,27,17,29,27
"N00000199",265,17,8,6,2,17,4,13,64,55,15,18,44,27
"N00000200",246,17,6,4,2,12,6,11,55,42,29,16,43,26
"N00000201",228,24,8,4,4,10,2,22,66,33,33,13,26,15
"N00000202",250,29,5,4,1,13,6,23,70,56,20,13,27,17
"N00000203",243,29,7,4,3,16,5,24,47,25,49,16,32,22
"N00000204",280,18,8,6,2,17,5,13,56,50,19,35,46,31
"N00000205",225,21,10,4,6,16,6,15,57,40,19,16,24,22
"N00000206",315,31,11,6,5,9,11,20,73,60,20,18,47,46
"N00000207",215,18,6,2,4,16,2,16,49,30,16,18,36,26
"N00000208",252,16,5,4,1,30,5,11,75,54,15,19,28,10
"N00000209",285,39,2,1,1,36,7,32,77,54,22,15,28,12
"N00000210",291,17,12,7,5,11,4,13,61,35,24,33,49,49
"N00000211",369,27,19,11,8,16,5,22,77,49,35,20,70,56
"N00000212",132,7,11,5,6,9,2,5,22,18,11,13,25,16
"N00000213",222,24,12,6,6,12,5,19,59,33,15,15,32,20
"N00000214",233,22,7,4,3,11,5,17,59,40,24,18,36,16
"N00000215",310,32,9,3,6,29,6,26,89,43,62,10,23,13
"N00000216",312,26,15,11,4,19,4,22,71,44,60,16,52,9
"N00000217",350,58,5,5,0,30,14,44,120,50,44,3,31,9
"N00000218",246,36,2,0,2,17,8,28,74,50,26,8,21,12
"N00000219",183,1,18,8,10,7,0,1,17,18,15,13,49,45
"N00000220",209,3,22,13,9,16,1,2,15,18,10,11,62,52
"N00000221",194,3,13,7,6,8,1,2,24,20,10,26,51,39
"N00000222",202,11,8,4,4,9,1,10,42,36,28,16,30,22
"N00000223",235,11,8,5,3,27,5,6,57,31,19,16,42,24
"N00000224",188,12,14,7,7,17,4,8,40,25,15,15,29,21
"N00000225",95,9,3,3,0,5,2,7,15,15,13,8,18,9
"N00000226",197,16,7,6,1,17,6,10,49,36,26,11,22,13
"N00000227",149,6,5,2,3,6,3,3,21,26,15,19,24,27
"N00000228",228,10,3,2,1,13,4,6,49,37,21,21,49,25
"N00000229",272,20,10,8,2,27,5,15,67,44,18,19,40,27
"N00000230",211,3,15,8,7,14,1,2,28,29,7,25,53,37
"N00000231",205,2,24,13,11,21,0,2,13,13,9,18,53,52
"N00000232",236,8,20,12,8,23,1,7,31,28,14,21,48,43
"N00000233",199,9,12,8,4,9,2,7,34,32,9,23,28,43
"N00000234",192,12,17,10,7,4,1,11,24,24,8,22,51,30
"N00000235",240,23,13,6,7,20,3,20,55,32,15,10,45,27
"N00000236",204,12,16,8,8,17,2,10,34,24,16,9,43,33
"N00000237",301,53,4,2,2,27,10,43,84,39,43,16,17,18
"N00000238",237,35,3,3,0,16,10,25,86,39,23,6,25,4
"N00000239",186,4,13,10,3,12,0,4,21,19,11,17,51,38
"N00000240",240,4,13,6,7,32,2,2,32,29,14,24,51,41
"N00000241",316,52,5,4,1,44,13,39,100,49,22,7,26,11
"N00000242",273,36,5,2,3,33,11,25,77,42,28,21,22,9
"N00000243",197,8,6,3,3,15,3,5,36,23,19,19,33,38
"N00000244",200,4,27,18,9,10,3,1,20,27,9,13,39,51
"N00000245",243,10,9,7,2,10,2,8,49,39,15,26,50,35
"N00000246",226,4,20,14,6,16,2,2,29,32,9,11,50,55
"N00000247",241,15,9,6,3,18,4,11,55,36,40,19,31,18
"N00000248",266,23,6,5,1,17,3,20,64,51,27,12,42,24
"N00000249",280,23,4,2,2,22,2,21,57,50,24,33,50,17
"N00000250",298,21,8,2,6,22,8,13,69,63,21,27,47,20
"N00000251",311,27,7,3,4,31,5,22,80,55,32,15,48,16
"N00000252",249,44,4,3,1,28,7,37,64,29,37,14,11,18
"N00000253",380,31,15,12,3,32,7,24,82,52,78,17,47,26
"N00000254",238,41,7,3,4,21,7,34,51,40,35,12,16,15
"N00000255",260,31,10,7,3,17,3,28,63,37,53,9,31,9
"N00000256",576,111,9,7,2,45,22,89,157,80,71,26,49,28
"N00000257",313,14,14,6,8,26,1,13,78,50,22,28,42,39
"N00000258",267,42,3,3,0,26,11,31,81,39,37,14,13,12
"N00000259",358,24,15,10,5,29,7,17,76,54,69,16,34,41
"N00000260",390,19,19,12,7,22,1,18,92,62,69,26,46,35
"N00000261",398,36,15,7,8,32,3,33,75,57,104,14,37,28
"N00000262",284,22,13,8,5,18,2,20,47,54,53,14,38,25
"N00000263",182,5,14,5,9,13,2,3,28,18,30,19,23,32
"N00000264",400,21,23,18,5,44,1,20,53,66,57,18,62,56
"N00000265",273,5,23,11,12,28,1,4,18,45,22,13,56,63
"N00000266",242,12,12,5,7,27,4,8,55,35,30,20,23,28
"N00000267",330,54,2,0,2,40,14,40,101,55,31,8,25,14
"N00000268",303,28,4,3,1,27,4,24,80,51,39,21,30,23
"N00000269",264,29,5,3,2,25,7,22,61,43,47,11,24,19
"N00000270",274,29,9,7,2,16,6,23,39,42,53,21,38,27
"N00000271",275,30,10,9,1,24,2,28,67,47,45,19,16,17
"N00000272",213,15,5,3,2,6,2,13,41,33,35,19,35,24
"N00000273",321,66,5,3,2,32,15,51,82,48,39,10,26,13
"N00000274",348,32,4,3,1,20,10,22,102,46,60,22,30,32
"N00000275",225,7,5,4,1,16,2,5,43,36,24,24,37,33
"N00000276",230,9,4,3,1,15,2,7,45,40,19,16,49,33
"N00000277",225,16,1,1,0,19,4,12,50,35,20,31,36,17
"N00000278",221,3,6,2,4,14,1,2,33,53,30,17,41,24
"N00000279",134,9,5,1,4,2,3,6,39,20,6,16,21,16
"N00000280",251,7,23,13,10,19,2,5,33,33,20,14,63,39
"N00000281",254,21,7,6,1,18,9,12,71,28,56,13,27,13
"N00000282",269,21,8,6,2,20,6,15,57,37,50,15,37,24
"N00000283",254,15,6,2,4,12,4,11,66,55,29,18,37,16
"N00000284",260,15,17,11,6,25,0,15,42,44,22,20,45,30
"N00000285",209,1,24,13,11,15,0,1,23,26,14,11,52,43
"N00000286",206,15,16,9,7,8,3,12,40,22,29,17,34,25
"N00000287",209,6,20,9,11,8,1,5,20,19,22,16,65,33
"N00000288",262,20,13,7,6,16,7,13,50,46,22,22,44,29
"N00000289",353,13,13,10,3,24,1,12,66,72,32,32,60,41
"N00000290",193,6,10,7,3,10,2,4,22,17,11,23,48,46
"N00000291",393,30,14,11,3,22,6,24,69,64,47,45,63,39
"N00000292",490,43,10,6,4,30,14,29,127,83,78,33,57,29
"N00000293",346,35,6,4,2,27,8,27,112,79,26,13,34,14
"N00000294",300,22,8,7,1,21,2,20,72,45,75,13,22,22
"N00000295",263,31,5,3,2,19,7,24,70,45,33,10,32,18
"N00000296",221,18,7,5,2,19,3,15,46,38,19,19,35,20
"N00000297",257,17,6,5,1,15,4,13,45,48,26,33,43,24
"N00000298",254,5,8,7,1,20,1,4,48,50,15,18,57,33
"N00000299",235,16,13,7,6,13,4,12,43,51,16,26,37,20
"N00000300",207,7,17,13,4,11,3,4,33,35,6,16,47,35
"N00000301",254,25,3,3,0,19,6,19,74,45,21,19,29,19
"N00000302",273,17,5,3,2,32,3,14,62,55,25,21,41,15
"N00000303",228,15,4,2,2,20,3,12,54,47,21,22,33,12
"N00000304",238,16,7,3,4,14,3,13,49,47,19,21,41,24
"N00000305",296,27,7,5,2,32,5,22,87,66,22,16,29,10
"N00000306",261,25,9,5,4,19,5,20,64,46,16,23,34,25
"N00000307",264,19,6,2,4,28,1,18,46,51,21,26,47,20
"N00000308",223,8,2,2,0,20,3,5,48,44,20,18,39,24
"N00000309",280,25,7,4,3,34,5,20,60,55,16,23,38,22
"N00000310",310,23,11,9,2,20,0,23,69,36,78,15,32,26
"N00000311",248,13,17,11,6,15,1,12,51,28,39,16,24,45
"N00000312",385,19,25,15,10,32,2,17,75,51,72,21,44,46
"N00000313",420,25,18,10,8,36,5,20,75,64,85,22,48,47
"N00000314",283,9,22,10,12,27,2,7,39,42,22,17,39,66
"N00000315",258,12,32,21,11,26,3,9,26,20,34,20,45,43
"N00000316",254,11,13,10,3,23,2,9,35,39,34,19,40,40
"N00000317",337,21,33,20,13,26,4,17,50,51,40,14,43,59
"N00000318",261,14,15,10,5,22,6,8,43,46,42,15,35,29
"N00000319",572,25,29,24,5,40,5,20,79,90,84,46,115,64
"N00000320",226,4,13,9,4,12,0,4,30,31,48,17,44,27
"N00000321",389,12,31,19,12,25,2,10,54,56,55,32,79,45
"N00000322",280,9,24,17,7,13,2,7,44,38,37,11,60,44
"N00000323",360,30,8,4,4,24,5,25,70,58,63,24,49,34
"N00000324",296,28,8,5,3,26,2,26,62,47,48,20,34,23
"N00000325",365,23,21,14,7,30,3,20,81,51,44,26,52,37
"N00000326",671,42,24,16,8,44,8,34,139,84,80,63,102,93
"N00000327",235,7,18,11,7,15,0,7,24,29,15,26,46,55
"N00000328",199,6,22,10,12,10,2,4,21,21,8,21,48,42
"N00000329",293,6,32,24,8,21,3,3,36,38,17,25,65,53
"N00000330",388,54,9,6,3,24,14,40,91,77,41,20,40,32
"N00000331",431,24,30,17,13,28,5,19,78,52,41,37,80,61
"N00000332",193,3,23,14,9,6,2,1,17,21,7,10,71,35
"N00000333",195,1,28,14,14,17,1,0,14,22,8,16,48,41
"N00000334",212,4,31,17,14,19,3,1,23,21,7,17,59,31
"N00000335",248,12,9,6,3,11,2,10,55,54,16,15,50,26
"N00000336",256,16,5,1,4,16,4,12,65,50,22,16,49,17
"N00000337",229,30,3,1,2,17,7,23,63,38,23,17,22,16
"N00000338",224,20,2,2,0,21,1,19,56,35,26,15,34,15
"N00000339",224,18,5,5,0,16,4,14,57,44,20,17,32,15
"N00000340",310,27,9,7,2,26,9,18,65,48,42,22,44,27
"N00000341",275,18,3,2,1,23,4,14,80,61,15,22,35,18
"N00000342",288,23,6,3,3,35,5,18,69,61,18,20,37,19
"N00000343",263,24,8,4,4,20,6,18,57,49,28,15,43,19
"N00000344",331,4,106,98,8,24,0,4,21,28,18,21,44,65
"N00000345",308,3,59,42,17,23,1,2,24,20,27,17,72,63
"N00000346",447,23,32,19,13,54,6,17,78,61,48,22,64,65
"N00000347",205,6,21,15,6,9,1,5,27,19,14,11,46,52
"N00000348",296,19,37,29,8,37,5,14,60,28,30,13,36,36
"N00000349",277,11,19,14,5,27,2,9,66,37,35,16,31,35
"N00000350",399,28,33,21,12,36,5,23,64,55,58,19,42,64
"N00000351",306,14,19,12,7,35,2,12,52,35,57,18,42,34
"N00000352",346,22,16,9,7,46,5,17,71,33,63,15,34,46
"N00000353",311,20,20,16,4,32,6,14,52,33,58,15,43,38
"N00000354",286,18,8,5,3,35,4,14,58,32,59,18,32,26
"N00000355",323,17,23,15,8,28,0,17,53,42,59,23,38,40
"N00000356",283,6,54,37,17,37,1,5,32,28,10,18,42,56
"N00000357",814,18,102,73,29,73,3,15,92,100,78,60,129,162
"N00000358",264,4,45,33,12,31,1,3,21,27,14,16,54,52
"N00000359",628,19,87,53,34,31,3,16,76,67,37,49,121,141
"N00000360",311,8,19,11,8,47,2,6,57,25,56,19,40,40
"N00000361",269,21,19,13,6,18,6,15,34,19,41,22,46,49
"N00000362",277,14,12,6,6,34,0,14,36,31,51,23,29,47
"N00000363",342,14,17,10,7,33,2,12,62,34,71,16,35,60
"N00000364",329,10,17,8,9,39,1,9,54,31,75,24,40,39
"N00000365",171,1,23,19,4,15,0,1,20,22,23,13,28,26
"N00000366",369,14,30,17,13,29,2,12,60,33,51,31,50,71
"N00000367",245,10,25,17,8,15,1,9,29,16,20,19,61,50
"N00000368",380,23,35,27,8,36,8,15,49,49,60,23,47,58
"N00000369",284,16,4,3,1,32,3,13,49,32,45,30,34,42
"N00000370",344,23,17,10,7,40,3,20,61,35,50,28,43,47
"N00000371",313,27,13,9,4,37,7,20,60,21,57,19,42,37
"N00000372",264,17,14,8,6,16,4,13,65,34,32,13,48,25
"N00000373",332,37,14,7,7,33,15,22,87,51,27,19,36,28
"N00000374",268,38,13,5,8,22,9,29,82,29,21,15,32,16
"N00000375",217,26,7,3,4,15,8,18,56,28,29,11,21,24
"N00000376",190,11,12,2,10,10,4,7,38,35,16,11,30,27
"N00000377",188,15,10,7,3,9,4,11,55,26,11,10,22,30
"N00000378",210,3,41,34,7,24,2,1,21,25,13,9,46,28
"N00000379",334,27,9,4,5,28,10,17,87,39,28,27,38,51
"N00000380",397,15,42,31,11,36,1,14,58,52,65,23,50,56
"N00000381",665,21,80,60,20,70,5,16,98,75,72,48,91,110
"N00000382",400,19,33,26,7,38,0,19,74,51,64,25,49,47
"N00000383",310,15,24,13,11,37,2,13,38,31,66,23,36,40
"N00000384",346,21,32,23,9,45,6,15,56,32,59,17,39,45
"N00000385",299,17,17,12,5,31,3,14,55,30,65,20,30,34
"N00000386",221,7,29,16,13,25,0,7,30,15,13,17,41,44
"N00000387",156,6,23,15,8,15,0,6,16,18,12,13,29,24
"N00000388",1105,40,147,97,50,109,9,31,195,128,83,65,147,191
"N00000389",301,33,14,10,4,26,6,27,67,37,35,12,34,43
"N00000390",711,57,17,10,7,72,12,45,145,90,133,58,81,58
"N00000391",380,34,17,11,6,27,7,27,72,50,80,26,37,37
"N00000392",1062,77,48,37,11,84,15,62,201,149,122,81,153,147
"N00000393",337,25,10,7,3,13,12,13,64,55,52,26,46,46
"N00000394",306,34,10,4,6,28,6,28,75,30,56,22,30,21
"N00000395",344,34,25,18,7,35,3,31,61,34,70,21,35,29
"N00000396",281,23,6,5,1,24,6,17,66,31,50,15,34,32
"N00000397",391,37,20,11,9,30,7,30,109,43,53,19,45,35
"N00000398",326,27,6,4,2,31,13,14,71,48,48,24,41,30
"N00000399",241,9,7,4,3,21,1,8,42,32,13,19,54,44
"N00000400",188,7,27,16,11,12,2,5,19,15,26,15,27,40
"N00000401",219,10,33,22,11,16,1,9,24,23,26,15,32,40
"N00000402",195,5,23,18,5,14,1,4,26,18,18,17,31,43
