"Geography_Code","NM_1521_1_0","NM_1521_1_1","NM_1521_1_10","NM_1521_1_11","NM_1521_1_12","NM_1521_1_13","NM_1521_1_2","NM_1521_1_3","NM_1521_1_4","NM_1521_1_5","NM_1521_1_6","NM_1521_1_7","NM_1521_1_8","NM_1521_1_9"
"N00000001",754,57,18,9,9,26,30,27,274,197,18,48,73,43
"N00000002",249,35,14,9,5,17,6,29,69,27,18,21,21,27
"N00000003",166,16,8,6,2,13,2,14,48,22,23,4,15,17
"N00000004",449,27,15,8,7,51,5,22,90,48,88,27,58,45
"N00000005",275,30,3,3,0,20,8,22,69,30,55,16,30,22
"N00000006",174,21,8,6,2,13,4,17,32,27,28,12,27,6
"N00000007",176,17,6,2,4,13,5,12,38,29,22,14,22,15
"N00000008",229,25,8,5,3,14,6,19,54,33,28,16,22,29
"N00000009",533,70,17,9,8,36,12,58,157,76,57,26,65,29
"N00000010",172,12,8,5,3,17,2,10,26,23,32,12,21,21
"N00000011",214,9,10,7,3,14,1,8,35,28,7,21,41,49
"N00000012",207,4,7,6,1,9,2,2,31,27,10,31,49,39
"N00000013",197,12,15,6,9,11,2,10,29,33,12,20,32,33
"N00000014",359,18,16,11,5,20,2,16,62,43,26,42,78,54
"N00000015",170,0,13,8,5,10,0,0,26,18,9,21,28,45
"N00000016",172,4,9,2,7,7,0,4,26,28,11,15,34,38
"N00000017",244,12,16,9,7,13,4,8,29,33,14,24,55,48
"N00000018",165,8,3,0,3,16,1,7,31,21,5,17,27,37
"N00000019",201,4,13,10,3,9,0,4,17,24,9,26,42,57
"N00000020",158,0,12,7,5,1,0,0,25,26,2,16,34,42
"N00000021",198,12,8,4,4,8,4,8,29,27,10,19,43,42
"N00000022",191,3,12,9,3,16,0,3,24,25,12,9,47,43
"N00000023",160,4,8,6,2,5,0,4,16,14,5,31,38,39
"N00000024",379,43,10,4,6,45,9,34,93,45,62,25,36,20
"N00000025",347,29,14,10,4,27,7,22,81,35,58,25,36,42
"N00000026",356,30,8,7,1,44,5,25,88,50,61,21,25,29
"N00000027",380,24,21,17,4,33,3,21,77,61,65,21,46,32
"N00000028",184,7,8,2,6,26,3,4,36,29,16,10,24,28
"N00000029",304,37,3,0,3,32,7,30,54,49,55,24,28,22
"N00000030",277,16,8,5,3,24,5,11,67,39,49,15,37,22
"N00000031",489,47,26,16,10,51,11,36,112,48,85,28,49,43
"N00000032",270,21,7,4,3,25,5,16,56,39,41,20,32,29
"N00000033",361,30,6,5,1,30,2,28,71,44,65,28,49,38
"N00000034",322,27,16,12,4,24,4,23,76,38,34,29,44,34
"N00000035",222,9,20,10,10,13,2,7,29,26,15,23,40,47
"N00000036",260,23,15,10,5,26,6,17,53,35,23,9,33,43
"N00000037",212,9,18,11,7,14,1,8,43,37,14,17,30,30
"N00000038",284,18,15,10,5,34,6,12,60,29,39,24,42,23
"N00000039",826,42,32,14,18,100,12,30,173,124,71,61,139,84
"N00000040",201,3,10,7,3,16,0,3,20,34,18,14,37,49
"N00000041",314,24,11,9,2,36,8,16,71,56,24,24,38,30
"N00000042",307,16,13,8,5,39,3,13,59,42,35,31,38,34
"N00000043",787,56,50,35,15,92,18,38,182,108,50,48,119,82
"N00000044",202,3,14,12,2,25,0,3,31,35,13,9,47,25
"N00000045",367,38,8,3,5,26,10,28,77,43,66,28,38,43
"N00000046",282,18,20,17,3,23,1,17,59,34,54,12,35,27
"N00000047",285,20,22,21,1,18,2,18,65,46,42,18,29,25
"N00000048",224,6,13,7,6,17,3,3,18,22,18,20,50,60
"N00000049",202,7,14,9,5,8,1,6,27,25,15,18,44,44
"N00000050",232,22,6,5,1,13,6,16,51,29,24,20,26,41
"N00000051",219,3,27,18,9,13,1,2,26,20,9,19,38,64
"N00000052",231,7,21,11,10,18,2,5,43,29,17,18,32,46
"N00000053",196,4,15,10,5,18,1,3,27,18,8,18,46,42
"N00000054",193,4,16,11,5,9,2,2,33,29,7,22,34,39
"N00000055",204,1,9,4,5,16,0,1,32,28,9,22,47,40
"N00000056",219,5,19,11,8,8,1,4,23,25,9,25,49,56
"N00000057",192,4,17,11,6,15,2,2,13,20,6,12,58,47
"N00000058",191,5,17,13,4,12,0,5,23,29,5,12,52,36
"N00000059",170,4,13,10,3,9,1,3,16,18,6,14,51,39
"N00000060",284,5,20,13,7,13,1,4,38,34,13,20,72,69
"N00000061",210,23,3,3,0,16,3,20,52,23,18,20,27,28
"N00000062",272,36,12,9,3,25,7,29,78,39,15,16,33,18
"N00000063",276,14,22,14,8,27,1,13,42,19,16,32,51,53
"N00000064",206,3,33,23,10,12,1,2,23,11,13,25,45,41
