"Geography_Code","NM_1553_1_0","NM_1553_1_1","NM_1553_1_2","NM_1553_1_3","NM_1553_1_4","NM_1553_1_5","NM_1553_1_6","NM_1553_1_7","NM_1553_1_8"
"N00000113",122,31,36,23,24,7,1,0,0
"N00000114",121,20,46,23,26,3,3,0,0
"N00000115",128,38,44,21,15,9,0,0,1
"N00000116",119,39,29,28,14,6,1,2,0
"N00000117",86,46,18,10,7,2,3,0,0
"N00000118",143,47,56,19,13,5,3,0,0
"N00000119",125,29,60,13,17,4,1,1,0
"N00000120",127,29,49,18,20,5,5,1,0
"N00000121",124,31,47,23,18,3,2,0,0
"N00000122",199,53,77,23,30,11,5,0,0
"N00000123",143,33,57,20,24,7,1,1,0
"N00000124",143,35,63,24,13,8,0,0,0
"N00000125",148,29,32,25,29,22,8,2,1
"N00000126",134,20,20,26,30,18,13,4,3
"N00000127",130,29,27,19,27,15,9,4,0
"N00000128",282,40,62,48,66,36,19,8,3
"N00000129",138,39,44,23,16,12,2,2,0
"N00000130",152,11,33,38,45,23,2,0,0
"N00000131",136,22,40,28,32,10,4,0,0
"N00000132",121,24,31,17,26,16,4,3,0
"N00000133",139,48,48,16,15,5,5,1,1
"N00000134",177,51,53,27,32,13,1,0,0
"N00000135",119,31,34,22,22,6,2,0,2
"N00000136",188,31,64,46,30,12,5,0,0
"N00000137",120,30,30,25,26,8,1,0,0
"N00000138",155,22,40,36,37,17,2,0,1
"N00000139",133,39,60,17,10,4,3,0,0
"N00000140",158,53,58,29,13,5,0,0,0
"N00000141",220,97,67,24,22,8,2,0,0
"N00000142",96,27,44,14,8,2,1,0,0
"N00000143",123,69,27,16,11,0,0,0,0
"N00000144",110,41,35,23,7,4,0,0,0
"N00000145",75,48,14,6,6,0,1,0,0
"N00000146",105,23,42,16,11,10,1,1,1
"N00000147",106,41,31,18,12,2,2,0,0
"N00000148",279,77,90,53,40,14,5,0,0
"N00000149",187,58,63,28,31,4,1,2,0
"N00000150",149,38,51,25,28,5,1,1,0
"N00000151",131,42,44,30,12,3,0,0,0
"N00000152",131,48,49,16,14,4,0,0,0
"N00000153",111,37,37,17,14,4,2,0,0
"N00000154",108,34,32,20,13,6,2,1,0
"N00000155",128,27,43,24,23,8,3,0,0
"N00000156",127,27,58,20,14,6,2,0,0
"N00000157",139,28,47,27,25,8,3,1,0
"N00000158",286,61,138,39,27,13,7,0,1
"N00000159",116,45,48,13,9,1,0,0,0
"N00000160",124,38,46,15,19,4,2,0,0
"N00000161",128,11,58,32,17,9,1,0,0
"N00000162",115,37,51,11,12,3,0,1,0
"N00000163",155,61,55,22,13,2,2,0,0
"N00000164",118,22,55,18,15,7,0,1,0
"N00000165",135,37,49,20,18,8,3,0,0
"N00000166",122,30,50,28,12,1,1,0,0
"N00000167",149,33,54,26,25,9,1,0,1
