"Geography_Code","NM_1553_1_0","NM_1553_1_1","NM_1553_1_2","NM_1553_1_3","NM_1553_1_4","NM_1553_1_5","NM_1553_1_6","NM_1553_1_7","NM_1553_1_8"
"N00000562",143,41,42,26,17,13,1,2,1
"N00000563",356,105,102,52,55,27,10,2,3
"N00000564",138,50,43,21,14,4,3,0,3
"N00000565",124,75,23,12,9,5,0,0,0
"N00000566",123,42,39,21,10,8,3,0,0
"N00000567",200,45,72,27,38,15,3,0,0
"N00000568",130,20,39,28,30,11,2,0,0
"N00000569",167,60,50,22,25,6,4,0,0
"N00000570",129,29,41,24,23,10,2,0,0
"N00000571",120,28,41,22,20,7,2,0,0
"N00000572",200,31,60,47,40,19,3,0,0
"N00000573",138,24,54,25,24,7,3,0,1
"N00000574",149,22,48,24,33,19,3,0,0
"N00000575",160,27,49,34,27,15,7,0,1
"N00000576",131,40,29,29,14,13,4,2,0
"N00000577",154,40,35,31,23,12,12,1,0
"N00000578",243,44,66,49,39,32,12,1,0
"N00000579",149,29,33,23,23,25,14,1,1
"N00000580",177,36,68,25,21,21,5,0,1
"N00000581",160,23,31,26,40,28,10,1,1
"N00000582",142,25,43,28,29,12,5,0,0
"N00000583",118,30,36,23,17,7,4,1,0
"N00000584",157,28,50,25,29,18,6,0,1
"N00000585",155,31,33,31,31,19,5,4,1
"N00000586",154,26,41,36,30,16,5,0,0
"N00000587",154,30,37,29,29,18,9,2,0
"N00000588",139,27,40,32,17,16,6,1,0
"N00000589",182,20,46,26,38,32,11,4,5
"N00000590",137,27,33,21,31,19,2,3,1
"N00000591",155,26,45,31,30,15,7,0,1
"N00000592",188,40,67,33,36,9,3,0,0
"N00000593",171,27,23,38,46,20,14,3,0
"N00000594",130,20,46,24,23,12,3,0,2
"N00000595",185,32,66,28,31,19,7,0,2
"N00000596",120,28,50,21,11,8,2,0,0
"N00000597",121,58,31,20,6,5,1,0,0
"N00000598",152,70,55,16,8,2,1,0,0
"N00000599",114,51,38,14,5,3,2,1,0
"N00000600",122,32,44,18,21,5,2,0,0
"N00000601",133,37,58,23,14,1,0,0,0
"N00000602",111,35,57,12,6,1,0,0,0
"N00000603",151,37,62,18,21,12,1,0,0
"N00000604",132,35,35,24,28,9,1,0,0
"N00000605",196,56,55,35,37,11,1,0,1
"N00000606",124,18,40,29,22,13,0,2,0
"N00000607",129,47,26,28,16,10,1,1,0
"N00000608",138,29,53,17,22,13,3,0,1
"N00000609",136,25,48,24,21,10,8,0,0
"N00000610",147,24,39,37,31,14,2,0,0
"N00000611",122,26,50,23,14,5,3,1,0
"N00000612",246,83,88,40,20,9,4,1,1
"N00000613",112,47,27,25,8,2,3,0,0
"N00000614",119,62,37,10,3,4,2,1,0
"N00000615",87,53,23,5,5,1,0,0,0
"N00000616",129,37,46,25,10,9,2,0,0
"N00000617",133,48,42,17,13,8,4,1,0
"N00000618",271,92,80,47,36,13,2,1,0
"N00000619",141,20,68,18,21,8,5,1,0
"N00000620",139,19,50,37,24,8,1,0,0
"N00000621",176,59,63,29,14,7,2,1,1
"N00000622",164,52,54,28,22,5,2,1,0
"N00000623",125,41,33,23,14,7,3,3,1
"N00000624",160,21,58,20,41,14,4,2,0
"N00000625",118,49,26,19,16,8,0,0,0
"N00000626",156,28,42,26,24,20,9,5,2
"N00000627",159,37,42,26,32,12,7,1,2
"N00000628",141,31,41,20,24,13,8,2,2
"N00000629",171,49,46,30,29,11,6,0,0
"N00000630",126,53,30,21,16,4,2,0,0
"N00000631",137,21,44,22,26,19,4,0,1
"N00000632",156,17,55,32,32,17,2,1,0
"N00000633",126,24,45,29,18,8,2,0,0
"N00000634",166,25,48,28,42,16,7,0,0
"N00000635",153,36,47,24,29,12,4,0,1
"N00000636",143,31,38,27,32,10,2,3,0
"N00000637",305,70,85,61,60,25,3,1,0
"N00000638",136,20,42,29,25,14,5,1,0
"N00000639",143,19,59,22,22,12,6,3,0
"N00000640",132,34,40,25,20,9,2,0,2
"N00000641",129,23,48,28,18,8,2,2,0
"N00000642",145,32,44,27,29,8,3,2,0
"N00000643",148,23,38,24,24,26,11,2,0
"N00000644",184,34,50,41,27,16,11,4,1
"N00000645",136,18,32,26,28,17,11,4,0
"N00000646",124,18,29,20,24,16,13,3,1
"N00000647",300,83,102,55,40,11,7,2,0
"N00000648",129,26,35,21,24,16,4,2,1
"N00000649",132,23,37,29,21,14,7,0,1
"N00000650",229,54,65,42,50,16,2,0,0
"N00000651",122,48,29,18,19,6,2,0,0
"N00000652",200,33,75,40,32,18,2,0,0
"N00000653",116,31,30,20,21,10,4,0,0
"N00000654",114,35,38,16,17,6,2,0,0
"N00000655",141,41,42,23,21,11,2,1,0
"N00000656",115,43,41,13,12,6,0,0,0
"N00000657",318,70,108,52,47,28,11,1,1
"N00000658",123,21,37,23,19,17,6,0,0
"N00000659",142,31,44,24,23,13,6,1,0
"N00000660",153,46,42,28,22,8,4,3,0
"N00000661",141,32,47,25,17,14,6,0,0
"N00000662",140,33,53,18,27,5,3,0,1
"N00000663",148,32,47,24,33,7,5,0,0
"N00000664",148,38,50,24,21,9,6,0,0
"N00000665",145,19,37,22,29,25,8,3,2
"N00000666",132,20,26,24,33,22,3,1,3
"N00000667",137,14,15,21,40,23,16,4,4
"N00000668",127,43,32,17,16,15,2,2,0
"N00000669",151,27,31,31,24,24,6,5,3
"N00000670",126,41,46,12,14,11,2,0,0
"N00000671",130,63,42,15,6,2,1,1,0
"N00000672",131,26,54,23,21,5,2,0,0
"N00000673",353,77,101,81,64,21,6,0,3
"N00000674",130,35,48,15,21,10,1,0,0
"N00000675",144,23,57,24,27,8,5,0,0
"N00000676",294,103,99,47,24,13,6,0,2
"N00000677",143,63,47,23,6,2,1,0,1
"N00000678",161,18,40,31,38,23,7,2,2
"N00000679",167,16,50,28,37,26,8,2,0
"N00000680",139,35,31,22,22,22,7,0,0
"N00000681",138,26,44,28,23,9,7,0,1
"N00000682",143,18,36,20,29,26,9,5,0
"N00000683",132,21,43,24,18,19,5,1,1
"N00000684",202,41,48,40,43,20,6,2,2
"N00000685",121,36,28,17,20,17,3,0,0
"N00000686",148,13,42,26,27,25,14,1,0
"N00000687",135,18,48,29,29,6,3,2,0
"N00000688",132,20,40,25,17,18,11,0,1
"N00000689",136,31,34,23,25,15,7,1,0
"N00000690",119,33,41,24,13,6,1,1,0
"N00000691",129,43,36,23,19,5,3,0,0
"N00000692",129,54,47,19,6,3,0,0,0
"N00000693",125,46,32,24,17,6,0,0,0
"N00000694",356,95,123,53,63,13,7,2,0
"N00000695",201,39,70,46,32,11,3,0,0
"N00000696",114,75,24,6,7,1,1,0,0
"N00000697",149,35,54,24,23,8,3,1,1
"N00000698",187,49,69,35,17,11,6,0,0
"N00000699",148,87,28,22,8,3,0,0,0
"N00000700",120,51,30,17,15,3,3,1,0
"N00000701",94,24,35,13,11,8,3,0,0
"N00000702",311,78,114,48,47,14,7,3,0
"N00000703",131,27,43,29,20,10,2,0,0
"N00000704",238,42,77,47,49,16,6,1,0
"N00000705",242,42,73,48,53,21,4,1,0
"N00000706",154,44,36,24,24,8,13,5,0
"N00000707",132,31,35,25,24,14,3,0,0
"N00000708",155,23,47,32,29,12,8,3,1
"N00000709",165,31,53,27,29,20,4,1,0
"N00000710",117,18,38,17,28,12,2,0,2
"N00000711",195,42,61,35,39,11,7,0,0
"N00000712",134,30,35,25,22,14,6,0,2
"N00000713",135,20,33,25,30,22,5,0,0
"N00000714",128,22,27,16,32,15,9,1,6
"N00000715",254,62,78,40,56,16,1,0,1
"N00000716",328,55,118,58,64,24,8,0,1
"N00000717",199,43,59,26,51,18,2,0,0
"N00000718",719,149,233,141,126,56,10,3,1
"N00000719",86,11,26,16,21,7,5,0,0
"N00000720",154,15,36,36,53,8,5,1,0
"N00000721",154,35,37,16,37,19,10,0,0
"N00000722",162,29,44,30,27,18,10,2,2
"N00000723",145,35,28,27,23,16,12,3,1
"N00000724",160,31,38,29,23,28,9,1,1
"N00000725",165,36,44,28,29,21,3,3,1
"N00000726",137,24,33,19,22,27,10,1,1
"N00000727",124,47,34,25,11,3,3,1,0
"N00000728",187,40,64,24,43,13,3,0,0
"N00000729",121,23,29,26,26,11,5,1,0
"N00000730",121,27,44,19,22,9,0,0,0
"N00000731",123,47,38,20,9,6,3,0,0
"N00000732",239,53,95,49,34,5,3,0,0
"N00000733",112,17,38,21,20,9,5,2,0
"N00000734",142,14,48,31,34,13,2,0,0
"N00000735",143,23,42,30,23,19,4,2,0
"N00000736",137,36,37,16,23,20,3,2,0
"N00000737",124,14,40,25,24,13,6,1,1
"N00000738",138,23,42,19,25,12,13,2,2
"N00000739",143,13,47,21,40,19,2,1,0
"N00000740",177,27,41,32,37,28,10,2,0
"N00000741",140,22,66,24,22,5,1,0,0
"N00000742",120,33,44,18,17,6,1,1,0
"N00000743",116,31,39,31,10,3,1,1,0
"N00000744",123,48,29,19,19,4,4,0,0
"N00000745",184,49,53,35,31,10,6,0,0
"N00000746",263,133,61,37,21,8,3,0,0
"N00000747",173,51,58,31,26,5,2,0,0
"N00000748",173,30,68,29,32,12,1,1,0
"N00000749",140,29,57,22,28,3,1,0,0
"N00000750",146,53,53,22,13,5,0,0,0
"N00000751",198,61,71,26,26,10,3,0,1
"N00000752",163,51,46,14,40,9,2,0,1
"N00000753",138,16,41,21,36,18,3,2,1
"N00000754",162,42,43,21,41,11,2,2,0
"N00000755",125,19,28,28,27,18,3,1,1
"N00000756",153,38,62,24,19,6,3,0,1
"N00000757",142,15,39,27,36,19,5,0,1
"N00000758",185,41,63,39,28,11,1,2,0
"N00000759",102,17,22,26,26,5,6,0,0
"N00000760",132,64,38,15,11,3,1,0,0
"N00000761",178,58,51,30,29,9,0,0,1
"N00000762",133,78,40,6,6,2,1,0,0
"N00000763",166,40,66,26,18,10,4,2,0
"N00000764",93,13,25,19,28,5,1,1,1
"N00000765",165,52,42,34,15,18,3,1,0
"N00000766",387,186,110,47,32,8,3,1,0
"N00000767",108,20,25,25,25,11,2,0,0
"N00000768",120,44,33,19,16,3,5,0,0
"N00000769",137,20,47,22,30,15,3,0,0
"N00000770",117,18,28,17,27,21,6,0,0
"N00000771",124,63,33,14,9,4,1,0,0
"N00000772",157,29,51,17,35,19,4,1,1
"N00000773",154,37,39,34,24,13,7,0,0
"N00000774",430,153,112,73,53,25,9,4,1
"N00000775",123,38,37,18,22,7,1,0,0
"N00000776",136,43,46,23,10,8,3,0,3
"N00000777",323,63,90,66,67,25,9,2,1
"N00000778",142,20,47,20,28,17,9,1,0
"N00000779",204,39,63,45,33,14,8,2,0
"N00000780",181,32,53,32,34,21,7,2,0
"N00000781",204,53,70,35,28,10,8,0,0
"N00000782",162,21,41,27,37,23,12,1,0
"N00000783",195,51,39,38,36,17,8,4,2
"N00000784",145,21,50,19,24,25,5,0,1
"N00000785",118,17,44,17,26,12,2,0,0
"N00000786",129,20,40,22,25,17,2,3,0
"N00000787",144,22,40,25,36,11,9,1,0
"N00000788",142,26,39,29,24,14,6,2,2
"N00000789",403,107,139,71,50,24,9,2,1
"N00000790",193,41,59,41,26,16,8,0,2
"N00000791",146,39,54,22,24,4,3,0,0
"N00000792",130,19,37,22,28,18,5,0,1
"N00000793",146,23,36,28,31,21,6,1,0
"N00000794",154,22,48,29,27,21,4,1,2
"N00000795",170,26,41,30,36,28,7,1,1
"N00000796",141,46,41,21,15,12,4,1,1
"N00000797",144,41,41,29,26,7,0,0,0
"N00000798",175,26,55,34,31,16,10,1,2
"N00000799",193,57,56,32,32,14,2,0,0
"N00000800",145,21,52,19,28,17,7,1,0
"N00000801",176,27,46,35,39,25,4,0,0
"N00000802",114,31,46,14,13,6,3,1,0
"N00000803",140,16,54,26,28,12,4,0,0
"N00000804",153,24,54,25,38,9,3,0,0
"N00000805",134,30,39,23,27,11,4,0,0
"N00000806",143,52,39,16,21,12,2,1,0
"N00000807",187,43,57,22,35,22,8,0,0
"N00000808",119,55,37,11,9,5,2,0,0
"N00000809",204,61,60,36,26,15,5,1,0
"N00000810",151,31,40,33,21,18,6,2,0
"N00000811",148,60,29,26,20,10,2,1,0
"N00000812",121,33,38,27,10,10,2,1,0
"N00000813",191,48,54,45,27,11,5,1,0
"N00000814",118,35,46,23,9,4,1,0,0
"N00000815",159,24,39,32,41,16,4,3,0
"N00000816",232,99,61,23,36,11,2,0,0
"N00000817",104,25,40,17,12,9,0,1,0
"N00000818",123,24,41,28,18,10,2,0,0
"N00000819",132,60,39,19,13,0,1,0,0
"N00000820",179,67,66,19,18,7,2,0,0
"N00000821",129,58,30,20,15,5,1,0,0
"N00000822",127,79,31,7,5,3,2,0,0
"N00000823",146,34,58,19,21,10,4,0,0
"N00000824",144,80,41,11,10,1,1,0,0
"N00000825",136,33,39,27,18,14,4,0,1
"N00000826",115,29,32,26,19,3,5,1,0
"N00000827",121,28,43,28,12,8,2,0,0
"N00000828",104,40,36,11,6,5,5,1,0
"N00000829",131,39,50,18,13,5,4,0,2
"N00000830",132,57,44,17,9,2,3,0,0
"N00000831",134,51,34,23,17,5,3,1,0
"N00000832",122,46,37,17,11,8,3,0,0
"N00000833",120,54,32,12,12,9,1,0,0
"N00000834",136,46,35,26,15,8,5,1,0
"N00000835",112,29,33,18,15,13,1,3,0
"N00000836",126,31,34,25,18,10,5,3,0
"N00000837",122,25,36,26,14,13,4,3,1
"N00000838",119,45,26,24,12,6,6,0,0
"N00000839",156,59,38,31,13,10,3,1,1
"N00000840",118,37,41,21,8,8,3,0,0
"N00000841",123,36,39,23,17,5,2,1,0
"N00000842",209,49,67,37,31,15,9,0,1
"N00000843",107,42,31,15,14,3,1,1,0
"N00000844",98,35,33,17,6,6,0,1,0
"N00000845",98,40,33,9,12,3,1,0,0
"N00000846",114,43,37,11,19,4,0,0,0
"N00000847",367,99,104,66,55,28,12,3,0
"N00000848",112,34,43,24,8,2,1,0,0
"N00000849",144,59,36,28,14,6,1,0,0
"N00000850",121,42,37,21,15,5,1,0,0
"N00000851",115,48,28,24,10,3,2,0,0
"N00000852",543,233,131,88,57,20,10,1,3
"N00000853",108,35,29,14,13,10,4,3,0
"N00000854",309,90,88,65,41,15,7,3,0
"N00000855",104,55,39,7,1,1,1,0,0
"N00000856",90,38,30,10,6,6,0,0,0
"N00000857",157,56,46,21,22,9,2,1,0
"N00000858",131,61,43,18,7,2,0,0,0
"N00000859",138,52,51,12,18,5,0,0,0
"N00000860",151,32,50,24,26,13,6,0,0
"N00000861",124,39,36,17,22,8,1,1,0
"N00000862",388,142,110,70,39,19,6,1,1
"N00000863",128,39,47,16,18,7,1,0,0
"N00000864",125,35,40,21,21,5,3,0,0
"N00000865",126,26,33,21,32,9,5,0,0
"N00000866",164,61,58,22,18,3,2,0,0
"N00000867",159,83,41,20,13,1,1,0,0
"N00000868",130,41,46,17,18,7,1,0,0
"N00000869",106,61,28,6,5,5,1,0,0
"N00000870",157,46,54,30,20,5,1,0,1
"N00000871",155,58,46,23,20,7,1,0,0
"N00000872",134,54,56,9,13,1,1,0,0
"N00000873",132,41,34,31,14,8,4,0,0
"N00000874",268,116,78,48,15,9,2,0,0
"N00000875",124,44,33,27,12,4,3,1,0
"N00000876",119,70,27,9,6,5,2,0,0
"N00000877",158,52,55,22,18,9,2,0,0
"N00000878",119,60,29,13,12,3,1,0,1
"N00000879",398,130,89,78,57,28,10,4,2
"N00000880",123,42,26,19,22,10,2,2,0
"N00000881",148,62,50,19,9,7,1,0,0
"N00000882",139,63,49,16,11,0,0,0,0
"N00000883",133,57,46,14,12,2,1,0,1
"N00000884",113,64,22,14,10,3,0,0,0
"N00000885",323,159,87,39,25,11,1,1,0
"N00000886",128,52,46,15,12,2,1,0,0
"N00000887",133,51,48,15,11,2,5,1,0
"N00000888",143,52,48,27,12,4,0,0,0
"N00000889",110,41,25,19,16,7,2,0,0
"N00000890",150,49,55,15,21,9,1,0,0
"N00000891",181,80,58,26,14,2,1,0,0
"N00000892",137,43,42,26,20,4,1,1,0
"N00000893",135,45,52,22,12,3,1,0,0
"N00000894",141,65,45,17,13,1,0,0,0
"N00000895",121,47,38,11,15,8,1,0,1
"N00000896",139,66,38,25,6,2,1,0,1
"N00000897",137,44,46,28,15,4,0,0,0
"N00000898",138,50,36,29,18,4,1,0,0
"N00000899",158,73,47,21,12,3,1,1,0
"N00000900",109,51,32,12,8,4,1,1,0
"N00000901",140,47,48,19,19,6,0,1,0
"N00000902",143,51,49,29,13,0,1,0,0
"N00000903",94,45,20,4,20,4,0,0,1
"N00000904",219,86,79,30,15,4,3,2,0
"N00000905",144,40,53,30,16,5,0,0,0
"N00000906",105,19,45,23,11,3,3,0,1
"N00000907",129,33,35,35,14,5,6,1,0
"N00000908",146,44,59,19,14,8,1,0,1
"N00000909",81,20,34,15,7,4,1,0,0
"N00000910",129,37,56,23,11,1,1,0,0
"N00000911",109,35,40,20,8,5,0,1,0
"N00000912",95,24,33,20,11,2,2,0,3
"N00000913",127,38,33,23,19,12,2,0,0
"N00000914",123,30,46,25,14,7,1,0,0
"N00000915",116,55,36,17,5,2,1,0,0
"N00000916",122,49,47,16,7,3,0,0,0
"N00000917",116,50,38,18,8,1,0,0,1
"N00000918",121,44,39,20,12,5,1,0,0
"N00000919",108,37,43,13,9,5,1,0,0
"N00000920",79,44,18,5,9,2,0,1,0
"N00000921",209,14,38,52,69,25,11,0,0
"N00000922",127,39,41,23,20,2,2,0,0
"N00000923",114,31,49,17,11,5,0,0,1
"N00000924",106,46,28,14,12,4,2,0,0
"N00000925",119,34,31,31,17,5,1,0,0
"N00000926",121,37,39,21,15,8,1,0,0
"N00000927",202,90,44,39,21,6,2,0,0
"N00000928",149,48,41,29,20,7,4,0,0
"N00000929",155,45,37,29,19,16,6,3,0
"N00000930",169,66,52,20,24,5,1,1,0
"N00000931",246,65,55,59,32,19,8,6,2
"N00000932",174,59,52,27,23,6,4,1,2
"N00000933",134,43,47,32,6,5,1,0,0
"N00000934",119,40,36,19,13,5,6,0,0
"N00000935",115,46,29,21,14,3,1,1,0
"N00000936",183,45,56,38,25,13,5,1,0
"N00000937",174,46,51,38,28,8,2,1,0
"N00000938",116,22,24,33,18,13,4,1,1
"N00000939",90,33,27,17,7,4,2,0,0
"N00000940",122,57,25,22,13,3,2,0,0
"N00000941",131,32,43,23,16,13,2,1,1
"N00000942",122,48,32,18,12,7,4,1,0
"N00000943",105,29,35,14,12,10,4,0,1
"N00000944",91,22,25,20,11,10,2,1,0
"N00000945",105,27,40,16,12,9,1,0,0
"N00000946",207,98,57,38,11,2,1,0,0
"N00000947",117,49,35,12,14,5,2,0,0
"N00000948",108,42,32,22,9,2,0,1,0
"N00000949",134,45,39,21,20,6,3,0,0
"N00000950",138,49,41,21,19,3,4,0,1
"N00000951",106,36,30,21,17,1,0,0,1
"N00000952",176,65,47,33,24,5,2,0,0
"N00000953",117,39,48,20,7,3,0,0,0
"N00000954",121,46,33,15,20,5,1,1,0
"N00000955",158,40,54,30,20,9,4,1,0
"N00000956",215,68,76,37,21,7,4,2,0
"N00000957",192,45,58,28,42,11,3,5,0
"N00000958",132,44,45,20,16,6,1,0,0
"N00000959",204,57,77,31,25,13,0,1,0
"N00000960",192,49,63,26,33,19,1,1,0
"N00000961",124,30,48,22,12,9,2,0,1
"N00000962",159,62,51,21,15,9,1,0,0
"N00000963",115,38,44,14,12,6,1,0,0
"N00000964",129,38,46,24,14,4,2,1,0
"N00000965",120,23,49,20,21,7,0,0,0
"N00000966",148,41,57,29,17,3,1,0,0
"N00000967",137,31,52,23,23,6,2,0,0
"N00000968",103,31,26,19,22,3,2,0,0
"N00000969",92,36,31,10,11,3,1,0,0
"N00000970",243,104,81,31,20,4,2,1,0
"N00000971",120,38,45,23,9,3,1,1,0
"N00000972",129,36,34,37,15,2,4,0,1
"N00000973",145,55,39,25,17,2,4,3,0
"N00000974",120,44,35,22,12,4,2,0,1
"N00000975",125,48,43,20,6,5,2,1,0
"N00000976",74,40,14,10,7,3,0,0,0
"N00000977",145,61,49,21,9,4,0,1,0
"N00000978",134,67,45,15,5,1,0,0,1
"N00000979",126,68,34,18,4,1,1,0,0
"N00000980",128,64,43,14,5,1,1,0,0
"N00000981",108,49,35,15,5,2,1,1,0
"N00000982",126,56,40,12,11,6,1,0,0
"N00000983",162,69,49,20,17,5,0,1,1
"N00000984",160,61,54,26,13,6,0,0,0
"N00000985",126,64,27,20,11,3,1,0,0
"N00000986",112,45,41,19,5,2,0,0,0
"N00000987",152,41,61,17,19,7,7,0,0
"N00000988",74,35,17,14,6,1,1,0,0
"N00000989",124,52,32,21,14,3,2,0,0
"N00000990",141,63,41,22,12,3,0,0,0
"N00000991",141,72,42,14,7,2,3,0,1
"N00000992",265,139,79,28,16,2,0,1,0
"N00000993",111,43,40,14,6,5,2,0,1
"N00000994",470,208,150,56,34,16,6,0,0
"N00000995",97,44,27,12,10,3,1,0,0
"N00000996",123,24,43,10,38,8,0,0,0
"N00000997",103,34,23,17,17,7,2,2,1
"N00000998",127,36,42,18,25,6,0,0,0
"N00000999",122,61,39,8,12,1,0,0,1
"N00001000",129,34,52,16,17,8,1,1,0
"N00001001",139,52,53,19,7,5,1,1,1
"N00001002",431,199,154,43,19,13,2,1,0
"N00001003",113,54,31,16,9,1,1,1,0
"N00001004",143,45,56,25,15,1,1,0,0
"N00001005",172,117,38,14,1,2,0,0,0
"N00001006",148,33,42,25,17,12,9,6,4
"N00001007",242,77,79,37,19,13,14,2,1
"N00001008",85,27,11,14,14,17,1,1,0
"N00001009",83,23,42,9,3,1,3,1,1
"N00001010",124,42,26,15,19,17,2,2,1
"N00001011",126,29,27,22,29,11,5,2,1
"N00001012",128,36,29,22,29,3,1,8,0
"N00001013",98,34,24,13,20,4,0,3,0
"N00001014",107,47,22,17,12,6,2,1,0
"N00001015",144,44,22,25,26,19,7,0,1
"N00001016",100,32,26,13,16,7,5,1,0
"N00001017",118,41,23,19,15,11,6,2,1
"N00001018",115,30,37,20,19,7,1,1,0
"N00001019",76,23,12,20,10,9,1,1,0
"N00001020",94,55,21,8,4,3,2,1,0
"N00001021",83,28,12,16,8,11,6,2,0
"N00001022",272,150,51,33,19,15,3,1,0
"N00001023",94,32,25,19,14,1,1,2,0
"N00001024",149,46,50,22,22,8,1,0,0
"N00001025",101,35,18,12,6,21,6,0,3
"N00001026",103,45,22,13,11,9,2,1,0
"N00001027",158,43,51,27,22,10,4,1,0
"N00001028",118,45,37,17,9,5,5,0,0
"N00001029",241,46,64,58,36,19,14,4,0
"N00001030",177,54,52,31,21,8,7,2,2
"N00001031",145,43,46,18,18,15,3,1,1
"N00001032",106,54,38,7,5,1,0,0,1
"N00001033",110,94,13,3,0,0,0,0,0
"N00001034",143,42,37,37,20,5,2,0,0
"N00001035",112,26,32,37,10,3,2,1,1
"N00001036",193,101,34,27,20,9,2,0,0
"N00001037",136,30,48,20,20,7,10,1,0
"N00001038",271,72,71,52,38,26,10,2,0
"N00001039",141,44,38,21,17,14,4,3,0
"N00001040",117,34,40,23,14,5,0,1,0
"N00001041",108,62,25,9,9,3,0,0,0
"N00001042",295,98,102,41,35,15,4,0,0
"N00001043",116,63,30,13,6,4,0,0,0
"N00001044",152,66,46,21,15,2,2,0,0
"N00001045",116,33,36,25,16,6,0,0,0
"N00001046",113,29,34,11,22,13,4,0,0
"N00001047",127,29,49,19,23,5,1,1,0
"N00001048",128,42,30,21,20,9,3,2,1
"N00001049",125,29,44,18,16,13,5,0,0
"N00001050",125,26,47,19,15,11,6,1,0
"N00001051",117,16,36,17,24,14,6,3,1
"N00001052",100,50,28,14,8,0,0,0,0
"N00001053",125,24,38,26,18,11,6,2,0
"N00001054",120,23,39,20,20,10,6,2,0
"N00001055",120,24,29,22,25,18,2,0,0
"N00001056",127,23,41,22,29,7,3,1,1
"N00001057",129,30,43,25,22,7,2,0,0
"N00001058",134,31,41,29,20,9,4,0,0
"N00001059",121,29,38,19,22,8,5,0,0
"N00001060",106,35,28,14,22,7,0,0,0
"N00001061",102,21,43,9,22,5,2,0,0
"N00001062",113,24,44,17,23,3,2,0,0
"N00001063",123,25,52,18,18,9,1,0,0
"N00001064",272,102,73,33,38,23,3,0,0
"N00001065",126,22,51,22,20,10,1,0,0
"N00001066",121,36,43,18,22,1,1,0,0
"N00001067",133,53,36,26,15,3,0,0,0
"N00001068",154,69,55,12,10,8,0,0,0
"N00001069",133,39,38,23,25,5,3,0,0
"N00001070",212,60,61,40,40,10,1,0,0
"N00001071",137,47,40,23,20,7,0,0,0
"N00001072",143,55,37,24,18,7,2,0,0
"N00001073",127,46,46,14,9,7,3,2,0
"N00001074",109,33,48,10,10,7,1,0,0
"N00001075",131,50,36,28,11,6,0,0,0
"N00001076",139,65,45,7,14,8,0,0,0
"N00001077",131,73,35,13,6,2,1,1,0
"N00001078",138,69,39,16,10,3,0,1,0
"N00001079",369,167,90,50,33,17,7,3,2
"N00001080",149,58,46,24,12,7,1,1,0
"N00001081",168,51,55,23,20,14,3,2,0
"N00001082",180,65,46,33,15,17,2,0,2
"N00001083",162,46,44,21,25,18,7,1,0
"N00001084",177,73,46,28,10,13,4,2,1
"N00001085",438,148,109,77,61,25,14,3,1
"N00001086",131,26,44,32,20,8,1,0,0
"N00001087",107,28,25,16,20,10,6,1,1
"N00001088",107,22,27,25,15,14,4,0,0
"N00001089",136,50,31,28,19,6,1,0,1
"N00001090",106,42,34,13,13,3,1,0,0
"N00001091",130,29,32,24,19,14,11,1,0
"N00001092",146,37,38,23,30,13,4,1,0
"N00001093",232,48,69,50,39,17,4,3,2
"N00001094",117,47,34,22,12,2,0,0,0
"N00001095",145,37,44,34,20,5,2,2,1
"N00001096",128,17,39,20,33,11,3,3,2
"N00001097",121,29,39,26,12,8,6,1,0
"N00001098",135,58,31,15,19,7,4,0,1
"N00001099",125,34,53,17,17,2,1,1,0
"N00001100",114,32,31,19,22,7,3,0,0
"N00001101",120,32,33,22,25,8,0,0,0
"N00001102",265,109,65,49,33,6,2,0,1
"N00001103",100,39,27,20,8,4,1,0,1
"N00001104",130,45,35,24,16,8,2,0,0
"N00001105",129,43,37,20,19,5,4,1,0
"N00001106",129,46,46,19,8,5,4,1,0
"N00001107",142,47,48,29,12,5,1,0,0
"N00001108",104,45,25,19,10,5,0,0,0
"N00001109",145,37,44,24,19,10,7,4,0
"N00001110",146,46,44,24,23,7,2,0,0
"N00001111",277,97,66,49,32,20,9,3,1
"N00001112",130,43,37,17,19,11,1,2,0
"N00001113",600,208,185,108,58,18,16,4,3
"N00001114",134,48,34,21,19,8,4,0,0
"N00001115",108,42,37,15,11,1,2,0,0
"N00001116",228,87,61,46,25,4,5,0,0
"N00001117",367,164,108,50,31,11,2,1,0
"N00001118",121,50,37,17,15,1,0,1,0
"N00001119",98,49,29,15,3,0,2,0,0
"N00001120",122,65,39,8,6,3,0,1,0
"N00001121",124,50,47,18,8,1,0,0,0
"N00001122",124,90,25,7,0,0,0,1,1
"N00001123",105,57,28,13,5,0,1,0,1
"N00001124",245,74,84,39,34,11,3,0,0
"N00001125",169,54,43,31,28,10,3,0,0
"N00001126",115,48,33,10,22,2,0,0,0
"N00001127",315,151,71,51,30,5,5,0,2
"N00001128",129,69,28,20,5,5,1,0,1
"N00001129",205,83,56,32,18,10,5,1,0
"N00001130",88,48,16,9,8,4,2,0,1
"N00001131",510,216,182,79,23,8,1,0,1
"N00001132",125,60,29,20,9,5,2,0,0
"N00001133",316,133,90,56,24,12,1,0,0
"N00001134",109,43,37,22,6,1,0,0,0
"N00001135",94,39,29,16,7,3,0,0,0
"N00001136",151,77,48,17,8,1,0,0,0
"N00001137",135,55,43,14,13,6,1,3,0
"N00001138",114,61,35,12,3,2,1,0,0
"N00001139",210,55,59,42,30,18,5,1,0
"N00001140",137,53,37,24,11,9,2,0,1
