"Geography_Code","NM_1508_1_0","NM_1508_1_1","NM_1508_1_2","NM_1508_1_3","NM_1508_1_4","NM_1508_1_5","NM_1508_1_6"
"N00000157",139,11,48,53,19,8,246
"N00000158",286,21,135,105,19,6,427
"N00000159",116,50,45,15,5,1,94
"N00000160",124,23,57,32,10,2,160
"N00000161",128,1,35,70,17,5,248
"N00000162",115,17,52,30,15,1,161
"N00000163",155,56,79,12,8,0,127
"N00000164",118,6,34,61,13,4,214
"N00000165",135,13,46,50,21,5,244
"N00000166",122,12,58,44,6,2,177
"N00000167",149,15,55,55,18,6,243
"N00000168",145,6,69,57,9,4,226
"N00000169",279,21,91,109,42,16,506
"N00000170",139,15,46,65,9,4,221
"N00000171",146,4,37,59,30,16,313
"N00000172",307,21,97,134,41,14,549
"N00000173",144,7,47,61,19,10,270
"N00000174",163,47,69,40,5,2,172
"N00000175",140,9,51,59,12,9,248
"N00000176",205,78,84,32,9,2,183
"N00000177",167,51,85,24,7,0,154
"N00000178",355,156,161,33,5,0,242
"N00000179",492,237,199,45,9,2,324
"N00000180",131,55,65,9,2,0,89
"N00000181",168,65,81,21,0,1,127
"N00000182",105,22,56,25,2,0,112
"N00000183",146,28,78,32,5,3,170
"N00000184",184,44,104,30,4,2,184
"N00000185",121,46,42,22,9,2,121
"N00000186",137,32,71,31,2,1,143
"N00000187",126,40,69,14,2,1,107
"N00000188",128,27,63,32,3,3,152
"N00000189",125,4,40,54,21,6,237
"N00000190",119,4,47,52,14,2,201
"N00000191",124,7,57,44,10,6,199
"N00000192",120,14,55,38,9,4,177
"N00000193",111,44,49,14,3,1,90
"N00000194",119,30,53,31,5,0,130
"N00000195",123,36,71,13,2,1,107
"N00000196",116,50,52,13,1,0,81
"N00000197",115,0,48,57,9,1,193
"N00000198",110,4,42,42,17,5,200
"N00000199",130,8,56,51,13,2,206
"N00000200",124,10,49,54,8,3,193
"N00000201",143,14,68,49,10,2,204
"N00000202",132,6,49,56,16,5,229
"N00000203",134,14,49,49,16,6,222
"N00000204",152,15,68,57,11,1,219
"N00000205",118,10,43,48,9,8,198
"N00000206",212,32,125,47,6,2,245
"N00000207",119,15,55,38,8,3,167
"N00000208",121,4,44,51,16,6,219
"N00000209",122,2,35,61,15,9,244
"N00000210",219,78,104,30,5,2,187
"N00000211",269,83,120,55,10,1,264
"N00000212",85,25,47,11,1,1,76
"N00000213",150,39,57,44,5,5,180
"N00000214",151,30,63,48,9,1,190
"N00000215",151,7,29,79,28,8,308
"N00000216",161,17,50,62,20,12,286
"N00000217",175,4,45,90,26,10,348
"N00000218",148,6,52,77,11,2,247
"N00000219",123,55,53,14,0,1,85
"N00000220",125,55,51,14,5,0,94
"N00000221",115,35,53,23,4,0,111
"N00000222",130,14,75,30,9,2,171
"N00000223",128,22,57,34,11,4,174
"N00000224",118,30,58,24,6,0,124
"N00000225",90,22,49,18,1,0,88
"N00000226",111,14,52,33,8,4,159
"N00000227",121,31,69,19,1,1,117
"N00000228",127,13,55,46,12,1,187
"N00000229",150,26,63,50,7,4,200
"N00000230",116,47,44,22,3,0,97
"N00000231",122,73,41,8,0,0,57
"N00000232",136,48,60,26,2,0,118
"N00000233",128,41,58,21,7,1,125
"N00000234",124,49,58,14,1,2,97
"N00000235",128,18,53,46,8,3,181
"N00000236",108,29,44,26,7,2,126
"N00000237",147,4,48,76,15,4,262
"N00000238",121,2,30,58,22,9,254
"N00000239",118,31,69,15,1,2,111
"N00000240",132,40,64,24,3,1,126
"N00000241",138,3,27,77,24,7,281
"N00000242",120,2,24,79,11,4,234
"N00000243",110,31,54,20,5,0,109
"N00000244",118,50,51,15,1,1,89
"N00000245",126,19,69,28,9,1,156
"N00000246",127,39,60,21,5,2,125
"N00000247",122,8,48,52,11,3,198
"N00000248",124,5,42,63,11,3,214
"N00000249",131,3,58,55,13,2,215
"N00000250",166,15,73,65,10,3,245
"N00000251",155,9,59,72,13,2,250
"N00000252",132,3,47,57,14,11,254
"N00000253",175,6,47,72,32,18,368
"N00000254",117,7,31,47,20,12,241
"N00000255",127,5,22,64,26,10,270
"N00000256",308,17,92,131,50,18,596
"N00000257",173,18,81,57,13,4,253
"N00000258",140,3,41,66,19,11,281
"N00000259",161,9,49,74,16,13,305
"N00000260",210,21,100,74,9,6,307
"N00000261",179,8,49,79,25,18,359
"N00000262",156,10,62,59,20,5,263
"N00000263",110,25,58,23,2,2,121
"N00000264",196,35,70,61,21,9,293
"N00000265",149,41,70,29,7,2,158
"N00000266",126,21,46,47,11,1,177
"N00000267",152,7,38,69,31,7,297
"N00000268",142,9,38,59,27,9,283
"N00000269",135,9,40,51,22,13,265
"N00000270",133,10,32,57,20,14,267
"N00000271",142,8,36,66,26,6,270
"N00000272",133,8,69,45,6,5,201
"N00000273",163,3,43,83,21,13,334
"N00000274",176,7,41,88,27,13,377
"N00000275",126,18,64,36,6,2,162
"N00000276",126,13,56,50,6,1,178
"N00000277",117,4,61,44,6,2,175
"N00000278",121,10,65,31,12,3,181
"N00000279",83,10,46,27,0,0,100
"N00000280",154,44,69,36,3,2,164
"N00000281",117,6,31,42,24,14,254
"N00000282",132,6,53,41,20,12,248
"N00000283",142,6,62,62,10,2,225
"N00000284",157,40,70,40,7,0,171
"N00000285",124,43,60,21,0,0,102
"N00000286",126,31,58,27,6,4,146
"N00000287",137,48,64,20,2,3,123
"N00000288",138,9,61,55,10,3,213
"N00000289",197,24,94,67,9,3,267
"N00000290",128,36,72,18,1,1,119
"N00000291",204,17,91,67,19,10,332
"N00000292",262,12,98,123,25,4,436
