"Geography_Code","NM_1538_1_0","NM_1538_1_1","NM_1538_1_10","NM_1538_1_11","NM_1538_1_12","NM_1538_1_13","NM_1538_1_14","NM_1538_1_15","NM_1538_1_16","NM_1538_1_17","NM_1538_1_18","NM_1538_1_19","NM_1538_1_2","NM_1538_1_20","NM_1538_1_21","NM_1538_1_22","NM_1538_1_23","NM_1538_1_24","NM_1538_1_25","NM_1538_1_26","NM_1538_1_3","NM_1538_1_4","NM_1538_1_5","NM_1538_1_6","NM_1538_1_7","NM_1538_1_8","NM_1538_1_9"
"N00000650",229,54,17,0,14,6,5,2,1,18,3,2,20,13,11,2,1,0,1,7,34,164,9,123,35,21,50
"N00000651",122,48,5,0,14,4,5,4,1,28,6,11,11,11,8,4,3,0,0,1,37,66,0,24,10,2,7
"N00000652",200,33,15,0,19,11,2,4,2,30,8,10,7,12,9,1,2,0,0,6,26,158,16,93,25,20,33
"N00000653",116,31,9,0,5,1,1,2,1,11,2,1,16,8,4,2,1,0,1,0,15,81,9,56,11,17,19
"N00000654",114,35,14,0,7,4,2,1,0,20,6,5,11,9,3,0,0,0,1,2,24,76,8,41,11,7,9
"N00000655",141,41,11,0,3,1,1,1,0,10,4,2,19,4,13,1,1,1,0,10,22,87,14,60,18,14,17
"N00000656",115,43,7,0,4,1,1,2,0,10,4,1,21,5,10,4,0,0,1,5,22,62,15,33,12,7,7
"N00000657",318,70,24,0,20,13,3,1,3,38,15,10,32,13,23,5,6,0,1,11,38,225,23,144,46,22,52
"N00000658",123,21,20,0,3,2,0,1,0,11,0,2,9,9,18,4,3,0,2,9,12,84,10,60,14,7,19
"N00000659",142,31,20,0,11,5,5,1,0,10,5,3,10,2,7,3,1,0,1,2,21,104,17,66,16,9,21
"N00000660",153,46,16,0,13,8,1,4,0,21,5,4,24,12,11,1,1,0,1,8,22,96,5,57,13,10,18
"N00000661",141,32,15,0,13,7,5,0,1,8,1,2,20,5,14,4,2,0,1,7,12,95,9,65,22,7,21
"N00000662",140,33,10,0,7,5,1,1,0,13,3,3,19,7,10,4,1,0,0,5,14,97,16,61,25,10,16
"N00000663",148,32,21,0,8,7,0,0,1,15,2,1,14,12,3,0,1,0,0,2,18,113,15,75,17,12,25
"N00000664",148,38,8,0,14,10,2,2,0,20,1,3,11,16,9,1,4,0,1,3,27,101,9,58,17,14,19
"N00000665",145,19,18,0,9,4,2,3,0,15,6,2,15,7,23,4,4,0,4,11,4,103,8,71,7,9,37
"N00000666",132,20,17,0,2,1,0,1,0,6,1,3,15,2,13,2,2,0,3,6,5,99,5,86,15,14,40
"N00000667",137,14,15,0,3,0,2,0,1,9,4,4,7,1,12,5,4,0,0,3,7,111,4,95,7,22,51
"N00000668",127,43,18,0,7,2,0,3,2,17,8,3,22,6,8,3,0,0,3,2,21,76,5,47,8,6,15
"N00000669",151,27,16,0,13,7,4,2,0,15,6,4,13,5,11,2,6,0,0,3,14,113,13,72,5,19,32
"N00000670",126,41,6,0,8,5,2,1,0,15,4,3,21,8,8,1,4,0,2,1,20,77,16,38,14,4,14
"N00000671",130,63,5,0,5,4,1,0,0,7,2,1,43,4,10,4,0,0,1,5,20,57,22,23,7,5,6
"N00000672",131,26,8,0,8,3,4,0,1,12,2,1,15,9,7,4,3,0,0,0,11,98,27,51,16,7,20
"N00000673",353,77,31,0,23,11,6,6,0,66,25,27,28,14,21,4,4,0,2,11,49,255,14,152,34,33,54
"N00000674",130,35,16,0,2,0,0,1,1,7,3,1,25,3,6,1,0,0,0,5,10,89,20,60,21,3,20
"N00000675",144,23,19,0,5,3,0,2,0,11,3,2,14,6,6,1,4,0,0,1,9,115,18,81,28,10,24
"N00000676",294,103,22,0,13,9,4,0,0,39,11,9,42,19,14,5,2,0,0,7,61,177,26,99,37,16,24
"N00000677",143,63,12,0,12,9,3,0,0,24,9,5,13,10,11,0,1,0,2,8,50,69,5,28,9,4,3
"N00000678",161,18,21,0,17,5,2,9,1,10,1,2,5,7,22,4,6,0,1,11,13,121,13,81,11,16,33
"N00000679",167,16,24,0,7,1,0,6,0,10,3,1,5,6,9,2,2,0,2,3,11,142,12,113,28,22,39
"N00000680",139,35,16,0,11,5,3,2,1,28,4,8,20,16,14,4,2,1,0,7,15,90,2,49,8,6,19
"N00000681",138,26,21,0,5,1,1,3,0,14,2,2,10,10,10,1,3,0,1,5,16,102,13,70,18,11,20
"N00000682",143,18,19,0,3,2,0,0,1,11,2,2,10,7,25,7,4,0,6,8,8,100,10,76,14,13,30
"N00000683",132,21,21,0,4,4,0,0,0,9,1,2,11,6,19,5,6,0,4,4,10,92,13,66,18,8,19
"N00000684",202,41,18,0,17,9,3,4,1,15,2,4,14,9,21,7,2,0,1,11,27,140,8,100,20,19,43
"N00000685",121,36,12,0,17,8,4,3,2,12,4,4,13,4,11,1,7,0,0,3,23,74,3,42,7,7,16
"N00000686",148,13,23,1,5,4,0,1,0,17,2,3,6,12,12,4,1,0,4,3,7,123,11,89,13,17,36
"N00000687",135,18,15,0,11,3,3,3,2,20,2,4,9,14,11,2,1,0,2,6,9,106,13,62,19,9,19
"N00000688",132,20,27,0,6,3,2,0,1,13,2,1,13,10,10,3,2,0,1,4,7,102,14,69,14,6,22
"N00000689",136,31,17,0,4,1,0,2,1,4,1,1,18,2,17,2,6,0,1,8,13,88,8,72,20,11,24
"N00000690",119,33,10,0,14,9,3,1,1,13,3,5,10,5,6,0,1,0,1,4,23,80,6,47,16,10,11
"N00000691",129,43,6,0,15,8,3,4,0,29,12,7,5,10,10,3,4,0,0,3,38,76,0,32,10,7,9
"N00000692",129,54,3,0,10,6,3,1,0,34,17,5,13,12,5,1,0,0,0,4,41,70,4,22,9,6,4
"N00000693",125,46,14,0,2,2,0,0,0,23,6,5,22,12,8,0,1,0,0,7,24,71,6,40,8,8,10
"N00000694",356,95,10,0,42,25,10,7,0,55,27,21,32,7,28,3,6,0,2,17,63,233,18,118,36,26,46
"N00000695",201,39,18,0,15,11,2,2,0,30,9,11,6,10,12,3,2,0,0,7,33,150,10,95,31,15,31
"N00000696",114,75,2,0,9,7,2,0,0,7,2,1,38,4,10,1,0,0,2,7,37,29,1,12,3,3,4
"N00000697",149,35,11,0,3,1,0,2,0,15,1,4,19,10,3,0,0,0,1,2,16,111,23,70,20,11,28
"N00000698",187,49,18,0,11,6,1,3,1,21,5,4,27,12,9,2,0,0,0,7,22,129,27,70,21,10,21
"N00000699",148,87,9,0,4,1,0,3,0,14,2,5,56,7,7,2,0,0,1,4,31,54,14,22,5,5,3
"N00000700",120,51,13,0,6,3,1,2,0,16,5,5,15,6,11,2,1,0,1,7,36,58,6,30,7,3,7
"N00000701",94,24,6,0,4,3,0,1,0,17,6,4,15,7,7,2,0,0,3,2,9,63,11,31,6,4,15
"N00000702",311,78,11,0,28,17,3,8,0,41,12,11,29,18,13,2,2,0,1,8,49,220,22,129,44,28,46
"N00000703",131,27,14,0,11,4,2,4,1,12,2,0,14,10,8,1,1,0,0,6,13,96,11,62,17,12,19
"N00000704",238,42,25,0,16,5,2,6,3,26,5,6,19,15,13,5,2,0,0,6,23,183,24,117,32,29,31
"N00000705",242,42,16,0,15,6,6,3,0,29,11,9,22,9,13,1,2,0,1,9,20,187,13,130,34,27,53
"N00000706",154,44,14,0,10,3,3,3,1,13,1,3,18,9,11,5,3,0,0,3,26,99,7,69,15,9,31
"N00000707",132,31,15,0,9,1,4,4,0,10,6,2,14,2,11,3,2,0,0,6,17,90,8,63,18,6,24
"N00000708",155,23,23,0,5,1,1,2,1,14,3,1,11,10,14,5,1,0,4,4,12,118,10,89,24,14,28
"N00000709",165,31,23,0,7,4,1,2,0,9,1,1,18,7,12,1,3,0,4,4,13,122,12,94,27,17,27
"N00000710",117,18,13,0,8,4,2,2,0,9,1,3,9,5,7,1,1,0,1,4,9,92,9,66,17,10,26
"N00000711",195,42,14,0,18,10,2,5,1,22,6,8,9,8,14,1,5,0,1,7,33,139,11,88,24,19,31
"N00000712",134,30,14,0,2,0,2,0,0,11,3,0,12,8,9,1,3,0,1,4,18,95,7,75,16,13,32
"N00000713",135,20,26,0,4,1,2,1,0,6,0,3,10,3,11,3,4,0,1,3,10,104,9,85,20,13,26
"N00000714",128,22,17,0,4,1,1,2,0,8,1,1,12,6,14,4,7,0,2,1,10,92,9,71,13,10,31
"N00000715",254,62,22,0,21,11,4,6,0,36,17,13,19,6,11,1,1,0,0,9,43,181,17,107,27,15,43
"N00000716",328,55,40,0,8,4,2,1,1,33,11,8,28,14,12,1,4,0,1,6,27,261,34,186,59,33,54
"N00000717",199,43,15,0,19,14,0,5,0,13,5,5,22,3,3,0,0,0,1,2,21,153,17,104,22,18,49
"N00000718",719,149,53,1,65,42,15,8,0,101,43,39,45,19,37,5,10,0,1,21,104,533,40,326,83,71,119
"N00000719",86,11,13,0,4,2,2,0,0,8,2,2,3,4,4,0,2,0,0,2,8,71,6,53,12,9,19
"N00000720",154,15,13,0,5,2,1,1,1,11,4,3,2,4,5,0,1,0,0,4,13,134,8,110,21,28,48
"N00000721",154,35,18,0,4,2,2,0,0,10,2,2,17,6,7,1,1,0,0,5,18,112,7,91,22,8,43
"N00000722",162,29,17,0,6,2,1,3,0,15,3,6,12,6,8,3,1,0,0,4,17,125,15,89,20,14,38
"N00000723",145,35,22,0,2,0,1,1,0,9,2,1,18,6,6,0,1,0,1,4,17,104,4,89,18,18,31
"N00000724",160,31,19,0,9,5,0,4,0,13,4,3,13,6,20,5,6,0,3,6,18,109,7,80,14,15,32
"N00000725",165,36,19,0,10,7,3,0,0,19,2,5,17,12,5,1,1,0,0,3,19,124,8,87,18,11,39
"N00000726",137,24,13,0,5,3,1,1,0,10,2,1,13,7,13,3,1,0,0,9,11,100,8,77,14,10,40
"N00000727",124,47,11,0,3,2,0,0,1,19,9,4,21,6,9,2,0,0,0,7,26,68,5,41,11,9,10
"N00000728",187,40,16,0,17,13,2,2,0,28,16,8,5,4,8,0,2,0,0,6,35,139,6,88,21,14,37
"N00000729",121,23,16,0,4,1,1,2,0,12,4,4,7,4,3,1,0,0,0,2,16,95,6,73,13,20,24
"N00000730",121,27,8,0,8,4,1,2,1,19,5,6,9,8,4,0,2,0,0,2,18,90,12,51,17,14,12
"N00000731",123,47,11,0,7,5,1,1,0,16,6,2,32,8,8,0,4,0,1,3,15,68,12,33,7,7,8
"N00000732",239,53,10,0,30,24,5,1,0,50,33,13,4,4,17,4,2,0,0,11,49,169,1,88,33,21,24
"N00000733",112,17,13,0,5,3,0,1,1,10,5,4,8,1,3,1,0,0,0,2,9,92,9,68,22,12,21
"N00000734",142,14,9,0,13,7,5,1,0,43,17,14,2,12,7,1,0,0,0,6,12,121,7,58,9,14,26
"N00000735",143,23,16,0,5,3,1,1,0,11,1,1,15,9,13,2,3,0,2,6,8,107,11,80,19,17,28
"N00000736",137,36,9,1,6,2,1,1,2,19,5,3,17,11,14,2,1,0,2,9,19,87,5,56,10,8,29
"N00000737",124,14,22,0,5,2,3,0,0,12,0,3,9,9,11,4,1,0,1,5,5,99,13,69,16,13,18
"N00000738",138,23,17,0,1,0,0,1,0,10,0,3,12,7,9,0,1,0,3,5,11,106,12,83,19,14,33
"N00000739",143,13,24,0,8,5,0,3,0,8,1,1,6,6,10,4,1,0,1,4,7,120,10,94,25,16,29
"N00000740",177,27,23,1,6,2,1,2,1,8,5,1,18,2,10,1,3,0,0,6,9,140,11,114,22,14,55
"N00000741",140,22,15,0,7,2,3,2,0,13,1,4,11,8,11,1,0,0,4,6,11,107,30,57,22,7,13
"N00000742",120,33,11,0,5,3,0,1,1,17,4,5,15,8,5,2,0,0,1,2,18,82,12,48,16,6,15
"N00000743",116,31,7,1,8,2,2,2,2,31,14,10,8,7,10,2,2,0,2,4,23,75,5,30,12,5,6
"N00000744",123,48,11,0,4,3,0,1,0,11,4,4,24,3,4,1,0,0,0,3,24,71,11,45,7,9,18
"N00000745",184,49,11,0,14,5,4,3,2,18,7,6,7,5,9,2,2,0,3,2,42,126,12,82,25,17,29
"N00000746",263,133,15,0,11,4,4,3,0,43,18,14,67,11,6,3,0,0,1,2,66,124,12,58,19,10,14
"N00000747",173,51,4,0,18,13,3,1,1,19,6,4,13,9,12,4,1,0,0,7,38,110,11,62,20,18,20
"N00000748",173,30,10,0,13,9,4,0,0,12,6,3,13,3,7,1,0,0,2,4,17,136,18,93,30,21,32
"N00000749",140,29,9,1,11,3,3,5,0,22,9,4,10,9,3,1,0,0,0,2,19,108,12,62,24,9,20
"N00000750",146,53,7,0,12,10,2,0,0,25,11,2,19,12,7,1,2,0,1,3,34,86,11,38,12,9,10
"N00000751",198,61,6,0,18,12,4,2,0,20,8,9,23,3,15,2,3,0,1,9,38,122,11,73,31,9,27
"N00000752",163,51,6,0,5,4,0,1,0,10,7,0,16,3,7,1,2,0,1,3,35,105,8,82,23,13,40
"N00000753",138,16,12,0,3,1,2,0,0,10,2,1,9,7,9,0,2,0,1,6,7,113,9,91,26,14,39
"N00000754",162,42,10,0,15,10,1,4,0,15,7,4,10,4,11,1,4,0,1,5,32,109,2,77,19,15,33
"N00000755",125,19,10,0,5,2,0,3,0,9,4,4,6,1,6,2,2,0,0,2,13,100,6,80,17,16,37
"N00000756",153,38,7,0,6,3,3,0,0,18,10,2,15,6,12,1,1,0,4,6,23,103,16,63,21,12,23
"N00000757",142,15,6,0,6,2,2,2,0,18,8,6,2,4,4,1,1,0,0,2,13,123,6,93,21,16,50
"N00000758",185,41,11,0,9,2,5,2,0,69,31,23,10,15,11,6,1,0,0,4,31,133,8,47,12,3,21
"N00000759",102,17,9,0,4,0,3,0,1,12,1,4,6,7,1,0,1,0,0,0,11,84,5,63,12,14,28
"N00000760",132,64,8,0,1,0,0,1,0,24,7,4,22,13,6,4,0,0,0,2,42,62,9,28,13,4,3
"N00000761",178,58,16,0,12,7,2,3,0,32,12,10,22,10,14,4,1,0,0,9,36,106,8,54,14,8,16
"N00000762",133,78,2,0,5,5,0,0,0,21,9,2,29,10,2,0,0,0,1,1,49,53,9,18,5,3,8
"N00000763",166,40,8,0,22,10,3,8,1,39,16,9,7,14,8,1,1,0,1,5,33,118,6,51,19,9,15
"N00000764",93,13,8,0,5,2,2,1,0,14,7,4,4,3,8,2,2,0,0,4,9,72,5,48,8,8,24
"N00000765",165,52,6,0,12,7,3,2,0,43,11,23,11,9,11,1,2,0,1,7,41,102,4,43,10,8,19
"N00000766",387,186,22,0,21,10,5,4,2,37,13,11,105,13,9,1,0,0,1,7,81,192,42,92,29,22,19
"N00000767",108,20,18,0,9,1,4,4,0,12,2,8,6,2,3,0,1,0,0,2,14,85,9,55,9,14,14
"N00000768",120,44,10,0,9,3,2,4,0,15,3,4,26,8,4,0,1,0,1,2,18,72,8,40,11,10,9
"N00000769",137,20,16,0,4,2,1,1,0,11,5,3,9,3,5,1,1,0,0,3,11,112,9,88,29,16,27
"N00000770",117,18,11,0,9,4,3,2,0,8,2,3,9,3,5,1,3,0,0,1,9,94,11,66,9,7,39
"N00000771",124,63,8,0,6,3,2,1,0,16,7,2,29,7,9,3,0,0,3,3,34,52,5,25,9,4,4
"N00000772",157,29,14,0,5,3,2,0,0,8,1,4,11,3,10,2,0,0,2,6,18,118,12,93,28,9,42
"N00000773",154,37,13,0,11,5,4,1,1,20,9,6,20,5,6,2,1,0,2,1,17,111,3,77,19,14,31
"N00000774",430,153,29,0,33,12,11,9,1,49,20,17,55,12,30,1,6,0,5,18,98,247,26,139,37,29,44
"N00000775",123,38,10,0,9,4,2,2,1,9,2,4,12,3,3,0,0,0,0,3,26,82,12,52,13,14,15
"N00000776",136,43,9,0,12,6,2,3,1,29,8,7,13,14,11,3,2,0,0,6,30,82,4,37,11,3,14
"N00000777",323,63,31,1,20,10,7,3,0,36,10,5,25,21,12,1,1,0,1,9,38,248,22,169,35,38,65
"N00000778",142,20,18,0,3,2,1,0,0,16,5,2,7,9,5,2,1,0,1,1,13,117,11,87,23,12,34
"N00000779",204,39,27,0,15,6,8,1,0,24,12,2,12,10,7,0,0,0,2,5,27,158,17,102,20,17,38
"N00000780",181,32,14,1,19,11,3,5,0,13,3,3,13,7,15,4,5,0,0,6,19,134,9,92,20,24,34
"N00000781",204,53,12,0,28,20,4,3,1,21,9,8,2,4,5,0,3,0,0,2,51,146,5,92,33,14,33
"N00000782",162,21,17,0,6,1,3,1,1,11,3,2,10,6,9,2,2,0,0,5,11,132,11,104,25,16,46
"N00000783",195,51,27,0,7,2,2,1,2,14,2,2,26,10,12,1,3,0,2,6,25,132,5,106,19,21,39
"N00000784",145,21,16,0,2,1,1,0,0,12,5,1,11,6,7,2,1,0,0,4,10,117,18,85,20,17,32
"N00000785",118,17,9,1,8,6,1,0,1,15,3,0,11,12,13,3,2,0,1,7,6,88,6,58,21,10,18
"N00000786",129,20,14,0,1,0,0,1,0,9,0,2,11,7,7,2,0,0,2,3,9,102,13,79,21,11,33
"N00000787",144,22,18,0,4,2,0,0,2,11,0,5,13,6,7,1,0,0,2,4,9,115,7,93,23,18,34
"N00000788",142,26,21,0,6,4,1,1,0,15,0,2,13,13,5,0,2,0,0,3,13,111,4,86,19,13,33
"N00000789",403,107,29,0,37,24,3,8,2,64,31,12,27,21,23,4,3,0,1,15,80,273,13,159,51,29,50
"N00000790",193,41,32,0,10,5,3,1,1,19,5,4,17,10,11,1,6,0,1,3,24,141,13,99,26,15,26
"N00000791",146,39,16,0,7,5,2,0,0,17,4,1,25,12,4,1,1,0,0,2,14,103,19,60,18,7,19
"N00000792",130,19,13,0,2,1,0,1,0,13,0,6,8,7,13,1,4,0,2,6,11,98,8,75,17,14,31
"N00000793",146,23,30,0,2,1,1,0,0,14,2,2,9,10,10,1,2,0,2,5,14,113,6,91,17,14,30
"N00000794",154,22,18,0,6,3,0,3,0,14,2,3,12,9,12,2,2,0,0,8,10,120,18,82,18,14,32
"N00000795",170,26,30,0,4,2,0,2,0,14,0,7,13,7,5,1,3,0,0,1,13,139,10,111,23,13,45
"N00000796",141,46,12,0,9,6,0,3,0,16,5,7,10,4,14,3,3,0,1,7,36,81,6,50,15,9,14
"N00000797",144,41,26,0,5,4,1,0,0,13,1,6,21,6,2,0,1,0,0,1,20,101,14,69,18,11,14
"N00000798",175,26,19,0,8,5,2,1,0,18,3,4,16,11,13,0,2,0,1,10,10,136,12,98,26,14,39
"N00000799",193,57,17,0,20,13,6,1,0,23,9,6,17,8,6,1,2,0,0,3,40,130,8,79,20,14,28
"N00000800",145,21,16,0,7,5,1,1,0,9,0,3,12,6,10,0,2,0,2,6,9,114,10,88,26,11,35
"N00000801",176,27,21,0,2,1,0,0,1,9,4,0,11,5,15,0,0,0,4,11,16,134,8,115,21,21,52
"N00000802",114,31,11,0,5,5,0,0,0,10,2,1,12,7,1,0,0,0,0,1,19,82,9,58,25,7,15
"N00000803",140,16,16,1,7,4,1,1,1,10,0,2,6,8,7,1,1,0,1,4,10,117,18,81,24,12,29
"N00000804",153,24,23,0,6,4,0,2,0,7,2,1,16,4,6,0,0,0,0,6,8,123,14,96,28,11,34
"N00000805",134,30,23,0,2,1,0,1,0,7,0,1,11,6,9,2,1,0,1,5,19,95,17,69,12,7,27
"N00000806",143,52,11,0,8,3,1,4,0,22,8,2,21,12,6,1,0,0,2,3,31,85,5,50,13,7,19
"N00000807",187,43,11,0,10,6,0,4,0,22,10,6,15,6,13,3,3,0,1,6,28,131,12,87,21,16,39
"N00000808",119,55,5,0,3,2,0,0,1,18,2,6,38,10,6,1,1,0,2,2,17,58,10,27,14,4,4
"N00000809",204,61,23,0,15,10,1,4,0,33,15,7,28,11,12,3,0,0,0,9,33,131,9,74,13,13,25
"N00000810",151,31,14,0,10,2,4,4,0,13,6,3,15,4,11,2,3,0,1,5,16,109,11,75,20,11,30
"N00000811",148,60,9,0,8,3,2,2,1,28,6,9,39,13,13,4,2,0,1,6,21,75,2,37,9,5,14
"N00000812",121,33,14,0,3,0,2,1,0,33,9,11,14,13,5,2,1,0,0,2,19,83,9,38,8,9,7
"N00000813",191,48,17,0,12,4,5,3,0,25,9,12,12,4,17,4,4,0,1,8,36,126,16,73,16,16,24
"N00000814",118,35,9,0,5,4,0,1,0,19,4,6,18,9,2,0,0,0,1,1,17,81,22,35,10,9,7
"N00000815",159,24,21,0,2,1,0,1,0,13,4,1,15,8,4,1,0,0,0,3,9,131,9,107,21,19,46
"N00000816",232,99,10,0,8,4,1,3,0,20,6,4,34,10,9,1,0,0,2,6,65,124,17,79,21,18,30
"N00000817",104,25,17,0,2,1,1,0,0,4,1,0,14,3,2,1,0,0,0,1,11,77,11,60,25,5,13
"N00000818",123,24,22,0,5,2,0,1,2,16,8,5,11,3,6,2,2,0,0,2,13,93,11,61,19,7,13
"N00000819",132,60,11,0,10,5,3,2,0,18,8,5,25,5,3,0,1,0,0,2,35,69,13,28,7,6,4
"N00000820",179,67,5,2,13,8,1,4,0,32,13,9,11,10,12,0,0,0,1,11,56,100,11,42,18,6,13
"N00000821",129,58,13,0,9,5,1,3,0,13,5,5,27,3,7,2,2,0,0,3,31,64,6,36,11,5,7
"N00000822",127,79,3,0,6,3,2,1,0,11,4,1,37,6,3,0,0,0,0,3,42,45,4,24,11,4,6
"N00000823",146,34,11,0,7,1,2,4,0,22,5,4,16,13,5,0,0,0,2,3,18,107,19,59,22,7,19
"N00000824",144,80,3,0,16,10,4,2,0,15,5,3,27,7,6,0,1,0,1,4,53,58,5,22,11,3,5
"N00000825",136,33,22,0,9,4,1,4,0,19,3,3,22,13,11,4,3,0,2,2,11,92,13,51,9,11,9
"N00000826",115,29,17,0,3,0,2,1,0,24,7,8,19,9,15,3,3,0,0,9,10,71,4,40,12,1,10
"N00000827",121,28,25,0,1,1,0,0,0,17,2,5,17,10,10,1,0,0,4,5,11,83,19,46,8,7,6
"N00000828",104,40,5,0,4,3,0,1,0,21,12,5,12,4,8,2,1,0,1,4,28,56,8,23,9,4,5
"N00000829",131,39,13,0,6,2,0,3,1,19,4,2,19,13,7,1,1,0,2,3,20,85,19,41,9,9,10
"N00000830",132,57,3,0,2,1,0,0,1,40,11,6,39,23,12,3,3,0,2,4,18,63,10,11,3,4,1
"N00000831",134,51,15,0,1,1,0,0,0,28,6,8,29,14,10,2,2,1,0,5,22,73,10,34,6,7,6
"N00000832",122,46,9,0,5,3,1,0,1,27,7,9,13,11,9,1,1,0,0,7,33,67,9,26,7,6,4
"N00000833",120,54,6,0,6,5,0,1,0,25,7,7,23,11,12,3,1,0,2,6,31,54,2,21,4,5,6
"N00000834",136,46,17,0,7,6,0,0,1,23,5,8,33,10,15,5,2,0,1,7,13,75,14,31,4,1,9
"N00000835",112,29,10,0,0,0,0,0,0,18,2,4,23,12,14,6,6,0,1,1,6,69,14,37,8,6,13
"N00000836",126,31,13,0,5,2,1,0,2,31,15,5,13,11,20,5,3,0,4,8,18,75,3,36,3,7,13
"N00000837",122,25,15,0,5,0,0,4,1,33,7,13,10,13,15,4,2,0,1,8,15,82,11,33,4,5,9
"N00000838",119,45,15,0,5,2,1,2,0,22,4,4,19,14,5,0,2,0,0,3,26,69,5,37,5,9,8
"N00000839",156,59,22,0,4,1,1,2,0,26,9,7,26,10,13,1,2,0,1,9,33,84,8,46,4,10,10
"N00000840",118,37,12,0,1,1,0,0,0,22,1,6,23,15,16,2,3,1,2,8,14,65,14,28,6,7,3
"N00000841",123,36,3,0,3,0,1,2,0,61,29,21,9,11,15,3,7,0,1,4,27,72,3,5,0,1,1
"N00000842",209,49,9,0,6,3,0,3,0,93,38,35,21,20,25,9,3,2,0,11,28,135,7,29,6,2,12
"N00000843",107,42,5,0,4,2,1,1,0,22,9,6,17,7,13,3,0,0,1,9,25,52,2,24,7,6,6
"N00000844",98,35,5,0,7,4,2,1,0,26,9,9,11,8,10,1,0,0,1,8,24,53,2,18,5,5,3
"N00000845",98,40,5,0,5,3,2,0,0,21,9,4,19,8,11,0,4,0,0,7,21,47,6,15,4,2,4
"N00000846",114,43,3,0,5,1,2,1,1,32,12,8,12,12,13,2,1,0,2,8,31,58,7,14,3,4,4
"N00000847",367,99,13,0,25,11,5,7,2,149,51,75,38,23,41,12,9,0,2,18,61,227,12,41,8,8,12
"N00000848",112,34,6,0,1,0,0,1,0,47,21,14,16,12,10,2,1,0,1,6,18,68,7,13,5,1,1
"N00000849",144,59,10,0,5,3,2,0,0,29,9,12,17,8,22,6,3,0,1,12,42,63,5,24,5,5,4
"N00000850",121,42,5,0,9,3,2,3,1,41,13,16,14,12,10,0,1,0,1,8,28,69,3,16,4,1,6
"N00000851",115,48,4,0,3,1,1,1,0,31,12,13,11,6,18,6,4,0,0,8,37,49,4,11,4,3,0
"N00000852",543,233,15,0,17,5,6,6,0,165,55,66,88,44,71,13,18,0,3,37,145,239,6,51,15,6,15
"N00000853",108,35,9,1,2,0,0,1,1,35,17,13,7,5,7,1,4,0,1,1,28,66,3,25,5,3,8
"N00000854",309,90,16,0,3,3,0,0,0,140,56,54,27,30,27,9,7,0,2,9,63,192,7,42,8,11,7
"N00000855",104,55,2,0,8,5,2,0,1,11,5,2,19,4,5,1,0,0,1,3,36,44,7,18,14,0,2
"N00000856",90,38,4,0,2,1,1,0,0,7,2,1,18,4,4,0,0,0,0,4,20,48,7,32,15,4,9
"N00000857",157,56,11,0,9,7,1,1,0,10,4,1,16,5,5,1,0,0,1,3,40,96,13,64,16,10,27
"N00000858",131,61,1,1,15,10,2,3,0,14,8,5,16,1,15,2,1,0,1,11,45,55,6,19,7,9,2
"N00000859",138,52,2,0,17,13,3,1,0,11,7,1,15,3,3,1,0,0,0,2,37,83,3,52,23,5,22
"N00000860",151,32,8,1,4,2,1,1,0,15,6,4,9,5,7,1,1,0,1,4,23,112,14,78,21,16,33
"N00000861",124,39,9,1,7,2,2,3,0,5,3,1,19,1,3,0,0,0,0,3,20,82,12,57,16,14,18
"N00000862",388,142,32,2,22,12,6,3,1,40,6,14,62,20,27,2,1,0,5,19,80,219,22,133,39,28,34
"N00000863",128,39,11,0,2,2,0,0,0,9,3,0,25,6,7,0,1,0,1,5,14,82,17,54,18,6,19
"N00000864",125,35,12,0,5,5,0,0,0,9,4,3,16,2,8,1,1,1,0,5,19,82,8,60,19,11,18
"N00000865",126,26,10,0,5,4,0,1,0,11,3,4,11,4,15,1,3,0,2,9,15,85,6,63,14,10,29
"N00000866",164,61,5,1,19,14,2,3,0,19,4,7,13,8,28,5,1,0,1,21,48,75,3,33,13,8,7
"N00000867",159,83,0,0,20,13,3,2,2,19,7,9,16,3,10,1,0,0,0,9,67,66,3,24,8,12,4
"N00000868",130,41,8,1,13,8,4,1,0,10,3,1,12,6,15,0,2,0,2,11,29,74,4,46,14,7,17
"N00000869",106,61,2,0,4,2,1,1,0,17,8,1,27,8,8,1,0,1,0,6,34,37,3,13,4,0,7
"N00000870",157,46,16,0,18,16,0,2,0,10,2,3,14,5,11,2,2,0,1,6,32,100,11,61,17,15,13
"N00000871",155,58,13,0,3,1,1,1,0,12,6,2,30,4,13,3,2,0,2,6,28,84,17,52,15,10,14
"N00000872",134,54,4,0,11,6,2,3,0,14,2,1,20,11,13,3,1,0,2,7,34,67,15,27,14,3,6
"N00000873",132,41,9,0,4,2,1,1,0,44,22,10,11,12,12,3,2,1,0,6,30,79,4,27,5,8,5
"N00000874",268,116,10,0,13,10,3,0,0,64,30,18,29,16,21,4,1,0,1,15,87,131,7,47,17,11,9
"N00000875",124,44,7,0,3,2,1,0,0,40,10,17,14,13,13,4,6,0,0,3,30,67,6,18,3,6,2
"N00000876",119,70,0,0,3,2,0,0,1,28,7,9,38,12,11,2,1,0,3,5,32,38,4,3,0,1,2
"N00000877",158,52,3,0,8,5,2,1,0,48,22,18,23,8,19,5,3,0,0,11,29,87,6,25,10,5,7
