"Geography_Code","NM_1538_1_0","NM_1538_1_1","NM_1538_1_10","NM_1538_1_11","NM_1538_1_12","NM_1538_1_13","NM_1538_1_14","NM_1538_1_15","NM_1538_1_16","NM_1538_1_17","NM_1538_1_18","NM_1538_1_19","NM_1538_1_2","NM_1538_1_20","NM_1538_1_21","NM_1538_1_22","NM_1538_1_23","NM_1538_1_24","NM_1538_1_25","NM_1538_1_26","NM_1538_1_3","NM_1538_1_4","NM_1538_1_5","NM_1538_1_6","NM_1538_1_7","NM_1538_1_8","NM_1538_1_9"
"N00000539",139,23,18,0,2,2,0,0,0,18,2,3,13,13,8,0,1,0,1,6,10,108,16,72,17,8,29
"N00000540",123,27,21,0,5,2,2,1,0,8,3,0,19,5,5,0,0,0,0,5,8,91,24,54,18,8,7
"N00000541",158,37,20,0,6,2,3,1,0,12,2,3,18,7,2,1,0,0,0,1,19,119,11,90,27,18,25
"N00000542",130,55,10,0,4,3,1,0,0,16,6,3,46,7,4,0,1,0,2,1,9,71,12,39,16,3,10
"N00000543",138,30,14,0,6,1,2,2,1,16,8,1,12,7,8,2,0,0,0,6,18,100,6,72,17,10,31
"N00000544",128,51,11,0,7,4,2,0,1,21,12,3,27,6,8,2,1,0,0,5,24,69,5,36,11,8,6
"N00000545",126,38,10,0,8,5,0,2,1,20,8,4,21,8,4,2,2,0,0,0,17,84,8,48,21,6,11
"N00000546",120,33,14,0,10,2,1,6,1,23,9,6,13,8,10,2,1,0,0,7,20,77,10,34,11,7,2
"N00000547",143,55,7,0,8,5,1,2,0,26,13,4,25,9,8,3,2,0,0,3,30,80,4,42,11,8,16
"N00000548",114,35,16,0,6,3,0,3,0,16,5,3,14,8,10,0,3,0,0,7,21,69,7,40,7,10,7
"N00000549",115,64,2,0,6,1,0,5,0,16,4,5,38,7,7,0,2,0,0,5,26,44,7,15,8,1,4
"N00000550",180,58,10,0,18,8,6,4,0,22,7,8,26,7,11,1,1,0,1,8,32,111,11,60,15,15,20
"N00000551",100,31,7,0,9,6,1,2,0,22,8,13,7,1,8,1,3,0,1,3,24,61,2,28,3,7,11
"N00000552",101,26,4,0,7,3,3,0,1,19,5,5,12,9,10,4,2,0,0,4,14,65,5,34,10,4,16
"N00000553",131,30,4,0,12,5,2,4,1,37,16,11,9,10,16,5,6,0,0,5,21,85,4,32,13,7,8
"N00000554",103,34,2,0,14,4,4,4,2,28,7,15,3,6,7,1,0,0,0,6,31,62,1,19,5,3,9
"N00000555",110,33,5,0,12,3,3,5,1,33,12,9,2,12,7,0,2,0,0,5,31,70,4,21,7,4,5
"N00000556",115,25,3,0,10,2,4,3,1,38,10,18,5,10,14,3,6,0,0,5,20,76,1,27,10,4,10
"N00000557",167,22,21,0,1,1,0,0,0,11,1,2,11,8,11,4,3,0,0,4,11,134,13,109,22,24,42
"N00000558",148,31,19,0,4,0,2,2,0,3,1,0,17,2,13,6,3,0,2,2,14,104,16,81,21,12,29
"N00000559",124,19,17,0,4,3,1,0,0,13,4,0,11,9,8,1,0,0,0,7,8,97,12,68,28,7,16
"N00000560",146,25,17,0,5,2,2,1,0,13,2,4,13,7,12,3,0,0,1,8,12,109,12,79,19,19,24
"N00000561",162,25,23,0,3,1,0,1,1,17,3,6,15,8,6,1,1,0,1,3,10,131,17,94,19,15,37
"N00000562",143,41,14,0,2,1,1,0,0,12,5,5,15,2,2,2,0,0,0,0,26,100,13,73,22,17,20
"N00000563",356,105,29,0,16,7,3,6,0,71,28,19,47,24,36,12,6,0,3,15,58,215,18,110,25,14,42
"N00000564",138,50,11,0,8,6,1,1,0,14,3,3,22,8,20,4,3,0,2,11,28,68,13,33,5,6,11
"N00000565",124,75,8,0,3,2,1,0,0,13,4,3,29,6,10,2,2,0,0,6,46,39,4,19,6,2,3
"N00000566",123,42,8,0,7,3,2,2,0,16,5,6,16,5,11,1,3,0,2,5,26,70,8,39,15,10,6
