"Geography_Code","NM_1555_1_0","NM_1555_1_1","NM_1555_1_2","NM_1555_1_3","NM_1555_1_4","NM_1555_1_5"
"N00000001",310,245,41,15,9,0
"N00000002",141,95,17,21,5,3
"N00000003",78,70,4,3,0,1
"N00000004",195,151,29,11,2,2
"N00000005",124,101,12,8,2,1
"N00000006",86,62,16,8,0,0
"N00000007",89,69,7,7,6,0
"N00000008",138,82,33,15,8,0
"N00000009",275,189,65,16,5,0
"N00000010",86,66,10,8,2,0
"N00000011",136,73,36,17,9,1
"N00000012",121,51,31,29,8,2
"N00000013",136,58,32,24,20,2
"N00000014",205,87,67,39,7,5
"N00000015",119,58,39,15,5,2
"N00000016",122,42,42,32,4,2
"N00000017",144,59,54,25,6,0
"N00000018",94,55,25,10,2,2
"N00000019",116,49,37,21,7,2
"N00000020",122,41,46,29,4,2
"N00000021",128,70,29,20,7,2
"N00000022",126,41,36,35,12,2
"N00000023",115,44,40,25,6,0
"N00000024",174,145,15,12,2,0
"N00000025",159,133,12,8,2,4
"N00000026",151,131,9,3,8,0
"N00000027",178,121,25,29,2,1
"N00000028",85,54,13,16,2,0
"N00000029",136,120,12,3,1,0
"N00000030",131,108,16,2,4,1
"N00000031",201,148,28,13,8,4
"N00000032",133,95,16,17,2,3
"N00000033",166,130,25,4,5,2
"N00000034",158,121,21,12,3,1
"N00000035",128,52,36,34,4,2
"N00000036",134,79,42,8,3,2
"N00000037",124,68,35,15,5,1
"N00000038",138,90,27,14,5,2
"N00000039",448,214,119,77,27,11
"N00000040",114,37,45,24,6,2
"N00000041",144,105,25,12,0,2
"N00000042",126,83,22,13,7,1
"N00000043",368,230,72,41,20,5
"N00000044",108,36,36,25,7,4
"N00000045",170,139,18,9,2,2
"N00000046",129,100,16,4,9,0
"N00000047",138,103,21,9,4,1
"N00000048",125,45,48,22,9,1
"N00000049",123,56,42,18,5,2
"N00000050",135,83,37,13,1,1
"N00000051",124,59,27,27,11,0
"N00000052",120,71,16,22,8,3
"N00000053",108,48,21,26,10,3
"N00000054",111,60,31,17,2,1
"N00000055",117,71,29,11,5,1
"N00000056",119,59,30,24,4,2
"N00000057",118,44,40,23,8,3
"N00000058",121,48,46,21,4,2
"N00000059",110,40,36,25,5,4
"N00000060",180,69,68,38,3,2
"N00000061",129,106,19,4,0,0
"N00000062",130,112,9,7,2,0
"N00000063",155,66,43,37,9,0
"N00000064",133,50,49,29,5,0
"N00000065",146,109,27,8,2,0
"N00000066",110,74,25,10,1,0
"N00000067",134,59,40,21,10,4
"N00000068",124,104,14,3,3,0
"N00000069",145,51,33,46,12,3
"N00000070",104,84,16,4,0,0
"N00000071",136,66,43,17,8,2
"N00000072",634,413,144,58,14,5
"N00000073",249,92,76,59,15,7
"N00000074",386,259,83,35,6,3
"N00000075",111,81,14,9,4,3
"N00000076",114,72,29,6,5,2
"N00000077",98,67,19,9,1,2
"N00000078",161,115,35,10,1,0
"N00000079",192,169,13,5,2,3
"N00000080",146,117,15,11,3,0
"N00000081",140,87,28,20,4,1
"N00000082",132,119,8,4,1,0
"N00000083",208,183,19,2,2,2
"N00000084",153,136,7,7,2,1
"N00000085",180,68,39,47,19,7
"N00000086",142,70,35,27,5,5
"N00000087",303,223,46,24,5,5
"N00000088",136,33,37,49,15,2
"N00000089",164,85,38,21,16,4
"N00000090",138,89,30,10,8,1
"N00000091",176,109,39,22,5,1
"N00000092",168,129,29,7,2,1
"N00000093",140,97,29,8,5,1
"N00000094",161,136,14,7,3,1
"N00000095",152,110,21,15,2,4
"N00000096",158,137,10,6,5,0
"N00000097",296,171,79,36,6,4
"N00000098",446,248,107,65,20,6
"N00000099",107,52,35,13,3,4
"N00000100",164,56,72,22,13,1
"N00000101",122,36,44,27,10,5
"N00000102",125,77,21,20,6,1
"N00000103",205,112,57,29,5,2
"N00000104",130,52,41,25,9,3
"N00000105",148,78,32,26,8,4
"N00000106",103,35,30,34,2,2
"N00000107",120,48,33,34,5,0
"N00000108",110,73,22,13,2,0
"N00000109",229,102,84,32,9,2
"N00000110",122,64,38,12,6,2
"N00000111",136,94,25,12,3,2
"N00000112",143,85,29,20,7,2
"N00000113",122,70,26,23,2,1
"N00000114",121,72,38,10,1,0
"N00000115",128,53,49,16,7,3
"N00000116",119,44,38,27,9,1
"N00000117",86,30,26,20,9,1
"N00000118",143,97,20,17,7,2
"N00000119",125,112,7,3,2,1
"N00000120",127,106,13,7,1,0
"N00000121",124,63,41,14,4,2
"N00000122",199,150,26,19,4,0
"N00000123",143,124,13,3,2,1
"N00000124",143,123,9,8,2,1
"N00000125",148,101,21,10,11,5
"N00000126",134,81,22,17,8,6
"N00000127",130,77,24,17,11,1
"N00000128",282,191,32,30,22,7
"N00000129",138,48,36,39,10,5
"N00000130",152,114,24,9,2,3
"N00000131",136,108,20,6,1,1
"N00000132",121,93,19,7,2,0
"N00000133",139,82,30,24,2,1
"N00000134",177,117,30,23,5,2
"N00000135",119,42,47,20,8,2
"N00000136",188,137,33,14,4,0
"N00000137",120,80,30,8,2,0
"N00000138",155,118,25,8,4,0
"N00000139",133,82,23,18,7,3
"N00000140",158,95,36,20,5,2
"N00000141",220,69,79,46,26,0
"N00000142",96,55,27,9,3,2
"N00000143",123,34,40,40,6,3
"N00000144",110,46,32,25,6,1
"N00000145",75,14,18,16,27,0
"N00000146",105,81,13,9,2,0
"N00000147",106,53,22,22,9,0
"N00000148",279,146,83,38,10,2
"N00000149",187,104,50,24,7,2
"N00000150",149,122,17,6,3,1
"N00000151",131,59,38,27,3,4
"N00000152",131,44,50,30,5,2
"N00000153",111,49,35,21,5,1
"N00000154",108,54,33,13,7,1
"N00000155",128,79,28,15,5,1
"N00000156",127,93,22,8,4,0
"N00000157",139,112,13,12,2,0
"N00000158",286,187,63,23,9,4
"N00000159",116,46,41,26,3,0
"N00000160",124,79,27,10,7,1
"N00000161",128,123,1,2,1,1
"N00000162",115,72,31,10,2,0
"N00000163",155,35,56,50,10,4
"N00000164",118,106,5,4,1,2
"N00000165",135,102,17,12,2,2
"N00000166",122,95,20,7,0,0
"N00000167",149,125,11,11,0,2
"N00000168",145,119,18,6,2,0
"N00000169",279,196,51,24,6,2
"N00000170",139,89,26,18,5,1
"N00000171",146,122,17,4,1,2
"N00000172",307,224,56,18,8,1
"N00000173",144,122,14,6,1,1
"N00000174",163,60,63,33,6,1
"N00000175",140,83,42,11,3,1
"N00000176",205,85,75,28,14,3
"N00000177",167,46,66,40,12,3
"N00000178",355,132,109,83,26,5
"N00000179",492,99,171,152,60,10
"N00000180",131,38,51,36,5,1
"N00000181",168,29,49,60,25,5
"N00000182",105,47,34,21,2,1
"N00000183",146,69,42,26,6,3
"N00000184",184,56,44,53,29,2
"N00000185",121,46,32,34,9,0
"N00000186",137,47,33,52,3,2
"N00000187",126,24,57,33,10,2
"N00000188",128,61,34,20,11,2
"N00000189",125,111,10,3,1,0
"N00000190",119,92,16,9,2,0
"N00000191",124,92,25,3,2,2
"N00000192",120,74,30,9,6,1
"N00000193",111,17,45,34,10,5
"N00000194",119,47,52,7,10,3
"N00000195",123,50,43,21,7,2
"N00000196",116,28,60,17,8,3
"N00000197",115,71,29,12,3,0
"N00000198",110,66,20,21,1,2
"N00000199",130,83,28,12,6,1
"N00000200",124,72,31,15,5,1
"N00000201",143,98,29,15,0,1
"N00000202",132,102,22,8,0,0
"N00000203",134,97,17,16,3,1
"N00000204",152,91,43,16,2,0
"N00000205",118,79,29,8,1,1
"N00000206",212,66,60,69,15,2
"N00000207",119,63,35,18,2,1
"N00000208",121,89,20,9,1,2
"N00000209",122,100,13,8,1,0
"N00000210",219,81,57,61,17,3
"N00000211",269,112,85,38,29,5
"N00000212",85,27,27,18,12,1
"N00000213",150,84,31,30,2,3
"N00000214",151,78,38,29,5,1
"N00000215",151,138,8,4,0,1
"N00000216",161,111,30,16,1,3
"N00000217",175,157,12,4,1,1
"N00000218",148,129,13,2,2,2
"N00000219",123,33,52,28,6,4
"N00000220",125,41,43,32,6,3
"N00000221",115,35,48,25,7,0
"N00000222",130,80,35,13,2,0
"N00000223",128,75,42,5,5,1
"N00000224",118,59,39,13,6,1
"N00000225",90,45,35,7,3,0
"N00000226",111,93,10,6,0,2
"N00000227",121,56,30,32,1,2
"N00000228",127,93,19,13,1,1
"N00000229",150,96,39,12,3,0
"N00000230",116,61,23,24,5,3
"N00000231",122,46,37,26,9,4
"N00000232",136,64,44,18,8,2
"N00000233",128,42,48,29,7,2
"N00000234",124,43,36,25,14,6
"N00000235",128,100,15,10,2,1
"N00000236",108,55,28,17,8,0
"N00000237",147,128,16,3,0,0
"N00000238",121,114,5,2,0,0
"N00000239",118,17,62,31,8,0
"N00000240",132,17,52,49,10,4
"N00000241",138,120,13,3,2,0
"N00000242",120,97,13,8,2,0
"N00000243",110,61,35,11,1,2
"N00000244",118,44,40,20,12,2
"N00000245",126,71,41,12,1,1
"N00000246",127,58,38,20,5,6
"N00000247",122,100,12,6,3,1
"N00000248",124,93,21,7,1,2
"N00000249",131,71,37,19,2,2
"N00000250",166,97,39,21,7,2
"N00000251",155,93,39,17,5,1
"N00000252",132,106,10,9,6,1
"N00000253",175,138,22,12,3,0
"N00000254",117,98,13,6,0,0
"N00000255",127,108,15,4,0,0
"N00000256",308,247,37,13,9,2
"N00000257",173,89,47,21,12,4
"N00000258",140,125,7,5,3,0
"N00000259",161,123,25,9,3,1
"N00000260",210,114,55,32,6,3
"N00000261",179,141,22,10,3,3
"N00000262",156,107,30,14,5,0
"N00000263",110,55,25,23,5,2
"N00000264",196,111,44,32,9,0
"N00000265",149,77,33,29,9,1
"N00000266",126,65,43,14,4,0
"N00000267",152,120,18,11,3,0
"N00000268",142,109,19,10,2,2
"N00000269",135,113,14,6,1,1
"N00000270",133,103,18,7,5,0
"N00000271",142,124,13,3,2,0
"N00000272",133,92,27,10,3,1
"N00000273",163,142,14,5,2,0
"N00000274",176,142,12,16,5,1
"N00000275",126,69,37,14,3,3
"N00000276",126,77,27,20,2,0
"N00000277",117,73,28,12,3,1
"N00000278",121,48,48,20,3,2
"N00000279",83,17,25,27,12,2
"N00000280",154,45,62,36,4,7
"N00000281",117,96,10,6,4,1
"N00000282",132,101,19,8,4,0
"N00000283",142,105,22,12,2,1
"N00000284",157,79,48,18,10,2
"N00000285",124,41,53,20,8,2
"N00000286",126,62,31,28,4,1
"N00000287",137,51,40,38,4,4
"N00000288",138,88,33,13,2,2
"N00000289",197,113,50,27,5,2
"N00000290",128,57,37,33,1,0
"N00000291",204,146,43,11,3,1
