"Geography_Code","NM_1555_1_0","NM_1555_1_1","NM_1555_1_2","NM_1555_1_3","NM_1555_1_4","NM_1555_1_5"
"N00000292",262,213,32,13,4,0
"N00000293",162,143,13,5,1,0
"N00000294",140,109,24,3,4,0
"N00000295",144,116,17,9,2,0
"N00000296",114,93,13,3,5,0
"N00000297",128,96,16,13,3,0
"N00000298",119,70,32,14,3,0
"N00000299",147,101,31,11,4,0
"N00000300",133,53,48,26,5,1
"N00000301",124,90,23,9,1,1
"N00000302",127,96,25,3,3,0
"N00000303",110,82,23,4,0,1
"N00000304",117,67,39,7,3,1
"N00000305",121,107,7,4,2,1
"N00000306",128,84,28,13,3,0
"N00000307",122,85,21,11,3,2
"N00000308",110,72,29,8,1,0
"N00000309",124,83,22,13,4,2
"N00000310",149,115,19,13,2,0
"N00000311",160,73,42,30,11,4
"N00000312",175,113,43,11,4,4
"N00000313",193,116,39,26,8,4
"N00000314",137,47,46,28,13,3
"N00000315",133,69,34,16,6,8
"N00000316",130,66,37,18,8,1
"N00000317",213,60,62,61,20,10
"N00000318",129,84,30,14,1,0
"N00000319",310,180,74,45,7,4
"N00000320",128,88,32,4,4,0
"N00000321",211,108,76,21,5,1
"N00000322",154,76,55,17,6,0
"N00000323",163,126,22,7,7,1
"N00000324",151,105,25,16,4,1
"N00000325",198,138,40,14,5,1
"N00000326",377,216,104,45,10,2
"N00000327",130,49,51,23,7,0
"N00000328",126,52,43,21,8,2
"N00000329",137,61,35,30,6,5
"N00000330",203,133,48,19,2,1
"N00000331",233,90,80,49,12,2
"N00000332",124,32,49,39,4,0
"N00000333",125,32,56,21,14,2
"N00000334",116,36,38,33,6,3
"N00000335",136,85,31,16,4,0
"N00000336",131,105,18,7,1,0
"N00000337",120,106,9,4,1,0
"N00000338",129,104,17,7,1,0
"N00000339",122,99,14,7,0,2
"N00000340",138,119,12,6,1,0
"N00000341",130,113,12,4,0,1
"N00000342",133,91,24,16,1,1
"N00000343",122,84,28,8,2,0
"N00000344",128,60,32,24,9,3
"N00000345",163,64,51,33,12,3
"N00000346",209,125,45,25,10,4
"N00000347",130,53,37,26,6,8
"N00000348",125,70,26,21,6,2
"N00000349",149,87,32,17,6,7
"N00000350",169,99,33,16,17,4
"N00000351",137,88,24,14,9,2
"N00000352",142,103,17,8,9,5
"N00000353",140,98,27,11,3,1
"N00000354",133,105,14,8,2,4
"N00000355",154,107,26,13,8,0
"N00000356",146,61,38,23,17,7
"N00000357",452,193,122,89,33,15
"N00000358",140,56,47,19,11,7
"N00000359",389,135,89,94,54,17
"N00000360",130,80,28,15,4,3
"N00000361",148,86,30,24,7,1
"N00000362",126,93,19,7,4,3
"N00000363",150,105,20,19,4,2
"N00000364",150,105,27,10,4,4
"N00000365",86,44,27,11,2,2
"N00000366",187,108,52,16,8,3
"N00000367",143,65,50,18,5,5
"N00000368",170,123,32,8,4,3
"N00000369",141,102,20,12,4,3
"N00000370",172,125,22,15,8,2
"N00000371",141,109,21,4,3,4
"N00000372",135,85,33,11,4,2
"N00000373",178,124,35,15,4,0
"N00000374",132,84,28,15,4,1
"N00000375",134,109,14,9,2,0
"N00000376",116,91,15,7,1,2
"N00000377",119,86,21,10,2,0
"N00000378",118,46,42,23,2,5
"N00000379",164,122,24,13,5,0
"N00000380",168,113,29,19,5,2
"N00000381",333,171,76,62,18,6
"N00000382",183,145,18,15,4,1
"N00000383",144,97,26,14,7,0
"N00000384",145,104,26,9,1,5
"N00000385",135,112,13,5,4,1
"N00000386",125,47,41,24,11,2
"N00000387",106,43,34,17,10,2
"N00000388",603,279,172,101,38,13
"N00000389",156,97,41,11,5,2
"N00000390",321,259,32,23,7,0
"N00000391",173,141,19,9,4,0
"N00000392",518,374,97,38,8,1
"N00000393",178,144,21,9,3,1
"N00000394",141,109,20,9,2,1
"N00000395",142,105,21,12,3,1
"N00000396",134,108,19,4,2,1
"N00000397",189,147,33,6,3,0
"N00000398",165,132,21,8,4,0
"N00000399",130,85,31,12,2,0
"N00000400",112,50,34,19,4,5
"N00000401",117,56,37,14,8,2
"N00000402",123,61,33,16,9,4
"N00000403",208,129,46,18,11,4
"N00000404",121,56,37,21,5,2
"N00000405",105,34,42,16,10,3
"N00000406",121,93,14,8,3,3
"N00000407",344,233,59,34,12,6
"N00000408",146,104,17,19,4,2
"N00000409",143,94,32,12,4,1
"N00000410",136,109,17,8,1,1
"N00000411",128,77,33,13,3,2
"N00000412",138,96,23,8,8,3
"N00000413",131,87,28,9,2,5
"N00000414",125,94,19,5,4,3
"N00000415",162,99,35,20,6,2
"N00000416",133,103,19,8,2,1
"N00000417",187,142,33,9,1,2
"N00000418",313,213,70,19,9,2
"N00000419",139,118,10,9,1,1
"N00000420",138,102,22,11,3,0
"N00000421",185,116,46,20,2,1
"N00000422",170,99,43,18,6,4
"N00000423",152,122,21,6,2,1
"N00000424",180,98,39,24,13,6
"N00000425",121,94,14,8,2,3
"N00000426",123,80,24,13,5,1
"N00000427",133,85,30,12,3,3
"N00000428",146,85,33,16,10,2
"N00000429",152,122,14,12,2,2
"N00000430",154,121,16,12,4,1
"N00000431",137,97,24,10,5,1
"N00000432",118,65,32,13,8,0
"N00000433",141,69,51,13,5,3
"N00000434",179,96,61,18,3,1
"N00000435",173,84,45,31,8,5
"N00000436",174,132,25,8,8,1
"N00000437",195,159,20,13,2,1
"N00000438",153,122,16,12,1,2
"N00000439",134,102,19,10,2,1
"N00000440",127,74,27,15,4,7
"N00000441",121,77,24,14,5,1
"N00000442",167,97,44,16,10,0
"N00000443",164,141,17,2,2,2
"N00000444",257,145,62,29,8,13
"N00000445",141,121,11,7,2,0
"N00000446",130,93,26,6,3,2
"N00000447",117,89,20,7,1,0
"N00000448",128,34,56,28,6,4
"N00000449",146,111,18,14,3,0
"N00000450",178,128,36,9,4,1
"N00000451",189,103,53,23,9,1
"N00000452",157,123,21,8,2,3
"N00000453",149,73,33,37,5,1
"N00000454",162,122,24,5,7,4
"N00000455",111,70,25,11,2,3
"N00000456",118,108,7,3,0,0
"N00000457",126,90,26,6,4,0
"N00000458",129,105,18,2,4,0
"N00000459",247,157,45,29,13,3
"N00000460",138,75,32,20,4,7
"N00000461",157,98,43,14,1,1
"N00000462",101,40,26,25,8,2
"N00000463",343,178,87,51,26,1
"N00000464",156,117,24,9,5,1
"N00000465",129,63,40,23,3,0
"N00000466",138,117,15,4,1,1
"N00000467",131,70,34,22,4,1
"N00000468",116,93,10,11,1,1
"N00000469",154,117,23,8,6,0
"N00000470",122,60,37,17,8,0
"N00000471",126,61,42,19,3,1
"N00000472",133,40,60,28,2,3
"N00000473",108,54,28,19,5,2
"N00000474",118,86,15,9,3,5
"N00000475",116,35,49,24,7,1
"N00000476",119,62,32,19,3,3
"N00000477",283,234,41,5,2,1
"N00000478",129,52,40,23,11,3
"N00000479",117,107,8,2,0,0
"N00000480",132,113,14,4,0,1
"N00000481",175,125,36,10,4,0
"N00000482",121,36,43,38,3,1
"N00000483",115,78,25,8,4,0
"N00000484",139,65,45,19,8,2
"N00000485",108,63,25,18,1,1
"N00000486",116,98,14,3,1,0
"N00000487",113,92,15,4,1,1
"N00000488",134,108,20,4,2,0
"N00000489",107,83,20,4,0,0
"N00000490",194,128,45,19,1,1
"N00000491",166,131,25,7,3,0
"N00000492",177,111,38,22,6,0
"N00000493",140,125,10,4,1,0
"N00000494",347,257,53,30,6,1
"N00000495",136,115,13,6,0,2
"N00000496",310,244,38,22,5,1
"N00000497",328,225,62,29,9,3
"N00000498",128,109,14,4,1,0
"N00000499",129,99,24,3,2,1
"N00000500",249,69,88,61,26,5
"N00000501",151,63,31,48,7,2
"N00000502",89,28,29,27,4,1
"N00000503",133,55,40,23,8,7
"N00000504",108,29,39,31,6,3
"N00000505",94,50,21,14,8,1
"N00000506",113,63,26,19,3,2
"N00000507",114,42,34,25,10,3
"N00000508",129,79,24,20,4,2
"N00000509",127,38,44,28,11,6
"N00000510",108,29,35,31,7,6
"N00000511",157,121,15,18,1,2
"N00000512",174,150,19,5,0,0
"N00000513",131,103,20,5,0,3
"N00000514",141,118,14,6,0,3
"N00000515",124,95,19,6,3,1
"N00000516",92,80,6,4,1,1
"N00000517",125,103,15,6,1,0
"N00000518",119,98,11,9,0,1
"N00000519",118,82,30,5,0,1
"N00000520",269,146,70,35,17,1
"N00000521",183,92,55,29,6,1
"N00000522",181,107,45,23,5,1
"N00000523",154,125,18,7,3,1
"N00000524",177,150,21,6,0,0
"N00000525",211,94,54,55,6,2
"N00000526",117,55,33,16,11,2
"N00000527",133,60,23,31,13,6
"N00000528",111,34,35,26,9,7
"N00000529",135,55,38,32,6,4
"N00000530",130,78,32,13,4,3
"N00000531",151,51,46,35,12,7
"N00000532",105,49,23,18,11,4
"N00000533",159,36,28,54,39,2
"N00000534",169,141,17,10,0,1
"N00000535",183,152,18,10,3,0
"N00000536",148,117,16,9,5,1
"N00000537",142,116,18,6,1,1
"N00000538",148,128,12,6,1,1
"N00000539",139,106,23,8,2,0
"N00000540",123,91,19,8,3,2
"N00000541",158,129,22,5,2,0
"N00000542",130,64,17,41,7,1
"N00000543",138,83,26,21,7,1
"N00000544",128,53,41,28,5,1
"N00000545",126,47,50,20,7,2
"N00000546",120,66,30,16,4,4
"N00000547",143,54,49,28,9,3
"N00000548",114,51,32,18,8,5
"N00000549",115,35,21,47,10,2
"N00000550",180,86,45,33,13,3
"N00000551",100,43,25,23,7,2
"N00000552",101,55,27,12,6,1
"N00000553",131,55,24,33,13,6
"N00000554",103,38,32,23,7,3
"N00000555",110,45,30,24,9,2
"N00000556",115,50,30,21,6,8
"N00000557",167,132,16,14,4,1
"N00000558",148,114,17,13,4,0
"N00000559",124,96,19,6,1,2
"N00000560",146,116,19,2,6,3
"N00000561",162,138,13,9,2,0
"N00000562",143,105,26,9,2,1
"N00000563",356,204,86,41,17,8
"N00000564",138,85,21,26,5,1
"N00000565",124,37,48,25,8,6
"N00000566",123,82,20,12,2,7
"N00000567",200,145,37,9,5,4
"N00000568",130,74,34,16,5,1
"N00000569",167,82,46,28,9,2
"N00000570",129,109,15,4,1,0
"N00000571",120,103,13,2,1,1
"N00000572",200,167,21,10,1,1
"N00000573",138,121,7,9,1,0
"N00000574",149,135,9,3,2,0
"N00000575",160,127,16,13,4,0
"N00000576",131,78,33,14,4,2
"N00000577",154,94,31,20,6,3
"N00000578",243,173,43,19,5,3
"N00000579",149,104,26,13,5,1
"N00000580",177,117,37,16,5,2
"N00000581",160,132,18,5,3,2
"N00000582",142,118,13,4,6,1
"N00000583",118,97,13,6,0,2
"N00000584",157,130,18,8,0,1
"N00000585",155,119,22,10,3,1
"N00000586",154,125,19,8,2,0
"N00000587",154,125,15,9,4,1
"N00000588",139,104,21,10,3,1
"N00000589",182,143,23,7,4,5
"N00000590",137,107,18,10,1,1
"N00000591",155,118,24,8,4,1
"N00000592",188,131,42,10,5,0
"N00000593",171,136,20,11,2,2
"N00000594",130,111,14,3,1,1
"N00000595",185,148,18,12,5,2
"N00000596",120,86,19,6,7,2
"N00000597",121,48,40,23,5,5
"N00000598",152,46,52,36,16,2
"N00000599",114,29,40,26,12,7
"N00000600",122,80,19,13,7,3
"N00000601",133,81,30,16,4,2
"N00000602",111,89,17,5,0,0
"N00000603",151,98,32,18,3,0
"N00000604",132,73,35,19,4,1
"N00000605",196,120,50,22,1,3
"N00000606",124,75,31,17,0,1
"N00000607",129,53,37,28,8,3
"N00000608",138,106,20,10,2,0
"N00000609",136,98,19,14,4,1
"N00000610",147,120,19,7,1,0
"N00000611",122,88,24,6,2,2
"N00000612",246,90,87,43,19,7
"N00000613",112,49,31,26,3,3
"N00000614",119,33,51,27,7,1
"N00000615",87,20,39,20,8,0
"N00000616",129,68,37,19,4,1
"N00000617",133,45,44,32,9,3
"N00000618",271,112,96,40,15,8
"N00000619",141,119,13,5,1,3
"N00000620",139,90,28,18,3,0
"N00000621",176,103,41,16,12,4
"N00000622",164,95,24,25,17,3
"N00000623",125,76,33,12,3,1
"N00000624",160,123,24,6,5,2
"N00000625",118,65,16,29,6,2
"N00000626",156,123,20,8,2,3
"N00000627",159,116,27,12,3,1
"N00000628",141,111,15,6,6,3
"N00000629",171,96,35,28,8,4
"N00000630",126,51,45,22,7,1
"N00000631",137,107,17,9,3,1
"N00000632",156,137,10,7,1,1
"N00000633",126,96,18,8,3,1
"N00000634",166,147,7,6,4,2
"N00000635",153,115,27,7,3,1
"N00000636",143,113,19,10,1,0
"N00000637",305,164,77,51,9,4
"N00000638",136,79,35,14,5,3
"N00000639",143,108,19,7,7,2
"N00000640",132,90,17,16,5,4
"N00000641",129,112,13,3,0,1
"N00000642",145,68,54,17,5,1
"N00000643",148,104,22,12,5,5
"N00000644",184,106,46,21,5,6
"N00000645",136,88,23,17,8,0
"N00000646",124,77,26,13,5,3
"N00000647",300,159,76,40,20,5
"N00000648",129,89,22,8,7,3
"N00000649",132,110,8,9,5,0
"N00000650",229,165,39,20,2,3
"N00000651",122,39,49,25,7,2
"N00000652",200,152,26,16,5,1
"N00000653",116,81,19,13,3,0
"N00000654",114,56,34,17,5,2
"N00000655",141,102,29,9,1,0
"N00000656",115,67,33,11,3,1
"N00000657",318,194,61,47,11,5
"N00000658",123,94,24,4,1,0
"N00000659",142,97,24,15,5,1
"N00000660",153,61,49,31,8,4
"N00000661",141,102,18,13,5,3
"N00000662",140,88,24,19,8,1
"N00000663",148,100,30,11,7,0
"N00000664",148,102,25,16,3,2
"N00000665",145,81,36,20,5,3
"N00000666",132,93,15,12,8,4
"N00000667",137,87,21,16,9,4
"N00000668",127,51,35,24,13,4
"N00000669",151,89,37,15,7,3
"N00000670",126,81,23,16,5,1
"N00000671",130,60,44,17,7,2
"N00000672",131,92,27,7,5,0
"N00000673",353,247,68,28,7,3
"N00000674",130,106,17,6,1,0
"N00000675",144,125,13,4,2,0
"N00000676",294,201,39,27,20,7
"N00000677",143,52,38,37,13,3
"N00000678",161,111,24,17,5,4
"N00000679",167,134,23,5,5,0
"N00000680",139,54,44,20,18,3
"N00000681",138,92,28,12,5,1
"N00000682",143,96,22,17,6,2
"N00000683",132,101,23,6,2,0
"N00000684",202,109,48,30,6,9
"N00000685",121,57,33,20,8,3
"N00000686",148,114,19,11,3,1
"N00000687",135,80,32,15,5,3
"N00000688",132,95,20,10,5,2
"N00000689",136,108,16,7,3,2
"N00000690",119,63,30,20,4,2
"N00000691",129,54,47,19,4,5
"N00000692",129,45,42,35,6,1
"N00000693",125,63,35,14,5,8
"N00000694",356,193,96,43,17,7
"N00000695",201,131,46,19,3,2
"N00000696",114,28,29,33,19,5
"N00000697",149,126,14,5,2,2
"N00000698",187,128,36,19,4,0
"N00000699",148,51,34,49,12,2
"N00000700",120,56,42,12,7,3
"N00000701",94,43,24,18,7,2
"N00000702",311,238,46,13,13,1
"N00000703",131,75,33,13,8,2
"N00000704",238,171,37,20,8,2
"N00000705",242,199,19,19,3,2
"N00000706",154,88,38,21,7,0
"N00000707",132,81,21,19,10,1
"N00000708",155,105,29,13,4,4
"N00000709",165,130,18,10,6,1
"N00000710",117,91,15,7,1,3
"N00000711",195,131,43,13,5,3
"N00000712",134,99,20,9,3,3
"N00000713",135,95,21,11,5,3
"N00000714",128,94,19,8,4,3
"N00000715",254,144,80,23,7,0
"N00000716",328,267,41,13,5,2
"N00000717",199,166,17,12,4,0
"N00000718",719,524,129,50,14,2
"N00000719",86,77,4,5,0,0
"N00000720",154,145,5,2,1,1
"N00000721",154,116,19,14,5,0
"N00000722",162,99,37,15,10,1
"N00000723",145,98,27,9,7,4
"N00000724",160,108,30,14,7,1
"N00000725",165,118,23,17,6,1
"N00000726",137,93,19,15,7,3
"N00000727",124,54,43,21,5,1
"N00000728",187,117,46,16,6,2
"N00000729",121,66,29,21,1,4
"N00000730",121,88,22,9,2,0
"N00000731",123,56,44,15,7,1
"N00000732",239,115,81,30,10,3
"N00000733",112,81,21,7,2,1
"N00000734",142,48,42,38,9,5
"N00000735",143,113,18,8,4,0
"N00000736",137,81,30,21,4,1
"N00000737",124,100,14,7,2,1
"N00000738",138,104,18,11,5,0
"N00000739",143,108,23,6,6,0
"N00000740",177,139,26,7,3,2
"N00000741",140,124,11,2,3,0
"N00000742",120,81,22,12,2,3
"N00000743",116,47,41,20,8,0
"N00000744",123,83,27,13,0,0
"N00000745",184,122,34,25,3,0
"N00000746",263,100,94,42,24,3
"N00000747",173,89,62,13,9,0
"N00000748",173,137,22,8,6,0
"N00000749",140,69,46,19,6,0
"N00000750",146,73,48,20,3,2
"N00000751",198,125,41,30,0,2
"N00000752",163,102,34,21,3,3
"N00000753",138,116,13,7,2,0
"N00000754",162,106,25,21,8,2
"N00000755",125,108,14,2,0,1
"N00000756",153,83,42,20,7,1
"N00000757",142,96,31,15,0,0
"N00000758",185,73,62,36,13,1
"N00000759",102,71,20,7,3,1
"N00000760",132,55,45,22,8,2
"N00000761",178,51,62,47,16,2
"N00000762",133,40,50,29,13,1
"N00000763",166,62,62,29,10,3
"N00000764",93,68,14,5,4,2
"N00000765",165,56,59,34,11,5
"N00000766",387,177,121,70,15,4
"N00000767",108,83,16,5,2,2
"N00000768",120,46,38,29,6,1
"N00000769",137,119,12,6,0,0
"N00000770",117,89,19,7,2,0
